id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist,qualifier/16/value
2531218711,386,8,1,0,46,cobffe32r7g4skka9m19qib63,1,7.7,60.8,2023-04-09T16:31:06.638Z,2023-04-10T06:18:33Z,4178943107,389,,4177384227,56,Back,4177801633,383,,,,,,,,,,,,,,,,,1km9nvqz03yoj9cxpv127id7u,Samú Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190643,12,61,1,0,47,cobffe32r7g4skka9m19qib63,0,3.4,65.4,2023-04-09T16:31:07.314Z,2023-04-10T06:19:26Z,4178943475,178,,4177231831,56,Back,,,,,,,,,,,,,,,,,,,1km9nvqz03yoj9cxpv127id7u,Samú Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190655,10,3,1,0,48,ba5e91hjacvma2sjvixn00pjo,0,96.2,37.2,2023-04-09T16:31:08.267Z,2023-04-10T06:19:18Z,4177385713,233,387,4177385533,286,,4177802799,465,,4177231907,56,Center,4178943601,178,,,,,,,,,,,9z3aqwq5swt9qklwnzuhqcogl,Samu Castillejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531218939,387,7,1,0,48,cobffe32r7g4skka9m19qib63,1,3.8,62.8,2023-04-09T16:31:08.307Z,2023-04-10T06:19:16Z,4177385629,285,,4177385631,233,10,4178943819,389,,4177385627,56,Back,4177803719,383,,,,,,,,,,,1km9nvqz03yoj9cxpv127id7u,Samú Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190673,15,49,1,0,49,cobffe32r7g4skka9m19qib63,1,5.3,59.4,2023-04-09T16:31:09.183Z,2023-04-10T06:19:35Z,,,,,,,,,,,,,,,,,,,,,,,,,1trnf7miqmcgr67c4808t4yj9,S. Babić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531219151,388,1,1,0,49,cobffe32r7g4skka9m19qib63,1,4.7,56.6,2023-04-09T16:31:09.205Z,2023-04-10T06:19:39Z,4177386593,140,10.8,4177386595,141,68.5,4177386597,212,10.3,4178944255,178,,4177386591,56,Back,4177386599,213,0.9,,,,,,,1trnf7miqmcgr67c4808t4yj9,S. Babić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531219261,389,1,1,0,50,cobffe32r7g4skka9m19qib63,1,12.1,69.5,2023-04-09T16:31:09.999Z,2023-04-10T06:20:43Z,4177387287,141,72.6,4177387285,140,6.0,4177387289,212,6.7,4178945469,178,,4177387283,56,Back,4177387291,213,2.8,,,,,,,5rabxq8qyxf2q2ak506xim9rd,L. Robertone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190687,16,1,1,0,52,cobffe32r7g4skka9m19qib63,0,1.7,75.4,2023-04-09T16:31:11.971Z,2023-04-10T06:20:52Z,4177232059,212,13.4,4177232063,1,,4177232051,157,,4177232057,141,81.6,4177232055,140,13.8,4177232061,213,0.3,4177232053,56,Back,4178945607,178,,e53c7z5bdud6uycw32s3qgx9m,Álex Centelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531219175,423,1,1,0,52,ba5e91hjacvma2sjvixn00pjo,1,89.3,17.7,2023-04-09T16:31:12.383Z,2023-04-10T06:20:58Z,4177386751,56,Center,4178945739,178,,4177386759,213,2.8,4177386755,141,24.1,4177386757,212,12.8,4177386753,140,77.8,4177386749,3,,,,,5qgc6zjc38a5xjl35gs7h3vu1,J. Kluivert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190691,11,49,1,0,53,ba5e91hjacvma2sjvixn00pjo,1,77.4,28.8,2023-04-09T16:31:13.639Z,2023-04-10T06:21:03Z,,,,,,,,,,,,,,,,,,,,,,,,,9dc4qkvh0vk5kwymibji00kp,André Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190727,12,1,1,0,54,ba5e91hjacvma2sjvixn00pjo,1,76.8,27,2023-04-09T16:31:14.544Z,2023-04-10T06:21:06Z,4177232251,140,84.5,4177232255,212,11.9,4178945961,178,,4177232257,213,5.5,4177232253,141,14.1,4177232249,56,Right,,,,,,,9dc4qkvh0vk5kwymibji00kp,André Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190741,13,1,1,1,0,ba5e91hjacvma2sjvixn00pjo,0,81.2,15.5,2023-04-09T16:31:19.791Z,2023-04-10T06:21:09Z,4177232345,155,,4177232347,56,Center,4177808713,20,,4177232343,2,,4177808711,224,,4178946019,178,,4177232353,212,28.7,4177232349,140,95.1,5qgc6zjc38a5xjl35gs7h3vu1,J. Kluivert,4177232351,141,51.8,4177232443,233,17,4177232355,213,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190757,17,11,1,1,1,cobffe32r7g4skka9m19qib63,1,5.2,50.7,2023-04-09T16:31:21.215Z,2023-04-10T06:21:13Z,4178946155,388,,4177232465,233,13,4177232419,56,Back,4177808895,377,,4177232421,88,,,,,,,,,,,c3secspt4xvu1q4g6aonn7zyt,Fernando Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190849,18,1,1,1,11,cobffe32r7g4skka9m19qib63,1,5.3,49.1,2023-04-09T16:31:31.369Z,2023-04-10T06:21:24Z,4177232923,123,,4177232933,213,5.4,4177232931,212,8.0,4177232927,140,10.2,4177232925,56,Back,4177232929,141,40.0,4178946517,178,,,,,c3secspt4xvu1q4g6aonn7zyt,Fernando Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190875,19,1,1,1,13,cobffe32r7g4skka9m19qib63,1,10.2,40,2023-04-09T16:31:33.566Z,2023-04-10T06:21:27Z,4177233081,141,45.2,4177233077,56,Back,4177233085,213,0.2,4178946599,178,,4177233079,140,26.1,4177233083,212,17.1,,,,,,,99zc12kmr9893h24mo95wcn9x,Rodrigo Ely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
