id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/15/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2504619655,17,1,1,0,27,4jelr92fsge73q39is6qvhxb3,1,46.3,89.7,2023-02-05T17:31:28.979Z,2023-02-06T08:43:16Z,4015904263,213,3.7,4015904249,56,Back,4015904253,140,32.5,4015904257,141,75.1,4015904259,212,17.6,4017010895,178,,,,,,,,66t7zm54jgmcjtiizl9g0rkkp,Kike Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504619661,18,1,1,0,29,4jelr92fsge73q39is6qvhxb3,1,32.5,75.1,2023-02-05T17:31:31.170Z,2023-02-06T08:43:24Z,4015904307,212,6.2,4015904309,213,6.0,4015904305,141,72.7,4015904303,140,38.2,4015904301,56,Back,4017010925,178,,,,,,,,9f83clp1v95kvlxdb376tgbth,Javier Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504619673,19,1,1,0,30,4jelr92fsge73q39is6qvhxb3,1,38.5,72.7,2023-02-05T17:31:31.919Z,2023-02-06T08:43:29Z,4017010935,178,,4015904379,212,8.2,4015904377,141,84.7,4015904373,56,Back,4015904375,140,38.9,4015904381,213,1.5,,,,,,,234yd91ki5snm5wipuxzogkp,Monchu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504619703,20,1,1,0,32,4jelr92fsge73q39is6qvhxb3,1,37.6,86,2023-02-05T17:31:33.703Z,2023-02-06T08:43:34Z,4015904549,213,3.9,4017010943,178,,4015904547,212,15.7,4015904541,56,Back,4015904543,140,26.3,4015904545,141,70.8,,,,,,,66t7zm54jgmcjtiizl9g0rkkp,Kike Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504619715,21,1,1,0,36,4jelr92fsge73q39is6qvhxb3,1,25.5,70.2,2023-02-05T17:31:37.707Z,2023-02-06T08:43:38Z,4017010963,178,,4015904599,56,Back,4015904605,212,20.9,4015904603,141,39.5,4015904601,140,24.8,4015904607,213,4.7,,,,,,,9f83clp1v95kvlxdb376tgbth,Javier Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504619747,22,1,1,0,37,4jelr92fsge73q39is6qvhxb3,1,23.1,30.1,2023-02-05T17:31:39.426Z,2023-02-06T08:43:44Z,4015904793,213,2.6,4015904785,56,Back,4015904791,212,17.3,4017010987,178,,4015904789,141,42.4,4015904787,140,8.7,,,,,,,bsi12817nc1ul082qn48d4rft,M. Hongla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504619785,23,1,1,0,40,4jelr92fsge73q39is6qvhxb3,1,8.5,51.3,2023-02-05T17:31:41.763Z,2023-02-06T08:43:52Z,4015905017,213,1.2,4015905009,56,Back,4015905013,141,79.6,4015905011,140,14.6,4015905015,212,20.3,4017011017,178,,,,,,,,74gwlzg12wr9pkwmdh9xpa505,Jordi Masip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504619821,24,1,1,0,43,4jelr92fsge73q39is6qvhxb3,1,13.4,78.2,2023-02-05T17:31:45.008Z,2023-02-06T08:43:57Z,4015905205,213,4.9,4017011031,178,,4015905195,196,,4015905201,141,7.3,4015905193,155,,4015905203,212,48.8,4015905207,1,,4015905199,140,20.4,9f83clp1v95kvlxdb376tgbth,Javier Sánchez,4015905197,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504619825,25,1,1,0,48,4jelr92fsge73q39is6qvhxb3,0,20.8,6.7,2023-02-05T17:31:50.065Z,2023-02-06T08:44:00Z,4015905223,56,Back,4017011043,178,,4015905231,213,0.0,4015905229,212,2.0,4015905425,233,5,4015905227,141,6.8,4015905225,140,22.7,4015905429,286,,d8v7fh30bn0rbhj0lgn1j17th,Luis Pérez,4015905423,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504619859,5,74,1,0,48,63f5h8t5e9qm1fqmvfkb23ghh,1,72.5,94.5,2023-02-05T17:31:50.118Z,2023-02-06T08:44:07Z,4015905439,233,25,4017011061,178,,4015905385,285,,4015905383,56,Left,,,,,,,,,,,,,7aoe0u87gxgv9tvgrotcfue7e,Robert Navarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
