id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2482506425,4,49,1,0,19,nuaf3wtujl8erbciumch6c65,1,26.2,68.7,2022-11-06T15:02:18.409Z,2022-11-06T15:02:19Z,,,,,,,,,,,,,,,,,,,,,,,,,axjakqkndyt2k8v2b0y97tw16,M. Hirata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506479,5,1,1,0,21,nuaf3wtujl8erbciumch6c65,0,30,67.6,2022-11-06T15:02:19.834Z,2022-11-06T15:02:28Z,3899547093,56,Center,3899547095,140,75.8,3899547101,213,6.0,3899547099,212,50.1,3899547091,155,,3899547097,141,46.9,3899547165,1,,,,,axjakqkndyt2k8v2b0y97tw16,M. Hirata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506461,8,49,1,0,24,4moe0x01r1f5w30g38wshyftp,1,31.8,56.7,2022-11-06T15:02:23.630Z,2022-11-06T15:52:18Z,,,,,,,,,,,,,,,,,,,,,,,,,cc32rolkcvyuul5t2uearz0mh,A. Borbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506525,9,1,1,0,26,4moe0x01r1f5w30g38wshyftp,1,30.5,55.2,2022-11-06T15:02:24.798Z,2022-11-06T15:52:19Z,3899547395,212,17.6,3899547393,141,29.7,3899547389,56,Back,3899547399,213,4.9,3899547391,140,33.5,,,,,,,,,,cc32rolkcvyuul5t2uearz0mh,A. Borbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506575,10,1,1,0,31,4moe0x01r1f5w30g38wshyftp,1,35.7,21.9,2022-11-06T15:02:29.837Z,2022-11-06T15:02:34Z,3899547691,140,22.9,3899547697,213,2.3,3899547689,56,Back,3899547693,141,43.1,3899547695,212,19.7,,,,,,,,,,865nmkmx9qstpt90gc7bvp5ud,M. Ulbrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506637,11,1,1,0,35,4moe0x01r1f5w30g38wshyftp,1,25.3,51.5,2022-11-06T15:02:34.141Z,2022-11-06T15:52:22Z,3899547961,213,1.2,3899547953,56,Back,3899547955,140,36.9,3899547959,212,30.5,3899547957,141,92.7,,,,,,,,,,cc32rolkcvyuul5t2uearz0mh,A. Borbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506691,12,1,1,0,38,4moe0x01r1f5w30g38wshyftp,1,42.2,92,2022-11-06T15:02:37.342Z,2022-11-06T16:54:57Z,3899548201,141,97.4,3899548205,213,0.2,3899548203,212,21.6,3899548199,140,62.5,3899548197,56,Left,,,,,,,,,,7ektyvpzu0yj1b9dm7yfkxh3p,L. Hausicke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506703,13,61,1,0,41,4moe0x01r1f5w30g38wshyftp,0,63.4,97.1,2022-11-06T15:02:40.678Z,2022-11-06T15:15:28Z,3899548253,56,Left,,,,,,,,,,,,,,,,,,,,,,u8p6vsrl3b7ndbj3cj5owlih,N. Lührßen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506801,6,5,1,0,42,nuaf3wtujl8erbciumch6c65,1,37,-2,2022-11-06T15:02:40.764Z,2022-11-06T15:02:51Z,3899548781,347,,3899548801,233,14,3899548779,56,Back,,,,,,,,,,,,,,,,9e95p87136h6zjam3zu0d9yol,L. Josten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506715,14,5,1,0,42,4moe0x01r1f5w30g38wshyftp,0,63,102,2022-11-06T15:02:40.764Z,2022-11-06T15:15:44Z,3899548333,56,Left,3899548809,233,6,3899548335,347,,,,,,,,,,,,,,,,,u8p6vsrl3b7ndbj3cj5owlih,N. Lührßen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506825,7,1,1,0,51,nuaf3wtujl8erbciumch6c65,1,43.3,0,2022-11-06T15:02:49.755Z,2022-11-06T15:02:52Z,3899548895,107,,3899548899,140,44.9,3899548897,56,Back,3899548905,213,1.2,3899548903,212,5.2,3899548901,141,5.6,,,,,,,dh4eziicycykt8h2zr0to5tuy,K. Bathmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506831,8,1,1,0,52,nuaf3wtujl8erbciumch6c65,0,44.9,5.6,2022-11-06T15:02:51.689Z,2022-11-06T15:02:52Z,3899548941,140,46.2,3899548947,213,0.1,3899548943,141,5.8,3899548945,212,1.4,3899548935,3,,3899548939,56,Back,3899548937,168,,,,,2ltzk74krenmfh5gzcjpc2k4q,K. Maksuti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506847,15,49,1,0,55,4moe0x01r1f5w30g38wshyftp,1,60.5,94.2,2022-11-06T15:02:54.669Z,2022-11-06T16:55:55Z,,,,,,,,,,,,,,,,,,,,,,,,,8s3zfsb1yqt3trc1n9jcxiol,R. Walkling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506885,16,1,1,0,56,4moe0x01r1f5w30g38wshyftp,1,60.5,94.2,2022-11-06T15:02:54.781Z,2022-11-06T16:55:59Z,3899549195,56,Left,3899549203,213,5.9,3899549197,140,73.5,3899549201,212,14.8,3899549199,141,85.9,,,,,,,,,,8s3zfsb1yqt3trc1n9jcxiol,R. Walkling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506917,17,1,1,0,58,4moe0x01r1f5w30g38wshyftp,1,73.4,84.5,2022-11-06T15:02:57.278Z,2022-11-06T16:56:03Z,3899549415,213,5.1,3899549409,140,79.2,3899549413,212,15.2,3899549411,141,64.0,3899549405,56,Center,,,,,,,,,,7mfl844y4zw1u07g3owaxyaga,T. Keles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506923,18,61,1,1,0,4moe0x01r1f5w30g38wshyftp,0,81.1,60.8,2022-11-06T15:02:58.950Z,2022-11-06T16:56:15Z,3899549431,56,Center,,,,,,,,,,,,,,,,,,,,,,8ruo0cyz6gvcp7yiks9fz1ed,J. Sehan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506959,9,12,1,1,0,nuaf3wtujl8erbciumch6c65,1,19.3,44.8,2022-11-06T15:02:59.369Z,2022-11-06T15:03:04Z,3899549647,167,,3899549615,56,Back,3899549621,141,0.0,3899549619,140,33.5,3899549625,213,5.2,3899549623,212,34.8,,,,,,,8ovibbdbs49bwwwf3bbuij3hm,J. Pollak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482506963,10,5,1,1,3,nuaf3wtujl8erbciumch6c65,0,32.4,-1.7,2022-11-06T15:03:01.732Z,2022-11-06T15:03:06Z,3899550023,233,19,3899549639,347,,3899549637,56,Back,,,,,,,,,,,,,,,,8ovibbdbs49bwwwf3bbuij3hm,J. Pollak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507021,19,5,1,1,3,4moe0x01r1f5w30g38wshyftp,1,67.6,101.7,2022-11-06T15:03:01.732Z,2022-11-06T15:15:44Z,3899549927,347,,3899549925,56,Left,3899549993,233,10,,,,,,,,,,,,,,,,u8p6vsrl3b7ndbj3cj5owlih,N. Lührßen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507039,20,1,1,1,7,4moe0x01r1f5w30g38wshyftp,0,69.4,100,2022-11-06T15:03:06.205Z,2022-11-06T15:03:08Z,3899550073,140,80.9,3899550075,141,98.4,3899550069,107,,3899550071,56,Left,3899550079,213,6.1,3899550077,212,12.3,,,,,,,u8p6vsrl3b7ndbj3cj5owlih,N. Lührßen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507063,11,1,1,1,9,nuaf3wtujl8erbciumch6c65,1,18,12.8,2022-11-06T15:03:08.042Z,2022-11-06T15:03:10Z,3899550201,141,15.3,3899550195,56,Back,3899550191,3,,3899550199,140,26.7,3899550203,212,9.3,3899550205,213,0.2,,,,,,,dh4eziicycykt8h2zr0to5tuy,K. Bathmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507073,12,43,1,1,10,nuaf3wtujl8erbciumch6c65,1,0,0,2022-11-06T15:03:09.339Z,2022-11-06T15:03:17Z,3899550251,213,3.1,3899550243,56,Back,3899550245,140,26.7,3899550701,144,1,3899550241,155,0,3899550249,212,0,3899550247,141,15.3,,,,1f2h3qvn7d1dv5wsv63bojazu,A. Margraf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507075,13,43,1,1,10,nuaf3wtujl8erbciumch6c65,1,0,0,2022-11-06T15:03:09.346Z,2022-11-06T15:03:11Z,3899550297,144,49,,,,,,,,,,,,,,,,,,,,,,1f2h3qvn7d1dv5wsv63bojazu,A. Margraf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507095,14,49,1,1,12,nuaf3wtujl8erbciumch6c65,1,26.2,14,2022-11-06T15:03:11.450Z,2022-11-06T15:03:12Z,,,,,,,,,,,,,,,,,,,,,,,,,1f2h3qvn7d1dv5wsv63bojazu,A. Margraf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507113,15,1,1,1,12,nuaf3wtujl8erbciumch6c65,1,26.2,14,2022-11-06T15:03:11.625Z,2022-11-06T15:03:13Z,3899550443,141,16.8,3899550445,212,6.7,3899550439,56,Back,3899550441,140,32.3,3899550447,213,0.3,,,,,,,,,,1f2h3qvn7d1dv5wsv63bojazu,A. Margraf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507121,16,1,1,1,13,nuaf3wtujl8erbciumch6c65,1,32.5,16.8,2022-11-06T15:03:12.281Z,2022-11-06T15:03:14Z,3899550487,141,4.6,3899550489,212,9.9,3899550485,140,27.3,3899550483,56,Back,3899550491,213,4.1,,,,,,,,,,9e95p87136h6zjam3zu0d9yol,L. Josten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507143,17,1,1,1,14,nuaf3wtujl8erbciumch6c65,0,27.3,4.6,2022-11-06T15:03:13.690Z,2022-11-06T15:03:15Z,3899550593,56,Right,3899550595,140,52.0,3899550591,155,,3899550599,212,26.3,3899550597,141,10.9,3899550601,213,0.2,,,,,,,dh4eziicycykt8h2zr0to5tuy,K. Bathmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507225,21,49,1,1,22,4moe0x01r1f5w30g38wshyftp,1,30.6,93.2,2022-11-06T15:03:21.645Z,2022-11-06T16:56:36Z,,,,,,,,,,,,,,,,,,,,,,,,,7ektyvpzu0yj1b9dm7yfkxh3p,L. Hausicke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507331,22,1,1,1,25,4moe0x01r1f5w30g38wshyftp,1,31.1,92.4,2022-11-06T15:03:24.509Z,2022-11-06T16:56:41Z,3899551587,212,13.5,3899551581,56,Back,3899551589,213,6.1,3899551585,141,88.7,3899551583,140,43.7,,,,,,,,,,7ektyvpzu0yj1b9dm7yfkxh3p,L. Hausicke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507373,23,1,1,1,28,4moe0x01r1f5w30g38wshyftp,1,43.3,88.7,2022-11-06T15:03:27.501Z,2022-11-06T15:03:30Z,3899551829,56,Back,3899551831,140,20.2,3899551837,213,3.6,3899551833,141,72.4,3899551835,212,26.7,,,,,,,,,,8s3zfsb1yqt3trc1n9jcxiol,R. Walkling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507469,24,1,1,1,31,4moe0x01r1f5w30g38wshyftp,1,21.1,72.1,2022-11-06T15:03:30.493Z,2022-11-06T15:52:29Z,3899552367,212,22.1,3899552369,213,0.7,3899552361,56,Back,3899552365,141,93.3,3899552363,140,37.1,,,,,,,,,,cc32rolkcvyuul5t2uearz0mh,A. Borbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507519,25,1,1,1,37,4moe0x01r1f5w30g38wshyftp,1,64.9,68.5,2022-11-06T15:03:36.413Z,2022-11-06T16:56:58Z,3899552625,56,Center,3899552633,213,4.9,3899552631,212,15.8,3899552627,140,67.9,3899552629,141,45.8,,,,,,,,,,7ektyvpzu0yj1b9dm7yfkxh3p,L. Hausicke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507561,26,1,1,1,40,4moe0x01r1f5w30g38wshyftp,1,59.1,54.9,2022-11-06T15:03:39.453Z,2022-11-06T15:03:42Z,3899552835,56,Back,3899552839,141,40.1,3899552837,140,46.8,3899552841,212,16.4,3899552843,213,3.8,,,,,,,,,,874o1s057ddcizshsu10wu6t,S. Matheis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507639,27,1,1,1,43,4moe0x01r1f5w30g38wshyftp,1,38.7,31.9,2022-11-06T15:03:42.413Z,2022-11-06T15:03:48Z,3899553231,213,2.1,3899553227,141,60.0,3899553229,212,22.3,3899553225,140,27.8,3899553223,56,Back,,,,,,,,,,865nmkmx9qstpt90gc7bvp5ud,M. Ulbrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507687,28,1,1,1,49,4moe0x01r1f5w30g38wshyftp,1,32.4,70.8,2022-11-06T15:03:48.252Z,2022-11-06T15:52:31Z,3899553455,141,92.6,3899553453,140,43.3,3899553457,212,18.7,3899553459,213,0.9,3899553451,56,Back,,,,,,,,,,cc32rolkcvyuul5t2uearz0mh,A. Borbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507743,29,1,1,1,53,4moe0x01r1f5w30g38wshyftp,1,52.6,91.4,2022-11-06T15:03:52.332Z,2022-11-06T16:57:24Z,3899553715,212,13.6,3899553713,141,97.1,3899553717,213,0.3,3899553711,140,65.0,3899553709,56,Left,,,,,,,,,,7ektyvpzu0yj1b9dm7yfkxh3p,L. Hausicke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507777,30,1,1,1,56,4moe0x01r1f5w30g38wshyftp,1,66,96.8,2022-11-06T15:03:55.037Z,2022-11-06T15:03:57Z,3899553923,212,13.8,3899553925,213,3.6,3899553921,141,88.6,3899553919,140,54.0,3899553917,56,Left,,,,,,,,,,u8p6vsrl3b7ndbj3cj5owlih,N. Lührßen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507817,31,1,1,1,59,4moe0x01r1f5w30g38wshyftp,1,58.7,91.1,2022-11-06T15:03:57.869Z,2022-11-06T16:57:39Z,3899554151,141,88.1,3899554155,213,6.1,3899554147,56,Left,3899554153,212,14.9,3899554149,140,72.8,,,,,,,,,,7ektyvpzu0yj1b9dm7yfkxh3p,L. Hausicke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507871,32,1,1,2,1,4moe0x01r1f5w30g38wshyftp,1,70.8,92.3,2022-11-06T15:04:00.093Z,2022-11-06T15:04:02Z,3899554433,140,73.1,3899554437,141,98.6,3899554431,56,Left,3899554441,212,4.9,3899554443,213,1.1,,,,,,,,,,cdzfyzjbmsg88l4r24mwx1ryt,R. Dieckmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507919,33,1,1,2,3,4moe0x01r1f5w30g38wshyftp,0,73.1,98.6,2022-11-06T15:04:02.413Z,2022-11-06T16:57:53Z,3899554655,56,Left,3899554659,141,100.0,3899554657,140,53.6,3899554661,212,20.6,3899554663,213,3.0,,,,,,,,,,7mfl844y4zw1u07g3owaxyaga,T. Keles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482508161,18,5,1,2,5,nuaf3wtujl8erbciumch6c65,1,51.4,-1.4,2022-11-06T15:04:04.315Z,2022-11-06T15:05:07Z,3899561651,233,34,3899556061,347,,3899556059,56,Right,,,,,,,,,,,,,,,,dh4eziicycykt8h2zr0to5tuy,K. Bathmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482507927,34,5,1,2,5,4moe0x01r1f5w30g38wshyftp,0,48.6,101.4,2022-11-06T15:04:04.315Z,2022-11-06T15:15:45Z,3899561689,233,18,3899554707,56,Back,3899554711,347,,,,,,,,,,,,,,,,,u8p6vsrl3b7ndbj3cj5owlih,N. Lührßen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482508281,19,1,1,2,17,nuaf3wtujl8erbciumch6c65,1,49.5,0,2022-11-06T15:04:16.060Z,2022-11-06T15:04:22Z,3899556637,56,Right,3899556639,140,76.1,3899556647,213,0.1,3899556641,141,3.1,3899556649,1,,3899556635,107,,3899556643,212,28.1,,,,dh4eziicycykt8h2zr0to5tuy,K. Bathmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482508287,20,4,1,2,22,nuaf3wtujl8erbciumch6c65,1,81.8,2.6,2022-11-06T15:04:21.578Z,2022-11-06T15:05:03Z,3899556699,56,Right,3899556701,286,,3899561171,233,35,3899560007,152,,3899560001,13,,3899560011,265,,,,,,,,9e95p87136h6zjam3zu0d9yol,L. Josten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482508343,35,4,1,2,22,4moe0x01r1f5w30g38wshyftp,0,18.2,97.4,2022-11-06T15:04:21.579Z,2022-11-06T15:05:04Z,3899561165,152,,3899561163,13,,3899561167,265,,3899557055,285,,3899561251,233,20,3899557053,56,Back,,,,,,,7ektyvpzu0yj1b9dm7yfkxh3p,L. Hausicke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482508897,21,43,1,2,23,nuaf3wtujl8erbciumch6c65,1,0,0,2022-11-06T15:04:22.683Z,2022-11-06T15:04:54Z,3899560047,233,36,3899559957,347,0,3899559955,56,Right,3899560211,144,5,,,,,,,,,,,,,9e95p87136h6zjam3zu0d9yol,L. Josten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482508365,36,43,1,2,26,4moe0x01r1f5w30g38wshyftp,1,0,0,2022-11-06T15:04:25.678Z,2022-11-06T15:05:05Z,3899557155,347,0,3899557153,56,Back,3899561327,144,5,,,,,,,,,,,,,,,,7ektyvpzu0yj1b9dm7yfkxh3p,L. Hausicke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482508991,22,1,1,2,56,nuaf3wtujl8erbciumch6c65,0,78.6,7,2022-11-06T15:04:54.891Z,2022-11-06T15:04:56Z,3899560441,141,66.4,3899560447,1,,3899560429,2,,3899560431,5,,3899560439,140,100.0,3899560437,56,Center,3899560443,212,46.7,3899560445,213,1.0,8ovibbdbs49bwwwf3bbuij3hm,J. Pollak,3899560433,155,3899560435,152,,,,,,,,,,,,,,,,,,,,,,,,,
2482509003,23,5,1,2,57,nuaf3wtujl8erbciumch6c65,0,101,65.3,2022-11-06T15:04:55.975Z,2022-11-06T15:11:03Z,3899560489,346,,3899560487,56,Center,3899609283,233,37,,,,,,,,,,,,,,,,8ovibbdbs49bwwwf3bbuij3hm,J. Pollak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482509735,37,5,1,2,57,4moe0x01r1f5w30g38wshyftp,1,-1,34.7,2022-11-06T15:04:55.975Z,2022-11-06T15:15:45Z,3899564323,346,,3899564321,56,Back,3899609181,233,23,,,,,,,,,,,,,,,,7ektyvpzu0yj1b9dm7yfkxh3p,L. Hausicke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
