id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2466495605,13,1,1,1,0,6yhza3xbfafj5c9897mbkbudn,0,58.1,94.7,2022-10-02T14:03:03.557Z,2022-10-02T14:04:11Z,3814706907,212,22.5,3814706905,141,97.1,3814706899,3,,3814706909,213,0.1,3814706901,56,Left,3814706903,140,79.5,,,,,,,2ij21gq2d0xqcyho9t49glkvd,J. Minge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495653,19,12,1,1,1,2f7gua216miwsfd83rgjsn4ap,1,14.2,2.2,2022-10-02T14:03:04.289Z,2022-10-02T14:04:13Z,3814707117,140,15.8,3814707121,212,3.3,3814707115,56,Back,3814707123,213,5.2,3814707119,141,0.0,3814707159,167,,,,,,,,57cbneelzdjmwvsk87sgq7omi,N. Räcke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495669,14,5,1,1,4,6yhza3xbfafj5c9897mbkbudn,1,80.9,101.6,2022-10-02T14:03:06.628Z,2022-10-02T14:03:09Z,3814707219,347,,3814707261,233,20,3814707217,56,Left,,,,,,,,,,,,,,,,2ij21gq2d0xqcyho9t49glkvd,J. Minge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495657,20,5,1,1,4,2f7gua216miwsfd83rgjsn4ap,0,19.1,-1.6,2022-10-02T14:03:06.628Z,2022-10-02T14:05:00Z,3814707279,233,14,3814707141,347,,3814707139,56,Back,,,,,,,,,,,,,,,,57cbneelzdjmwvsk87sgq7omi,N. Räcke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495955,15,1,1,1,19,6yhza3xbfafj5c9897mbkbudn,1,81.4,100,2022-10-02T14:03:22.070Z,2022-10-02T14:03:29Z,3814708659,56,Center,3814708661,140,88.8,3814708663,141,69.2,3814708665,212,23.0,3814708669,1,,3814708657,107,,3814708667,213,5.1,,,,e6a4lxx6og97jg9qv4lplfo4p,M. Müller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495965,16,61,1,1,20,6yhza3xbfafj5c9897mbkbudn,0,80.8,55.4,2022-10-02T14:03:23.221Z,2022-10-02T14:04:17Z,3814708723,56,Center,,,,,,,,,,,,,,,,,,,,,,dzisqj9zjrxdxmqeu8kof95d6,S. Fölmli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495945,22,1,1,1,25,2f7gua216miwsfd83rgjsn4ap,0,17.9,47,2022-10-02T14:03:27.817Z,2022-10-02T14:03:30Z,3814708793,236,,3814708619,141,44.5,3814708615,140,18.3,3814708609,157,,3814708611,56,Back,3814708795,233,17,3814708799,286,,3814708631,1,,5hdjbf8idy50wlf0d6qi3lk9h,M. Berentzen,3814708623,212,1.8,3814708627,213,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2466495975,17,74,1,1,25,6yhza3xbfafj5c9897mbkbudn,1,80.8,55.4,2022-10-02T14:03:27.818Z,2022-10-02T14:07:24Z,3814708819,233,22,3814708765,285,,3814708763,56,Center,,,,,,,,,,,,,,,,dzisqj9zjrxdxmqeu8kof95d6,S. Fölmli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466496075,18,1,1,1,31,6yhza3xbfafj5c9897mbkbudn,0,62.2,44,2022-10-02T14:03:34.214Z,2022-10-02T14:03:35Z,3814709297,56,Center,3814709305,213,4.9,3814709301,141,28.0,3814709303,212,11.1,3814709299,140,64.1,3814709295,3,,,,,,,,c2w5fyxoq2xw8xm6asrn17x7t,M. Felde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466496105,19,49,1,1,34,6yhza3xbfafj5c9897mbkbudn,1,42.5,30.7,2022-10-02T14:03:36.790Z,2022-10-02T14:03:36Z,,,,,,,,,,,,,,,,,,,,,,,,,c2w5fyxoq2xw8xm6asrn17x7t,M. Felde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466496203,20,1,1,1,35,6yhza3xbfafj5c9897mbkbudn,1,43.6,35.9,2022-10-02T14:03:38.037Z,2022-10-02T14:03:41Z,3814709925,140,31.1,3814709929,212,16.5,3814709923,56,Back,3814709931,213,2.5,3814709927,141,50.6,,,,,,,,,,c2w5fyxoq2xw8xm6asrn17x7t,M. Felde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466496271,21,1,1,1,38,6yhza3xbfafj5c9897mbkbudn,1,30.9,51.5,2022-10-02T14:03:41.158Z,2022-10-02T14:03:44Z,3814710227,213,4.7,3814710225,212,16.0,3814710221,140,30.7,3814710223,141,28.0,3814710219,56,Back,,,,,,,,,,6q0njimucm06r3x7enupxpl,G. Stegemann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466496321,22,1,1,1,41,6yhza3xbfafj5c9897mbkbudn,1,35.9,30.2,2022-10-02T14:03:44.438Z,2022-10-02T14:03:47Z,3814710483,212,30.6,3814710481,141,7.4,3814710479,140,61.0,3814710485,213,5.8,3814710477,56,Right,,,,,,,,,,5sycg0t0w11j4vm43arm93v1l,S. Steuerwald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466496357,23,1,1,1,45,6yhza3xbfafj5c9897mbkbudn,1,72.4,10.3,2022-10-02T14:03:47.718Z,2022-10-02T14:03:50Z,3814710679,141,45.4,3814710675,56,Center,3814710671,2,,3814710683,213,1.1,3814710681,212,26.3,3814710673,155,,3814710677,140,82.9,,,,32ofctw7kn3l8eucrhku63dg5,L. Karl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466496361,24,61,1,1,48,6yhza3xbfafj5c9897mbkbudn,1,83,45.5,2022-10-02T14:03:50.647Z,2022-10-02T14:03:51Z,3814710693,56,Center,,,,,,,,,,,,,,,,,,,,,,33rw3w7m8xbv7ojfaih6radjo,C. Zicai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466496425,25,1,1,1,50,6yhza3xbfafj5c9897mbkbudn,0,97.2,68.7,2022-10-02T14:03:53.142Z,2022-10-02T14:03:54Z,3814710991,56,Center,3814710993,140,97.3,3814710995,141,64.4,3814710999,213,4.7,3814710997,212,2.9,3814711071,236,,3814711073,233,23,3814711077,286,,2ij21gq2d0xqcyho9t49glkvd,J. Minge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466496433,23,74,1,1,50,2f7gua216miwsfd83rgjsn4ap,1,2.5,33.4,2022-10-02T14:03:53.143Z,2022-10-02T14:07:24Z,3814711013,285,,3814711109,233,25,3814711009,56,Back,,,,,,,,,,,,,,,,57cbneelzdjmwvsk87sgq7omi,N. Räcke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466496469,24,6,1,1,52,2f7gua216miwsfd83rgjsn4ap,0,0,32.4,2022-10-02T14:03:54.871Z,2022-10-02T14:04:59Z,3814711143,56,Back,3814711283,233,26,3814711189,73,,,,,,,,,,,,,,,,,57cbneelzdjmwvsk87sgq7omi,N. Räcke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466496485,26,6,1,1,52,6yhza3xbfafj5c9897mbkbudn,1,100,67.6,2022-10-02T14:03:54.871Z,2022-10-02T14:03:56Z,3814711251,56,Center,3814711255,73,,3814711273,233,24,,,,,,,,,,,,,,,,2ij21gq2d0xqcyho9t49glkvd,J. Minge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466497095,27,1,1,2,22,6yhza3xbfafj5c9897mbkbudn,0,99.5,99.5,2022-10-02T14:04:25.496Z,2022-10-02T14:04:29Z,3814714363,213,4.8,3814714359,141,36.8,3814714361,212,42.7,3814714355,56,Center,3814714353,223,,3814714347,2,,3814714351,155,,3814714365,1,,dqaq4g6ls8bl56rpd3irjt6fp,H. Kayikçi,3814714357,140,100.0,3814714349,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466497089,25,5,1,2,25,2f7gua216miwsfd83rgjsn4ap,1,-1.3,62.4,2022-10-02T14:04:28.459Z,2022-10-02T14:04:29Z,3814714465,233,28,3814714323,346,,3814714321,56,Back,,,,,,,,,,,,,,,,8az7xzsavwdqyuhal2yxml10q,K. Piljić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466497111,28,5,1,2,25,6yhza3xbfafj5c9897mbkbudn,0,101.3,37.6,2022-10-02T14:04:28.459Z,2022-10-02T14:05:00Z,3814714427,56,Center,3814714525,233,25,3814714429,346,,,,,,,,,,,,,,,,,dqaq4g6ls8bl56rpd3irjt6fp,H. Kayikçi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466497483,26,1,1,2,46,2f7gua216miwsfd83rgjsn4ap,0,4.8,40.4,2022-10-02T14:04:48.571Z,2022-10-02T14:04:52Z,3814716407,56,Right,3814716409,140,62.4,3814716405,124,,3814716417,1,,3814716419,74,,3814716415,213,5.8,3814716413,212,67.0,3814716411,141,0.0,5538ubmpq7ijg9s6fyt0qwglw,S. Winkler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466497489,27,5,1,2,49,2f7gua216miwsfd83rgjsn4ap,0,64,-2,2022-10-02T14:04:52.505Z,2022-10-02T14:05:01Z,3814717187,233,29,3814716453,347,,3814716451,56,Right,,,,,,,,,,,,,,,,5538ubmpq7ijg9s6fyt0qwglw,S. Winkler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466497629,29,5,1,2,49,6yhza3xbfafj5c9897mbkbudn,1,36,102,2022-10-02T14:04:52.505Z,2022-10-02T14:05:01Z,3814717177,233,27,3814717181,347,,3814717175,56,Back,,,,,,,,,,,,,,,,dqaq4g6ls8bl56rpd3irjt6fp,H. Kayikçi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466497869,30,1,1,3,7,6yhza3xbfafj5c9897mbkbudn,1,35.7,100,2022-10-02T14:05:10.088Z,2022-10-02T14:05:15Z,3814718477,107,,3814718487,213,5.6,3814718489,1,,3814718485,212,22.7,3814718479,56,Left,3814718481,140,53.1,3814718483,141,81.8,,,,e6a4lxx6og97jg9qv4lplfo4p,M. Müller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466497877,31,61,1,3,12,6yhza3xbfafj5c9897mbkbudn,0,53.1,81.8,2022-10-02T14:05:15.369Z,2022-10-02T14:05:15Z,3814718517,56,Left,,,,,,,,,,,,,,,,,,,,,,dzisqj9zjrxdxmqeu8kof95d6,S. Fölmli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466497899,28,49,1,3,13,2f7gua216miwsfd83rgjsn4ap,1,52.3,12.6,2022-10-02T14:05:16.316Z,2022-10-02T14:05:16Z,,,,,,,,,,,,,,,,,,,,,,,,,6zmrvcurwjzt9y07c85s24r85,A. Pfluger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466498011,29,1,1,3,15,2f7gua216miwsfd83rgjsn4ap,1,55.4,24.3,2022-10-02T14:05:18.381Z,2022-10-02T14:05:22Z,3814719189,140,53.7,3814719195,213,1.7,3814719193,212,11.7,3814719191,141,41.3,3814719187,56,Center,,,,,,,,,,6zmrvcurwjzt9y07c85s24r85,A. Pfluger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
