id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId
2548001451,11,7,1,0,24,9dntj5dioj5ex52yrgwzxrq9l,0,24.8,6.9,2023-05-13T16:00:59.479Z,2023-05-13T22:48:10Z,4273782455,285,,4273785991,233,10,4275286399,178,,4274471329,385,,4273782453,56,Back,,,,,,,,,,b33rlpjo3kx4477alx82si5wq,P. Kalulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001527,12,1,1,0,25,4klvxyeh3xcus4ongu7c00mgc,1,68.4,81.2,2023-05-13T16:01:00.821Z,2023-05-13T22:48:19Z,4273782867,56,Left,4273782869,140,60.1,4273782871,141,89.1,4273782875,213,2.6,4275286721,178,,4273782873,212,10.2,,,,,,,6n7sw8r0fhcoa8hfuxrtm96tx,A. Ekdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001565,13,1,1,0,31,4klvxyeh3xcus4ongu7c00mgc,1,55.8,90,2023-05-13T16:01:07.045Z,2023-05-13T22:48:26Z,4273783119,212,20.4,4273783117,141,93.0,4273783115,140,36.5,4273783113,56,Back,4275286991,178,,4273783121,213,3.0,,,,,,,89z0ym1zvwp7rikmd0kvpcq8l,D. Nikolaou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001621,14,1,1,0,35,4klvxyeh3xcus4ongu7c00mgc,1,35.1,93.2,2023-05-13T16:01:10.444Z,2023-05-13T22:48:33Z,4273783485,1,,4273783479,212,32.6,4273783475,141,60.0,4273783471,56,Back,4273783483,213,3.9,4273783473,140,12.7,4275287195,178,,,,,f1ma05bi3t1hfbflylx5d9tyh,E. Ampadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001679,15,1,1,0,41,4klvxyeh3xcus4ongu7c00mgc,1,23.5,44.6,2023-05-13T16:01:16.751Z,2023-05-13T22:48:37Z,4273783819,155,,4273783823,140,65.3,4275287365,178,,4273783831,1,,4273783829,213,6.2,4273783827,212,43.9,4273783825,141,42.2,4273783821,56,Center,4g0d51pqr4grzoe9cx7do6pxx,B. Drągowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001681,16,44,1,0,44,4klvxyeh3xcus4ongu7c00mgc,1,66.4,42,2023-05-13T16:01:19.716Z,2023-05-14T00:48:07Z,4273783835,56,Center,4273783837,286,,4273783925,233,12,,,,,,,,,,,,,,,,8zltxvt0rcrcv96x1wmdhlrrp,M'Bala Nzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001687,12,44,1,0,44,9dntj5dioj5ex52yrgwzxrq9l,0,33.6,58,2023-05-13T16:01:19.717Z,2023-05-13T22:48:41Z,4273783929,233,16,4273783853,285,,4273783851,56,Back,,,,,,,,,,,,,,,,3sezchmdtivxl4kusvgc6j7x1,F. Tomori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001691,17,1,1,0,44,4klvxyeh3xcus4ongu7c00mgc,0,65.2,42.5,2023-05-13T16:01:19.781Z,2023-05-14T00:48:08Z,4273783871,56,Center,4273783875,141,37.3,4275287579,388,,4273783867,3,,4273783869,168,,4273783877,212,7.1,4273783879,213,5.8,4273783873,140,71.1,8zltxvt0rcrcv96x1wmdhlrrp,M'Bala Nzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001727,13,1,1,0,46,9dntj5dioj5ex52yrgwzxrq9l,0,29.7,62.2,2023-05-13T16:01:22.006Z,2023-05-13T22:48:51Z,4273784097,56,Center,4273784099,140,50.1,4273784105,213,6.1,4273784101,141,55.8,4273784095,3,,4273784103,212,21.9,4275287821,178,,,,,3tpmw6tlijytn0ahwztvedkut,T. Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001739,18,44,1,0,49,4klvxyeh3xcus4ongu7c00mgc,1,46.5,46.3,2023-05-13T16:01:24.362Z,2023-05-14T00:48:08Z,4273784185,233,14,4273784149,285,,4273784147,56,Back,,,,,,,,,,,,,,,,f1ma05bi3t1hfbflylx5d9tyh,E. Ampadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
