id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist
2497743365,4,5,1,0,13,djz9e25b9zuiu5rmv1zha3i6f,0,25.2,-1,2023-01-15T15:00:56.657Z,2023-01-15T15:08:29Z,3979882941,56,Back,3979882943,347,,3979883047,233,8,,,,,,,,,,,,,,,,9742qffzdwiz9y3y7et40863t,Natalia Montilla,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743375,8,5,1,0,13,vaikl8nl7hdr4y9jj4jyb9ey,1,74.8,101,2023-01-15T15:00:56.657Z,2023-01-15T15:01:00Z,3979883003,347,,3979883029,233,4,3979883001,56,Left,,,,,,,,,,,,,,,,dlbgel5sg62n5z89ev1tkusph,Claudia Zornoza,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743407,9,1,1,0,18,vaikl8nl7hdr4y9jj4jyb9ey,1,72.3,100,2023-01-15T15:01:01.919Z,2023-01-15T15:01:04Z,3979883229,56,Left,3979883235,212,16.9,3979883237,213,3.9,3979883227,107,,3979883231,140,61.0,3979883233,141,83.2,,,,,,,10w88nr6r2nzxank4gv5gokbt,S. Svava,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743435,10,1,1,0,20,vaikl8nl7hdr4y9jj4jyb9ey,1,63.2,71.2,2023-01-15T15:01:04.399Z,2023-01-15T15:01:07Z,3979883399,141,30.4,3979883401,212,28.5,3979883397,140,57.1,3979883395,56,Center,3979883403,213,4.5,,,,,,,,,,dlbgel5sg62n5z89ev1tkusph,Claudia Zornoza,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743475,11,1,1,0,24,vaikl8nl7hdr4y9jj4jyb9ey,1,56.7,27.9,2023-01-15T15:01:07.727Z,2023-01-15T15:01:12Z,3979883617,212,13.1,3979883615,141,17.6,3979883611,56,Right,3979883619,213,5.7,3979883613,140,67.2,,,,,,,,,,59k0w00mz9tbm2mehy6ix113p,Ivana Andrés,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743503,12,1,1,0,28,vaikl8nl7hdr4y9jj4jyb9ey,1,65.8,10.3,2023-01-15T15:01:11.855Z,2023-01-15T15:01:14Z,3979883743,212,12.8,3979883741,141,10.1,3979883737,56,Right,3979883745,213,3.2,3979883739,140,53.6,,,,,,,,,,dgkmt7f5k9oqruxzsi3x9em6t,C. Weir,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743529,13,1,1,0,30,vaikl8nl7hdr4y9jj4jyb9ey,1,53.6,10.1,2023-01-15T15:01:14.319Z,2023-01-15T15:01:16Z,3979883923,213,6.0,3979883915,56,Right,3979883921,212,7.7,3979883917,140,60.7,3979883919,141,7.1,,,,,,,,,,59k0w00mz9tbm2mehy6ix113p,Ivana Andrés,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743545,14,1,1,0,33,vaikl8nl7hdr4y9jj4jyb9ey,1,60.7,7.1,2023-01-15T15:01:16.543Z,2023-01-15T15:01:18Z,3979884001,140,54.3,3979883999,56,Right,3979884005,212,7.9,3979884007,213,2.6,3979884003,141,13.1,,,,,,,,,,dgkmt7f5k9oqruxzsi3x9em6t,C. Weir,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743567,15,1,1,0,34,vaikl8nl7hdr4y9jj4jyb9ey,1,54.3,13.1,2023-01-15T15:01:17.871Z,2023-01-15T15:01:20Z,3979884143,213,1.3,3979884139,141,41.5,3979884141,212,20.2,3979884135,56,Center,3979884137,140,60.1,,,,,,,,,,59k0w00mz9tbm2mehy6ix113p,Ivana Andrés,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743583,16,1,1,0,38,vaikl8nl7hdr4y9jj4jyb9ey,1,60.1,41.5,2023-01-15T15:01:22.143Z,2023-01-15T15:01:22Z,3979884227,213,1.5,3979884223,141,63.1,3979884225,212,14.7,3979884221,140,60.7,3979884219,56,Center,,,,,,,,,,dlbgel5sg62n5z89ev1tkusph,Claudia Zornoza,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743591,17,1,1,0,39,vaikl8nl7hdr4y9jj4jyb9ey,1,60.7,63.1,2023-01-15T15:01:22.783Z,2023-01-15T15:01:24Z,3979884279,140,65.5,3979884285,213,1.3,3979884281,141,94.8,3979884277,56,Left,3979884283,212,22.1,,,,,,,,,,5nad4qgy5hlwfsm64mhkwadw5,Maite Oroz,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743609,18,1,1,0,41,vaikl8nl7hdr4y9jj4jyb9ey,1,65.7,92.6,2023-01-15T15:01:24.480Z,2023-01-15T15:01:26Z,3979884381,56,Back,3979884389,213,3.3,3979884383,140,43.3,3979884385,141,85.4,3979884387,212,24.0,,,,,,,,,,10w88nr6r2nzxank4gv5gokbt,S. Svava,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743637,19,1,1,0,42,vaikl8nl7hdr4y9jj4jyb9ey,1,43.3,85.4,2023-01-15T15:01:26.352Z,2023-01-15T15:01:31Z,3979884585,213,4.5,3979884579,140,39.8,3979884581,141,55.7,3979884577,56,Back,3979884583,212,20.5,,,,,,,,,,245eszqeqx2xeair8h5n4z8b9,Rocío Gálvez,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743681,20,1,1,0,48,vaikl8nl7hdr4y9jj4jyb9ey,1,43,43.6,2023-01-15T15:01:31.583Z,2023-01-15T15:01:36Z,3979884845,213,4.7,3979884841,141,19.7,3979884835,56,Back,3979884837,140,43.4,3979884843,212,16.3,,,,,,,,,,8tux0w5del0ggtozbon3x92lm,Kathellen,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743709,21,1,1,0,52,vaikl8nl7hdr4y9jj4jyb9ey,1,55.8,27.9,2023-01-15T15:01:36.191Z,2023-01-15T15:01:39Z,3979884981,140,52.8,3979884979,56,Center,3979884983,141,43.0,3979884987,213,1.9,3979884985,212,10.7,,,,,,,,,,59k0w00mz9tbm2mehy6ix113p,Ivana Andrés,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743741,22,1,1,0,55,vaikl8nl7hdr4y9jj4jyb9ey,1,53.6,48.2,2023-01-15T15:01:39.183Z,2023-01-15T15:01:42Z,3979885181,56,Center,3979885183,140,54.7,3979885189,213,1.5,3979885185,141,76.6,3979885187,212,19.3,,,,,,,,,,dlbgel5sg62n5z89ev1tkusph,Claudia Zornoza,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743769,23,1,1,0,58,vaikl8nl7hdr4y9jj4jyb9ey,1,55,76.1,2023-01-15T15:01:42.159Z,2023-01-15T15:01:45Z,3979885343,212,18.4,3979885345,213,0.1,3979885329,56,Left,3979885337,141,79.7,3979885333,140,72.4,,,,,,,,,,245eszqeqx2xeair8h5n4z8b9,Rocío Gálvez,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743775,24,61,1,1,0,vaikl8nl7hdr4y9jj4jyb9ey,0,72.4,79.7,2023-01-15T15:01:44.232Z,2023-01-15T15:01:47Z,3979885361,56,Left,,,,,,,,,,,,,,,,,,,,,,5nad4qgy5hlwfsm64mhkwadw5,Maite Oroz,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743791,5,12,1,1,2,djz9e25b9zuiu5rmv1zha3i6f,1,23,13.1,2023-01-15T15:01:46.226Z,2023-01-15T15:57:19Z,3979885449,56,Back,3979885451,140,23.2,3979885457,213,4.7,3979885453,141,0.0,3979885455,212,9.2,3979885475,167,,,,,,,,24bz5vlm76nrqcnblyxfkt8x6,Victoria Benitez,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743795,6,5,1,1,3,djz9e25b9zuiu5rmv1zha3i6f,0,20.5,-1.2,2023-01-15T15:01:46.463Z,2023-01-15T15:08:29Z,3979885471,56,Back,3979885473,347,,3979885487,233,25,,,,,,,,,,,,,,,,24bz5vlm76nrqcnblyxfkt8x6,Victoria Benitez,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743789,25,5,1,1,3,vaikl8nl7hdr4y9jj4jyb9ey,1,79.5,101.2,2023-01-15T15:01:46.463Z,2023-01-15T15:01:49Z,3979885479,233,6,3979885437,347,,3979885435,56,Left,,,,,,,,,,,,,,,,5nad4qgy5hlwfsm64mhkwadw5,Maite Oroz,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743851,26,1,1,1,9,vaikl8nl7hdr4y9jj4jyb9ey,1,82.1,100,2023-01-15T15:01:52.944Z,2023-01-15T15:01:58Z,3979885867,212,13.8,3979885859,107,,3979885865,141,91.5,3979885863,140,70.8,3979885869,213,3.7,3979885861,56,Left,,,,,,,10w88nr6r2nzxank4gv5gokbt,S. Svava,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743861,27,1,1,1,14,vaikl8nl7hdr4y9jj4jyb9ey,1,57.6,90.9,2023-01-15T15:01:57.935Z,2023-01-15T15:02:00Z,3979885937,140,45.7,3979885935,56,Back,3979885939,141,59.3,3979885941,212,24.9,3979885943,213,4.2,,,,,,,,,,5nad4qgy5hlwfsm64mhkwadw5,Maite Oroz,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743883,28,1,1,1,17,vaikl8nl7hdr4y9jj4jyb9ey,1,46.4,52.7,2023-01-15T15:02:00.623Z,2023-01-15T15:02:03Z,3979886045,140,57.1,3979886043,56,Center,3979886047,141,22.1,3979886049,212,23.6,3979886051,213,5.2,,,,,,,,,,8tux0w5del0ggtozbon3x92lm,Kathellen,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743923,29,1,1,1,19,vaikl8nl7hdr4y9jj4jyb9ey,1,58.7,16.8,2023-01-15T15:02:03.343Z,2023-01-15T15:02:08Z,3979886271,212,32.1,3979886273,213,6.2,3979886269,141,14.7,3979886267,140,89.2,3979886265,56,Right,3979886275,1,,,,,,,,59k0w00mz9tbm2mehy6ix113p,Ivana Andrés,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743933,30,1,1,1,24,vaikl8nl7hdr4y9jj4jyb9ey,1,90.5,13.7,2023-01-15T15:02:08.351Z,2023-01-15T15:02:10Z,3979886335,213,1.9,3979886329,140,88.0,3979886333,212,9.2,3979886327,56,Center,3979886331,141,26.7,,,,,,,,,,dgkmt7f5k9oqruxzsi3x9em6t,C. Weir,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743957,31,1,1,1,26,vaikl8nl7hdr4y9jj4jyb9ey,0,88.1,28,2023-01-15T15:02:10.063Z,2023-01-15T15:02:12Z,3979886433,212,7.9,3979886435,213,1.7,3979886429,140,86.9,3979886431,141,39.5,3979886427,56,Center,,,,,,,,,,4trjsb4uoasjj3jwr77rh0k16,Athenea del Castillo,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743955,7,49,1,1,28,djz9e25b9zuiu5rmv1zha3i6f,1,12.8,62.6,2023-01-15T15:02:11.626Z,2023-01-15T15:02:11Z,,,,,,,,,,,,,,,,,,,,,,,,,5kio1iodx7cq9i9p9kql1nuuh,Ángela Sosa,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743975,8,1,1,1,28,djz9e25b9zuiu5rmv1zha3i6f,1,12.8,62.9,2023-01-15T15:02:12.243Z,2023-01-15T15:05:37Z,3979886545,56,Back,3979886551,141,70.5,3979886549,140,9.3,3979886559,213,2.2,3979886555,212,6.3,,,,,,,,,,5kio1iodx7cq9i9p9kql1nuuh,Ángela Sosa,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743981,9,1,1,1,29,djz9e25b9zuiu5rmv1zha3i6f,0,9.3,70.5,2023-01-15T15:02:12.538Z,2023-01-15T15:05:38Z,3979886601,56,Back,3979886609,213,1.1,3979886605,141,90.3,3979886607,212,14.8,3979886603,140,15.2,,,,,,,,,,4ngzyppqh4iaqqy0vrynwz66s,Violeta García,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743973,32,49,1,1,30,vaikl8nl7hdr4y9jj4jyb9ey,1,87.2,15.5,2023-01-15T15:02:14.335Z,2023-01-15T15:02:14Z,,,,,,,,,,,,,,,,,,,,,,,,,dgkmt7f5k9oqruxzsi3x9em6t,C. Weir,,,,,,,,,,,,,,,,,,,,,,,,,,
2497744015,33,1,1,1,32,vaikl8nl7hdr4y9jj4jyb9ey,1,85,18.5,2023-01-15T15:02:15.887Z,2023-01-15T15:02:20Z,3979886801,141,26.8,3979886799,140,67.4,3979886807,213,2.8,3979886797,56,Center,3979886805,212,19.3,,,,,,,,,,dgkmt7f5k9oqruxzsi3x9em6t,C. Weir,,,,,,,,,,,,,,,,,,,,,,,,,,
2497744035,34,1,1,1,36,vaikl8nl7hdr4y9jj4jyb9ey,0,66.1,25,2023-01-15T15:02:20.015Z,2023-01-15T15:02:24Z,3979886941,213,5.6,3979886939,212,28.8,3979886935,140,87.2,3979886937,141,0.0,3979886933,56,Right,,,,,,,,,,59k0w00mz9tbm2mehy6ix113p,Ivana Andrés,,,,,,,,,,,,,,,,,,,,,,,,,,
2497744185,10,5,1,1,40,djz9e25b9zuiu5rmv1zha3i6f,1,14.1,101.5,2023-01-15T15:02:24.185Z,2023-01-15T15:08:30Z,3979887805,233,35,3979887783,56,Back,3979887785,347,,,,,,,,,,,,,,,,,4ngzyppqh4iaqqy0vrynwz66s,Violeta García,,,,,,,,,,,,,,,,,,,,,,,,,,
2497744037,35,5,1,1,40,vaikl8nl7hdr4y9jj4jyb9ey,0,85.9,-1.5,2023-01-15T15:02:24.185Z,2023-01-15T15:02:46Z,3979886945,56,Right,3979886947,347,,3979887825,233,10,,,,,,,,,,,,,,,,59k0w00mz9tbm2mehy6ix113p,Ivana Andrés,,,,,,,,,,,,,,,,,,,,,,,,,,
2497744207,11,1,1,2,1,djz9e25b9zuiu5rmv1zha3i6f,1,19.9,100,2023-01-15T15:02:44.770Z,2023-01-15T15:03:12Z,3979887887,107,,3979887897,213,5.3,3979887895,212,16.4,3979888589,189,,3979887891,140,28.4,3979887889,56,Back,3979887893,141,81.1,,,,ev8an510kk4nb6dabnsa962tx,Paula Perea,,,,,,,,,,,,,,,,,,,,,,,,,,
2497744221,12,1,1,2,4,djz9e25b9zuiu5rmv1zha3i6f,1,28.5,80.9,2023-01-15T15:02:48.170Z,2023-01-15T15:03:02Z,3979887981,141,40.4,3979887983,212,28.4,3979887977,56,Back,3979888655,189,,3979887979,140,35.0,3979887985,213,5.0,,,,,,,1nhju64j5loikn6t0j9m6au39,Leles,,,,,,,,,,,,,,,,,,,,,,,,,,
2497744263,13,1,1,2,6,djz9e25b9zuiu5rmv1zha3i6f,1,35.1,40.7,2023-01-15T15:02:49.642Z,2023-01-15T15:02:53Z,3979888191,140,55.4,3979888189,56,Right,3979888193,141,19.4,3979888195,212,25.8,3979888197,213,5.7,,,,,,,,,,1cfjcoum4z07r1p3uyy2p9x49,G. Asantewaa,,,,,,,,,,,,,,,,,,,,,,,,,,
2497744279,14,1,1,2,10,djz9e25b9zuiu5rmv1zha3i6f,0,64.6,27.7,2023-01-15T15:02:53.626Z,2023-01-15T15:02:55Z,3979888285,141,26.1,3979888283,140,92.4,3979888287,212,29.2,3979888289,213,6.2,3979888281,56,Center,,,,,,,,,,9742qffzdwiz9y3y7et40863t,Natalia Montilla,,,,,,,,,,,,,,,,,,,,,,,,,,
2497744269,36,49,1,2,11,vaikl8nl7hdr4y9jj4jyb9ey,1,11,74.5,2023-01-15T15:02:54.606Z,2023-01-15T15:02:54Z,,,,,,,,,,,,,,,,,,,,,,,,,245eszqeqx2xeair8h5n4z8b9,Rocío Gálvez,,,,,,,,,,,,,,,,,,,,,,,,,,
2497744291,37,12,1,2,11,vaikl8nl7hdr4y9jj4jyb9ey,1,8.5,68.2,2023-01-15T15:02:55.342Z,2023-01-15T15:02:57Z,3979888355,212,22.4,3979888353,141,100.0,3979888357,213,1.6,3979888397,167,,3979888351,140,7.8,3979888349,56,Back,,,,,,,245eszqeqx2xeair8h5n4z8b9,Rocío Gálvez,,,,,,,,,,,,,,,,,,,,,,,,,,
2497744303,15,5,1,2,13,djz9e25b9zuiu5rmv1zha3i6f,1,93,-1.4,2023-01-15T15:02:56.614Z,2023-01-15T15:08:30Z,3979888443,233,38,3979888435,56,Right,3979888437,347,,,,,,,,,,,,,,,,,9742qffzdwiz9y3y7et40863t,Natalia Montilla,,,,,,,,,,,,,,,,,,,,,,,,,,
2497744295,38,5,1,2,13,vaikl8nl7hdr4y9jj4jyb9ey,0,7,101.4,2023-01-15T15:02:56.614Z,2023-01-15T15:02:59Z,3979888477,233,15,3979888377,56,Back,3979888379,347,,,,,,,,,,,,,,,,,245eszqeqx2xeair8h5n4z8b9,Rocío Gálvez,,,,,,,,,,,,,,,,,,,,,,,,,,
2497744549,16,1,1,2,32,djz9e25b9zuiu5rmv1zha3i6f,1,89.6,0,2023-01-15T15:03:15.593Z,2023-01-15T15:03:21Z,3979889835,141,4.7,3979889837,212,8.5,3979889829,107,,3979889833,140,96.7,3979889839,213,0.5,3979889831,56,Right,,,,,,,9742qffzdwiz9y3y7et40863t,Natalia Montilla,,,,,,,,,,,,,,,,,,,,,,,,,,
2497744555,17,50,1,2,37,djz9e25b9zuiu5rmv1zha3i6f,1,94.8,1.5,2023-01-15T15:03:21.085Z,2023-01-15T15:03:23Z,3979889849,56,Right,3979889851,286,,3979889901,233,39,,,,,,,,,,,,,,,,cgunamq8fn3bre2d3cimwh6cq,P. Núñez,,,,,,,,,,,,,,,,,,,,,,,,,,
2497744551,39,7,1,2,37,vaikl8nl7hdr4y9jj4jyb9ey,1,5.2,98.5,2023-01-15T15:03:21.086Z,2023-01-15T15:03:23Z,3979889847,285,,3979889843,167,,3979889845,56,Back,3979889893,233,17,,,,,,,,,,,,,10w88nr6r2nzxank4gv5gokbt,S. Svava,,,,,,,,,,,,,,,,,,,,,,,,,,
2497744653,18,5,1,2,38,djz9e25b9zuiu5rmv1zha3i6f,1,94.8,-1.2,2023-01-15T15:03:21.982Z,2023-01-15T15:08:30Z,3979890329,56,Right,3979890345,233,40,3979890331,347,,,,,,,,,,,,,,,,,cgunamq8fn3bre2d3cimwh6cq,P. Núñez,,,,,,,,,,,,,,,,,,,,,,,,,,
2497744559,40,5,1,2,38,vaikl8nl7hdr4y9jj4jyb9ey,0,5.2,101.2,2023-01-15T15:03:21.982Z,2023-01-15T15:03:32Z,3979889855,347,,3979889853,56,Back,3979890387,233,18,,,,,,,,,,,,,,,,10w88nr6r2nzxank4gv5gokbt,S. Svava,,,,,,,,,,,,,,,,,,,,,,,,,,
2497744719,19,1,1,2,48,djz9e25b9zuiu5rmv1zha3i6f,1,94,0,2023-01-15T15:03:31.722Z,2023-01-15T15:03:37Z,3979890701,140,89.4,3979890699,56,Right,3979890703,141,14.4,3979890697,107,,3979890705,212,11.6,3979890707,213,2.0,,,,,,,9742qffzdwiz9y3y7et40863t,Natalia Montilla,,,,,,,,,,,,,,,,,,,,,,,,,,
2497744739,20,1,1,2,53,djz9e25b9zuiu5rmv1zha3i6f,0,98.1,10.7,2023-01-15T15:03:37.081Z,2023-01-15T15:03:38Z,3979890809,140,97.1,3979890813,141,15.6,3979890803,155,,3979890819,212,3.5,3979890861,233,41,3979890801,2,,3979890867,286,,3979890823,213,1.9,1cfjcoum4z07r1p3uyy2p9x49,G. Asantewaa,3979890859,236,3979890805,56,Right,,,,,,,,,,,,,,,,,,,,,
