id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2514930793,4,43,1,0,21,b9ecgxh884j2ugjrxwvpym192,1,0,0,2023-03-04T11:01:27.580Z,2023-03-04T11:01:41Z,4070312323,56,Center,4070312601,144,61,,,,,,,,,,,,,,,,,,,awauajziz79qwnek1scaxcmad,S. da Eira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930863,8,1,1,0,35,1azk57wev30h044w949j46kpu,1,13.9,45.5,2023-03-04T11:01:41.830Z,2023-03-04T11:01:43Z,4070312677,212,20.6,4070312675,141,73.4,4070312671,56,Back,4070312673,140,21.5,4070312669,241,,4070312681,213,1.2,4070312667,5,,,,,6nx2fpsn1549tqew7098csqg9,Sun Quiñones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930885,9,1,1,0,37,1azk57wev30h044w949j46kpu,1,21.5,73.4,2023-03-04T11:01:43.461Z,2023-03-04T11:01:48Z,4070312817,140,14.3,4070312821,212,19.5,4070312819,141,47.0,4070312823,213,4.3,4070312815,56,Back,,,,,,,,,,f2wy9lcvcg47ufsat67mdf0et,Marta Unzué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930893,10,1,1,0,42,1azk57wev30h044w949j46kpu,0,11.8,41.3,2023-03-04T11:01:48.646Z,2023-03-04T11:01:49Z,4070312853,141,50.1,4070312851,140,41.2,4070312855,212,31.4,4070312859,1,,4070312847,157,,4070312857,213,0.2,4070312849,56,Back,,,,6nx2fpsn1549tqew7098csqg9,Sun Quiñones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930901,5,1,1,0,44,b9ecgxh884j2ugjrxwvpym192,1,55.9,59.7,2023-03-04T11:01:50.860Z,2023-03-04T11:01:52Z,4070312909,212,12.4,4070312905,140,63.3,4070312907,141,45.5,4070312911,213,5.4,4070312901,3,,4070312903,56,Center,,,,,,,470znxtt0sf52aav1o8s1hkdm,Sandra Castelló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930905,6,49,1,0,45,b9ecgxh884j2ugjrxwvpym192,1,61.3,46.7,2023-03-04T11:01:51.885Z,2023-03-04T11:01:52Z,,,,,,,,,,,,,,,,,,,,,,,,,7dqs072o1rqh9l8rv9nus4qtx,T. Simonsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930909,7,3,1,0,46,b9ecgxh884j2ugjrxwvpym192,0,62.1,39.8,2023-03-04T11:01:52.684Z,2023-03-04T11:01:56Z,4070312943,286,,4070312939,56,Center,4070313031,233,11,,,,,,,,,,,,,,,,7dqs072o1rqh9l8rv9nus4qtx,T. Simonsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930925,11,7,1,0,46,1azk57wev30h044w949j46kpu,1,37.9,60.2,2023-03-04T11:01:52.685Z,2023-03-04T11:01:56Z,4070313019,56,Back,4070313021,285,,4070313027,233,7,,,,,,,,,,,,,,,,f0m3ncnvrrrj3wcgzrz7ja44q,Nerea Nevado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930917,8,45,1,0,48,b9ecgxh884j2ugjrxwvpym192,0,61,41.2,2023-03-04T11:01:54.365Z,2023-03-04T11:01:57Z,4070313059,233,13,4070312971,56,Center,4070312973,285,,,,,,,,,,,,,,,,,7dqs072o1rqh9l8rv9nus4qtx,T. Simonsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930931,13,3,1,0,48,1azk57wev30h044w949j46kpu,1,39,58.8,2023-03-04T11:01:54.365Z,2023-03-04T11:01:57Z,4070313041,286,,4070313039,56,Back,4070313055,233,8,,,,,,,,,,,,,,,,eb1k3xi1oy9c5xkc30fgodg4,Clara Pinedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930929,12,49,1,0,49,1azk57wev30h044w949j46kpu,1,39.2,64.7,2023-03-04T11:01:55.461Z,2023-03-04T11:01:55Z,,,,,,,,,,,,,,,,,,,,,,,,,eb1k3xi1oy9c5xkc30fgodg4,Clara Pinedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930939,14,1,1,0,50,1azk57wev30h044w949j46kpu,1,38.2,66.2,2023-03-04T11:01:56.870Z,2023-03-04T11:01:58Z,4070313093,140,23.2,4070313091,56,Back,4070313095,141,72.3,4070313099,213,2.9,4070313097,212,16.3,,,,,,,,,,eb1k3xi1oy9c5xkc30fgodg4,Clara Pinedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930957,15,1,1,0,52,1azk57wev30h044w949j46kpu,0,23.2,72.3,2023-03-04T11:01:58.325Z,2023-03-04T11:02:00Z,4070313197,213,6.2,4070313199,1,,4070313195,212,30.7,4070313191,140,52.4,4070313189,56,Center,4070313193,141,70.2,4070313187,157,,,,,f2wy9lcvcg47ufsat67mdf0et,Marta Unzué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930965,9,1,1,0,54,b9ecgxh884j2ugjrxwvpym192,1,47.4,34.9,2023-03-04T11:02:00.380Z,2023-03-04T11:02:02Z,4070313229,56,Center,4070313237,213,5.7,4070313227,3,,4070313235,212,5.7,4070313231,140,51.9,4070313233,141,30.1,,,,,,,6ufssidf65zo52ru9q644hq3u,LaiaBallesté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930967,10,49,1,0,56,b9ecgxh884j2ugjrxwvpym192,1,53.9,33.3,2023-03-04T11:02:02.139Z,2023-03-04T11:02:02Z,,,,,,,,,,,,,,,,,,,,,,,,,8hmntjeezmx4ch9yeti4x9y50,Paula Romero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930983,11,1,1,0,56,b9ecgxh884j2ugjrxwvpym192,1,55.7,35.7,2023-03-04T11:02:02.828Z,2023-03-04T11:02:04Z,4070313325,213,0.3,4070313317,56,Center,4070313319,140,68.2,4070313321,141,40.9,4070313315,155,,4070313323,212,13.6,,,,,,,8hmntjeezmx4ch9yeti4x9y50,Paula Romero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514930997,12,1,1,0,58,b9ecgxh884j2ugjrxwvpym192,1,67.2,41.5,2023-03-04T11:02:04.685Z,2023-03-04T11:02:07Z,4070313393,3,,4070313395,56,Center,4070313403,213,5.2,4070313399,141,33.1,4070313401,212,6.4,4070313397,140,69.9,,,,,,,8fswi9ldpiuemw0y922tf7dud,P. Balcerzak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931005,13,1,1,1,0,b9ecgxh884j2ugjrxwvpym192,1,68.8,32.7,2023-03-04T11:02:06.958Z,2023-03-04T11:02:08Z,4070313449,141,33.0,4070313451,212,9.8,4070313445,56,Center,4070313453,213,0.0,4070313447,140,78.1,,,,,,,,,,470znxtt0sf52aav1o8s1hkdm,Sandra Castelló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931013,14,1,1,1,2,b9ecgxh884j2ugjrxwvpym192,1,79.6,30.3,2023-03-04T11:02:08.428Z,2023-03-04T11:02:11Z,4070313503,140,85.6,4070313501,56,Right,4070313507,212,16.0,4070313505,141,8.6,4070313509,213,5.1,,,,,,,,,,awauajziz79qwnek1scaxcmad,S. da Eira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931019,15,1,1,1,4,b9ecgxh884j2ugjrxwvpym192,0,96.8,17.3,2023-03-04T11:02:10.844Z,2023-03-04T11:02:23Z,4070313531,56,Left,4070313533,140,98.6,4070313807,1,,4070313537,212,57.6,4070313529,155,,4070313527,2,,4070313539,213,1.5,4070313535,141,100.0,7dqs072o1rqh9l8rv9nus4qtx,T. Simonsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931075,16,5,1,1,12,b9ecgxh884j2ugjrxwvpym192,0,98.2,101.8,2023-03-04T11:02:18.998Z,2023-03-04T11:54:36Z,4070313821,56,Left,4070313925,233,16,4070313823,347,,,,,,,,,,,,,,,,,7dqs072o1rqh9l8rv9nus4qtx,T. Simonsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931095,16,5,1,1,12,1azk57wev30h044w949j46kpu,1,1.8,-1.8,2023-03-04T11:02:18.998Z,2023-03-04T11:02:27Z,4070313915,233,16,4070313903,347,,4070313901,56,Back,,,,,,,,,,,,,,,,f0m3ncnvrrrj3wcgzrz7ja44q,Nerea Nevado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931117,17,1,1,1,21,1azk57wev30h044w949j46kpu,1,2.3,0,2023-03-04T11:02:27.349Z,2023-03-04T11:02:32Z,4070314003,141,4.6,4070314001,140,34.2,4070313997,107,,4070313999,56,Back,4070314007,213,0.1,4070314005,212,33.8,4070314009,1,,,,,3nmk8e4y0vu8ov2whpdannnkk,Naia Landaluze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931121,18,1,1,1,25,1azk57wev30h044w949j46kpu,0,34.2,4.6,2023-03-04T11:02:31.989Z,2023-03-04T11:02:33Z,4070314025,140,29.4,4070314031,213,2.4,4070314029,212,7.2,4070314023,56,Back,4070314027,141,12.1,,,,,,,,,,88cflr7hnw1o3ej6y3wsj5p0p,Ane Azkona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931127,17,49,1,1,27,b9ecgxh884j2ugjrxwvpym192,1,67.6,75.9,2023-03-04T11:02:33.899Z,2023-03-04T11:02:34Z,,,,,,,,,,,,,,,,,,,,,,,,,8fswi9ldpiuemw0y922tf7dud,P. Balcerzak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931133,18,1,1,1,28,b9ecgxh884j2ugjrxwvpym192,1,67.6,75.4,2023-03-04T11:02:34.363Z,2023-03-04T11:02:35Z,4070314085,213,1.0,4070314077,56,Left,4070314079,140,73.0,4070314083,212,10.9,4070314081,141,89.1,,,,,,,,,,8fswi9ldpiuemw0y922tf7dud,P. Balcerzak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931135,19,1,1,1,28,b9ecgxh884j2ugjrxwvpym192,0,72.7,88.9,2023-03-04T11:02:35.099Z,2023-03-04T11:02:36Z,4070314089,56,Center,4070314093,141,76.7,4070314091,140,77.3,4070314097,213,5.2,4070314095,212,9.6,,,,,,,,,,eitv6t0xve84dgqlxutee0ys4,Bárbara López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931143,19,49,1,1,31,1azk57wev30h044w949j46kpu,1,25.1,13.3,2023-03-04T11:02:37.285Z,2023-03-04T11:02:37Z,,,,,,,,,,,,,,,,,,,,,,,,,3nmk8e4y0vu8ov2whpdannnkk,Naia Landaluze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931149,20,1,1,1,32,1azk57wev30h044w949j46kpu,0,24.4,15.7,2023-03-04T11:02:38.533Z,2023-03-04T11:02:39Z,4070314167,56,Center,4070314171,141,27.7,4070314165,157,,4070314169,140,56.8,4070314173,212,35.0,4070314175,213,0.2,4070314177,1,,,,,3nmk8e4y0vu8ov2whpdannnkk,Naia Landaluze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931157,20,49,1,1,34,b9ecgxh884j2ugjrxwvpym192,1,42,64.5,2023-03-04T11:02:40.380Z,2023-03-04T11:02:40Z,,,,,,,,,,,,,,,,,,,,,,,,,6ufssidf65zo52ru9q644hq3u,LaiaBallesté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931187,21,1,1,1,34,b9ecgxh884j2ugjrxwvpym192,1,41.4,65.1,2023-03-04T11:02:40.780Z,2023-03-04T11:02:49Z,4070314329,140,15.2,4070314327,56,Back,4070314335,213,3.5,4070314331,141,47.8,4070314333,212,29.9,,,,,,,,,,6ufssidf65zo52ru9q644hq3u,LaiaBallesté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931201,22,1,1,1,42,b9ecgxh884j2ugjrxwvpym192,1,14.7,50,2023-03-04T11:02:48.956Z,2023-03-04T11:02:52Z,4070314409,56,Center,4070314411,140,64.4,4070314407,155,,4070314413,141,42.1,4070314419,1,,4070314415,212,52.5,4070314417,213,6.2,,,,16sc4hlsrq610rhfzi6m2squh,Z. Meršnik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931205,23,1,1,1,46,b9ecgxh884j2ugjrxwvpym192,1,64.8,43.3,2023-03-04T11:02:52.267Z,2023-03-04T11:02:53Z,4070314425,168,,4070314429,140,64.8,4070314435,213,0,4070314427,56,Center,4070314433,212,0,4070314431,141,43.3,,,,,,,awauajziz79qwnek1scaxcmad,S. da Eira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931443,26,3,1,1,46,b9ecgxh884j2ugjrxwvpym192,1,88.4,65.1,2023-03-04T11:02:52.730Z,2023-03-04T11:08:18Z,4070315647,286,,4070315645,56,Center,4070322451,233,68,,,,,,,,,,,,,,,,5wubhrq7ftqx0ryckwbrdxc5x,A. Edgren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514932719,68,45,1,1,46,1azk57wev30h044w949j46kpu,0,11.6,34.9,2023-03-04T11:02:52.730Z,2023-03-04T11:08:27Z,4070322467,233,26,4070322043,285,,4070322041,56,Back,,,,,,,,,,,,,,,,3nmk8e4y0vu8ov2whpdannnkk,Naia Landaluze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931237,24,1,1,1,48,b9ecgxh884j2ugjrxwvpym192,1,82,53.9,2023-03-04T11:02:55.036Z,2023-03-04T11:03:43Z,4070314593,155,,4070314603,213,1.1,4070314599,141,68.5,4070315467,210,16,4070314601,212,11.3,4070314595,56,Center,4070315469,154,,4070314597,140,87.1,eitv6t0xve84dgqlxutee0ys4,Bárbara López,1,4070315471,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931241,25,16,1,1,53,b9ecgxh884j2ugjrxwvpym192,1,91.3,62.9,2023-03-04T11:02:59.179Z,2023-03-04T11:03:44Z,4070315527,102,46.4,4070314617,56,Center,4070315519,29,,4070315003,375,01:52.292,4070314995,20,,4070314999,374,2023-03-04 11:02:58.419,4070314615,17,,4070315535,231,56.5,5wubhrq7ftqx0ryckwbrdxc5x,A. Edgren,,4070315529,103,6.3,4070315521,154,4070315523,55,24,4070315517,80,4070314613,22,4070315531,214,4070315533,230,96.2,,,,,,,,,,,,,,
2514931433,21,1,1,2,37,1azk57wev30h044w949j46kpu,1,49.8,50,2023-03-04T11:03:43.732Z,2023-03-04T11:03:47Z,4070315605,56,Back,4070315609,141,49.7,4070315613,213,3.2,4070315607,140,28.4,4070315611,212,22.5,4070315615,279,G,,,,,,,bows51pg0h4042274cvzwtmcq,Paula Arana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931453,22,1,1,2,41,1azk57wev30h044w949j46kpu,1,28.4,49.7,2023-03-04T11:03:47.349Z,2023-03-04T11:03:50Z,4070315705,212,59.7,4070315697,157,,4070315709,1,,4070315707,213,0.4,4070315699,56,Left,4070315703,141,80.9,4070315701,140,81.5,,,,69hzl68t1f58dxs461jizyjje,Itxaso Uriarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931463,23,1,1,2,44,1azk57wev30h044w949j46kpu,1,81.5,80.9,2023-03-04T11:03:50.484Z,2023-03-04T11:03:51Z,4070315743,141,70.7,4070315747,213,4.2,4070315741,140,78.2,4070315739,56,Center,4070315745,212,7.8,,,,,,,,,,ak7rstu77leltpt7c104ca4q2,Peke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931471,24,1,1,2,45,1azk57wev30h044w949j46kpu,1,78.2,70.7,2023-03-04T11:03:51.492Z,2023-03-04T11:03:52Z,4070315767,56,Left,4070315771,141,79.7,4070315773,212,13.0,4070315769,140,89.1,4070315775,213,0.5,,,,,,,,,,8xr1zxvovvxckh586adphufvt,Yulema Corres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931479,25,1,1,2,46,1azk57wev30h044w949j46kpu,0,89.1,79.7,2023-03-04T11:03:52.868Z,2023-03-04T11:03:54Z,4070315819,140,90.4,4070315821,141,63.8,4070315823,212,10.9,4070315817,56,Center,4070315825,213,4.8,,,,,,,,,,ak7rstu77leltpt7c104ca4q2,Peke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931501,27,12,1,2,49,b9ecgxh884j2ugjrxwvpym192,1,8.4,37.7,2023-03-04T11:03:55.581Z,2023-03-04T11:03:58Z,4070315927,141,20.1,4070315925,140,0.0,4070315949,167,,4070315929,212,15.2,4070315923,56,Back,4070315931,213,4.0,,,,,,,8hmntjeezmx4ch9yeti4x9y50,Paula Romero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931505,26,43,1,2,49,1azk57wev30h044w949j46kpu,1,0,0,2023-03-04T11:03:55.781Z,2023-03-04T11:56:02Z,4070315937,56,Center,4070315939,73,0,4070401343,144,6,,,,,,,,,,,,,,,,ak7rstu77leltpt7c104ca4q2,Peke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931507,28,43,1,2,51,b9ecgxh884j2ugjrxwvpym192,1,0,0,2023-03-04T11:03:57.957Z,2023-03-04T11:04:25Z,4070315943,73,0,4070316319,233,26,4070315941,56,Back,4070316611,144,6,,,,,,,,,,,,,8hmntjeezmx4ch9yeti4x9y50,Paula Romero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931573,27,5,1,3,2,1azk57wev30h044w949j46kpu,1,94.3,101.5,2023-03-04T11:04:08.916Z,2023-03-04T11:04:12Z,4070316335,233,29,4070316333,347,,4070316331,56,Left,,,,,,,,,,,,,,,,f0m3ncnvrrrj3wcgzrz7ja44q,Nerea Nevado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931571,29,5,1,3,2,b9ecgxh884j2ugjrxwvpym192,0,5.7,-1.5,2023-03-04T11:04:08.916Z,2023-03-04T11:54:37Z,4070316341,233,27,4070316327,56,Back,4070316329,347,,,,,,,,,,,,,,,,,8hmntjeezmx4ch9yeti4x9y50,Paula Romero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931605,28,1,1,3,5,1azk57wev30h044w949j46kpu,1,95.2,100,2023-03-04T11:04:12.020Z,2023-03-04T11:04:19Z,4070316481,1,,4070316479,213,4.7,4070316467,107,,4070316475,141,67.2,4070316471,56,Center,4070316477,212,23.3,4070316473,140,94.7,,,,f0m3ncnvrrrj3wcgzrz7ja44q,Nerea Nevado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514931609,29,61,1,3,6,1azk57wev30h044w949j46kpu,0,94.7,67.2,2023-03-04T11:04:13.028Z,2023-03-04T11:56:15Z,4070316497,56,Center,,,,,,,,,,,,,,,,,,,,,,8xr1zxvovvxckh586adphufvt,Yulema Corres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
