id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,qualifier/12/value,qualifier/14/value,assist,qualifier/13/value
2489178707,13,1,1,1,2,9ns699xp353c84r1g6epazycl,1,5.6,61.7,2022-12-04T17:01:35.220Z,2022-12-04T17:01:40Z,3934554077,213,5.0,3934554069,56,Back,3934554075,212,15.9,3934554071,140,10.0,3934554073,141,39.4,,,,,,,,,,d1iaa35qeww3me6qcyisvlsh6,María López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178713,14,1,1,1,8,9ns699xp353c84r1g6epazycl,1,15.7,38.9,2022-12-04T17:01:40.788Z,2022-12-04T17:01:45Z,3934554111,56,Back,3934554119,213,0.6,3934554113,140,23.4,3934554115,141,47.5,3934554117,212,10.0,,,,,,,,,,zuec10u63781iv5rojm31yzu,María Méndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178723,15,1,1,1,12,9ns699xp353c84r1g6epazycl,1,24.9,36.8,2022-12-04T17:01:45.141Z,2022-12-04T17:01:46Z,3934554161,56,Back,3934554163,140,22.4,3934554169,213,4.4,3934554167,212,7.8,3934554165,141,26.0,,,,,,,,,,4by0xo4xinb0m8nziofw0g3bp,Leire Baños,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178729,16,1,1,1,13,9ns699xp353c84r1g6epazycl,1,22.4,26,2022-12-04T17:01:46.436Z,2022-12-04T17:01:49Z,3934554209,212,11.3,3934554207,141,31.6,3934554203,56,Back,3934554205,140,32.5,3934554211,213,0.3,,,,,,,,,,zuec10u63781iv5rojm31yzu,María Méndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178745,17,1,1,1,17,9ns699xp353c84r1g6epazycl,1,38,29,2022-12-04T17:01:49.652Z,2022-12-04T17:01:58Z,3934554317,212,53.3,3934554309,155,,3934554315,141,58.7,3934554319,213,0.4,3934554313,140,85.0,3934554321,1,,3934554311,56,Center,,,,4by0xo4xinb0m8nziofw0g3bp,Leire Baños,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178765,18,1,1,1,25,9ns699xp353c84r1g6epazycl,1,85.2,43.7,2022-12-04T17:01:58.277Z,2022-12-04T17:02:11Z,3934554397,56,Center,3934554505,210,15,3934554507,154,,3934554405,213,3.9,3934554399,140,81.1,3934554401,141,37.6,3934554403,212,6.0,,,,27oce8op8b7a6fmyp8utoz5gq,M. Ramírez,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178767,19,15,1,1,27,9ns699xp353c84r1g6epazycl,1,78.8,36.8,2022-12-04T17:02:00.421Z,2022-12-04T17:02:11Z,3934554413,18,,3934554411,22,,3934554415,56,Center,3934554515,55,18,3934554509,78,,3934554511,29,,3934554529,147,40.6,3934554513,154,,25u358p365rnbnt0cptnyt3h1,Tatiana Pinto,,3934554531,230,98.4,3934554477,82,3934554527,146,85.3,3934554533,231,48.7,3934554525,328,3934554523,215,3934554473,20,3934554521,103,19,3934554485,233,11,3934554519,102,49.3,,,,,
2489178763,11,10,1,1,27,djz9e25b9zuiu5rmv1zha3i6f,1,11.1,51.6,2022-12-04T17:02:00.521Z,2022-12-04T17:02:06Z,3934554395,56,Back,3934554489,233,19,3934554393,94,,,,,,,,,,,,,,,,,4su6y0sg2fw9vvi8y5cjazk0k,Lidia Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178769,12,6,1,1,29,djz9e25b9zuiu5rmv1zha3i6f,0,16.2,57.4,2022-12-04T17:02:02.389Z,2022-12-04T17:02:05Z,3934554469,233,20,3934554429,56,Back,3934554431,73,,,,,,,,,,,,,,,,,4su6y0sg2fw9vvi8y5cjazk0k,Lidia Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178777,20,6,1,1,29,9ns699xp353c84r1g6epazycl,1,83.8,42.6,2022-12-04T17:02:02.389Z,2022-12-04T17:05:20Z,3934554449,56,Center,3934554453,233,12,3934554451,75,,,,,,,,,,,,,,,,,25u358p365rnbnt0cptnyt3h1,Tatiana Pinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178815,21,1,1,1,51,9ns699xp353c84r1g6epazycl,1,99.5,0.5,2022-12-04T17:02:23.641Z,2022-12-04T17:02:36Z,3934554683,56,Center,3934554689,212,18.6,3934554691,213,1.7,3934554679,6,,3934554685,140,96.6,3934554687,141,27.5,,,,,,,1z29kbiufzx7u32mh1fvy1rs9,Paula Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178823,22,1,1,1,52,9ns699xp353c84r1g6epazycl,1,96.6,27.5,2022-12-04T17:02:25.574Z,2022-12-04T17:02:27Z,3934554715,140,94.3,3934554721,213,4.5,3934554713,56,Right,3934554719,212,10.9,3934554717,141,11.9,,,,,,,,,,25u358p365rnbnt0cptnyt3h1,Tatiana Pinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178831,23,1,1,1,54,9ns699xp353c84r1g6epazycl,1,94.3,11.9,2022-12-04T17:02:27.111Z,2022-12-04T17:03:37Z,3934554773,213,1.8,3934554765,56,Center,3934554771,212,20.0,3934555841,154,,3934554769,141,40.7,3934555839,210,15,3934554767,140,90.5,,,,1z29kbiufzx7u32mh1fvy1rs9,Paula Fernández,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178881,24,15,1,1,56,9ns699xp353c84r1g6epazycl,1,91,43.9,2022-12-04T17:02:28.840Z,2022-12-04T17:03:34Z,3934555221,20,,3934554999,56,Center,3934555225,82,,3934555857,55,23,3934555855,154,,3934555869,147,45.5,3934555227,233,14,3934555871,230,99.3,eu6nudazhvggen5s7abc46bpx,Alba Redondo,,3934555851,78,,3934555873,231,3934555853,29,,3934555849,25,,3934555867,146,3934554997,17,3934555863,103,3934555861,102,49.0,3934555865,328,,,,,48.2,93.8,19,,
2489178889,14,10,1,1,56,djz9e25b9zuiu5rmv1zha3i6f,1,10.4,50.7,2022-12-04T17:02:28.940Z,2022-12-04T17:03:02Z,3934555045,56,Back,3934555231,233,24,3934555043,94,,,,,,,,,,,,,,,,,2dsgmfs9crnzz3425si3m9uj9,Dorine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178895,25,2,1,2,0,9ns699xp353c84r1g6epazycl,1,88.4,41.6,2022-12-04T17:02:33.124Z,2022-12-04T17:03:06Z,3934555065,56,Center,3934555073,297,,3934555067,140,91.3,3934555069,141,40.1,3934555063,7,27oce8op8b7a6fmyp8utoz5gq,,,,,,,,,,eu6nudazhvggen5s7abc46bpx,Alba Redondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178853,13,55,1,2,0,djz9e25b9zuiu5rmv1zha3i6f,1,11.4,53.7,2022-12-04T17:02:33.125Z,2022-12-04T17:05:22Z,,,,,,,,,,,,,,,,,,,,,,,,,2dsgmfs9crnzz3425si3m9uj9,Dorine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178937,15,1,1,2,28,djz9e25b9zuiu5rmv1zha3i6f,1,9.6,50.9,2022-12-04T17:03:01.366Z,2022-12-04T17:03:05Z,3934555301,141,80.8,3934555291,241,,3934555289,157,,3934555303,212,49.8,3934555293,56,Left,3934555305,213,0.4,3934555307,1,,3934555297,140,52.9,hf67c0ip1chljjy1udsjpt2i,Malena Mieres,,3934555287,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178939,16,44,1,2,33,djz9e25b9zuiu5rmv1zha3i6f,1,50.6,84.8,2022-12-04T17:03:05.645Z,2022-12-04T17:03:18Z,3934555311,56,Left,3934555347,233,26,3934555313,286,,,,,,,,,,,,,,,,,ev8an510kk4nb6dabnsa962tx,Paula Perea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178941,26,44,1,2,33,9ns699xp353c84r1g6epazycl,0,49.4,15.2,2022-12-04T17:03:05.646Z,2022-12-04T17:03:07Z,3934555355,285,,3934555351,233,16,3934555315,56,Back,,,,,,,,,,,,,,,,25u358p365rnbnt0cptnyt3h1,Tatiana Pinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178945,17,1,1,2,33,djz9e25b9zuiu5rmv1zha3i6f,0,53.3,81.2,2022-12-04T17:03:05.796Z,2022-12-04T17:03:19Z,3934555343,212,16.2,3934555341,141,81.2,3934555337,56,Left,3934555339,140,68.7,3934555333,3,,3934555335,168,,3934555345,213,0.0,,,,ev8an510kk4nb6dabnsa962tx,Paula Perea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178947,27,49,1,2,35,9ns699xp353c84r1g6epazycl,1,30.1,10.9,2022-12-04T17:03:07.977Z,2022-12-04T17:03:08Z,,,,,,,,,,,,,,,,,,,,,,,,,1ite4628zwl6kanllmr7qb1zp,V. Calligaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178957,28,1,1,2,35,9ns699xp353c84r1g6epazycl,1,28.8,11.8,2022-12-04T17:03:08.585Z,2022-12-04T17:03:09Z,3934555387,140,21.4,3934555385,56,Back,3934555393,213,2.1,3934555389,141,30.2,3934555391,212,14.7,,,,,,,,,,1ite4628zwl6kanllmr7qb1zp,V. Calligaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178967,29,1,1,2,37,9ns699xp353c84r1g6epazycl,1,21.4,30.2,2022-12-04T17:03:09.753Z,2022-12-04T17:03:20Z,3934555427,213,0.2,3934555419,56,Back,3934555421,140,35.1,3934555423,141,35.3,3934555425,212,14.8,,,,,,,,,,d1iaa35qeww3me6qcyisvlsh6,María López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178977,30,1,1,2,39,9ns699xp353c84r1g6epazycl,0,34.3,34.1,2022-12-04T17:03:12.313Z,2022-12-04T17:03:15Z,3934555491,213,4.9,3934555483,56,Back,3934555489,212,24.6,3934555487,141,0.0,3934555485,140,38.7,,,,,,,,,,44j03m9xpbhjuxmqz6vge9y0a,Érika González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178979,18,5,1,2,40,djz9e25b9zuiu5rmv1zha3i6f,1,56.9,101.1,2022-12-04T17:03:13.093Z,2022-12-04T17:03:16Z,3934555495,347,,3934555493,56,Left,3934555501,233,31,,,,,,,,,,,,,,,,9742qffzdwiz9y3y7et40863t,Natalia Montilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489178981,31,5,1,2,40,9ns699xp353c84r1g6epazycl,0,43.1,-1.1,2022-12-04T17:03:13.093Z,2022-12-04T17:05:19Z,3934555505,233,18,3934555497,56,Back,3934555499,347,,,,,,,,,,,,,,,,,44j03m9xpbhjuxmqz6vge9y0a,Érika González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489179313,19,27,1,4,26,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2022-12-04T17:04:59.317Z,2022-12-04T17:05:18Z,3934557535,233,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489179359,32,27,1,4,26,9ns699xp353c84r1g6epazycl,1,0,0,2022-12-04T17:04:59.317Z,2022-12-04T17:06:14Z,3934557539,233,19,3934557511,53,d1iaa35qeww3me6qcyisvlsh6,3934557509,41,Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489179481,33,18,1,5,36,9ns699xp353c84r1g6epazycl,1,0,0,2022-12-04T17:06:09.434Z,2022-12-04T17:06:10Z,3934558123,41,,3934558149,55,34,3934558127,59,1,3934558125,44,Goalkeeper,,,,,,,,,,,,,d1iaa35qeww3me6qcyisvlsh6,María López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489179483,34,19,1,5,36,9ns699xp353c84r1g6epazycl,1,0,0,2022-12-04T17:06:09.435Z,2022-12-04T17:06:12Z,3934558213,293,0,3934558145,55,33,3934558211,292,0,3934558141,44,Goalkeeper,3934558137,145,1,3934558139,59,36,3934558131,41,,,,,6uttq0cpsnicezpcqy36p7r4k,Tarazona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489179539,20,28,1,5,47,djz9e25b9zuiu5rmv1zha3i6f,1,0,0,2022-12-04T17:06:19.897Z,2022-12-04T17:15:34Z,3934567257,233,35,3934558445,55,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489179519,35,28,1,5,47,9ns699xp353c84r1g6epazycl,1,0,0,2022-12-04T17:06:19.897Z,2022-12-04T17:15:35Z,3934567273,233,20,3934558339,55,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489179583,21,1,1,6,1,djz9e25b9zuiu5rmv1zha3i6f,0,60.6,100,2022-12-04T17:06:34.237Z,2022-12-04T17:06:40Z,3934558683,212,36.5,3934558687,1,,3934558681,141,80.8,3934558675,107,,3934558677,56,Left,3934558679,140,92.8,3934558685,213,5.9,,,,ev8an510kk4nb6dabnsa962tx,Paula Perea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489179579,36,49,1,6,6,9ns699xp353c84r1g6epazycl,1,8,20.8,2022-12-04T17:06:38.864Z,2022-12-04T17:06:38Z,,,,,,,,,,,,,,,,,,,,,,,,,zuec10u63781iv5rojm31yzu,María Méndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489179597,37,1,1,6,7,9ns699xp353c84r1g6epazycl,1,2.8,14.3,2022-12-04T17:06:40.192Z,2022-12-04T17:06:43Z,3934558745,140,8.7,3934558751,213,5.4,3934558743,56,Back,3934558747,141,3.4,3934558749,212,9.7,,,,,,,,,,zuec10u63781iv5rojm31yzu,María Méndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489179605,38,1,1,6,10,9ns699xp353c84r1g6epazycl,0,10,1.6,2022-12-04T17:06:42.960Z,2022-12-04T17:06:45Z,3934558797,56,Back,3934558801,141,4.0,3934558799,140,26.0,3934558807,1,,3934558803,212,16.9,3934558805,213,0.1,3934558795,157,,,,,1ite4628zwl6kanllmr7qb1zp,V. Calligaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
