id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/15/value
2487943205,7,1,1,0,18,7mk4va7b2p6tnv2xjxcgjy8h6,0,96.5,7.1,2022-11-27T11:02:48.719Z,2022-11-27T11:02:51Z,3927985753,155,,3927985761,140,97.1,3927985749,2,,3927985769,213,1.2,3927985811,286,,3927985765,141,9.4,3927985807,233,4,3927985805,236,,1dfho5ul0u10h5m7cmtmj5x7u,Cristina Auñón,3927985757,56,Right,3927985767,212,1.7,,,,,,,,,,,,,,,,,,,,,,,,,
2487943213,4,12,1,0,18,djz9e25b9zuiu5rmv1zha3i6f,1,7,90.4,2022-11-27T11:02:48.819Z,2022-11-27T11:49:50Z,3927985803,56,Back,3927985801,185,,3927985813,233,7,,,,,,,,,,,,,,,,4ngzyppqh4iaqqy0vrynwz66s,Violeta García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943235,5,6,1,0,20,djz9e25b9zuiu5rmv1zha3i6f,0,5,90.5,2022-11-27T11:02:50.419Z,2022-11-27T11:49:53Z,3927985987,233,8,3927985929,56,Back,3927985931,73,,,,,,,,,,,,,,,,,4ngzyppqh4iaqqy0vrynwz66s,Violeta García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943215,8,6,1,0,20,7mk4va7b2p6tnv2xjxcgjy8h6,1,95,9.5,2022-11-27T11:02:50.419Z,2022-11-27T11:43:19Z,3927985981,233,5,3927985817,56,Right,3927985819,75,,,,,,,,,,,,,,,,,1dfho5ul0u10h5m7cmtmj5x7u,Cristina Auñón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943321,9,1,1,0,54,7mk4va7b2p6tnv2xjxcgjy8h6,1,99.5,0.5,2022-11-27T11:03:24.542Z,2022-11-27T11:03:37Z,3927986409,223,,3927986649,210,13,3927986651,154,,3927986403,2,,3927986417,212,33.8,3927986405,6,,3927986421,1,,3927986419,213,1.8,du0eybpvf5vcvtuj074x74jdg,Ane Miren,3927986411,56,Center,3927986413,140,92.1,1,3927986407,155,3927986415,141,48.8,,,,,,,,,,,,,,,,,,,
2487943333,10,44,1,0,57,7mk4va7b2p6tnv2xjxcgjy8h6,1,92.4,43.6,2022-11-27T11:03:27.760Z,2022-11-27T11:03:31Z,3927986485,56,Center,3927986487,286,,3927986493,233,6,,,,,,,,,,,,,,,,8vwiezkux2gxs99ziy7x69fu2,Elba Vergés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943331,6,44,1,0,57,djz9e25b9zuiu5rmv1zha3i6f,0,7.6,56.4,2022-11-27T11:03:27.761Z,2022-11-27T11:51:46Z,3927986481,56,Back,3927986483,285,,3927986503,233,10,,,,,,,,,,,,,,,,et6offb5y91ch6mlol3dwcd0p,R. Babajide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943339,12,13,1,0,59,7mk4va7b2p6tnv2xjxcgjy8h6,1,91.8,48.8,2022-11-27T11:03:29.599Z,2022-11-27T11:03:37Z,3927986663,102,66.9,3927986547,25,,3927986669,231,48.0,3927986665,103,16.7,3927986657,154,,3927986509,17,,3927986653,73,,3927986659,55,9,8vwiezkux2gxs99ziy7x69fu2,Elba Vergés,3927986511,56,Center,3927986553,328,,,3927986549,15,3927986655,29,,3927986667,230,98.5,,,,,,,,,,,,,,,,
2487943337,7,5,1,1,0,djz9e25b9zuiu5rmv1zha3i6f,1,-1,37.6,2022-11-27T11:03:30.495Z,2022-11-27T11:58:29Z,3927986497,56,Back,3927986499,346,,3927986519,233,11,,,,,,,,,,,,,,,,1nhju64j5loikn6t0j9m6au39,Leles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943335,11,5,1,1,0,7mk4va7b2p6tnv2xjxcgjy8h6,0,101,62.4,2022-11-27T11:03:30.495Z,2022-11-27T11:03:32Z,3927986489,56,Center,3927986543,233,7,3927986491,346,,,,,,,,,,,,,,,,,8vwiezkux2gxs99ziy7x69fu2,Elba Vergés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943425,8,1,1,1,25,djz9e25b9zuiu5rmv1zha3i6f,0,5.1,50.2,2022-11-27T11:03:55.404Z,2022-11-27T11:04:01Z,3927987079,1,,3927987069,56,Left,3927987073,141,85.5,3927987071,140,74.0,3927987077,213,0.3,3927987081,74,,3927987075,212,76.2,3927987067,124,,hf67c0ip1chljjy1udsjpt2i,Malena Mieres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943431,13,49,1,1,32,7mk4va7b2p6tnv2xjxcgjy8h6,1,16.8,9.8,2022-11-27T11:04:02.575Z,2022-11-27T11:04:02Z,,,,,,,,,,,,,,,,,,,,,,,,,d2at1haixfnekibqj89y4nxed,O. Ohale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943441,14,1,1,1,33,7mk4va7b2p6tnv2xjxcgjy8h6,0,16.5,7.9,2022-11-27T11:04:03.359Z,2022-11-27T11:04:09Z,3927987155,213,6.0,3927987147,56,Back,3927987153,212,12.5,3927987151,141,2.9,3927987149,140,28.0,3927987305,155,,,,,,,,d2at1haixfnekibqj89y4nxed,O. Ohale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943451,9,61,1,1,34,djz9e25b9zuiu5rmv1zha3i6f,0,75.1,97.2,2022-11-27T11:04:04.371Z,2022-11-27T11:48:41Z,3927987187,56,Left,,,,,,,,,,,,,,,,,,,,,,4ngzyppqh4iaqqy0vrynwz66s,Violeta García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943457,10,5,1,1,34,djz9e25b9zuiu5rmv1zha3i6f,0,76,101,2022-11-27T11:04:05.038Z,2022-11-27T11:58:29Z,3927987323,233,15,3927987227,347,,3927987225,56,Left,,,,,,,,,,,,,,,,4ngzyppqh4iaqqy0vrynwz66s,Violeta García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943469,15,5,1,1,34,7mk4va7b2p6tnv2xjxcgjy8h6,1,24,-1,2022-11-27T11:04:05.038Z,2022-11-27T11:04:09Z,3927987281,56,Back,3927987283,347,,3927987307,233,10,,,,,,,,,,,,,,,,d2at1haixfnekibqj89y4nxed,O. Ohale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943487,16,1,1,1,43,7mk4va7b2p6tnv2xjxcgjy8h6,1,26.2,0,2022-11-27T11:04:14.016Z,2022-11-27T11:04:15Z,3927987447,212,11.7,3927987449,213,1.5,3927987439,107,,3927987441,56,Back,3927987443,140,26.7,3927987445,141,15.8,,,,,,,1dfho5ul0u10h5m7cmtmj5x7u,Cristina Auñón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943491,17,1,1,1,45,7mk4va7b2p6tnv2xjxcgjy8h6,0,26.7,15.9,2022-11-27T11:04:15.342Z,2022-11-27T11:04:16Z,3927987473,212,18.1,3927987471,141,5.5,3927987469,140,42.6,3927987465,155,,3927987467,56,Back,3927987475,213,5.9,,,,,,,6lruud03b1so5uyjduuthtuj9,Miriam Diéguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943493,11,1,1,1,46,djz9e25b9zuiu5rmv1zha3i6f,0,53.9,92.9,2022-11-27T11:04:16.491Z,2022-11-27T11:04:17Z,3927987485,212,21.3,3927987479,56,Left,3927987477,3,,3927987483,141,100.0,3927987481,140,73.5,3927987487,213,0.3,,,,,,,4ngzyppqh4iaqqy0vrynwz66s,Violeta García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943495,12,5,1,1,47,djz9e25b9zuiu5rmv1zha3i6f,0,70.6,101,2022-11-27T11:04:17.597Z,2022-11-27T11:04:24Z,3927987533,233,18,3927987489,56,Left,3927987491,347,,,,,,,,,,,,,,,,,4ngzyppqh4iaqqy0vrynwz66s,Violeta García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943499,18,5,1,1,47,7mk4va7b2p6tnv2xjxcgjy8h6,1,29.4,-1,2022-11-27T11:04:17.597Z,2022-11-27T11:58:30Z,3927987529,233,12,3927987521,56,Back,3927987523,347,,,,,,,,,,,,,,,,,6lruud03b1so5uyjduuthtuj9,Miriam Diéguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943507,19,1,1,2,1,7mk4va7b2p6tnv2xjxcgjy8h6,1,29.2,0,2022-11-27T11:04:31.630Z,2022-11-27T11:04:33Z,3927987617,56,Right,3927987623,212,27.7,3927987621,141,4.0,3927987615,107,,3927987619,140,55.4,3927987627,1,,3927987625,213,0.1,,,,1dfho5ul0u10h5m7cmtmj5x7u,Cristina Auñón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943511,20,1,1,2,2,7mk4va7b2p6tnv2xjxcgjy8h6,0,55,4,2022-11-27T11:04:32.359Z,2022-11-27T11:05:41Z,3927987637,140,73.7,3927987641,212,20.5,3927987643,213,0.3,3927987635,56,Right,3927987639,141,12.5,3927987631,3,,3927987633,168,,,,,2j37sn6v53zhgz2hf1q33gzdg,Sanadri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943509,13,49,1,2,3,djz9e25b9zuiu5rmv1zha3i6f,1,29.4,82.2,2022-11-27T11:04:33.483Z,2022-11-27T11:04:33Z,,,,,,,,,,,,,,,,,,,,,,,,,1nhju64j5loikn6t0j9m6au39,Leles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943521,14,1,1,2,3,djz9e25b9zuiu5rmv1zha3i6f,1,29.5,82.4,2022-11-27T11:04:33.932Z,2022-11-27T11:04:36Z,3927987715,212,13.5,3927987703,56,Back,3927987705,140,23.1,3927987719,213,4.2,3927987709,141,65.2,,,,,,,,,,1nhju64j5loikn6t0j9m6au39,Leles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943575,15,1,1,2,6,djz9e25b9zuiu5rmv1zha3i6f,1,23,64.9,2022-11-27T11:04:36.203Z,2022-11-27T11:52:43Z,3927988007,141,4.3,3927988005,140,62.9,3927987999,155,,3927988009,212,58.8,3927988001,196,,3927988003,56,Right,3927988013,1,,3927988011,213,5.5,hf67c0ip1chljjy1udsjpt2i,Malena Mieres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943567,21,45,1,2,13,7mk4va7b2p6tnv2xjxcgjy8h6,0,29.4,80.8,2022-11-27T11:04:43.193Z,2022-11-27T11:49:00Z,3928051253,233,412,3927987973,56,Back,3927987975,285,,,,,,,,,,,,,,,,,cfmly5uuomypp4t0pibgtfazu,Carla Morera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487955133,412,3,1,2,13,djz9e25b9zuiu5rmv1zha3i6f,1,70.6,19.2,2022-11-27T11:04:43.193Z,2022-11-27T11:52:50Z,3928051247,233,21,3928051241,286,,3928051239,56,Right,,,,,,,,,,,,,,,,9742qffzdwiz9y3y7et40863t,Natalia Montilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943595,16,3,1,2,16,djz9e25b9zuiu5rmv1zha3i6f,0,68.8,19.3,2022-11-27T11:04:46.539Z,2022-11-27T11:52:53Z,3927988125,211,,3927988113,286,,3927988111,56,Right,,,,,,,,,,,,,,,,9742qffzdwiz9y3y7et40863t,Natalia Montilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943627,22,12,1,2,20,7mk4va7b2p6tnv2xjxcgjy8h6,1,12.8,48.5,2022-11-27T11:04:50.574Z,2022-11-27T11:04:56Z,3927988285,212,11.4,3927988279,56,Back,3927988283,141,31.8,3927988281,140,12.7,3927988287,213,4.7,,,,,,,,,,8vwiezkux2gxs99ziy7x69fu2,Elba Vergés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943623,17,1,1,2,23,djz9e25b9zuiu5rmv1zha3i6f,0,90.2,72.6,2022-11-27T11:04:53.403Z,2022-11-27T11:04:55Z,3927988265,56,Center,3927988271,212,18.4,3927988273,213,4.1,3927988267,140,79.7,3927988269,141,51.0,,,,,,,,,,et6offb5y91ch6mlol3dwcd0p,R. Babajide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943631,23,8,1,2,25,7mk4va7b2p6tnv2xjxcgjy8h6,1,18.5,51.3,2022-11-27T11:04:55.940Z,2022-11-27T11:04:56Z,3927988301,56,Back,,,,,,,,,,,,,,,,,,,,,,6lruud03b1so5uyjduuthtuj9,Miriam Diéguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943643,24,49,1,2,28,7mk4va7b2p6tnv2xjxcgjy8h6,1,29.2,55.7,2022-11-27T11:04:58.311Z,2022-11-27T11:04:58Z,,,,,,,,,,,,,,,,,,,,,,,,,61ho0mi13ewpotj5udjt7mz2s,Sara Carrillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943655,25,1,1,2,28,7mk4va7b2p6tnv2xjxcgjy8h6,0,29.2,55.7,2022-11-27T11:04:58.462Z,2022-11-27T11:05:00Z,3927988401,140,52.2,3927988403,141,59.1,3927988405,212,24.3,3927988407,213,0.1,3927988399,56,Center,,,,,,,,,,61ho0mi13ewpotj5udjt7mz2s,Sara Carrillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943657,18,49,1,2,29,djz9e25b9zuiu5rmv1zha3i6f,1,45.7,36,2022-11-27T11:05:00.187Z,2022-11-27T11:53:18Z,,,,,,,,,,,,,,,,,,,,,,,,,5xlqh4i9zb5daj4khs1mbbxpm,Nuria Ligero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943673,19,1,1,2,32,djz9e25b9zuiu5rmv1zha3i6f,1,44.8,36,2022-11-27T11:05:02.491Z,2022-11-27T11:53:21Z,3927988497,56,Back,3927988503,212,15.8,3927988501,141,58.4,3927988499,140,40.7,3927988505,213,1.8,,,,,,,,,,5xlqh4i9zb5daj4khs1mbbxpm,Nuria Ligero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943697,20,1,1,2,33,djz9e25b9zuiu5rmv1zha3i6f,1,40.7,58.4,2022-11-27T11:05:03.723Z,2022-11-27T11:05:09Z,3927988585,56,Back,3927988589,141,49.9,3927988591,212,26.5,3927988593,213,3.4,3927988587,140,16.1,,,,,,,,,,ev8an510kk4nb6dabnsa962tx,Paula Perea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943729,21,1,1,2,39,djz9e25b9zuiu5rmv1zha3i6f,1,17.9,50.4,2022-11-27T11:05:09.387Z,2022-11-27T11:53:26Z,3927988775,140,52.9,3927988783,1,,3927988777,141,3.3,3927988781,213,5.6,3927988771,155,,3927988773,56,Right,3927988779,212,48.7,,,,hf67c0ip1chljjy1udsjpt2i,Malena Mieres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943749,22,1,1,2,42,djz9e25b9zuiu5rmv1zha3i6f,1,53.2,2.8,2022-11-27T11:05:13.147Z,2022-11-27T11:53:58Z,3927988875,140,42.1,3927988881,213,2.9,3927988877,141,7.9,3927988873,56,Back,3927988879,212,12.2,,,,,,,,,,9742qffzdwiz9y3y7et40863t,Natalia Montilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487956279,414,1,1,2,44,djz9e25b9zuiu5rmv1zha3i6f,0,52.4,6.8,2022-11-27T11:05:14.193Z,2022-11-27T11:54:07Z,3928057147,140,63.9,3928057153,213,6.2,3928057151,212,12.1,3928057149,141,6.0,3928057145,56,Right,,,,,,,,,,5xlqh4i9zb5daj4khs1mbbxpm,Nuria Ligero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943731,26,49,1,2,47,7mk4va7b2p6tnv2xjxcgjy8h6,1,37.4,95.4,2022-11-27T11:05:17.214Z,2022-11-27T11:05:17Z,,,,,,,,,,,,,,,,,,,,,,,,,6lruud03b1so5uyjduuthtuj9,Miriam Diéguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943743,27,1,1,2,48,7mk4va7b2p6tnv2xjxcgjy8h6,0,34.3,97.1,2022-11-27T11:05:18.397Z,2022-11-27T11:05:19Z,3927988863,213,6.2,3927988861,212,13.1,3927988855,56,Back,3927988857,140,46.7,3927988859,141,94.8,,,,,,,,,,6lruud03b1so5uyjduuthtuj9,Miriam Diéguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943755,23,49,1,2,49,djz9e25b9zuiu5rmv1zha3i6f,1,48.4,5.9,2022-11-27T11:05:20.091Z,2022-11-27T11:54:18Z,,,,,,,,,,,,,,,,,,,,,,,,,5xlqh4i9zb5daj4khs1mbbxpm,Nuria Ligero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943803,24,1,1,2,50,djz9e25b9zuiu5rmv1zha3i6f,1,53.3,5.7,2022-11-27T11:05:20.699Z,2022-11-27T11:54:20Z,3927989179,140,55.4,3927989185,213,1.2,3927989183,212,6.5,3927989177,56,Right,3927989181,141,14.7,,,,,,,,,,5xlqh4i9zb5daj4khs1mbbxpm,Nuria Ligero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943811,25,61,1,2,56,djz9e25b9zuiu5rmv1zha3i6f,0,57.3,32.5,2022-11-27T11:05:26.283Z,2022-11-27T11:54:32Z,3927989231,56,Center,,,,,,,,,,,,,,,,,,,,,,1cfjcoum4z07r1p3uyy2p9x49,G. Asantewaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943815,28,49,1,2,58,7mk4va7b2p6tnv2xjxcgjy8h6,1,33.9,59.9,2022-11-27T11:05:28.206Z,2022-11-27T11:05:28Z,,,,,,,,,,,,,,,,,,,,,,,,,6lruud03b1so5uyjduuthtuj9,Miriam Diéguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943821,29,1,1,2,58,7mk4va7b2p6tnv2xjxcgjy8h6,1,34.4,56.7,2022-11-27T11:05:28.509Z,2022-11-27T11:05:29Z,3927989279,140,34.3,3927989285,213,4.7,3927989277,56,Back,3927989283,212,6.9,3927989281,141,46.6,,,,,,,,,,6lruud03b1so5uyjduuthtuj9,Miriam Diéguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943845,30,1,1,2,59,7mk4va7b2p6tnv2xjxcgjy8h6,1,34.3,46.6,2022-11-27T11:05:29.214Z,2022-11-27T11:05:31Z,3927989369,140,27.5,3927989375,213,2.6,3927989373,212,8.4,3927989371,141,53.0,3927989367,56,Back,,,,,,,,,,a0g0ldiol9fzw09gk5i9e15w4,Miku Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487943851,31,1,1,3,0,7mk4va7b2p6tnv2xjxcgjy8h6,0,27.5,53,2022-11-27T11:05:30.247Z,2022-11-27T11:05:33Z,3927989407,56,Center,3927989417,1,,3927989409,140,62.8,3927989415,213,5.9,3927989413,212,39.4,3927989411,141,33.4,3927989405,155,,,,,q3xvi1pbz5hmr6zw6np6v4yd,C. Sáez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
