id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/16/value,qualifier/14/value,assist
2540449657,45,45,1,0,13,83d6z6wvkzs3dx9oy3mftixow,0,42.5,93.6,2023-04-29T05:03:55.443Z,2023-04-29T05:09:13Z,4233556615,233,38,4233556573,56,Back,4233556575,285,,,,,,,,,,,,,,,,,3mqvpqnv1yixpclmxsvqfoxec,T. Hiraoka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448517,6,1,1,0,14,bbt5nqwufsne7r0zfa6pvpmfa,0,54.2,2.8,2023-04-29T05:03:56.709Z,2023-04-29T05:09:19Z,4233550027,213,0.4,4233550021,141,29.1,4233550023,212,46.9,4233550015,155,,4233550017,56,Center,4233550019,140,95.5,4233550031,1,,,,,22imd9on624739u8fym5n640l,Y. Osako,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448525,5,49,1,0,18,83d6z6wvkzs3dx9oy3mftixow,1,5.6,74.8,2023-04-29T05:04:00.555Z,2023-04-29T05:10:03Z,,,,,,,,,,,,,,,,,,,,,,,,,5ai6500e7oug5v5hybnkfzh7t,Song Bum-Keun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540450083,46,27,1,0,20,bbt5nqwufsne7r0zfa6pvpmfa,1,0,0,2023-04-29T05:04:02.634Z,2023-04-29T05:11:04Z,4233558813,41,Injury,4233558815,53,3bl0mhzv53z17qkbezviavg0l,4233558989,233,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540450213,65,27,1,0,20,83d6z6wvkzs3dx9oy3mftixow,1,0,0,2023-04-29T05:04:02.634Z,2023-04-29T05:11:04Z,4233558993,233,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540450089,47,28,1,0,35,bbt5nqwufsne7r0zfa6pvpmfa,1,0,0,2023-04-29T05:04:17.333Z,2023-05-03T13:41:10Z,4233558041,55,46,4233559173,233,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540450215,66,28,1,0,35,83d6z6wvkzs3dx9oy3mftixow,1,0,0,2023-04-29T05:04:17.333Z,2023-05-03T13:41:03Z,4233559181,233,47,4233558645,55,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448599,6,68,1,0,36,83d6z6wvkzs3dx9oy3mftixow,1,0,0,2023-04-29T05:04:19.156Z,2023-04-29T05:04:19Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448603,7,68,1,0,37,bbt5nqwufsne7r0zfa6pvpmfa,0,0,0,2023-04-29T05:04:19.622Z,2023-04-29T05:04:20Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448647,7,52,1,0,48,83d6z6wvkzs3dx9oy3mftixow,1,12.8,52.8,2023-04-29T05:04:31.229Z,2023-05-03T13:41:21Z,4246952743,376,,,,,,,,,,,,,,,,,,,,,,,5ai6500e7oug5v5hybnkfzh7t,Song Bum-Keun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448659,8,1,1,0,49,83d6z6wvkzs3dx9oy3mftixow,1,12.5,50.1,2023-04-29T05:04:31.999Z,2023-04-29T05:04:35Z,4233550659,140,12.1,4233550661,141,21.9,4233550663,212,19.2,4233550657,56,Back,4233550665,213,4.7,4233550655,123,,,,,,,,5ai6500e7oug5v5hybnkfzh7t,Song Bum-Keun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448669,9,1,1,0,53,83d6z6wvkzs3dx9oy3mftixow,0,17,16.7,2023-04-29T05:04:35.706Z,2023-04-29T05:11:41Z,4233550723,140,86.7,4233550721,56,Center,4233550727,212,73.9,4233550725,141,32.2,4233550719,155,,4233550729,213,0.1,4233550731,1,,,,,8alc0ohhvwzzpv25jxnicfmqd,K. Oiwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448683,8,52,1,0,58,bbt5nqwufsne7r0zfa6pvpmfa,1,11.7,64.9,2023-04-29T05:04:40.564Z,2023-05-03T13:41:36Z,4246953231,378,,,,,,,,,,,,,,,,,,,,,,,71nmf5ieohq83rj1ah9j94a21,D. Maekawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448699,9,1,1,1,5,bbt5nqwufsne7r0zfa6pvpmfa,1,11.1,57.9,2023-04-29T05:04:47.315Z,2023-04-29T05:12:04Z,4233550889,140,13.0,4233550893,212,9.6,4233550891,141,71.7,4233550887,56,Back,4233550885,123,,4233550895,213,1.4,,,,,,,71nmf5ieohq83rj1ah9j94a21,D. Maekawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448715,10,1,1,1,7,bbt5nqwufsne7r0zfa6pvpmfa,1,11.9,67.3,2023-04-29T05:04:49.397Z,2023-04-29T05:12:07Z,4233550939,140,15.2,4233550945,213,4.8,4233550941,141,14.4,4233550943,212,36.1,4233550947,1,,4233550937,56,Back,,,,,,,8ms57twka5pm6och4fndo2r8q,Matheus Thuler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448727,11,1,1,1,10,bbt5nqwufsne7r0zfa6pvpmfa,0,13.9,4.9,2023-04-29T05:04:52.996Z,2023-04-29T05:12:14Z,4233550997,155,,4233550999,56,Back,4233551005,212,27.0,4233551003,141,0.0,4233551001,140,39.2,4233551007,213,6.1,,,,,,,f2mpyljll9npb71owp1tlzy7d,T. Yamakawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448733,10,5,1,1,12,83d6z6wvkzs3dx9oy3mftixow,1,59,101.4,2023-04-29T05:04:55.192Z,2023-04-29T05:07:21Z,4233551033,233,12,4233551025,56,Left,4233551027,347,,,,,,,,,,,,,,,,,8alc0ohhvwzzpv25jxnicfmqd,K. Oiwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448729,12,5,1,1,12,bbt5nqwufsne7r0zfa6pvpmfa,0,41,-1.4,2023-04-29T05:04:55.192Z,2023-04-29T05:04:58Z,4233551009,56,Back,4233551051,233,10,4233551011,347,,,,,,,,,,,,,,,,,f2mpyljll9npb71owp1tlzy7d,T. Yamakawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448767,11,1,1,1,23,83d6z6wvkzs3dx9oy3mftixow,1,63.9,100,2023-04-29T05:05:05.498Z,2023-04-29T05:12:58Z,4233551189,56,Left,4233551195,212,11.0,4233551197,213,3.6,4233551193,141,94.5,4233551191,140,54.5,4233551187,107,,,,,,,,9w0brh9x5ez6yoiinh50g6y5m,T. Hata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448771,12,1,1,1,25,83d6z6wvkzs3dx9oy3mftixow,1,54.5,94.5,2023-04-29T05:05:07.254Z,2023-04-29T05:05:09Z,4233551235,212,18.4,4233551237,213,3.7,4233551233,141,79.3,4233551231,140,40.0,4233551229,56,Back,,,,,,,,,,etsgyfejyka71co7e2xeq6r55,D. Sugioka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448779,13,1,1,1,27,83d6z6wvkzs3dx9oy3mftixow,1,40.2,79.3,2023-04-29T05:05:09.337Z,2023-04-29T05:05:11Z,4233551259,140,21.8,4233551265,213,4.0,4233551257,56,Back,4233551263,212,28.9,4233551261,141,47.6,,,,,,,,,,8alc0ohhvwzzpv25jxnicfmqd,K. Oiwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448783,14,1,1,1,29,83d6z6wvkzs3dx9oy3mftixow,1,21.8,46.4,2023-04-29T05:05:11.610Z,2023-04-29T05:06:33Z,4233551289,140,24.9,4233551293,212,11.9,4233551291,141,29.5,4233551287,56,Back,4233551295,213,5.0,,,,,,,,,,5ai6500e7oug5v5hybnkfzh7t,Song Bum-Keun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448787,15,1,1,1,31,83d6z6wvkzs3dx9oy3mftixow,1,24.4,24.3,2023-04-29T05:05:14.081Z,2023-04-29T05:13:15Z,4233551319,140,29.2,4233551325,212,14.3,4233551317,56,Back,4233551327,213,5.1,4233551321,141,4.6,,,,,,,,,,1acnyk8g437ayer0m4e1331pm,K. Tachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448799,16,1,1,1,34,83d6z6wvkzs3dx9oy3mftixow,1,30.8,6.8,2023-04-29T05:05:16.586Z,2023-04-29T05:13:22Z,4233551427,213,0.2,4233551423,141,17.6,4233551421,140,65.1,4233551425,212,36.8,4233551417,155,,4233551419,56,Right,4233551429,1,,,,,3tx6890pt4hfaz45foj1nhey1,H. Ishihara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448803,17,61,1,1,39,83d6z6wvkzs3dx9oy3mftixow,0,66.6,14.4,2023-04-29T05:05:21.393Z,2023-04-29T05:05:21Z,4233551437,56,Right,,,,,,,,,,,,,,,,,,,,,,c7ukr0stxvyflr3xfod5zkpp0,A. Suzuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448813,13,49,1,1,40,bbt5nqwufsne7r0zfa6pvpmfa,1,8.4,89.9,2023-04-29T05:05:22.899Z,2023-04-29T05:05:23Z,,,,,,,,,,,,,,,,,,,,,,,,,f2mpyljll9npb71owp1tlzy7d,T. Yamakawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448825,14,50,1,1,44,bbt5nqwufsne7r0zfa6pvpmfa,1,3.6,96,2023-04-29T05:05:26.836Z,2023-04-29T05:05:30Z,4233551517,56,Back,4233551519,285,,4233551595,233,18,,,,,,,,,,,,,,,,f2mpyljll9npb71owp1tlzy7d,T. Yamakawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448831,18,7,1,1,44,83d6z6wvkzs3dx9oy3mftixow,1,96.4,4,2023-04-29T05:05:26.837Z,2023-05-03T13:42:28Z,4246955201,384,,4233551581,286,,4233551583,233,14,4233551579,56,Right,,,,,,,,,,,,,c7ukr0stxvyflr3xfod5zkpp0,A. Suzuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448833,19,49,1,1,47,83d6z6wvkzs3dx9oy3mftixow,1,94,3.7,2023-04-29T05:05:29.537Z,2023-04-29T05:05:29Z,,,,,,,,,,,,,,,,,,,,,,,,,2lwcix6j3nphfos61pidoxuj9,N. Yamada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448837,20,61,1,1,47,83d6z6wvkzs3dx9oy3mftixow,0,94,3.7,2023-04-29T05:05:29.938Z,2023-04-29T05:05:30Z,4233551603,56,Right,,,,,,,,,,,,,,,,,,,,,,2lwcix6j3nphfos61pidoxuj9,N. Yamada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448843,15,61,1,1,48,bbt5nqwufsne7r0zfa6pvpmfa,0,6.6,87.7,2023-04-29T05:05:31.013Z,2023-04-29T05:05:31Z,4233551617,56,Back,,,,,,,,,,,,,,,,,,,,,,3eyq5jpfdsk0zp1hhmono2wgl,L. Osaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448851,16,6,1,1,49,bbt5nqwufsne7r0zfa6pvpmfa,0,6.3,92,2023-04-29T05:05:31.749Z,2023-05-03T13:56:10Z,4233551643,73,,4233551641,56,Back,4233551661,233,21,,,,,,,,,,,,,,,,3eyq5jpfdsk0zp1hhmono2wgl,L. Osaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540448855,21,6,1,1,49,83d6z6wvkzs3dx9oy3mftixow,1,93.7,8,2023-04-29T05:05:31.749Z,2023-04-29T05:07:29Z,4233551649,56,Right,4233551657,233,16,4233551651,75,,,,,,,,,,,,,,,,,2lwcix6j3nphfos61pidoxuj9,N. Yamada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540449033,22,1,1,2,26,83d6z6wvkzs3dx9oy3mftixow,0,99.5,0.5,2023-04-29T05:06:09.189Z,2023-05-03T13:42:46Z,4233552363,212,37.8,4233552351,6,,4233552357,56,Center,4233552355,223,,4233552359,140,96.2,4233552349,2,,4233552353,155,,4233552361,141,55.8,etsgyfejyka71co7e2xeq6r55,D. Sugioka,4233552367,1,4233552365,213,1.7,4246955789,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540449041,17,44,1,2,30,bbt5nqwufsne7r0zfa6pvpmfa,1,5.8,44.6,2023-04-29T05:06:12.964Z,2023-04-29T05:06:14Z,4233552403,233,23,4233552393,56,Back,4233552395,285,,,,,,,,,,,,,,,,,8ms57twka5pm6och4fndo2r8q,Matheus Thuler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540449037,23,44,1,2,30,83d6z6wvkzs3dx9oy3mftixow,0,94.2,55.4,2023-04-29T05:06:12.965Z,2023-04-29T05:06:14Z,4233552409,233,17,4233552383,56,Center,4233552385,286,,,,,,,,,,,,,,,,,8alc0ohhvwzzpv25jxnicfmqd,K. Oiwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540449061,18,12,1,2,31,bbt5nqwufsne7r0zfa6pvpmfa,1,7.2,45.1,2023-04-29T05:06:13.619Z,2023-04-29T05:14:26Z,4233552449,141,0.0,4233552445,56,Back,4233552521,15,,4233552447,140,6.3,4233552475,167,,4233552451,212,31.6,4233552453,213,4.7,,,,8ms57twka5pm6och4fndo2r8q,Matheus Thuler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540449063,19,5,1,2,32,bbt5nqwufsne7r0zfa6pvpmfa,0,6.7,-1.2,2023-04-29T05:06:15.016Z,2023-04-29T05:07:22Z,4233552457,347,,4233552455,56,Back,4233552491,233,24,,,,,,,,,,,,,,,,8ms57twka5pm6och4fndo2r8q,Matheus Thuler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540449057,24,5,1,2,32,83d6z6wvkzs3dx9oy3mftixow,1,93.3,101.2,2023-04-29T05:06:15.016Z,2023-04-29T05:06:16Z,4233552487,233,19,4233552443,347,,4233552441,56,Left,,,,,,,,,,,,,,,,8alc0ohhvwzzpv25jxnicfmqd,K. Oiwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540449169,25,1,1,2,52,83d6z6wvkzs3dx9oy3mftixow,1,92.1,100,2023-04-29T05:06:35.174Z,2023-04-29T05:06:42Z,4233552989,213,4.8,4233552985,141,74.4,4233552987,212,18.7,4233552979,107,,4233552983,140,92.9,4233552981,56,Center,,,,,,,9w0brh9x5ez6yoiinh50g6y5m,T. Hata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540449173,26,61,1,2,53,83d6z6wvkzs3dx9oy3mftixow,1,92.9,74.4,2023-04-29T05:06:35.934Z,2023-04-29T05:15:05Z,4233553001,56,Center,,,,,,,,,,,,,,,,,,,,,,4o71xxq6qdkhug58a073fxega,S. Machino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540449185,28,1,1,2,55,83d6z6wvkzs3dx9oy3mftixow,1,88.1,70.6,2023-04-29T05:06:37.351Z,2023-04-29T05:15:47Z,4233553065,56,Center,4233553067,140,93.7,4233553071,212,6.2,4233553073,213,0.3,4233553069,141,73.3,,,,,,,,,,c7ukr0stxvyflr3xfod5zkpp0,A. Suzuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540449189,29,1,1,2,59,83d6z6wvkzs3dx9oy3mftixow,0,93.7,73.3,2023-04-29T05:06:41.651Z,2023-04-29T05:15:58Z,4233553097,212,1.4,4233553093,140,93.6,4233553091,56,Center,4233553095,141,71.2,4233553099,213,4.6,4233553111,286,,4233553105,236,,4233553107,233,20,3mqvpqnv1yixpclmxsvqfoxec,T. Hiraoka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540449165,20,74,1,2,59,bbt5nqwufsne7r0zfa6pvpmfa,1,8.7,28.5,2023-04-29T05:06:41.652Z,2023-04-29T05:06:48Z,4233552943,56,Back,4233553117,233,29,4233552949,285,,,,,,,,,,,,,,,,,3eyq5jpfdsk0zp1hhmono2wgl,L. Osaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540449179,27,43,1,3,0,83d6z6wvkzs3dx9oy3mftixow,1,0,0,2023-04-29T05:06:43.035Z,2023-04-29T05:06:58Z,4233553283,144,49,,,,,,,,,,,,,,,,,,,,,,c7ukr0stxvyflr3xfod5zkpp0,A. Suzuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540449187,21,12,1,3,2,bbt5nqwufsne7r0zfa6pvpmfa,1,6,31.2,2023-04-29T05:06:45.155Z,2023-04-29T05:16:31Z,4233565995,233,30,4233565991,397,,4233553087,212,1.1,4233553081,56,Back,4233553083,140,7.0,4233553085,141,31.8,4233553089,213,0.4,,,,3eyq5jpfdsk0zp1hhmono2wgl,L. Osaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540449197,30,74,1,3,2,83d6z6wvkzs3dx9oy3mftixow,1,93.6,72.6,2023-04-29T05:06:45.156Z,2023-04-29T05:16:32Z,4233565983,397,,4233565985,285,,4233553149,56,Center,4233566055,233,21,,,,,,,,,,,,,c7ukr0stxvyflr3xfod5zkpp0,A. Suzuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540449191,22,5,1,3,4,bbt5nqwufsne7r0zfa6pvpmfa,1,-1.5,29.9,2023-04-29T05:06:46.892Z,2023-04-29T05:07:22Z,4233553103,346,,4233553101,56,Back,4233553651,233,31,,,,,,,,,,,,,,,,bntvupdmnof1hzo1tfa00yfv9,G. Sakai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540449207,31,5,1,3,4,83d6z6wvkzs3dx9oy3mftixow,0,101.5,70.1,2023-04-29T05:06:46.892Z,2023-04-29T05:07:19Z,4233553657,233,22,4233553239,346,,4233553237,56,Center,,,,,,,,,,,,,,,,3mqvpqnv1yixpclmxsvqfoxec,T. Hiraoka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
