id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/14/value,assist,qualifier/17/value,qualifier/20/id,qualifier/20/qualifierId
2514842729,18,1,1,0,59,1f3ehp8p9yi8reamghry4p76t,0,63.8,1.3,2023-03-04T05:04:32.343Z,2023-03-04T05:04:34Z,4069861503,212,1.0,4069861555,236,,4069861561,286,,4069861505,213,2.9,4069861501,141,1.6,4069861497,56,Right,4069861499,140,62.9,4069861557,233,17,1bjh7t56w2jg6berm300782c5,H. Miyazawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842735,17,74,1,0,59,12tyw9yomy9n5cjd5po2ajx1q,1,29.1,96.2,2023-03-04T05:04:32.344Z,2023-03-04T05:15:07Z,4069861569,233,18,4069861529,285,,4069861525,56,Back,,,,,,,,,,,,,,,,536qjh4gcmpo5q68ti87e60kq,S. Mito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514846127,116,61,1,1,1,1f3ehp8p9yi8reamghry4p76t,1,69.1,2.1,2023-03-04T05:04:34.495Z,2023-03-06T18:43:21Z,4069881455,56,Right,,,,,,,,,,,,,,,,,,,,,,1bjh7t56w2jg6berm300782c5,H. Miyazawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842745,18,49,1,1,2,12tyw9yomy9n5cjd5po2ajx1q,1,30.6,92,2023-03-04T05:04:35.723Z,2023-03-04T05:04:35Z,,,,,,,,,,,,,,,,,,,,,,,,,59e2dosv29zg2c146u5v9k02y,T. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842779,19,1,1,1,3,12tyw9yomy9n5cjd5po2ajx1q,1,30.6,92,2023-03-04T05:04:35.802Z,2023-03-04T05:14:51Z,4069861783,56,Back,4069861785,140,32.9,4069861791,213,5.0,4069861787,141,80.5,4069861789,212,8.2,,,,,,,,,,59e2dosv29zg2c146u5v9k02y,T. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842799,20,1,1,1,5,12tyw9yomy9n5cjd5po2ajx1q,1,35,71.4,2023-03-04T05:04:38.187Z,2023-03-04T05:15:01Z,4069861923,141,44.5,4069861921,140,38.6,4069861925,212,18.7,4069861927,213,4.9,4069861919,56,Back,,,,,,,,,,3n8lo5wm0i7sh0h92abx87hm1,R. Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842811,21,1,1,1,9,12tyw9yomy9n5cjd5po2ajx1q,1,56.8,36.6,2023-03-04T05:04:41.898Z,2023-03-04T05:04:44Z,4069862001,212,12.1,4069861999,141,19.5,4069861997,140,59.9,4069861995,56,Right,4069862003,213,5.0,,,,,,,,,,dhqt17jw4t2yis8p6medgnluy,S. Ota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842825,22,1,1,1,11,12tyw9yomy9n5cjd5po2ajx1q,1,60,18.3,2023-03-04T05:04:44.139Z,2023-03-04T05:15:11Z,4069862083,213,0.8,4069862079,141,35.1,4069862081,212,15.6,4069862077,140,70.1,4069862075,56,Center,,,,,,,,,,bj5k9pm3837dxwerp0vy94hgq,S. Fujiwara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842839,23,1,1,1,14,12tyw9yomy9n5cjd5po2ajx1q,1,72.4,32.7,2023-03-04T05:04:46.923Z,2023-03-04T05:04:50Z,4069862153,213,3.6,4069862145,56,Right,4069862151,212,17.9,4069862149,141,21.0,4069862147,140,57.1,,,,,,,,,,3tiriwy3k68lw0zi0fj5dx49h,K. Suzuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842861,24,1,1,1,17,12tyw9yomy9n5cjd5po2ajx1q,1,56.9,20.3,2023-03-04T05:04:49.978Z,2023-03-04T05:15:24Z,4069862275,1,,4069862273,213,2.4,4069862271,212,32.1,4069862265,56,Back,4069862267,140,34.7,4069862269,141,52.7,,,,,,,aieev8jr470iq7ft2ob005wph,Y. Shimada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
