id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2539765381,15,1,1,0,30,4dhojk80ifrs6ax05725bala2,1,37.1,93.5,2023-04-27T09:44:46.575Z,2023-04-27T09:44:48Z,4227967663,213,4.1,4227967661,212,15.9,4227967659,141,74.5,4227967657,140,28.3,4227967655,56,Back,,,,,,,,,,cspyqj6qtdeymxcnw70b40j55,Park Soo-Il,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765393,16,1,1,0,31,4dhojk80ifrs6ax05725bala2,1,29.1,75.4,2023-04-27T09:44:48.126Z,2023-04-27T09:44:49Z,4227967741,140,33.3,4227967745,212,9.8,4227967747,213,1.1,4227967739,56,Back,4227967743,141,88.3,,,,,,,,,,15lc9nb9h2r2e9qvh4es27q7e,Kim Ju-Sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765405,17,1,1,0,33,4dhojk80ifrs6ax05725bala2,1,33.4,88.4,2023-04-27T09:44:49.583Z,2023-04-27T09:44:51Z,4227967825,141,74.1,4227967823,140,38.3,4227967827,212,11.0,4227967821,56,Back,4227967831,213,5.2,,,,,,,,,,cspyqj6qtdeymxcnw70b40j55,Park Soo-Il,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765421,18,1,1,0,34,4dhojk80ifrs6ax05725bala2,1,38.7,75,2023-04-27T09:44:50.958Z,2023-04-27T09:44:52Z,4227967911,141,77.3,4227967909,140,44.6,4227967913,212,6.4,4227967915,213,0.2,4227967907,56,Back,,,,,,,,,,bb0zj4rt5l4vjtdzghhj3n7it,Ki Sung-Yueng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765459,19,1,1,0,36,4dhojk80ifrs6ax05725bala2,1,35.4,81.8,2023-04-27T09:44:52.510Z,2023-04-27T09:44:58Z,4227968127,213,4.3,4227968123,141,31.9,4227968125,212,37.2,4227968119,56,Back,4227968121,140,20.9,4227968129,1,,4227968117,155,,,,,cspyqj6qtdeymxcnw70b40j55,Park Soo-Il,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765469,20,1,1,0,41,4dhojk80ifrs6ax05725bala2,0,32.1,29.8,2023-04-27T09:44:58.415Z,2023-04-27T09:45:00Z,4227968163,56,Right,4227968167,141,20.9,4227968165,140,70.5,4227968161,155,,4227968169,212,40.8,4227968173,1,,4227968171,213,6.1,,,,qbyyhh8m9r2wssat24ic745x,Kwon Wan-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765485,6,1,1,0,44,98uh21utg52famg6x9k7t3s20,0,22.5,90.9,2023-04-27T09:45:01.065Z,2023-04-27T09:45:03Z,4227968243,213,0.5,4227968239,141,100.0,4227968241,212,15.9,4227968233,3,,4227968237,140,35.8,4227968235,56,Back,,,,,,,39if24afmrxwterxd4uv665sl,Jung Seung-Yong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765487,7,5,1,0,47,98uh21utg52famg6x9k7t3s20,0,31.4,102,2023-04-27T09:45:03.482Z,2023-04-27T09:45:07Z,4227968247,56,Back,4227968249,347,,4227968411,233,21,,,,,,,,,,,,,,,,39if24afmrxwterxd4uv665sl,Jung Seung-Yong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765507,21,5,1,0,47,4dhojk80ifrs6ax05725bala2,1,68.6,-2,2023-04-27T09:45:03.482Z,2023-04-27T09:52:33Z,4227968343,56,Right,4227968345,347,,4227968383,233,7,,,,,,,,,,,,,,,,qbyyhh8m9r2wssat24ic745x,Kwon Wan-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765553,22,1,1,0,53,4dhojk80ifrs6ax05725bala2,1,65.1,0,2023-04-27T09:45:10.286Z,2023-04-27T09:45:12Z,4227968659,56,Back,4227968669,1,,4227968657,107,,4227968661,140,45.8,4227968663,141,8.6,4227968667,213,2.8,4227968665,212,21.5,,,,7djxob0tt6bmyi7hlvc7r81k9,Na Sang-Ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765559,23,1,1,0,56,4dhojk80ifrs6ax05725bala2,1,45.8,8.8,2023-04-27T09:45:12.606Z,2023-04-27T09:45:13Z,4227968709,212,12.9,4227968711,213,1.6,4227968705,140,46.0,4227968703,56,Back,4227968707,141,27.7,,,,,,,,,,qbyyhh8m9r2wssat24ic745x,Kwon Wan-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765569,24,1,1,0,56,4dhojk80ifrs6ax05725bala2,1,46,27.7,2023-04-27T09:45:13.230Z,2023-04-27T09:45:14Z,4227968741,56,Back,4227968749,213,4.5,4227968747,212,9.6,4227968743,140,43.8,4227968745,141,14.0,,,,,,,,,,bb0zj4rt5l4vjtdzghhj3n7it,Ki Sung-Yueng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765581,25,1,1,0,57,4dhojk80ifrs6ax05725bala2,1,43.8,14,2023-04-27T09:45:13.983Z,2023-04-27T09:45:15Z,4227968817,141,30.7,4227968821,213,1.5,4227968813,56,Back,4227968819,212,11.4,4227968815,140,45.1,,,,,,,,,,qbyyhh8m9r2wssat24ic745x,Kwon Wan-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765609,26,1,1,0,59,4dhojk80ifrs6ax05725bala2,1,45.4,34.5,2023-04-27T09:45:15.662Z,2023-04-27T09:45:20Z,4227968973,141,82.6,4227968969,56,Left,4227968977,213,1.3,4227968975,212,34.0,4227968971,140,54.1,4227968979,1,,,,,,,,bb0zj4rt5l4vjtdzghhj3n7it,Ki Sung-Yueng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765627,27,1,1,1,3,4dhojk80ifrs6ax05725bala2,1,63.3,90.3,2023-04-27T09:45:20.079Z,2023-04-27T09:45:22Z,4227969067,56,Left,4227969071,141,93.9,4227969073,212,13.9,4227969069,140,76.3,4227969075,213,0.2,,,,,,,,,,cspyqj6qtdeymxcnw70b40j55,Park Soo-Il,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765643,28,1,1,1,5,4dhojk80ifrs6ax05725bala2,1,73.6,93.9,2023-04-27T09:45:22.238Z,2023-04-27T09:45:24Z,4227969159,140,63.7,4227969161,141,87.4,4227969157,56,Left,4227969165,213,3.5,4227969163,212,11.3,,,,,,,,,,e6jkkb7xnu0u2m1e7gbfsmggl,Lim Sang-Hyub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765669,29,1,1,1,8,4dhojk80ifrs6ax05725bala2,1,55.9,82.4,2023-04-27T09:45:24.542Z,2023-04-27T09:45:29Z,4227969291,141,68.5,4227969295,213,3.9,4227969287,56,Back,4227969293,212,14.5,4227969289,140,45.4,,,,,,,,,,cspyqj6qtdeymxcnw70b40j55,Park Soo-Il,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765681,30,1,1,1,12,4dhojk80ifrs6ax05725bala2,1,34.3,62.7,2023-04-27T09:45:29.006Z,2023-04-27T09:45:32Z,4227969383,141,30.0,4227969387,213,4.9,4227969385,212,22.5,4227969379,56,Back,4227969381,140,37.6,,,,,,,,,,bb0zj4rt5l4vjtdzghhj3n7it,Ki Sung-Yueng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765713,31,1,1,1,15,4dhojk80ifrs6ax05725bala2,1,39.9,27.9,2023-04-27T09:45:31.999Z,2023-04-27T09:45:37Z,4227969591,140,46.4,4227969597,212,16.1,4227969587,56,Back,4227969599,213,5.1,4227969595,141,6.4,,,,,,,,,,qbyyhh8m9r2wssat24ic745x,Kwon Wan-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765743,32,1,1,1,20,4dhojk80ifrs6ax05725bala2,1,53.4,6.4,2023-04-27T09:45:36.799Z,2023-04-27T09:45:40Z,4227969723,212,19.3,4227969727,213,2.5,4227969721,141,23.3,4227969717,140,38.6,4227969715,56,Back,,,,,,,,,,9gmsma17q21lca5ogboz6a6eh,Kim Jin-Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765757,33,1,1,1,23,4dhojk80ifrs6ax05725bala2,1,39.1,23.7,2023-04-27T09:45:40.222Z,2023-04-27T09:45:42Z,4227969821,56,Right,4227969823,140,62.5,4227969827,212,28.4,4227969825,141,2.9,4227969829,213,5.8,,,,,,,,,,qbyyhh8m9r2wssat24ic745x,Kwon Wan-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765801,34,1,1,1,25,4dhojk80ifrs6ax05725bala2,1,62.8,4.3,2023-04-27T09:45:42.158Z,2023-04-27T09:45:49Z,4227970047,141,15.2,4227970043,56,Back,4227970049,212,21.1,4227970045,140,44.0,4227970051,213,2.8,,,,,,,,,,9gmsma17q21lca5ogboz6a6eh,Kim Jin-Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765827,35,1,1,1,32,4dhojk80ifrs6ax05725bala2,1,43.1,26.7,2023-04-27T09:45:48.814Z,2023-04-27T09:45:53Z,4227970195,140,32.4,4227970199,212,16.7,4227970201,213,2.3,4227970193,56,Back,4227970197,141,44.9,,,,,,,,,,qbyyhh8m9r2wssat24ic745x,Kwon Wan-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765851,38,1,1,1,37,4dhojk80ifrs6ax05725bala2,1,32.3,46.3,2023-04-27T09:45:53.918Z,2023-04-27T09:45:55Z,4227970331,141,31.2,4227970335,212,15.5,4227970325,56,Back,4227970339,213,5.6,4227970329,140,43.4,,,,,,,,,,15lc9nb9h2r2e9qvh4es27q7e,Kim Ju-Sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765871,39,1,1,1,38,4dhojk80ifrs6ax05725bala2,1,44.7,27,2023-04-27T09:45:55.311Z,2023-04-27T09:45:59Z,4227970459,140,57.1,4227970463,212,19.5,4227970465,213,5.4,4227970457,56,Right,4227970461,141,5.6,,,,,,,,,,qbyyhh8m9r2wssat24ic745x,Kwon Wan-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765883,40,1,1,1,45,4dhojk80ifrs6ax05725bala2,1,53.7,13.2,2023-04-27T09:46:01.791Z,2023-04-27T09:49:12Z,4227970543,56,Back,4227976371,141,15.1,4227976369,140,40.0,4227976373,212,14.4,4227976375,213,3.1,,,,,,,,,,9gmsma17q21lca5ogboz6a6eh,Kim Jin-Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765885,8,43,1,1,45,98uh21utg52famg6x9k7t3s20,1,0,0,2023-04-27T09:46:01.792Z,2023-04-27T09:49:06Z,4227970551,56,Back,4227976099,144,7,4227970553,285,0,4227970555,233,40,,,,,,,,,,,,,bf02taewqoelgq18ul1nlkkb9,Han Kook-Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765897,41,1,1,1,46,4dhojk80ifrs6ax05725bala2,1,36.1,17,2023-04-27T09:46:02.846Z,2023-04-27T09:46:06Z,4227970641,140,53.3,4227970645,212,20.2,4227970647,213,5.8,4227970639,56,Right,4227970643,141,3.8,,,,,,,,,,qbyyhh8m9r2wssat24ic745x,Kwon Wan-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765915,42,1,1,1,49,4dhojk80ifrs6ax05725bala2,1,46.9,23.6,2023-04-27T09:46:06.366Z,2023-04-27T09:46:10Z,4227970749,141,47.0,4227970753,213,2.2,4227970751,212,19.8,4227970747,140,35.6,4227970745,56,Back,,,,,,,,,,7djxob0tt6bmyi7hlvc7r81k9,Na Sang-Ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765921,43,1,1,1,53,4dhojk80ifrs6ax05725bala2,1,35.6,47,2023-04-27T09:46:10.142Z,2023-04-27T09:46:12Z,4227970791,212,16.8,4227970785,56,Back,4227970789,141,68.4,4227970793,213,1.0,4227970787,140,43.6,,,,,,,,,,15lc9nb9h2r2e9qvh4es27q7e,Kim Ju-Sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765937,44,1,1,1,56,4dhojk80ifrs6ax05725bala2,0,45.9,64,2023-04-27T09:46:12.591Z,2023-04-27T09:46:42Z,4227970871,212,44.3,4227970875,1,,4227970865,56,Right,4227970873,213,5.2,4227970869,141,5.3,4227970867,140,64.1,,,,,,,bb0zj4rt5l4vjtdzghhj3n7it,Ki Sung-Yueng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765945,9,8,1,1,59,98uh21utg52famg6x9k7t3s20,1,40.1,96,2023-04-27T09:46:16.059Z,2023-05-02T15:01:08Z,4227970911,56,Back,4245024207,385,,,,,,,,,,,,,,,,,,,,39if24afmrxwterxd4uv665sl,Jung Seung-Yong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
