id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2542133347,34,44,1,0,32,19auwjswq9camwpb4u14a6tp5,0,46.4,49.2,2023-05-01T06:54:28.096Z,2023-05-01T06:57:54Z,4242470223,56,Back,4242470225,285,,4242470483,233,32,,,,,,,,,,,,,,,,2zgac47mjf4fife5es00y4h9m,Go Jae-Hyeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132707,11,1,1,0,32,25yplfulilqz11lp1qbii7sf3,0,54.3,52.1,2023-05-01T06:54:28.433Z,2023-05-01T08:33:39Z,4242464429,56,Center,4242464435,212,3.6,4242464427,3,,4242464433,141,52.5,4242464431,140,50.9,4242464437,213,3.1,,,,,,,i60jnxmaywexvys2g0aktdcl,Lee Ki-Je,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132725,10,1,1,0,35,19auwjswq9camwpb4u14a6tp5,1,45.5,53.1,2023-05-01T06:54:31.248Z,2023-05-01T06:54:33Z,4242464509,212,13.2,4242464501,3,,4242464511,213,4.2,4242464505,140,39.4,4242464503,56,Back,4242464507,141,36.1,,,,,,,5blgib9feku7hwyfe4qyla85x,Edgar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132729,11,1,1,0,37,19auwjswq9camwpb4u14a6tp5,1,42.8,29.4,2023-05-01T06:54:33.568Z,2023-05-01T06:54:35Z,4242464533,140,48.9,4242464535,141,10.0,4242464537,212,14.7,4242464539,213,5.2,4242464531,56,Back,,,,,,,,,,d585rl5n1lyby0pzclz7ywokq,Lee Jin-Yong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132737,12,1,1,0,39,19auwjswq9camwpb4u14a6tp5,0,49.8,7.3,2023-05-01T06:54:35.639Z,2023-05-01T06:54:36Z,4242464581,56,Right,4242464589,213,6.2,4242464587,212,22.1,4242464585,141,3.4,4242464583,140,70.7,,,,,,,,,,6lfh7umo99gfk2f23jbg6k3ro,Hwang Jae-Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132741,12,12,1,0,42,25yplfulilqz11lp1qbii7sf3,1,29.1,97.5,2023-05-01T06:54:38.146Z,2023-05-01T06:54:39Z,4242464621,213,1.1,4242464619,212,3.4,4242464615,140,30.5,4242464613,56,Back,4242464651,167,,4242464617,141,100.0,,,,,,,i60jnxmaywexvys2g0aktdcl,Lee Ki-Je,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132745,13,5,1,0,42,25yplfulilqz11lp1qbii7sf3,0,29.2,101.8,2023-05-01T06:54:38.808Z,2023-05-01T06:54:41Z,4242464667,233,13,4242464639,56,Back,4242464641,347,,,,,,,,,,,,,,,,,i60jnxmaywexvys2g0aktdcl,Lee Ki-Je,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132747,13,5,1,0,42,19auwjswq9camwpb4u14a6tp5,1,70.8,-1.8,2023-05-01T06:54:38.808Z,2023-05-01T06:54:40Z,4242464659,233,13,4242464643,56,Right,4242464645,347,,,,,,,,,,,,,,,,,6lfh7umo99gfk2f23jbg6k3ro,Hwang Jae-Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132779,14,1,1,0,49,19auwjswq9camwpb4u14a6tp5,1,70.7,0,2023-05-01T06:54:45.255Z,2023-05-01T06:54:47Z,4242464815,56,Right,4242464813,107,,4242464817,140,73.8,4242464823,213,1.3,4242464821,212,10.4,4242464819,141,12.5,,,,,,,6lfh7umo99gfk2f23jbg6k3ro,Hwang Jae-Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132825,15,1,1,0,50,19auwjswq9camwpb4u14a6tp5,1,71.7,13.5,2023-05-01T06:54:46.928Z,2023-05-01T06:54:53Z,4242465053,140,72.5,4242465055,141,4.7,4242465057,212,6.0,4242465051,56,Right,4242465059,213,4.9,,,,,,,,,,5blgib9feku7hwyfe4qyla85x,Edgar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
