id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2522250753,4,49,1,0,13,4dhojk80ifrs6ax05725bala2,1,20,88.7,2023-03-19T09:59:10.438Z,2023-03-19T09:59:10Z,,,,,,,,,,,,,,,,,,,,,,,,,15lc9nb9h2r2e9qvh4es27q7e,Kim Ju-Sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250769,5,1,1,0,14,4dhojk80ifrs6ax05725bala2,1,23.2,90.3,2023-03-19T09:59:10.902Z,2023-03-19T10:03:13Z,4109081885,141,92.5,4109081881,56,Back,4109081883,140,27.3,4109081889,212,4.6,4109081891,213,0.3,,,,,,,,,,15lc9nb9h2r2e9qvh4es27q7e,Kim Ju-Sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522252565,64,1,1,0,15,4dhojk80ifrs6ax05725bala2,1,30.9,89.6,2023-03-19T09:59:12.592Z,2023-03-19T10:04:12Z,4109090535,56,Back,4109090537,140,39.2,4109090543,213,5.9,4109090539,141,84.1,4109090541,212,9.5,,,,,,,,,,av2iblvadx7u9cj27qgbm09ka,Lee Tae-Seok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250775,6,61,1,0,17,4dhojk80ifrs6ax05725bala2,0,31.6,80.8,2023-03-19T09:59:14.519Z,2023-03-19T09:59:14Z,4109081911,56,Back,,,,,,,,,,,,,,,,,,,,,,5wnt4q34ojngvtxturq18rvmd,Hwang Ui-Jo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250777,7,49,1,0,19,92h5si20tnxjtg4hj8cs97bpw,1,62.4,9.2,2023-03-19T09:59:15.650Z,2023-03-19T09:59:15Z,,,,,,,,,,,,,,,,,,,,,,,,,7tb226aujwnbsbsrzbncnk9w4,Kim Bong-Su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250791,8,1,1,0,19,92h5si20tnxjtg4hj8cs97bpw,0,62.4,9.2,2023-03-19T09:59:16.098Z,2023-03-19T09:59:18Z,4109081963,141,25.2,4109081961,140,86.8,4109081959,56,Center,4109081957,155,,4109081967,213,0.4,4109081965,212,27.8,,,,,,,7tb226aujwnbsbsrzbncnk9w4,Kim Bong-Su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250799,7,12,1,0,22,4dhojk80ifrs6ax05725bala2,1,16.5,74.4,2023-03-19T09:59:19.142Z,2023-03-19T10:04:48Z,4109082013,15,,4109082003,141,83.5,4109082001,140,16.2,4109082005,212,6.2,4109081999,56,Back,4109082007,213,1.6,,,,,,,15lc9nb9h2r2e9qvh4es27q7e,Kim Ju-Sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250813,9,1,1,0,24,92h5si20tnxjtg4hj8cs97bpw,0,96.7,23.3,2023-03-19T09:59:21.554Z,2023-03-19T10:06:09Z,4109082055,141,35.1,4109082059,213,1.8,4109082057,212,8.2,4109082051,56,Center,4109082053,140,95.0,,,,,,,,,,29bsxzz5d3tzi1we2uznh6jo4,Kim Dae-Hwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250831,8,12,1,0,27,4dhojk80ifrs6ax05725bala2,1,5.6,62.9,2023-03-19T09:59:23.846Z,2023-03-19T09:59:25Z,4109082141,212,5.3,4109082143,213,2.0,4109082137,140,3.4,4109082139,141,69.9,4109082135,56,Back,,,,,,,,,,15lc9nb9h2r2e9qvh4es27q7e,Kim Ju-Sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250833,9,49,1,0,28,4dhojk80ifrs6ax05725bala2,1,3.4,70.3,2023-03-19T09:59:25.014Z,2023-03-19T09:59:25Z,,,,,,,,,,,,,,,,,,,,,,,,,av2iblvadx7u9cj27qgbm09ka,Lee Tae-Seok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250837,10,12,1,0,28,4dhojk80ifrs6ax05725bala2,1,3.4,70.3,2023-03-19T09:59:25.191Z,2023-03-19T10:06:29Z,4109082163,213,6.1,4109082161,212,18.8,4109082157,140,20.9,4109082159,141,64.6,4109082155,56,Back,,,,,,,,,,av2iblvadx7u9cj27qgbm09ka,Lee Tae-Seok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250849,10,49,1,0,29,92h5si20tnxjtg4hj8cs97bpw,1,72.7,22.4,2023-03-19T09:59:26.481Z,2023-03-19T09:59:26Z,,,,,,,,,,,,,,,,,,,,,,,,,7ts0uh7r3qczq6qfwzjy8phhx,Ahn Hyun-Beom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250879,11,1,1,0,33,92h5si20tnxjtg4hj8cs97bpw,1,71.1,20.1,2023-03-19T09:59:29.649Z,2023-03-19T09:59:31Z,4109082379,213,3.3,4109082371,56,Right,4109082373,140,56.3,4109082377,212,15.8,4109082375,141,16.1,,,,,,,,,,7ts0uh7r3qczq6qfwzjy8phhx,Ahn Hyun-Beom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250911,12,1,1,0,35,92h5si20tnxjtg4hj8cs97bpw,1,56.5,22.4,2023-03-19T09:59:31.761Z,2023-03-19T09:59:36Z,4109082511,213,2.1,4109082503,56,Back,4109082505,140,43.6,4109082507,141,54.2,4109082509,212,25.5,,,,,,,,,,74i6zd9vz9kcipubavbib9uc5,Kim Oh-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250927,13,1,1,0,39,92h5si20tnxjtg4hj8cs97bpw,1,31.9,72.4,2023-03-19T09:59:36.034Z,2023-03-19T09:59:39Z,4109082597,141,95.4,4109082595,140,53.8,4109082601,213,0.6,4109082599,212,27.8,4109082593,56,Left,,,,,,,,,,99yrscdrulo9rty85p06mclat,Chung Woon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250943,14,1,1,0,42,92h5si20tnxjtg4hj8cs97bpw,0,57.9,94.5,2023-03-19T09:59:39.617Z,2023-03-19T09:59:41Z,4109082689,213,5.6,4109082687,212,8.4,4109082685,141,86.9,4109082681,56,Left,4109082683,140,64.2,,,,,,,,,,bwzjmefo4k42iieisyas48vdh,Lee Ju-Yong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250965,11,8,1,0,49,4dhojk80ifrs6ax05725bala2,1,26.3,7.9,2023-03-19T09:59:45.991Z,2023-03-19T10:06:58Z,4109082783,56,Back,,,,,,,,,,,,,,,,,,,,,,dn6crxzg2siahc43nrb8de9jp,A. Paločević,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522250973,12,5,1,0,50,4dhojk80ifrs6ax05725bala2,0,27.2,-1.8,2023-03-19T09:59:46.679Z,2023-03-19T09:59:57Z,4109083059,233,15,4109082809,347,,4109082807,56,Back,,,,,,,,,,,,,,,,9gmsma17q21lca5ogboz6a6eh,Kim Jin-Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251029,15,5,1,0,50,92h5si20tnxjtg4hj8cs97bpw,1,72.8,101.8,2023-03-19T09:59:46.679Z,2023-03-19T10:18:35Z,4109083051,56,Left,4109083053,347,,4109083055,233,12,,,,,,,,,,,,,,,,bwzjmefo4k42iieisyas48vdh,Lee Ju-Yong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251043,16,1,1,1,0,92h5si20tnxjtg4hj8cs97bpw,1,71.4,100,2023-03-19T09:59:56.849Z,2023-03-19T09:59:59Z,4109083127,213,5.4,4109083125,212,10.4,4109083117,107,,4109083123,141,90.3,4109083119,56,Left,4109083121,140,77.8,,,,,,,bwzjmefo4k42iieisyas48vdh,Lee Ju-Yong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251049,17,1,1,1,3,92h5si20tnxjtg4hj8cs97bpw,1,74.8,88.6,2023-03-19T09:59:59.666Z,2023-03-19T10:00:02Z,4109083163,140,65.1,4109083161,56,Center,4109083165,141,76.4,4109083167,212,13.1,4109083169,213,3.8,,,,,,,,,,7x5i526fkxae3bqymfw06vf85,Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251081,18,1,1,1,5,92h5si20tnxjtg4hj8cs97bpw,1,75.6,75.7,2023-03-19T10:00:01.921Z,2023-03-19T10:07:59Z,4109083273,141,50.3,4109083271,140,52.3,4109083277,213,3.8,4109083275,212,29.9,4109083269,56,Center,,,,,,,,,,7tb226aujwnbsbsrzbncnk9w4,Kim Bong-Su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251103,19,1,1,1,10,92h5si20tnxjtg4hj8cs97bpw,0,52.6,36.9,2023-03-19T10:00:06.930Z,2023-03-19T10:08:18Z,4109083407,141,5.4,4109083409,212,55.5,4109083405,140,100.0,4109083401,155,,4109083411,213,5.9,4109083403,56,Right,4109083413,1,,,,,74i6zd9vz9kcipubavbib9uc5,Kim Oh-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251101,13,5,1,1,14,4dhojk80ifrs6ax05725bala2,1,-0.9,94.8,2023-03-19T10:00:11.384Z,2023-03-19T10:00:12Z,4109083393,56,Back,4109083435,233,20,4109083395,346,,,,,,,,,,,,,,,,,9gmsma17q21lca5ogboz6a6eh,Kim Jin-Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251105,20,5,1,1,14,92h5si20tnxjtg4hj8cs97bpw,0,100.9,5.2,2023-03-19T10:00:11.384Z,2023-03-19T10:18:36Z,4109083443,233,13,4109083421,346,,4109083419,56,Right,,,,,,,,,,,,,,,,acf6ssf3sj4z2fbt6krbbczbp,Kim Joo-Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251139,14,1,1,1,21,4dhojk80ifrs6ax05725bala2,1,5,63,2023-03-19T10:00:18.457Z,2023-03-19T10:00:19Z,4109083621,212,25.1,4109083619,141,26.2,4109083623,213,4.8,4109083613,124,,4109083617,140,7.2,4109083615,56,Back,4109083637,189,,4109083627,237,,lfar3t1safoyi3yfz5yph149,Choi Chul-Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251155,15,1,1,1,23,4dhojk80ifrs6ax05725bala2,1,7.2,24.9,2023-03-19T10:00:20.311Z,2023-03-19T10:00:22Z,4109083705,212,16.4,4109083707,213,5.4,4109083699,56,Back,4109083701,140,17.0,4109083703,141,6.1,,,,,,,,,,8ivl7nyl0sp6j834os6ybnmj9,Osmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251159,16,1,1,1,25,4dhojk80ifrs6ax05725bala2,0,20.6,6.4,2023-03-19T10:00:21.990Z,2023-03-19T10:00:23Z,4109083743,56,Back,4109083751,213,1.4,4109083747,141,24.1,4109083749,212,12.2,4109083745,140,22.7,,,,,,,,,,9gmsma17q21lca5ogboz6a6eh,Kim Jin-Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251169,21,49,1,1,27,92h5si20tnxjtg4hj8cs97bpw,1,77.2,67.5,2023-03-19T10:00:23.873Z,2023-03-19T10:00:24Z,,,,,,,,,,,,,,,,,,,,,,,,,7x5i526fkxae3bqymfw06vf85,Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251185,22,1,1,1,27,92h5si20tnxjtg4hj8cs97bpw,1,77.2,67.5,2023-03-19T10:00:24.049Z,2023-03-19T10:00:25Z,4109083861,212,9.2,4109083853,56,Left,4109083865,213,1.3,4109083855,140,79.5,4109083857,141,80.5,,,,,,,,,,7x5i526fkxae3bqymfw06vf85,Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251189,23,1,1,1,29,92h5si20tnxjtg4hj8cs97bpw,0,77.8,77.6,2023-03-19T10:00:25.729Z,2023-03-19T10:00:28Z,4109083883,212,3.3,4109083987,286,,4109083881,141,73.8,4109083877,56,Center,4109083983,233,17,4109083879,140,75.9,4109083885,213,4.1,4109083981,236,,bqhazt8seel1clbtwmgacty50,Ji Sang-Wook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251199,17,74,1,1,29,4dhojk80ifrs6ax05725bala2,1,27.4,25.3,2023-03-19T10:00:25.730Z,2023-03-19T11:34:18Z,4109083927,285,,4109083925,56,Back,4109083989,233,23,,,,,,,,,,,,,,,,bb0zj4rt5l4vjtdzghhj3n7it,Ki Sung-Yueng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251215,24,1,1,1,32,92h5si20tnxjtg4hj8cs97bpw,0,69,92.7,2023-03-19T10:00:29.458Z,2023-03-19T10:00:32Z,4109084103,233,18,4109084101,236,,4109084029,212,4.1,4109084023,56,Left,4109084031,213,0.1,4109084025,140,72.9,4109084027,141,93.6,4109084107,286,,53q7tgwwdclmp8mqr6uhpryl1,Koo Ja-Cheol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251227,18,74,1,1,32,4dhojk80ifrs6ax05725bala2,1,27,7.9,2023-03-19T10:00:29.459Z,2023-03-19T11:34:18Z,4109084121,233,24,4109084085,56,Back,4109084087,285,,,,,,,,,,,,,,,,,9gmsma17q21lca5ogboz6a6eh,Kim Jin-Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251249,25,1,1,1,36,92h5si20tnxjtg4hj8cs97bpw,1,72.2,96.6,2023-03-19T10:00:33.586Z,2023-03-19T10:00:34Z,4109084195,213,3.1,4109084189,140,65.1,4109084187,56,Left,4109084193,212,7.5,4109084191,141,97.5,,,,,,,,,,53q7tgwwdclmp8mqr6uhpryl1,Koo Ja-Cheol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251257,26,1,1,1,38,92h5si20tnxjtg4hj8cs97bpw,1,65.1,97.5,2023-03-19T10:00:34.801Z,2023-03-19T10:00:36Z,4109084243,56,Left,4109084245,140,79.1,4109084249,212,14.7,4109084251,213,0.0,4109084247,141,97.7,,,,,,,,,,99yrscdrulo9rty85p06mclat,Chung Woon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251271,27,1,1,1,40,92h5si20tnxjtg4hj8cs97bpw,1,79.1,97.7,2023-03-19T10:00:36.642Z,2023-03-19T10:00:39Z,4109084337,212,19.1,4109084339,213,5.8,4109084335,141,84.2,4109084333,140,95.1,4109084331,56,Left,,,,,,,,,,bwzjmefo4k42iieisyas48vdh,Lee Ju-Yong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251277,28,1,1,1,42,92h5si20tnxjtg4hj8cs97bpw,0,96.7,81.5,2023-03-19T10:00:39.169Z,2023-03-19T10:00:41Z,4109084381,56,Left,4109084383,140,97.1,4109084389,213,5.0,4109084419,236,,4109084377,2,,4109084421,233,19,4109084425,286,,4109084387,212,1.6,bqhazt8seel1clbtwmgacty50,Ji Sang-Wook,4109084385,141,79.3,4109084379,155,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251279,19,12,1,1,42,4dhojk80ifrs6ax05725bala2,1,6,25.8,2023-03-19T10:00:39.269Z,2023-03-19T10:00:41Z,4109084435,233,28,4109084397,185,,4109084401,56,Back,,,,,,,,,,,,,,,,8ivl7nyl0sp6j834os6ybnmj9,Osmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251289,20,6,1,1,44,4dhojk80ifrs6ax05725bala2,0,0.8,24.2,2023-03-19T10:00:41.586Z,2023-03-19T10:18:41Z,4109084469,233,29,4109084443,56,Back,4109084447,73,,,,,,,,,,,,,,,,,8ivl7nyl0sp6j834os6ybnmj9,Osmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251291,29,6,1,1,44,92h5si20tnxjtg4hj8cs97bpw,1,99.2,75.8,2023-03-19T10:00:41.586Z,2023-03-19T10:00:42Z,4109084463,233,20,4109084453,56,Center,4109084455,73,,,,,,,,,,,,,,,,,bqhazt8seel1clbtwmgacty50,Ji Sang-Wook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251445,30,1,1,2,10,92h5si20tnxjtg4hj8cs97bpw,0,99.5,99.5,2023-03-19T10:01:07.377Z,2023-03-19T10:01:09Z,4109085171,155,,4109085173,225,,4109085179,141,59.9,4109085167,2,,4109085183,213,4.6,4109085181,212,27.1,4109085177,140,96.4,4109085169,6,,7x5i526fkxae3bqymfw06vf85,Reis,4109085175,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251453,21,12,1,2,13,4dhojk80ifrs6ax05725bala2,1,3.5,38.9,2023-03-19T10:01:10.230Z,2023-03-19T10:01:12Z,4109085237,15,,4109085217,212,13.1,4109085215,141,56.1,4109085213,140,9.1,4109085211,56,Back,4109085219,213,1.1,,,,,,,44zj38pfx1daxdibpl0cpttqt,S. Iljutcenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251469,22,12,1,2,17,4dhojk80ifrs6ax05725bala2,1,12.7,53.6,2023-03-19T10:01:13.912Z,2023-03-19T10:11:30Z,4109085305,140,21.1,4109085307,141,46.4,4109085303,56,Back,4109085311,213,5.8,4109085333,15,,4109085309,212,10.1,,,,,,,9gmsma17q21lca5ogboz6a6eh,Kim Jin-Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251483,31,13,1,2,19,92h5si20tnxjtg4hj8cs97bpw,1,78.5,53.1,2023-03-19T10:01:15.937Z,2023-03-19T10:12:41Z,4109104451,77,,4109085777,230,98.5,4109085775,458,,4109085769,215,,4109085381,56,Center,4109085773,328,,4109085759,72,,4109085763,102,56.0,bwzjmefo4k42iieisyas48vdh,Lee Ju-Yong,4109085757,25,,4109085379,18,4109085779,231,50,4109085767,103,95.8,,,,,,,,,,,,,,,,,,,,
2522251505,23,5,1,2,20,4dhojk80ifrs6ax05725bala2,1,-0.9,39.4,2023-03-19T10:01:17.585Z,2023-03-19T10:18:36Z,4109085483,233,32,4109085463,56,Back,4109085469,346,,,,,,,,,,,,,,,,,av2iblvadx7u9cj27qgbm09ka,Lee Tae-Seok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251497,32,5,1,2,20,92h5si20tnxjtg4hj8cs97bpw,0,100.9,60.6,2023-03-19T10:01:17.585Z,2023-03-19T10:01:19Z,4109085441,346,,4109085487,233,23,4109085439,56,Center,,,,,,,,,,,,,,,,bwzjmefo4k42iieisyas48vdh,Lee Ju-Yong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251555,24,1,1,2,30,4dhojk80ifrs6ax05725bala2,1,4.5,42.5,2023-03-19T10:01:26.887Z,2023-03-19T10:01:27Z,4109085695,237,,4109085687,141,71.2,4109085685,140,9.9,4109085683,56,Back,4109085681,124,,4109085727,189,,4109085691,213,1.3,4109085689,212,20.3,lfar3t1safoyi3yfz5yph149,Choi Chul-Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522251583,25,1,1,2,31,4dhojk80ifrs6ax05725bala2,1,9.9,71.2,2023-03-19T10:01:28.551Z,2023-03-19T10:01:29Z,4109085833,140,7.5,4109085831,56,Back,4109085837,212,16.4,4109085839,213,4.6,4109085835,141,47.3,,,,,,,,,,15lc9nb9h2r2e9qvh4es27q7e,Kim Ju-Sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
