id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2486950335,16,1,1,1,3,cz26xwowfjp8ei14n9z2ac135,1,9.5,45.7,2022-11-20T15:03:49.182Z,2022-11-20T15:03:54Z,3922770819,212,21.1,3922770815,140,22.9,3922770817,141,22.5,3922770813,56,Back,3922770821,213,5.4,,,,,,,,,,68a0jc6cin6hxx0bkdch9hc5x,M. Arnold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950349,17,1,1,1,9,cz26xwowfjp8ei14n9z2ac135,1,43.3,5.6,2022-11-20T15:03:54.822Z,2022-11-20T15:03:57Z,3922770915,212,18.9,3922770909,56,Right,3922770911,140,59.6,3922770913,141,17.4,3922770917,213,0.4,,,,,,,,,,230r9tcwg89z5b9kxdqwi336d,G. Fisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950363,18,1,1,1,11,cz26xwowfjp8ei14n9z2ac135,1,59.6,17.4,2022-11-20T15:03:57.070Z,2022-11-20T15:03:59Z,3922771001,140,61.7,3922771007,213,4.9,3922771003,141,1.7,3922770999,56,Right,3922771005,212,10.9,,,,,,,,,,19npqca9guxs7p2yl5sbjmbx1,L. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950367,19,61,1,1,14,cz26xwowfjp8ei14n9z2ac135,0,61.7,1.7,2022-11-20T15:03:59.446Z,2022-11-20T15:04:02Z,3922771021,56,Right,,,,,,,,,,,,,,,,,,,,,,7mdnewy67dddv3ahqw1qhbx05,R. Shimizu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950369,15,49,1,1,14,28u3q82ip96ahymkup01vfxli,1,36.9,90.3,2022-11-20T15:04:00.262Z,2022-11-20T15:04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,3upyu7hn2q7voapvgtlnl1yad,J. Purfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950389,16,1,1,1,15,28u3q82ip96ahymkup01vfxli,1,36.9,86.8,2022-11-20T15:04:00.934Z,2022-11-20T15:04:03Z,3922771127,140,34.3,3922771133,213,4.5,3922771125,56,Back,3922771131,212,10.8,3922771129,141,71.5,,,,,,,,,,3upyu7hn2q7voapvgtlnl1yad,J. Purfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950425,17,43,1,1,18,28u3q82ip96ahymkup01vfxli,1,0,0,2022-11-20T15:04:03.534Z,2022-11-20T15:04:11Z,3922771291,56,Back,3922771359,144,1,3922771295,141,96.2,3922771299,213,2.0,3922771297,212,13.0,3922771293,140,30.8,,,,,,,3km1u2mw1tkioh2mucow7d1pl,S. Tierney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950427,18,4,1,1,20,28u3q82ip96ahymkup01vfxli,1,34,82.5,2022-11-20T15:04:06.124Z,2022-11-20T15:04:09Z,3922771313,265,,3922771307,13,,3922771321,233,20,3922771325,286,,3922771311,152,,3922771309,56,Back,,,,,,,3km1u2mw1tkioh2mucow7d1pl,S. Tierney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950409,20,4,1,1,20,cz26xwowfjp8ei14n9z2ac135,0,66,17.5,2022-11-20T15:04:06.125Z,2022-11-20T15:04:09Z,3922771245,265,,3922771239,13,,3922771329,233,18,3922771241,56,Right,3922771247,285,,3922771243,152,,,,,,,,9ov9x5gap2t34kv8clhwjqvh1,D. Brynjarsdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950573,19,1,1,1,40,28u3q82ip96ahymkup01vfxli,1,38.6,84.2,2022-11-20T15:04:26.119Z,2022-11-20T15:04:31Z,3922771919,140,22.4,3922771915,152,,3922771923,212,19.4,3922771925,213,3.6,3922771913,5,,3922771917,56,Back,3922771921,141,70.6,,,,d3qtg5xhiwe3zamb4mh50whjp,S. Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950617,20,1,1,1,46,28u3q82ip96ahymkup01vfxli,1,24.9,67,2022-11-20T15:04:31.598Z,2022-11-20T15:04:36Z,3922772127,56,Back,3922772133,212,22.2,3922772135,213,4.7,3922772131,141,34.3,3922772129,140,24.9,,,,,,,,,,8hmqpyniap0whyfhco0dhp3v9,A. Plumptre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950621,21,1,1,1,50,28u3q82ip96ahymkup01vfxli,1,29.6,21.5,2022-11-20T15:04:36.358Z,2022-11-20T15:04:38Z,3922772161,56,Back,3922772165,141,9.2,3922772169,213,4.9,3922772163,140,30.9,3922772167,212,8.5,,,,,,,,,,8evgc5zhtfnqatt15vr3ttwwl,A. McManus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950629,22,1,1,1,52,28u3q82ip96ahymkup01vfxli,0,66.1,5.5,2022-11-20T15:04:38.382Z,2022-11-20T15:04:39Z,3922772195,141,16.4,3922772191,56,Right,3922772193,140,85.3,3922772197,212,21.5,3922772201,213,0.4,,,,,,,,,,4lfk4hy1a6ig3izoq3mgl9zhl,E. Simon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950623,21,8,1,1,53,cz26xwowfjp8ei14n9z2ac135,1,18.3,84.1,2022-11-20T15:04:38.934Z,2022-11-20T15:04:39Z,3922772173,56,Back,,,,,,,,,,,,,,,,,,,,,,dfodeak21qhzgxr7qs85f3vf9,K. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950641,22,5,1,1,55,cz26xwowfjp8ei14n9z2ac135,0,13.5,101.8,2022-11-20T15:04:40.958Z,2022-11-20T15:04:49Z,3922772255,56,Back,3922772465,233,23,3922772257,347,,,,,,,,,,,,,,,,,dfodeak21qhzgxr7qs85f3vf9,K. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950675,23,5,1,1,55,28u3q82ip96ahymkup01vfxli,1,86.5,-1.8,2022-11-20T15:04:40.958Z,2022-11-20T15:13:15Z,3922772455,347,,3922772461,233,22,3922772453,56,Right,,,,,,,,,,,,,,,,4lfk4hy1a6ig3izoq3mgl9zhl,E. Simon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950687,24,1,1,2,3,28u3q82ip96ahymkup01vfxli,1,85.7,0,2022-11-20T15:04:48.894Z,2022-11-20T15:04:53Z,3922772529,141,15.5,3922772531,212,11.6,3922772525,56,Right,3922772533,213,1.7,3922772523,107,,3922772527,140,84.0,,,,,,,4lfk4hy1a6ig3izoq3mgl9zhl,E. Simon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950689,25,61,1,2,4,28u3q82ip96ahymkup01vfxli,0,82.7,15.8,2022-11-20T15:04:49.926Z,2022-11-20T15:08:04Z,3922772537,56,Right,,,,,,,,,,,,,,,,,,,,,,6k1s7y9dnzdpppppdco7bgudx,C. Bott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950685,23,49,1,2,5,cz26xwowfjp8ei14n9z2ac135,1,22.4,84.1,2022-11-20T15:04:51.381Z,2022-11-20T15:04:51Z,,,,,,,,,,,,,,,,,,,,,,,,,e93vn46w6kk9xwdb8forgzil1,V. Asseyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950691,24,1,1,2,7,cz26xwowfjp8ei14n9z2ac135,0,24.9,74.1,2022-11-20T15:04:52.446Z,2022-11-20T15:04:53Z,3922772547,213,5.0,3922772543,141,60.2,3922772541,140,27.2,3922772539,56,Back,3922772545,212,9.8,,,,,,,,,,e93vn46w6kk9xwdb8forgzil1,V. Asseyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
