id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/13/value
2538505287,5,1,1,0,14,8ijkk62897so5r3bq0wgwx4bu,1,17.8,32.7,2023-04-24T00:05:49.382Z,2023-04-24T00:05:52Z,4216198433,212,16.1,4216198431,141,53.0,4216198427,56,Back,4216198435,213,1.0,4216198429,140,25.7,,,,,,,,,,2vq2t4ttpcwey95jzofd60qy2,C. Klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505295,6,61,1,0,15,8ijkk62897so5r3bq0wgwx4bu,0,25.7,53,2023-04-24T00:05:50.805Z,2023-04-28T15:55:22Z,4216198465,56,Back,,,,,,,,,,,,,,,,,,,,,,91kiw0xa00btt5v54ywplywkq,A. Saldaña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540155171,741,49,1,0,15,d0c07im4a6oj8qa7f1zlt3pqs,1,65.7,40.1,2023-04-24T00:05:51.077Z,2023-04-28T15:55:16Z,,,,,,,,,,,,,,,,,,,,,,,,,6pqyqf9v6g60ci7jjggalqsq1,J. Hafferty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505299,7,1,1,0,17,d0c07im4a6oj8qa7f1zlt3pqs,1,71.4,60.8,2023-04-24T00:05:52.514Z,2023-04-24T00:05:53Z,4216198497,140,66.1,4216198499,141,43.3,4216198493,3,,4216198501,212,13.1,4216198495,56,Center,4216198503,213,4.3,,,,,,,42wy8249nwozwzl13jqewtn56,A. Ocampo-Chávez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505327,8,1,1,0,19,d0c07im4a6oj8qa7f1zlt3pqs,0,66.1,43.3,2023-04-24T00:05:54.291Z,2023-04-28T15:54:52Z,4216198669,56,Center,4216198675,212,14.6,4216198671,140,60.8,4216198673,141,63.1,4216198677,213,2.0,,,,,,,,,,6pqyqf9v6g60ci7jjggalqsq1,J. Hafferty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505333,9,43,1,0,20,d0c07im4a6oj8qa7f1zlt3pqs,1,0,0,2023-04-24T00:05:55.453Z,2023-04-28T15:54:57Z,4216198685,56,Center,4231980225,144,61,,,,,,,,,,,,,,,,,,,6jsu34146kbtoeco3ue1a7ok4,J. Walti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505339,7,1,1,0,21,8ijkk62897so5r3bq0wgwx4bu,1,41.1,35.4,2023-04-24T00:05:56.286Z,2023-04-24T00:17:33Z,4216198713,56,Back,4216198721,213,3.6,4216198719,212,5.7,4216198717,141,31.6,4216198715,140,36.3,,,,,,,,,,1kl9112b8rcbr3k1s5hs353x0,A. Bibout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505355,8,1,1,0,23,8ijkk62897so5r3bq0wgwx4bu,1,44.3,57.5,2023-04-24T00:05:58.358Z,2023-04-28T15:55:44Z,4216198831,140,65.2,4216198835,212,31.3,4216198829,56,Left,4216198833,141,90.3,4216198837,213,0.8,,,,,,,,,,okf3cwwp4y2zzqt67yfa5mac,A. Alcalá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505359,9,3,1,0,25,8ijkk62897so5r3bq0wgwx4bu,0,66.3,87.4,2023-04-24T00:06:00.805Z,2023-04-28T15:56:00Z,4216198855,286,,4231983407,464,,4216199019,233,10,4216198853,56,Left,,,,,,,,,,,,,amcmxrycu0kldox7qdohow2ui,A. Picazo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505381,10,7,1,0,25,d0c07im4a6oj8qa7f1zlt3pqs,1,33.7,12.6,2023-04-24T00:06:00.806Z,2023-04-28T15:55:58Z,4216198991,56,Back,4216198993,285,,4231983271,383,,4216199015,233,9,,,,,,,,,,,,,6pqyqf9v6g60ci7jjggalqsq1,J. Hafferty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505385,11,49,1,0,30,d0c07im4a6oj8qa7f1zlt3pqs,1,32.9,10.9,2023-04-24T00:06:05.953Z,2023-04-24T00:06:05Z,,,,,,,,,,,,,,,,,,,,,,,,,6pqyqf9v6g60ci7jjggalqsq1,J. Hafferty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505399,12,1,1,0,31,d0c07im4a6oj8qa7f1zlt3pqs,1,32.9,10.1,2023-04-24T00:06:06.439Z,2023-04-24T00:06:09Z,4216199077,140,43.3,4216199079,141,6.2,4216199083,213,6.0,4216199075,56,Back,4216199081,212,11.2,,,,,,,,,,6pqyqf9v6g60ci7jjggalqsq1,J. Hafferty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505401,13,50,1,0,31,d0c07im4a6oj8qa7f1zlt3pqs,1,41.6,6.5,2023-04-24T00:06:06.615Z,2023-04-24T00:06:10Z,4216199119,233,10,4216199089,286,,4216199087,56,Back,,,,,,,,,,,,,,,,3sm6srzig957fdn96ta68nmne,D. Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505389,10,7,1,0,31,8ijkk62897so5r3bq0wgwx4bu,0,58.4,93.5,2023-04-24T00:06:06.616Z,2023-04-28T15:56:15Z,4216199031,56,Left,4216199115,233,13,4231983977,385,,4216199033,285,,,,,,,,,,,,,,1tln4ic02q7gakyi104b0o9ka,M. Carbone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505409,14,1,1,0,32,d0c07im4a6oj8qa7f1zlt3pqs,0,30.6,11.7,2023-04-24T00:06:08.001Z,2023-04-28T15:57:11Z,4216199153,213,0.3,4216199147,140,43.4,4216199149,141,17.0,4216199151,212,13.9,4216199145,56,Back,,,,,,,,,,6pqyqf9v6g60ci7jjggalqsq1,J. Hafferty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540156099,970,1,1,0,33,8ijkk62897so5r3bq0wgwx4bu,0,56.4,88.5,2023-04-24T00:06:08.626Z,2023-04-28T15:57:07Z,4231986363,56,Left,4231986371,213,6.2,4231986369,212,10.6,4231986367,141,87.3,4231986365,140,66.5,,,,,,,,,,1tln4ic02q7gakyi104b0o9ka,M. Carbone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505403,11,43,1,0,34,8ijkk62897so5r3bq0wgwx4bu,1,0,0,2023-04-24T00:06:09.397Z,2023-04-28T15:56:35Z,4216199095,140,64.2,4231984927,144,1,4216199093,56,Left,4216199101,213,5.7,4216199097,141,87.2,4216199099,212,9.5,,,,,,,1tln4ic02q7gakyi104b0o9ka,M. Carbone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505449,15,1,1,0,35,d0c07im4a6oj8qa7f1zlt3pqs,1,37.3,10.6,2023-04-24T00:06:10.549Z,2023-04-28T15:57:29Z,4216199385,212,12.8,4216199381,140,34.5,4216199379,56,Back,4216199383,141,28.9,4216199387,213,1.8,,,,,,,,,,ov91zkisppven9tp72gfbjf8,B. Byaruhanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540157055,742,1,1,0,36,d0c07im4a6oj8qa7f1zlt3pqs,1,36.9,26.8,2023-04-24T00:06:11.377Z,2023-04-28T15:59:21Z,4231991805,140,26.5,4231991811,213,3.5,4231991809,212,11.7,4231991807,141,20.5,4231991803,56,Back,,,,,,,,,,6jsu34146kbtoeco3ue1a7ok4,J. Walti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505471,16,1,1,0,43,d0c07im4a6oj8qa7f1zlt3pqs,1,32.4,29.8,2023-04-24T00:06:18.557Z,2023-04-24T00:06:21Z,4216199551,141,5.8,4216199555,213,5.0,4216199547,56,Back,4216199549,140,37.8,4216199553,212,17.3,,,,,,,,,,5h73r4bv42whxsvnlq89b89re,K. Keller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505483,17,1,1,0,46,d0c07im4a6oj8qa7f1zlt3pqs,0,38.3,5.8,2023-04-24T00:06:21.896Z,2023-04-24T00:06:23Z,4216199615,155,,4216199623,212,23.1,4216199625,213,6.3,4216199621,141,5.6,4216199619,140,60.3,4216199617,56,Right,,,,,,,6pqyqf9v6g60ci7jjggalqsq1,J. Hafferty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505489,12,61,1,0,48,8ijkk62897so5r3bq0wgwx4bu,0,45,92.1,2023-04-24T00:06:23.244Z,2023-04-24T00:06:28Z,4216199635,56,Back,,,,,,,,,,,,,,,,,,,,,,1tln4ic02q7gakyi104b0o9ka,M. Carbone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505531,18,1,1,0,53,d0c07im4a6oj8qa7f1zlt3pqs,1,44.1,24.1,2023-04-24T00:06:28.753Z,2023-04-24T00:06:30Z,4216199857,212,17.8,4216199859,213,1.3,4216199853,140,48.3,4216199851,56,Back,4216199855,141,49.4,,,,,,,,,,3sm6srzig957fdn96ta68nmne,D. Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505543,19,1,1,0,54,d0c07im4a6oj8qa7f1zlt3pqs,1,52.6,41,2023-04-24T00:06:30.090Z,2023-04-24T00:06:34Z,4216199955,213,5.4,4216199951,141,16.1,4216199953,212,21.4,4216199947,56,Right,4216199949,140,65.1,,,,,,,,,,e6gr1t1rp2x7waywgzlrj8yqx,V. Noël,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505561,20,1,1,0,59,d0c07im4a6oj8qa7f1zlt3pqs,1,65.1,16.1,2023-04-24T00:06:34.588Z,2023-04-24T00:06:37Z,4216200055,141,6.1,4216200051,140,84.3,4216200063,213,6.0,4216200047,56,Right,4216200059,212,21.3,,,,,,,,,,ov91zkisppven9tp72gfbjf8,B. Byaruhanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505575,21,1,1,1,2,d0c07im4a6oj8qa7f1zlt3pqs,1,83,6.1,2023-04-24T00:06:37.645Z,2023-04-24T00:06:39Z,4216200143,140,65.6,4216200147,212,18.3,4216200149,213,3.1,4216200145,141,7.1,4216200141,56,Right,,,,,,,,,,e6gr1t1rp2x7waywgzlrj8yqx,V. Noël,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505591,22,1,1,1,4,d0c07im4a6oj8qa7f1zlt3pqs,1,65.6,7.1,2023-04-24T00:06:39.934Z,2023-04-24T00:06:42Z,4216200247,141,16.4,4216200249,212,20.6,4216200243,56,Back,4216200251,213,2.8,4216200245,140,46.9,,,,,,,,,,6pqyqf9v6g60ci7jjggalqsq1,J. Hafferty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505605,23,1,1,1,7,d0c07im4a6oj8qa7f1zlt3pqs,1,46.9,16.4,2023-04-24T00:06:42.231Z,2023-04-24T00:06:44Z,4216200309,56,Back,4216200315,212,23.9,4216200311,140,38.8,4216200317,213,1.9,4216200313,141,49.3,,,,,,,,,,5h73r4bv42whxsvnlq89b89re,K. Keller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505623,24,1,1,1,9,d0c07im4a6oj8qa7f1zlt3pqs,1,44.3,53.1,2023-04-24T00:06:44.455Z,2023-04-24T00:06:46Z,4216200421,212,24.0,4216200417,140,56.1,4216200419,141,83.3,4216200415,56,Left,4216200423,213,1.0,,,,,,,,,,d0riqrsz7ojwb9m94rbvx7r6y,S. Mazzaferro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505645,25,1,1,1,11,d0c07im4a6oj8qa7f1zlt3pqs,1,55.4,88.1,2023-04-24T00:06:46.881Z,2023-04-24T00:06:52Z,4216200561,141,97.1,4216200565,213,0.6,4216200559,140,64.8,4216200557,56,Left,4216200563,212,11.6,,,,,,,,,,8ly83pm2mbtz4u7jwsv0o96qy,C. Touré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505689,26,1,1,1,16,d0c07im4a6oj8qa7f1zlt3pqs,1,56.3,90.5,2023-04-24T00:06:52.107Z,2023-04-24T00:06:57Z,4216200793,213,0.3,4216200785,56,Left,4216200791,212,11.2,4216200787,140,66.5,4216200789,141,95.3,,,,,,,,,,elvrjpt1jlko4henaqvfid7o4,M. Burton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505705,27,1,1,1,22,d0c07im4a6oj8qa7f1zlt3pqs,1,62.6,87.8,2023-04-24T00:06:57.733Z,2023-04-24T00:07:01Z,4216200901,56,Left,4216200905,141,97.1,4216200907,212,7.6,4216200909,213,1.0,4216200903,140,66.6,,,,,,,,,,8ly83pm2mbtz4u7jwsv0o96qy,C. Touré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505747,28,1,1,1,26,d0c07im4a6oj8qa7f1zlt3pqs,1,62.9,94.5,2023-04-24T00:07:01.999Z,2023-04-24T00:07:07Z,4216201025,213,5.1,4216201019,140,83.6,4216201021,141,10.7,4216201017,56,Right,4216201013,155,,4216201027,1,,4216201015,196,,4216201023,212,61.0,elvrjpt1jlko4henaqvfid7o4,M. Burton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505773,29,1,1,1,32,d0c07im4a6oj8qa7f1zlt3pqs,1,85.6,11,2023-04-24T00:07:07.368Z,2023-04-24T00:07:09Z,4216201167,213,0.5,4216201163,141,18.0,4216201161,140,94.9,4216201165,212,10.9,4216201159,56,Right,,,,,,,,,,e6gr1t1rp2x7waywgzlrj8yqx,V. Noël,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505777,30,1,1,1,34,d0c07im4a6oj8qa7f1zlt3pqs,0,94.9,18,2023-04-24T00:07:09.865Z,2023-04-24T00:07:10Z,4216201181,140,84.5,4216201185,212,27.5,4216201187,213,2.0,4216201183,141,55.1,4216201179,56,Center,,,,,,,,,,ov91zkisppven9tp72gfbjf8,B. Byaruhanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505791,13,12,1,1,35,8ijkk62897so5r3bq0wgwx4bu,1,12.7,43.3,2023-04-24T00:07:11.087Z,2023-04-24T00:07:14Z,4216201225,56,Back,4216201233,213,1.1,4216201229,141,60.6,4216201227,140,18.9,4216201231,212,13.4,,,,,,,,,,37zynr7fwzqg4c9w5ydefywyy,A. González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505799,31,44,1,1,38,d0c07im4a6oj8qa7f1zlt3pqs,1,80.6,40.3,2023-04-24T00:07:13.891Z,2023-04-24T00:07:15Z,4216201259,56,Center,4216201265,233,14,4216201261,286,,,,,,,,,,,,,,,,,e6gr1t1rp2x7waywgzlrj8yqx,V. Noël,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505793,14,44,1,1,38,8ijkk62897so5r3bq0wgwx4bu,0,19.4,59.7,2023-04-24T00:07:13.892Z,2023-04-24T00:07:15Z,4216201271,233,31,4216201235,56,Back,4216201237,285,,,,,,,,,,,,,,,,,amcmxrycu0kldox7qdohow2ui,A. Picazo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505809,32,1,1,1,39,d0c07im4a6oj8qa7f1zlt3pqs,1,80.2,41.2,2023-04-24T00:07:14.996Z,2023-04-24T00:07:16Z,4216201335,56,Center,4216201341,212,24.5,4216201343,213,2.0,4216201339,141,73.5,4216201337,140,69.9,4216201333,3,,,,,,,,e6gr1t1rp2x7waywgzlrj8yqx,V. Noël,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505827,33,1,1,1,41,d0c07im4a6oj8qa7f1zlt3pqs,1,69.8,74.2,2023-04-24T00:07:16.844Z,2023-04-24T00:07:18Z,4216201425,140,83.0,4216201423,56,Left,4216201427,141,79.6,4216201429,212,14.3,4216201431,213,0.3,,,,,,,,,,8ly83pm2mbtz4u7jwsv0o96qy,C. Touré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505847,34,1,1,1,43,d0c07im4a6oj8qa7f1zlt3pqs,1,82.3,83.2,2023-04-24T00:07:18.988Z,2023-04-24T00:07:23Z,4216201551,212,17.3,4216201545,56,Left,4216201553,213,2.6,4216201547,140,68.4,4216201549,141,96.8,,,,,,,,,,elvrjpt1jlko4henaqvfid7o4,M. Burton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505877,35,1,1,1,48,d0c07im4a6oj8qa7f1zlt3pqs,1,65.7,96.5,2023-04-24T00:07:23.214Z,2023-04-24T00:07:27Z,4216201705,141,89.7,4216201701,56,Back,4216201703,140,36.9,4216201707,212,30.6,4216201709,213,3.3,,,,,,,,,,8ly83pm2mbtz4u7jwsv0o96qy,C. Touré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505911,36,1,1,1,52,d0c07im4a6oj8qa7f1zlt3pqs,1,38,85.1,2023-04-24T00:07:27.640Z,2023-04-24T00:07:34Z,4216201937,212,29.1,4216201939,213,4.5,4216201933,140,32.5,4216201935,141,43.1,4216201931,56,Back,,,,,,,,,,d0riqrsz7ojwb9m94rbvx7r6y,S. Mazzaferro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505915,37,1,1,1,59,d0c07im4a6oj8qa7f1zlt3pqs,0,41.8,37.3,2023-04-24T00:07:34.738Z,2023-04-24T00:07:35Z,4216201961,140,73.1,4216201965,212,32.9,4216201959,56,Center,4216201967,213,6.2,4216201969,1,,4216201963,141,34.2,,,,,,,5h73r4bv42whxsvnlq89b89re,K. Keller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505917,15,8,1,2,0,8ijkk62897so5r3bq0wgwx4bu,1,35.1,72.6,2023-04-24T00:07:35.813Z,2023-04-28T15:59:21Z,4216201971,56,Back,4231991817,385,,,,,,,,,,,,,,,,,,,,e23yyl43xtcve09dx234uuj8,A. Essengue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505933,38,1,1,2,3,d0c07im4a6oj8qa7f1zlt3pqs,1,70.9,46.1,2023-04-24T00:07:38.132Z,2023-04-24T00:07:39Z,4216202105,213,3.9,4216202101,141,36.7,4216202097,56,Center,4216202099,140,64.8,4216202103,212,9.0,,,,,,,,,,42wy8249nwozwzl13jqewtn56,A. Ocampo-Chávez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505947,39,1,1,2,4,d0c07im4a6oj8qa7f1zlt3pqs,1,64.8,37.1,2023-04-24T00:07:39.395Z,2023-04-24T00:07:42Z,4216202229,141,13.8,4216202227,140,79.6,4216202231,212,22.2,4216202233,213,5.5,4216202225,56,Right,,,,,,,,,,ov91zkisppven9tp72gfbjf8,B. Byaruhanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505961,40,1,1,2,7,d0c07im4a6oj8qa7f1zlt3pqs,1,84.8,20.4,2023-04-24T00:07:42.541Z,2023-04-24T00:07:44Z,4216202317,213,0.8,4216202313,141,32.2,4216202309,56,Center,4216202315,212,11.3,4216202311,140,92.4,,,,,,,,,,3sm6srzig957fdn96ta68nmne,D. Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
