id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value
2524921689,10,1,1,1,0,479lsfr4cwlzewpbuda3y2xv4,1,32.7,15.5,2023-03-26T19:06:11.501Z,2023-03-29T08:40:00Z,4125418399,213,1.9,4125418397,212,8.0,4125418393,140,29.9,4125418391,56,Back,4125495497,5,,4125495499,152,,4125418395,141,26.4,,,,37uh4n2zngcixlzo8vnk50vtg,Z. Taifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921709,11,1,1,1,1,479lsfr4cwlzewpbuda3y2xv4,1,29.9,26.4,2023-03-26T19:06:12.437Z,2023-03-29T08:42:54Z,4125418519,212,5.3,4125418517,141,30.7,4125418515,140,34.1,4125418521,213,0.6,4125418513,56,Back,,,,,,,,,,cqlc423f6bid2uy3togwkvlgq,A. Salim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525659961,633,1,1,1,2,479lsfr4cwlzewpbuda3y2xv4,1,27.1,32,2023-03-26T19:06:13.890Z,2023-03-29T08:43:01Z,4147846563,56,Back,4147846571,213,4.1,4147846565,140,22.9,4147846569,212,8.0,4147846567,141,22.2,,,,,,,,,,eqws52w506rp4a2x9mqwm76ga,Juninho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921721,12,1,1,1,8,479lsfr4cwlzewpbuda3y2xv4,1,34.1,30.7,2023-03-26T19:06:19.388Z,2023-03-26T21:33:11Z,4125418605,213,1.7,4125418603,212,15.7,4125418601,141,53.6,4125418597,56,Back,4125418599,140,32.3,,,,,,,,,,cqlc423f6bid2uy3togwkvlgq,A. Salim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921727,13,1,1,1,10,479lsfr4cwlzewpbuda3y2xv4,1,32.3,53.6,2023-03-26T19:06:21.820Z,2023-03-26T19:06:23Z,4125418641,141,76.9,4125418633,56,Back,4125418645,212,17.0,4125418647,213,1.2,4125418637,140,38.2,,,,,,,,,,ex99a6zbacpkkhgvynu80qpzo,N. Kibunguchy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921747,14,1,1,1,12,479lsfr4cwlzewpbuda3y2xv4,1,38.2,76.9,2023-03-26T19:06:23.548Z,2023-03-26T19:06:26Z,4125418755,213,4.2,4125418751,141,67.8,4125418753,212,7.3,4125418749,140,34.6,4125418747,56,Back,,,,,,,,,,2v114vco5wn9oieg2hrev1n56,F. Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921755,15,1,1,1,15,479lsfr4cwlzewpbuda3y2xv4,1,34.6,67.8,2023-03-26T19:06:26.253Z,2023-03-26T19:06:28Z,4125418799,141,81.2,4125418797,140,39.9,4125418795,56,Back,4125418801,212,10.7,4125418803,213,1.0,,,,,,,,,,ex99a6zbacpkkhgvynu80qpzo,N. Kibunguchy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921769,16,1,1,1,16,479lsfr4cwlzewpbuda3y2xv4,1,39.9,81.2,2023-03-26T19:06:28.021Z,2023-03-26T19:06:30Z,4125418841,140,34.5,4125418843,141,72.1,4125418845,212,8.4,4125418839,56,Back,4125418847,213,4.0,,,,,,,,,,2v114vco5wn9oieg2hrev1n56,F. Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921785,17,1,1,1,19,479lsfr4cwlzewpbuda3y2xv4,1,34.5,72.1,2023-03-26T19:06:30.213Z,2023-03-26T19:06:35Z,4125418953,140,41.8,4125418951,56,Back,4125418959,213,1.0,4125418957,212,14.5,4125418955,141,90.2,,,,,,,,,,ex99a6zbacpkkhgvynu80qpzo,N. Kibunguchy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921797,18,1,1,1,23,479lsfr4cwlzewpbuda3y2xv4,1,47.7,93.6,2023-03-26T19:06:34.925Z,2023-03-26T19:06:38Z,4125419011,56,Center,4125419023,213,5.5,4125419015,141,75.3,4125419013,140,60.4,4125419019,212,18.2,,,,,,,,,,2v114vco5wn9oieg2hrev1n56,F. Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
