id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2530034619,4,49,1,0,14,dqx48fglv1l96cyrmjdod0xec,1,57.7,91.7,2023-04-08T00:05:40.066Z,2023-04-12T11:50:05Z,,,,,,,,,,,,,,,,,,,,,,,,,2u05snfruohp5sqhdpy5vvlnu,A. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532537239,942,3,1,0,15,dqx48fglv1l96cyrmjdod0xec,0,61,90.8,2023-04-08T00:05:40.876Z,2023-04-12T11:50:16Z,4184461613,464,,4184461611,286,,4184461609,56,Left,4184461615,467,7gmf2omch4d84vwb55m2apt9m,,,,,,,,,,,,,2u05snfruohp5sqhdpy5vvlnu,A. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034635,6,4,1,0,17,dqx48fglv1l96cyrmjdod0xec,1,59.8,92.6,2023-04-08T00:05:42.889Z,2023-04-12T15:37:15Z,4171216683,265,,4171216679,56,Left,4171216715,233,7,4171216685,286,,4171216677,13,,4171216681,152,,,,,,,,2u05snfruohp5sqhdpy5vvlnu,A. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034639,7,4,1,0,17,7pmw399vh2v44cjle4fkklp1w,0,40.2,7.4,2023-04-08T00:05:42.890Z,2023-04-12T15:37:14Z,4171216719,233,6,4171216707,152,,4171216705,56,Back,4171216703,13,,4171216711,285,,4171216709,265,,,,,,,,7gmf2omch4d84vwb55m2apt9m,J. Castilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034699,7,1,1,0,34,dqx48fglv1l96cyrmjdod0xec,1,55.3,91.1,2023-04-08T00:05:59.898Z,2023-04-08T01:02:59Z,4171217087,152,,4171217093,141,93.5,4171217085,5,,4171217095,212,15.9,4171217097,213,3.0,4171217089,56,Back,4171217091,140,40.2,,,,en6q7ddrr22sz6knipkbqhyw9,Wan Kuzain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034719,8,1,1,0,36,dqx48fglv1l96cyrmjdod0xec,1,39,91.7,2023-04-08T00:06:02.586Z,2023-04-08T01:03:03Z,4171217205,141,63.1,4171217207,212,34.5,4171217201,56,Back,4171217211,1,,4171217209,213,3.7,4171217203,140,11.9,,,,,,,2hdg94moevfpp12pbwjg1ypec,F. Volmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034747,9,1,1,0,41,dqx48fglv1l96cyrmjdod0xec,1,17.2,50.9,2023-04-08T00:06:07.305Z,2023-04-08T01:03:08Z,4171217363,212,19.1,4171217357,56,Back,4171217361,141,23.7,4171217359,140,21.8,4171217365,213,5.0,,,,,,,,,,brbc088u7sq9wh9d9gkonn5gq,C. Olivares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034767,10,1,1,0,48,dqx48fglv1l96cyrmjdod0xec,1,32.2,17.7,2023-04-08T00:06:14.538Z,2023-04-08T01:03:31Z,4171217461,141,1.1,4171217459,140,38.9,4171217465,213,5.3,4171217457,56,Back,4171217463,212,13.3,,,,,,,,,,910fd7rfysvvfzp2s1ywna5pm,M. Wentzel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034771,11,1,1,0,50,dqx48fglv1l96cyrmjdod0xec,1,39.1,2.6,2023-04-08T00:06:16.243Z,2023-04-12T11:51:34Z,4171217497,1,,4171217495,213,0.2,4171217483,56,Right,4171217491,212,38.7,4171217487,141,11.7,4171217485,140,75.5,4171217481,155,,,,,4s56s6f9nw96wergw7ix5zp0q,O. O'Malley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034805,13,61,1,0,52,dqx48fglv1l96cyrmjdod0xec,1,63.7,4.4,2023-04-08T00:06:17.851Z,2023-04-12T11:51:35Z,4171217673,56,Right,,,,,,,,,,,,,,,,,,,,,,5jigl7kp5d2i5ws1602jm7n1m,J. Klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532537409,943,3,1,0,54,dqx48fglv1l96cyrmjdod0xec,0,69.9,15.9,2023-04-08T00:06:20.626Z,2023-04-12T11:51:49Z,4184462771,56,Right,4184462813,211,,4184462835,464,,4184462773,286,,,,,,,,,,,,,,9k050zmkegfu3gdw2b4g4uwwk,C. Glover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034775,8,49,1,0,55,7pmw399vh2v44cjle4fkklp1w,1,30.2,92.3,2023-04-08T00:06:21.157Z,2023-04-08T00:06:21Z,,,,,,,,,,,,,,,,,,,,,,,,,erwor15ez2ech6aoyxoeyix62,I. LeFlore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034791,9,1,1,0,57,7pmw399vh2v44cjle4fkklp1w,0,30.5,97.8,2023-04-08T00:06:22.702Z,2023-04-12T11:51:57Z,4171217601,213,6.0,4171217587,157,,4171217653,233,12,4171217599,212,4.1,4171217595,140,34.3,4171217597,141,96.3,4171217603,1,,4171217589,56,Back,erwor15ez2ech6aoyxoeyix62,I. LeFlore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034795,12,8,1,0,58,dqx48fglv1l96cyrmjdod0xec,1,62.3,4.3,2023-04-08T00:06:23.703Z,2023-04-12T11:51:55Z,4184462891,385,,4171217613,56,Right,,,,,,,,,,,,,,,,,,,9k050zmkegfu3gdw2b4g4uwwk,C. Glover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034797,10,5,1,1,0,7pmw399vh2v44cjle4fkklp1w,1,33.5,101.1,2023-04-08T00:06:25.782Z,2023-04-08T00:49:22Z,4171217621,56,Back,4171283693,233,380,4171217623,347,,,,,,,,,,,,,,,,,erwor15ez2ech6aoyxoeyix62,I. LeFlore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530047779,380,5,1,1,0,dqx48fglv1l96cyrmjdod0xec,0,66.5,-1.1,2023-04-08T00:06:25.782Z,2023-04-08T01:43:43Z,4171283701,233,10,4171283543,347,,4171283541,56,Right,,,,,,,,,,,,,,,,2hdg94moevfpp12pbwjg1ypec,F. Volmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034817,11,1,1,1,0,7pmw399vh2v44cjle4fkklp1w,1,30.2,100,2023-04-08T00:06:26.422Z,2023-04-08T00:06:30Z,4171217737,56,Back,4171217735,107,,4171217743,212,30.3,4171217747,1,,4171217745,213,4.2,4171217741,141,63.9,4171217739,140,14.9,,,,erwor15ez2ech6aoyxoeyix62,I. LeFlore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034835,12,1,1,1,4,7pmw399vh2v44cjle4fkklp1w,0,15.1,63.7,2023-04-08T00:06:30.246Z,2023-04-08T00:06:34Z,4171217839,141,63.1,4171217833,157,,4171217841,212,61.1,4171217845,1,,4171217843,213,6.3,4171217835,56,Center,4171217837,140,73.3,,,,e81zc97bmfjgwo978gplrx46i,X. Valdez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034837,14,12,1,1,8,dqx48fglv1l96cyrmjdod0xec,1,21.9,37.7,2023-04-08T00:06:33.763Z,2023-04-12T11:52:15Z,4171217847,56,Back,4184463085,141,11.8,4184463087,212,23.6,4184463089,213,4.0,4184463083,140,7.0,,,,,,,,,,910fd7rfysvvfzp2s1ywna5pm,M. Wentzel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034861,13,1,1,1,13,7pmw399vh2v44cjle4fkklp1w,1,96.9,84.1,2023-04-08T00:06:39.173Z,2023-04-08T00:06:42Z,4171218025,213,2.4,4171218021,141,93.6,4171218019,140,89.9,4171218023,212,9.8,4171218017,56,Left,,,,,,,,,,cqmvrx028gh19yh8qh7w01y0a,R. Avila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034869,14,1,1,1,16,7pmw399vh2v44cjle4fkklp1w,0,92.5,89.9,2023-04-08T00:06:42.390Z,2023-04-12T11:52:24Z,4171218073,212,23.9,4171218067,56,Center,4171218065,155,,4184463191,72,,4171218075,213,4.7,4171218063,2,,4171218069,140,92.3,4184463189,224,,6oia90bi52zwmgdlvcvfnj1pm,J. Evans,4171218071,141,54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034895,15,12,1,1,19,dqx48fglv1l96cyrmjdod0xec,1,9.7,44.1,2023-04-08T00:06:45.331Z,2023-04-12T11:52:40Z,4171218231,212,14.5,4171218229,141,64.3,4171218233,213,1.2,4171218225,56,Back,4171218227,140,14.1,,,,,,,,,,272xwghmibw1wnptcoz6xpex,A. Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034883,15,50,1,1,21,7pmw399vh2v44cjle4fkklp1w,1,89.6,31.8,2023-04-08T00:06:47.030Z,2023-04-08T00:06:53Z,4171218321,233,17,4171218157,286,,4171218155,56,Center,,,,,,,,,,,,,,,,eehmjxbl4xwc3mz1geibnszkk,P. Ndoye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034907,17,7,1,1,21,dqx48fglv1l96cyrmjdod0xec,1,10.4,68.2,2023-04-08T00:06:47.031Z,2023-04-12T11:53:20Z,4171218313,233,15,4184463835,384,,4171218309,56,Back,4171218311,285,,,,,,,,,,,,,,en6q7ddrr22sz6knipkbqhyw9,Wan Kuzain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532537615,944,61,1,1,21,dqx48fglv1l96cyrmjdod0xec,1,12.3,69.4,2023-04-08T00:06:47.275Z,2023-04-12T11:54:20Z,4184463929,56,Back,,,,,,,,,,,,,,,,,,,,,,2hdg94moevfpp12pbwjg1ypec,F. Volmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034899,16,15,1,1,23,7pmw399vh2v44cjle4fkklp1w,1,92.4,30.8,2023-04-08T00:06:48.719Z,2023-04-12T15:37:24Z,4171220917,230,98.6,4171218261,63,,4171218265,56,Center,4171220907,328,,4171220903,102,51.6,4171220913,146,94.9,4171220745,233,16,4171220915,147,37.5,4uuq2zuhmlbg7kh85v5l8723u,D. Gonzalez,4171220911,100,,4171220743,82,4171220901,78,4171220905,103,19,4171220739,20,4171220909,458,4171220919,231,46.8,4171218257,22,,,,,,,,,,,,,,,,
2530034903,16,10,1,1,23,dqx48fglv1l96cyrmjdod0xec,1,7.9,66.4,2023-04-08T00:06:48.819Z,2023-04-12T11:53:39Z,4171218273,94,,4171220781,233,16,4171218275,56,Back,,,,,,,,,,,,,,,,6ge4wgnjmai5596imt97hev6y,M. Schneider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034909,18,49,1,1,27,dqx48fglv1l96cyrmjdod0xec,1,30,89.4,2023-04-08T00:06:52.994Z,2023-04-08T01:04:50Z,,,,,,,,,,,,,,,,,,,,,,,,,en6q7ddrr22sz6knipkbqhyw9,Wan Kuzain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034911,19,1,1,1,27,dqx48fglv1l96cyrmjdod0xec,1,30.1,89.3,2023-04-08T00:06:53.244Z,2023-04-08T01:04:52Z,4171218335,140,44.9,4171218337,141,93.9,4171218341,213,0.2,4171218339,212,15.9,4171218333,56,Back,,,,,,,,,,en6q7ddrr22sz6knipkbqhyw9,Wan Kuzain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034915,20,1,1,1,29,dqx48fglv1l96cyrmjdod0xec,1,44.9,93.9,2023-04-08T00:06:55.291Z,2023-04-08T01:05:29Z,4171218379,140,38.6,4171218383,212,7.4,4171218381,141,89.0,4171218377,56,Back,4171218385,213,3.6,,,,,,,,,,2u05snfruohp5sqhdpy5vvlnu,A. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034917,21,1,1,1,31,dqx48fglv1l96cyrmjdod0xec,0,39.7,87.6,2023-04-08T00:06:57.227Z,2023-04-08T01:05:36Z,4171295989,212,9.2,4171295991,213,0.7,4171295985,140,46.2,4171295987,141,96.6,4171218389,56,Back,,,,,,,,,,en6q7ddrr22sz6knipkbqhyw9,Wan Kuzain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530050089,415,61,1,1,32,dqx48fglv1l96cyrmjdod0xec,0,44.6,93.8,2023-04-08T00:06:57.666Z,2023-04-08T01:05:41Z,4171296095,56,Back,,,,,,,,,,,,,,,,,,,,,,2u05snfruohp5sqhdpy5vvlnu,A. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034931,18,61,1,1,33,7pmw399vh2v44cjle4fkklp1w,1,58.1,17,2023-04-08T00:06:58.758Z,2023-04-12T11:54:51Z,4171218441,56,Right,,,,,,,,,,,,,,,,,,,,,,7gmf2omch4d84vwb55m2apt9m,J. Castilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034919,17,49,1,1,35,7pmw399vh2v44cjle4fkklp1w,1,58.5,22.1,2023-04-08T00:07:00.679Z,2023-04-12T11:55:14Z,,,,,,,,,,,,,,,,,,,,,,,,,52zm1dgc5jge02cdhzptghq3u,M. Murana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034939,19,1,1,1,37,7pmw399vh2v44cjle4fkklp1w,1,47.4,16.8,2023-04-08T00:07:02.710Z,2023-04-08T00:07:05Z,4171218499,140,8.1,4171218507,1,,4171218505,213,2.7,4171218501,141,47.6,4171218503,212,46.3,4171218497,56,Back,,,,,,,52zm1dgc5jge02cdhzptghq3u,M. Murana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034945,20,1,1,1,39,7pmw399vh2v44cjle4fkklp1w,1,12.3,48.7,2023-04-08T00:07:05.191Z,2023-04-08T00:07:07Z,4171218543,56,Back,4171218549,212,20.7,4171218547,141,22.1,4171218545,140,21.8,4171218551,213,5.2,,,,,,,,,,e81zc97bmfjgwo978gplrx46i,X. Valdez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034959,21,1,1,1,41,7pmw399vh2v44cjle4fkklp1w,1,22,21,2023-04-08T00:07:07.542Z,2023-04-08T00:07:09Z,4171218609,213,5.5,4171218603,140,33.7,4171218605,141,1.9,4171218607,212,17.9,4171218601,56,Back,,,,,,,,,,52zm1dgc5jge02cdhzptghq3u,M. Murana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034967,22,1,1,1,43,7pmw399vh2v44cjle4fkklp1w,1,33.6,5,2023-04-08T00:07:09.622Z,2023-04-08T01:05:13Z,4171218643,141,19.2,4171218639,56,Back,4171218647,213,1.4,4171218645,212,9.7,4171218641,140,34.8,,,,,,,,,,3acyax22zfwdjw0cpgg4x7dre,J. Juarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034975,23,1,1,1,44,7pmw399vh2v44cjle4fkklp1w,0,34.8,19.2,2023-04-08T00:07:10.422Z,2023-04-08T01:05:14Z,4171218715,212,10.7,4171218717,213,5.7,4171218711,140,43.1,4171218709,56,Back,4171218713,141,10.1,,,,,,,,,,7gmf2omch4d84vwb55m2apt9m,J. Castilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034977,22,49,1,1,46,dqx48fglv1l96cyrmjdod0xec,1,55.8,92.9,2023-04-08T00:07:12.347Z,2023-04-08T01:05:50Z,,,,,,,,,,,,,,,,,,,,,,,,,2hdg94moevfpp12pbwjg1ypec,F. Volmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034983,23,1,1,1,47,dqx48fglv1l96cyrmjdod0xec,1,55.7,92.9,2023-04-08T00:07:12.859Z,2023-04-08T01:05:54Z,4171218733,141,86.0,4171218729,140,62.9,4171218741,213,5.7,4171218727,56,Left,4171218737,212,8.9,,,,,,,,,,2hdg94moevfpp12pbwjg1ypec,F. Volmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034993,24,1,1,1,47,dqx48fglv1l96cyrmjdod0xec,1,62.6,86.5,2023-04-08T00:07:13.595Z,2023-04-08T00:07:15Z,4171218773,140,66.7,4171218779,213,1.0,4171218771,56,Left,4171218775,141,96.0,4171218777,212,7.8,,,,,,,,,,6ge4wgnjmai5596imt97hev6y,M. Schneider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034997,25,1,1,1,49,dqx48fglv1l96cyrmjdod0xec,1,67.2,95.6,2023-04-08T00:07:15.307Z,2023-04-08T01:06:00Z,4171218789,140,73.9,4171218795,213,6.1,4171218791,141,94.1,4171218787,56,Left,4171218793,212,7.1,,,,,,,,,,en6q7ddrr22sz6knipkbqhyw9,Wan Kuzain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530035003,26,61,1,1,50,dqx48fglv1l96cyrmjdod0xec,0,74.1,95.6,2023-04-08T00:07:16.220Z,2023-04-08T01:06:03Z,4171218813,56,Left,,,,,,,,,,,,,,,,,,,,,,2hdg94moevfpp12pbwjg1ypec,F. Volmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530035037,24,5,1,1,51,7pmw399vh2v44cjle4fkklp1w,1,22.2,-1.4,2023-04-08T00:07:16.796Z,2023-04-08T01:43:43Z,4171283845,233,27,4171219021,56,Back,4171219023,347,,,,,,,,,,,,,,,,,7gmf2omch4d84vwb55m2apt9m,J. Castilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530035059,27,5,1,1,51,dqx48fglv1l96cyrmjdod0xec,0,77.8,101.4,2023-04-08T00:07:16.796Z,2023-04-08T00:49:35Z,4171219131,347,,4171283849,233,24,4171219127,56,Left,,,,,,,,,,,,,,,,4s56s6f9nw96wergw7ix5zp0q,O. O'Malley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530035045,25,1,1,2,6,7pmw399vh2v44cjle4fkklp1w,1,20.7,0,2023-04-08T00:07:31.703Z,2023-04-08T00:07:34Z,4171219065,213,2.7,4171219059,140,10.2,4171219061,141,5.3,4171219063,212,12.0,4171219055,107,,4171219057,56,Back,,,,,,,3acyax22zfwdjw0cpgg4x7dre,J. Juarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530035053,26,1,1,2,9,7pmw399vh2v44cjle4fkklp1w,1,10.6,4.6,2023-04-08T00:07:34.727Z,2023-04-08T00:07:38Z,4171219095,56,Right,4171219097,140,66.1,4171219101,212,58.3,4171219105,1,,4171219103,213,0.0,4171219093,155,,4171219099,141,5.0,,,,52zm1dgc5jge02cdhzptghq3u,M. Murana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
