id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/16/value
2497466559,10,5,1,0,31,547zzwqbiugzphhnrhj3z5k5i,0,36.8,101.4,2023-01-14T19:47:51.124Z,2023-01-15T07:58:18Z,3978415529,347,,3978415527,56,Back,3978415659,233,6,,,,,,,,,,,,,,,,5f13ro5hgmago2bmqtzjw5ey,A. Fadera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466599,7,1,1,0,38,89xivtxk59uzvhdsd6miao6tm,1,59.8,0,2023-01-14T19:47:57.818Z,2023-01-15T11:07:07Z,3978415715,107,,3978415723,212,18.4,3978415721,141,4.7,3978415717,56,Right,3978415719,140,76.9,3978415725,213,0.2,,,,,,,c8m4ox6n1v89qbbjq73s5ezmx,A. Preciado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466601,8,61,1,0,39,89xivtxk59uzvhdsd6miao6tm,0,70.9,0.9,2023-01-14T19:47:58.905Z,2023-01-15T11:07:06Z,3978415731,56,Right,3979072205,178,,,,,,,,,,,,,,,,,,,,19htxtc8lmbfsv83py7hzqb8q,Y. Sor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466615,11,1,1,0,39,547zzwqbiugzphhnrhj3z5k5i,1,29.8,98.4,2023-01-14T19:47:59.411Z,2023-01-15T11:07:06Z,3979072253,178,,3978415795,212,8.3,3978415793,141,87.5,3978415797,213,4.3,3978415791,140,26.3,3978415789,56,Back,,,,,,,5f13ro5hgmago2bmqtzjw5ey,A. Fadera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466623,12,49,1,0,40,547zzwqbiugzphhnrhj3z5k5i,1,25,94.6,2023-01-14T19:48:00.686Z,2023-01-15T11:07:05Z,,,,,,,,,,,,,,,,,,,,,,,,,8xr7cy8cy89qfxyi1n3egt82c,N. Dismas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466647,13,1,1,0,40,547zzwqbiugzphhnrhj3z5k5i,0,25,94.6,2023-01-14T19:48:00.699Z,2023-01-15T11:07:05Z,3978415897,157,,3978415905,212,64.2,3979072297,178,,3978415899,56,Center,3978415903,141,23.9,3978415909,1,,3978415907,213,5.4,3978415901,140,65.5,8xr7cy8cy89qfxyi1n3egt82c,N. Dismas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466655,9,49,1,0,47,89xivtxk59uzvhdsd6miao6tm,1,33.5,73,2023-01-14T19:48:07.242Z,2023-01-15T11:07:04Z,,,,,,,,,,,,,,,,,,,,,,,,,d1rgv9cgncdgr1h61phrxoc89,G. Arteaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466671,10,1,1,0,47,89xivtxk59uzvhdsd6miao6tm,1,33.4,72.8,2023-01-14T19:48:07.284Z,2023-01-15T11:07:04Z,3979072383,178,,3978416023,56,Back,3978416029,212,13.1,3978416027,141,55.1,3978416031,213,5.1,3978416025,140,38.4,,,,,,,d1rgv9cgncdgr1h61phrxoc89,G. Arteaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466683,11,1,1,0,50,89xivtxk59uzvhdsd6miao6tm,1,34.7,54,2023-01-14T19:48:10.202Z,2023-01-15T11:07:03Z,3978416067,212,18.8,3979072435,178,,3978416061,56,Back,3978416063,140,37.6,3978416069,213,4.9,3978416065,141,26.7,,,,,,,5enjhxrx2jrjqtgb9wwq0baax,M. McKenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466697,12,1,1,0,52,89xivtxk59uzvhdsd6miao6tm,1,32.2,25.1,2023-01-14T19:48:12.758Z,2023-01-15T11:07:02Z,3978416153,212,16.6,3979072461,178,,3978416151,141,5.5,3978416149,140,41.6,3978416155,213,5.3,3978416147,56,Back,,,,,,,68vmg4qgr11vppc48hs8402jt,C. Cuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466719,13,1,1,0,55,89xivtxk59uzvhdsd6miao6tm,0,38.8,5,2023-01-14T19:48:15.234Z,2023-01-15T11:07:01Z,3978416253,213,0.1,3978416251,212,53.9,3978416245,56,Right,3978416249,141,16.2,3978416243,155,,3978416247,140,89.6,3978416255,1,,3979072481,178,,c8m4ox6n1v89qbbjq73s5ezmx,A. Preciado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466721,14,49,1,0,59,547zzwqbiugzphhnrhj3z5k5i,1,15.2,84,2023-01-14T19:48:19.397Z,2023-01-15T11:07:01Z,,,,,,,,,,,,,,,,,,,,,,,,,6w1hily3yj7vvidhhgi4fqdat,T. Derijck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466731,15,1,1,1,2,547zzwqbiugzphhnrhj3z5k5i,0,18.4,84.6,2023-01-14T19:48:21.891Z,2023-01-15T11:06:59Z,3978416319,212,19.3,3978416313,56,Back,3978416317,141,81.5,3978416321,213,6.2,3979072557,178,,3978416315,140,36.7,,,,,,,6w1hily3yj7vvidhhgi4fqdat,T. Derijck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466743,14,8,1,1,2,89xivtxk59uzvhdsd6miao6tm,1,72.2,20.9,2023-01-14T19:48:22.419Z,2023-01-15T11:06:58Z,3978416369,56,Right,3979072603,178,,3978708625,385,,,,,,,,,,,,,,,,,a8k3ubqsi0duc3g4u5jnvcoa1,B. Heynen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466751,15,49,1,1,4,89xivtxk59uzvhdsd6miao6tm,1,75.2,11.4,2023-01-14T19:48:23.935Z,2023-01-15T11:06:58Z,,,,,,,,,,,,,,,,,,,,,,,,,19htxtc8lmbfsv83py7hzqb8q,Y. Sor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466755,16,1,1,1,5,89xivtxk59uzvhdsd6miao6tm,1,72.2,5.3,2023-01-14T19:48:25.448Z,2023-01-15T11:06:57Z,3978416437,141,11.9,3978416441,213,1.3,3978416439,212,4.6,3978416433,56,Right,3979072717,178,,3978416435,140,73.3,,,,,,,19htxtc8lmbfsv83py7hzqb8q,Y. Sor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497597871,1220,83,1,1,7,547zzwqbiugzphhnrhj3z5k5i,1,30.6,89.9,2023-01-14T19:48:27.539Z,2023-01-15T11:06:56Z,3979112629,399,213857,,,,,,,,,,,,,,,,,,,,,,cg748vqllo7gdcz5id1gvqggl,N. Rommens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466767,17,1,1,1,8,89xivtxk59uzvhdsd6miao6tm,1,71.8,8.2,2023-01-14T19:48:28.411Z,2023-01-15T11:06:55Z,3978416511,56,Right,3978416515,141,2.8,3978416517,212,6.7,3978416519,213,5.7,3979072761,178,,3978416513,140,77.1,,,,,,,a8k3ubqsi0duc3g4u5jnvcoa1,B. Heynen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466771,18,1,1,1,10,89xivtxk59uzvhdsd6miao6tm,0,72.7,0.1,2023-01-14T19:48:30.205Z,2023-01-15T11:06:53Z,3978416547,213,1.0,3978416541,140,75.3,3979072805,178,,3978416543,141,5.9,3978416625,236,,3978416539,56,Right,3978416545,212,4.8,3978416631,286,,19htxtc8lmbfsv83py7hzqb8q,Y. Sor,3978416627,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466783,16,74,1,1,10,547zzwqbiugzphhnrhj3z5k5i,1,27.1,97.3,2023-01-14T19:48:30.243Z,2023-01-15T11:06:53Z,3978416611,285,,3978416647,233,18,3979072837,178,,3978416609,56,Back,,,,,,,,,,,,,cg748vqllo7gdcz5id1gvqggl,N. Rommens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466797,19,1,1,1,12,89xivtxk59uzvhdsd6miao6tm,1,63.6,3.6,2023-01-14T19:48:32.265Z,2023-01-15T11:06:52Z,3978416705,213,1.4,3979072885,178,,3978416697,56,Center,3978416703,212,13.6,3978416701,141,23.3,3978416699,140,65.8,,,,,,,c8m4ox6n1v89qbbjq73s5ezmx,A. Preciado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466827,20,1,1,1,14,89xivtxk59uzvhdsd6miao6tm,1,60.5,25.6,2023-01-14T19:48:33.833Z,2023-01-15T11:06:51Z,3979072925,178,,3978416851,213,2.5,3978416835,56,Back,3978416843,141,43.9,3978416847,212,20.7,3978416837,140,44.7,,,,,,,ama1ibpjcfu206icrfmkgfavp,P. Hrošovský,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466863,21,1,1,1,18,89xivtxk59uzvhdsd6miao6tm,1,48.4,46.9,2023-01-14T19:48:38.072Z,2023-01-15T11:06:49Z,3978417021,212,30.3,3978417025,213,5.2,3979072969,178,,3978417013,140,61.3,3978417017,141,7.0,3978417011,56,Right,,,,,,,5enjhxrx2jrjqtgb9wwq0baax,M. McKenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466889,22,1,1,1,23,89xivtxk59uzvhdsd6miao6tm,1,56.4,57,2023-01-14T19:48:43.702Z,2023-01-15T11:06:47Z,3979073003,178,,3978417137,140,61.3,3978417141,212,24.2,3978417139,141,91.7,3978417143,213,1.4,3978417135,56,Left,,,,,,,c8m4ox6n1v89qbbjq73s5ezmx,A. Preciado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466901,23,1,1,1,28,89xivtxk59uzvhdsd6miao6tm,1,72.3,75.4,2023-01-14T19:48:48.415Z,2023-01-15T11:06:44Z,3978417207,140,77.1,3978417209,141,77.1,3979073043,178,,3978417213,213,0.2,3978417205,56,Center,3978417211,212,5.2,,,,,,,d1rgv9cgncdgr1h61phrxoc89,G. Arteaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466913,24,1,1,1,29,89xivtxk59uzvhdsd6miao6tm,1,78.8,75.4,2023-01-14T19:48:49.069Z,2023-01-15T11:06:44Z,3978417275,56,Left,3978417283,213,1.0,3978417281,212,12.8,3979073069,178,,3978417277,140,85.8,3978417279,141,90.9,,,,,,,9pvc7e65cfgtuipfen5zt463t,M. Trésor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466921,25,1,1,1,30,89xivtxk59uzvhdsd6miao6tm,0,85,87.1,2023-01-14T19:48:50.598Z,2023-01-15T11:06:43Z,3978417333,56,Center,3978417339,212,22.5,3979073105,178,,3978417341,213,5.4,3978417337,141,60.6,3978417335,140,97.8,,,,,,,14w9q2mu6yq235ic55fxs0w2y,N. Castro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466929,17,52,1,1,33,547zzwqbiugzphhnrhj3z5k5i,1,1.7,37.3,2023-01-14T19:48:52.931Z,2023-01-15T11:06:42Z,3978709201,376,,3979073135,178,,,,,,,,,,,,,,,,,,,,59doy2i09c6fgoh7w9m3l5tcl,S. Bossut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466999,18,80,1,1,48,547zzwqbiugzphhnrhj3z5k5i,0,15,37.7,2023-01-14T19:49:08.316Z,2023-01-15T11:06:42Z,3979073179,178,,,,,,,,,,,,,,,,,,,,,,,59doy2i09c6fgoh7w9m3l5tcl,S. Bossut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497467043,19,1,1,1,51,547zzwqbiugzphhnrhj3z5k5i,0,14.4,31.1,2023-01-14T19:49:11.255Z,2023-01-15T11:06:42Z,3978417897,141,6.5,3978417889,198,,3978417893,56,Right,3978417899,212,58.8,3978417895,140,68.1,3978417903,1,,3978417885,157,,3979073187,178,,59doy2i09c6fgoh7w9m3l5tcl,S. Bossut,3978417901,213,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497467035,26,49,1,1,55,89xivtxk59uzvhdsd6miao6tm,1,30,91.7,2023-01-14T19:49:15.639Z,2023-01-15T11:06:41Z,,,,,,,,,,,,,,,,,,,,,,,,,5enjhxrx2jrjqtgb9wwq0baax,M. McKenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497467053,27,1,1,1,56,89xivtxk59uzvhdsd6miao6tm,1,30.3,95.7,2023-01-14T19:49:16.529Z,2023-01-15T11:06:40Z,3978417937,140,36.0,3978417941,212,11.7,3978417943,213,5.2,3978417939,141,80.9,3978417935,56,Back,3979073249,178,,,,,,,,5enjhxrx2jrjqtgb9wwq0baax,M. McKenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497467075,28,1,1,1,58,89xivtxk59uzvhdsd6miao6tm,1,34.9,86.8,2023-01-14T19:49:18.001Z,2023-01-15T11:06:39Z,3978418047,141,55.5,3978418049,212,23.2,3978418043,56,Back,3978418051,213,4.3,3978418045,140,26.1,3979073257,178,,,,,,,,ama1ibpjcfu206icrfmkgfavp,P. Hrošovský,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497467089,29,1,1,2,3,89xivtxk59uzvhdsd6miao6tm,1,30.2,43,2023-01-14T19:49:22.908Z,2023-01-15T11:06:38Z,3978418099,155,,3978418111,213,5.6,3979073281,178,,3978418105,141,7.0,3978418115,1,,3978418103,140,58.5,3978418101,56,Right,3978418107,212,38.5,68vmg4qgr11vppc48hs8402jt,C. Cuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497467095,30,1,1,2,6,89xivtxk59uzvhdsd6miao6tm,1,56,7.7,2023-01-14T19:49:26.176Z,2023-01-15T11:06:37Z,3978418143,140,33.3,3978418149,213,3.1,3978418147,212,23.9,3978418141,56,Back,3979073301,178,,3978418145,141,9.4,,,,,,,19htxtc8lmbfsv83py7hzqb8q,Y. Sor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497467101,31,1,1,2,7,89xivtxk59uzvhdsd6miao6tm,0,41.3,7.9,2023-01-14T19:49:27.567Z,2023-01-15T11:06:37Z,3978418233,213,6.1,3978418229,141,3.8,3978418223,155,,3979073313,178,,3978418225,56,Right,3978418231,212,20.8,3978418227,140,60.9,,,,c8m4ox6n1v89qbbjq73s5ezmx,A. Preciado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497467463,32,1,1,2,8,547zzwqbiugzphhnrhj3z5k5i,0,44.4,96.1,2023-01-14T19:49:28.295Z,2023-01-15T11:06:37Z,3978419931,140,60.6,3978419927,3,,3979073349,178,,3978419937,213,5.6,3978419933,141,73.9,3978419929,56,Center,3978419935,212,22.7,,,,8xr7cy8cy89qfxyi1n3egt82c,N. Dismas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497467111,32,50,1,2,11,89xivtxk59uzvhdsd6miao6tm,1,53.8,26.8,2023-01-14T19:49:31.484Z,2023-01-15T11:06:36Z,3978418285,286,,3978418357,233,20,3978418283,56,Center,,,,,,,,,,,,,,,,c8m4ox6n1v89qbbjq73s5ezmx,A. Preciado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497467127,20,7,1,2,11,547zzwqbiugzphhnrhj3z5k5i,0,46.2,73.2,2023-01-14T19:49:31.594Z,2023-01-15T11:06:35Z,3978418339,233,32,3978709701,385,,3978418337,285,,3979073561,389,,3978418335,56,Back,,,,,,,,,,5f13ro5hgmago2bmqtzjw5ey,A. Fadera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497520959,847,61,1,2,11,89xivtxk59uzvhdsd6miao6tm,1,54,29.4,2023-01-14T19:49:31.764Z,2023-01-15T11:06:35Z,3978709779,56,Center,3979073589,178,,,,,,,,,,,,,,,,,,,,c8m4ox6n1v89qbbjq73s5ezmx,A. Preciado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497521035,984,49,1,2,12,547zzwqbiugzphhnrhj3z5k5i,1,42.2,61.5,2023-01-14T19:49:32.656Z,2023-01-15T11:06:34Z,,,,,,,,,,,,,,,,,,,,,,,,,77wkqbxkqix367lc0ccnym86h,A. Sissako,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497467133,21,1,1,2,12,547zzwqbiugzphhnrhj3z5k5i,1,42.2,61.4,2023-01-14T19:49:32.723Z,2023-01-15T11:06:34Z,3978418375,140,49.3,3978418381,213,6.2,3978418377,141,60.8,3978418373,56,Back,3979073667,178,,3978418379,212,7.5,,,,,,,77wkqbxkqix367lc0ccnym86h,A. Sissako,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
