id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/9/value,qualifier/13/value,qualifier/17/value
2507179219,11,1,1,0,23,1uk609mhtsfhokhaewjapb26,1,33,62.6,2023-02-12T17:32:51.180Z,2023-02-13T11:35:25Z,4029315295,141,26.2,4029315291,56,Back,4029315297,212,24.8,4029315299,213,4.8,4029315293,140,34.8,4030494341,178,,,,,,,,6fdwd71dx2qu7uzzs3ozm9x7u,T. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179263,12,1,1,0,26,1uk609mhtsfhokhaewjapb26,0,36.3,13.9,2023-02-12T17:32:54.924Z,2023-02-13T11:35:23Z,4029315551,141,13.1,4029315561,1,,4029315539,155,,4029315543,56,Right,4030494421,178,,4029315555,212,49.1,4029315547,140,83.1,4029315559,213,6.3,5n522jpifzyf9qu0z41kuf7my,João Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179269,13,44,1,0,29,1uk609mhtsfhokhaewjapb26,1,79.2,13.7,2023-02-12T17:32:57.899Z,2023-02-13T11:35:23Z,4029315581,286,,4029315659,233,10,4029315579,56,Right,,,,,,,,,,,,,,,,93weoj4q60xtxdntko7hobg4q,B. Messaoudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179279,10,44,1,0,29,5z1b7fuvpqe6vnigvopomvecu,0,20.8,86.3,2023-02-12T17:32:57.900Z,2023-02-13T11:35:22Z,4029315623,56,Back,4029315625,285,,4029315649,233,13,,,,,,,,,,,,,,,,corn6i066rh7c7veva0sm3oid,K. Laifis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507269615,775,1,1,0,29,1uk609mhtsfhokhaewjapb26,0,80,12.8,2023-02-12T17:32:57.962Z,2023-02-13T11:35:22Z,4029813249,212,4.5,4029813239,3,,4029813243,56,Right,4029813251,213,0.5,4030494561,388,,4029813245,140,83.7,4029813241,168,,4029813247,141,16.1,93weoj4q60xtxdntko7hobg4q,B. Messaoudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179301,11,61,1,0,29,5z1b7fuvpqe6vnigvopomvecu,1,20.7,86.5,2023-02-12T17:32:57.982Z,2023-02-13T11:35:21Z,4030494647,15,,4029315767,56,Back,4030494649,388,,,,,,,,,,,,,,,,,corn6i066rh7c7veva0sm3oid,K. Laifis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179325,12,1,1,0,32,5z1b7fuvpqe6vnigvopomvecu,1,11.3,71.9,2023-02-12T17:33:00.854Z,2023-02-13T11:35:21Z,4029315931,213,4.2,4029315919,3,,4029315923,56,Back,4029315929,212,8.9,4029315927,141,60.2,4030494817,388,,4029315925,140,7.5,,,,76y4awqbdef5yxiovt27i57th,M. Bokadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179329,13,52,1,0,34,5z1b7fuvpqe6vnigvopomvecu,1,4.3,58.6,2023-02-12T17:33:02.297Z,2023-02-13T11:35:20Z,4030494877,178,,4029814143,377,,,,,,,,,,,,,,,,,,,,bxcwnf87pf8ijzbxy70ewcfe1,A. Bodart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179423,14,43,1,0,43,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2023-02-12T17:33:11.544Z,2023-02-12T17:33:14Z,4029316619,144,52,,,,,,,,,,,,,,,,,,,,,,bxcwnf87pf8ijzbxy70ewcfe1,A. Bodart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179489,15,1,1,0,43,5z1b7fuvpqe6vnigvopomvecu,1,11.9,49.8,2023-02-12T17:33:11.592Z,2023-02-13T11:35:20Z,4029316819,212,5.2,4029316815,140,13.1,4029316813,56,Back,4029316821,213,1.3,4029316817,141,57.2,4029316811,123,,4030494943,178,,,,,bxcwnf87pf8ijzbxy70ewcfe1,A. Bodart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179515,16,1,1,0,45,5z1b7fuvpqe6vnigvopomvecu,1,11.1,65.2,2023-02-12T17:33:13.437Z,2023-02-13T11:35:19Z,4029316971,56,Back,4029316977,212,15.4,4030494979,178,,4029316975,141,42.5,4029316979,213,4.7,4029316973,140,10.9,,,,,,,76y4awqbdef5yxiovt27i57th,M. Bokadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179523,17,1,1,0,47,5z1b7fuvpqe6vnigvopomvecu,0,8.4,40.6,2023-02-12T17:33:15.975Z,2023-02-13T11:35:18Z,4030495035,178,,4029317019,212,49.6,4029317013,56,Center,4029317023,1,,4029317021,213,6.1,4029317015,140,54.9,4029317017,141,27.7,4029317011,155,,bxcwnf87pf8ijzbxy70ewcfe1,A. Bodart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507270611,776,44,1,0,50,1uk609mhtsfhokhaewjapb26,1,45.1,76.1,2023-02-12T17:33:18.926Z,2023-02-13T11:35:18Z,4029818453,56,Back,4029890169,233,799,4029818455,285,,,,,,,,,,,,,,,,,6fdwd71dx2qu7uzzs3ozm9x7u,T. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507270129,799,44,1,0,50,5z1b7fuvpqe6vnigvopomvecu,0,54.9,23.9,2023-02-12T17:33:18.927Z,2023-02-13T11:35:17Z,4029815711,56,Center,4029890191,233,776,4029815713,286,,,,,,,,,,,,,,,,,464o8uslv6z2fdm269j97gt4a,O. Davida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179537,14,1,1,0,50,1uk609mhtsfhokhaewjapb26,0,44,76.3,2023-02-12T17:33:18.956Z,2023-02-13T11:35:17Z,4029317079,56,Left,4029317083,141,79.6,4030495099,388,,4029317087,213,0.2,4029317081,140,57.4,4029317085,212,14.2,4029317077,3,,,,,6fdwd71dx2qu7uzzs3ozm9x7u,T. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179597,18,2,1,0,52,5z1b7fuvpqe6vnigvopomvecu,1,50.8,25.4,2023-02-12T17:33:20.735Z,2023-02-13T11:35:16Z,4029317429,141,30.9,4029317423,7,2bz8ey1mxuv6uo8duu7if6k4q,4029317427,140,65.4,4029317425,56,Center,4030495149,178,,,,,,,,,,,cllq8xizuqut48xxqc3btz97u,W. Balikwisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179595,15,55,1,0,52,1uk609mhtsfhokhaewjapb26,1,38.2,61.6,2023-02-12T17:33:20.736Z,2023-02-13T11:35:15Z,,,,,,,,,,,,,,,,,,,,,,,,,5n522jpifzyf9qu0z41kuf7my,João Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
