id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value,qualifier/23/id,qualifier/23/qualifierId,qualifier/23/value
2499332021,10,43,1,0,56,2b57rbw94i9ohnbch52owvqtq,1,0,0,2023-01-21T17:17:07.464Z,2023-01-21T17:22:18Z,3988231669,285,0,3988231675,233,11,3988246551,144,44,3988231667,56,Back,,,,,,,,,,,,,czsmg1hjqbmzhz8x91y3b0yc5,B. Capon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499332005,11,43,1,0,56,3ix9om1svhd6obl0mbk1otgop,1,0,0,2023-01-21T17:17:07.465Z,2023-01-21T17:22:20Z,3988246635,144,44,3988231595,56,Center,3988231597,286,0,,,,,,,,,,,,,,,,8d0ffyx2qnnp0limf5aou92ei,A. Ueda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499332025,11,43,1,0,57,2b57rbw94i9ohnbch52owvqtq,1,0,0,2023-01-21T17:17:07.901Z,2023-01-21T17:22:49Z,3988231703,212,8.2,3988248041,144,1,3988231701,141,67.3,3988231697,56,Back,3988231705,213,0.5,3988231699,140,30.3,3988231695,3,0,,,,czsmg1hjqbmzhz8x91y3b0yc5,B. Capon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499332037,12,43,1,0,58,3ix9om1svhd6obl0mbk1otgop,1,0,0,2023-01-21T17:17:09.170Z,2023-01-21T17:22:56Z,3988248345,144,1,3988231773,212,8.5,3988231771,141,9.2,3988231767,56,Right,3988231769,140,75.9,3988231775,213,5.7,,,,,,,3l1v52usaf9mmi9dwowdwv3e,A. Francis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499332059,13,43,1,0,59,3ix9om1svhd6obl0mbk1otgop,1,0,0,2023-01-21T17:17:10.585Z,2023-01-21T17:23:11Z,3988231885,140,73.9,3988231891,213,1.7,3988231883,56,Center,3988249147,144,1,3988231887,141,36.7,3988231889,212,18.8,,,,,,,a0ecz4nlxrr62dcwixtmjiwyy,T. Somers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499332209,12,1,1,1,20,2b57rbw94i9ohnbch52owvqtq,0,25,64.1,2023-01-21T17:17:31.188Z,2023-01-22T07:20:12Z,3988232761,213,0.4,3988232763,1,,3988249539,5,,3989262153,178,,3988232751,157,,3988232753,56,Left,3988232755,140,76.0,3988232759,212,57.5,d0itp0eyxewvnm2shm0manw7p,D. Phillips,3988232757,141,95.1,3988249541,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499363259,415,1,1,1,23,3ix9om1svhd6obl0mbk1otgop,0,32.4,12.3,2023-01-21T17:17:34.080Z,2023-01-22T07:20:11Z,3988400837,140,35.1,3988400839,141,9.1,3988400843,213,5.6,3988400841,212,3.6,3988400835,56,Back,3988400833,3,,3989262201,388,,,,,84l7r4ud9ipuf9vc3ib5b4l0q,H. Siquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499332277,13,1,1,1,25,2b57rbw94i9ohnbch52owvqtq,0,56,89.7,2023-01-21T17:17:35.641Z,2023-01-22T07:20:11Z,3988233059,141,93.2,3989262265,178,,3988233057,140,81.0,3988233061,212,26.4,3988233063,213,0.1,3988233055,56,Left,3988233053,155,,,,,czsmg1hjqbmzhz8x91y3b0yc5,B. Capon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499332287,14,1,1,1,28,3ix9om1svhd6obl0mbk1otgop,0,19,2.7,2023-01-21T17:17:39.152Z,2023-01-22T07:20:11Z,3989262305,178,,3988992871,157,,3988992873,1,,3988233125,56,Back,3988233127,140,39.3,3988233129,141,33.3,3988233133,213,0.8,3988233131,212,29.8,bmbn4q2uorkgosgaig6migpux,B. Popović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499362511,433,1,1,1,29,2b57rbw94i9ohnbch52owvqtq,0,65.7,88.8,2023-01-21T17:17:40.405Z,2023-01-22T07:20:10Z,3988396531,56,Center,3988396545,213,4.8,3988396527,3,,3988396541,212,18.7,3988396537,140,67.0,3988396539,141,61.4,3989262355,388,,,,,8thfkx6q306ewh6mlba8ztqzt,A. Amade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
