id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2449509163,10,4,1,0,26,b7jmo07lqav0wfe2mtlzyspak,1,71.9,15.8,2022-08-21T19:01:05.564Z,2022-08-22T12:55:24Z,3724375201,233,7,3724375091,152,,3724375095,286,,3724375087,13,,3724375089,56,Right,3724375093,265,,,,,,,,1df9uegp2hsbc4813no3mdvx1,Alessio Da Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509177,7,4,1,0,26,2nhn3ikl1ciq34w3hcp883d6p,0,28.1,84.2,2022-08-21T19:01:05.565Z,2022-08-22T12:55:23Z,3724375169,13,,3724375171,56,Back,3724375173,152,,3725694047,178,,3724375177,285,,3724375217,233,10,3724375175,265,,,,,50tfyk5k7qkm1kwv9rrneriwa,J. Bernát,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509115,9,43,1,0,29,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-08-21T19:01:09.282Z,2022-08-21T19:01:18Z,3724374801,56,Right,3724375401,144,61,,,,,,,,,,,,,,,,,,,evktllmp3l6mfb6o4im0ag0ve,Y. Malede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509489,11,1,1,0,57,b7jmo07lqav0wfe2mtlzyspak,1,73.4,14.7,2022-08-21T19:01:36.955Z,2022-08-22T12:55:23Z,3724376953,213,0.9,3724376939,5,,3724376943,152,,3725694069,178,,3724376937,2,,3724376945,56,Center,3724378147,154,,3724376941,155,,3eywxsna9qzi1egis1uj4l6mt,G. Hairemans,1,3725548325,72,3724376951,212,26.5,3724378145,210,13,3724376949,141,45.5,3724376947,140,88.8,3725548323,223,,,,,,,,,,,,,,,,,,,,,,,
2449509521,12,44,1,0,58,b7jmo07lqav0wfe2mtlzyspak,1,90,49,2022-08-21T19:01:38.150Z,2022-08-22T12:55:23Z,3724377145,56,Center,3724377199,233,8,3724377147,286,,,,,,,,,,,,,,,,,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509505,8,44,1,0,58,2nhn3ikl1ciq34w3hcp883d6p,0,10,51,2022-08-21T19:01:38.151Z,2022-08-22T12:55:22Z,3724377055,285,,3724377219,233,12,3724377053,56,Back,,,,,,,,,,,,,,,,6z1isgjrlx4gbcjp5ekawdi39,P. Perdichizzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509525,13,13,1,0,58,b7jmo07lqav0wfe2mtlzyspak,1,90.9,47.1,2022-08-21T19:01:38.196Z,2022-08-22T12:55:22Z,3724378185,55,11,3725694083,388,,3724377789,24,,3724377157,17,,3724377159,56,Center,3724378201,230,97.4,3724378183,154,,3724377791,15,,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,3724378195,103,3724378191,102,38.2,3724377795,328,,3724378181,29,,3724378179,75,,3724378203,231,38.9,50.2,,,,,,,,,,,,,,,,,,,,,
2449509527,9,5,1,1,2,2nhn3ikl1ciq34w3hcp883d6p,1,-1.2,63.1,2022-08-21T19:01:41.750Z,2022-08-22T05:04:38Z,3724377189,346,,3724377281,233,14,3724377185,56,Back,,,,,,,,,,,,,,,,auqy1bigw2a1owxg441wojzyt,L. Van Eenoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509537,14,5,1,1,2,b7jmo07lqav0wfe2mtlzyspak,0,101.2,36.9,2022-08-21T19:01:41.750Z,2022-08-22T05:04:37Z,3724377265,56,Center,3724377285,233,9,3724377267,346,,,,,,,,,,,,,,,,,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509833,10,1,1,1,29,2nhn3ikl1ciq34w3hcp883d6p,1,4.2,54.7,2022-08-21T19:02:09.230Z,2022-08-22T12:55:21Z,3724379019,212,22.9,3724379021,213,1.3,3724379017,141,87.2,3724379011,124,,3724379013,56,Back,3724379025,237,,3724379015,140,9.8,,,,6qlfe04qjldj3rkeeme6gdi39,S. Bolat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509855,11,1,1,1,30,2nhn3ikl1ciq34w3hcp883d6p,1,15.5,85.8,2022-08-21T19:02:10.427Z,2022-08-22T12:55:21Z,3724379195,56,Back,3725694101,178,,3724379203,213,5.7,3724379201,212,15.7,3724379199,141,73.3,3724379197,140,28.1,,,,,,,6z1isgjrlx4gbcjp5ekawdi39,P. Perdichizzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509875,12,1,1,1,32,2nhn3ikl1ciq34w3hcp883d6p,1,27.6,74.2,2022-08-21T19:02:11.810Z,2022-08-22T12:55:20Z,3724379295,56,Back,3725694105,178,,3724379301,212,13.6,3724379299,141,94.2,3724379297,140,26.8,3724379303,213,1.6,,,,,,,auqy1bigw2a1owxg441wojzyt,L. Van Eenoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509881,13,50,1,1,33,2nhn3ikl1ciq34w3hcp883d6p,1,28.5,89.2,2022-08-21T19:02:13.062Z,2022-08-22T12:55:20Z,3724379333,285,,3724379331,56,Back,3724379389,233,15,,,,,,,,,,,,,,,,bjhjz96omjukrg6tj3mny39t6,M. De Cuyper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509873,15,7,1,1,33,b7jmo07lqav0wfe2mtlzyspak,1,71.5,10.8,2022-08-21T19:02:13.479Z,2022-08-22T12:55:20Z,3724379291,56,Right,3724379293,286,,3725549495,385,,3725694111,178,,3724379289,167,,3724379357,233,13,,,,,,,3eywxsna9qzi1egis1uj4l6mt,G. Hairemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509929,14,5,1,1,36,2nhn3ikl1ciq34w3hcp883d6p,1,27.2,101.4,2022-08-21T19:02:15.855Z,2022-08-22T05:04:40Z,3724379601,233,16,3724379599,347,,3724379597,56,Back,,,,,,,,,,,,,,,,bjhjz96omjukrg6tj3mny39t6,M. De Cuyper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509885,16,5,1,1,36,b7jmo07lqav0wfe2mtlzyspak,0,72.8,-1.4,2022-08-21T19:02:15.855Z,2022-08-22T05:04:42Z,3724379345,56,Right,3724379625,233,14,3724379349,347,,,,,,,,,,,,,,,,,3eywxsna9qzi1egis1uj4l6mt,G. Hairemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509941,15,1,1,1,40,2nhn3ikl1ciq34w3hcp883d6p,1,25.7,100,2022-08-21T19:02:20.328Z,2022-08-22T12:55:19Z,3724379691,56,Back,3724379699,212,13.5,3724379697,141,87.5,3724379701,213,5.5,3724379695,140,35.0,3724379689,107,,,,,,,,bjhjz96omjukrg6tj3mny39t6,M. De Cuyper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509985,16,1,1,1,41,2nhn3ikl1ciq34w3hcp883d6p,1,28.5,90.3,2022-08-21T19:02:21.248Z,2022-08-22T12:55:19Z,3724379927,212,4.0,3724379929,213,1.6,3724379923,140,28.3,3724379921,56,Back,3725549777,156,,3725694163,178,,3724379925,141,96.2,,,,auqy1bigw2a1owxg441wojzyt,L. Van Eenoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449510087,17,1,1,1,42,2nhn3ikl1ciq34w3hcp883d6p,1,22.4,98,2022-08-21T19:02:22.143Z,2022-08-22T12:55:18Z,3724380525,140,20.0,3725694207,178,,3724380527,141,8.8,3724380529,212,60.7,3724380531,213,4.7,3724380519,155,,3724380523,56,Back,3724380533,1,,bjhjz96omjukrg6tj3mny39t6,M. De Cuyper,,3724380521,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449510125,18,1,1,1,49,2nhn3ikl1ciq34w3hcp883d6p,1,19.7,11.3,2022-08-21T19:02:28.824Z,2022-08-22T12:55:17Z,3724380715,141,19.2,3724380713,140,7.8,3725694221,178,,3724380711,56,Back,3724380717,212,13.6,3724380719,213,2.7,,,,,,,9qm1adecprlczxw7ldbpvoi51,E. Jordanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449510147,19,1,1,1,51,2nhn3ikl1ciq34w3hcp883d6p,1,8.2,18.2,2022-08-21T19:02:31.140Z,2022-08-22T12:55:17Z,3724380841,212,15.9,3724380839,141,27.3,3724380837,140,22.2,3724380843,213,0.4,3724380835,56,Back,3725694233,178,,,,,,,,bxcrdkrcljgx6l4o0uy4rom3t,R. Seigers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449510199,20,1,1,1,52,2nhn3ikl1ciq34w3hcp883d6p,1,20.2,21.3,2022-08-21T19:02:32.057Z,2022-08-22T12:55:16Z,3724381101,56,Back,3724381109,141,5.9,3724381113,213,4.6,3724381105,140,19.5,3724381111,212,10.5,3725694267,178,,,,,,,,7xs1rx9jos4ls85u362y9hqeh,N. Madsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449510207,21,1,1,1,53,2nhn3ikl1ciq34w3hcp883d6p,0,17.6,4.1,2022-08-21T19:02:33.308Z,2022-08-22T12:55:16Z,3724381153,141,11.6,3724381151,140,33.9,3724381157,213,0.3,3724381149,56,Back,3724381155,212,17.9,3725694303,178,,,,,,,,9qm1adecprlczxw7ldbpvoi51,E. Jordanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449510227,18,1,1,1,55,b7jmo07lqav0wfe2mtlzyspak,1,66.2,89.4,2022-08-21T19:02:34.871Z,2022-08-22T12:55:16Z,3724381245,212,11.5,3725694377,178,,3724381239,56,Left,3724381241,140,76.3,3724381243,141,82.9,3724381247,213,5.9,,,,,,,cne8uwbnrwbwqjpj3pme1kbmx,D. Lavalée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449510213,17,49,1,1,55,b7jmo07lqav0wfe2mtlzyspak,1,66.2,89.4,2022-08-21T19:02:34.883Z,2022-08-22T12:55:15Z,,,,,,,,,,,,,,,,,,,,,,,,,cne8uwbnrwbwqjpj3pme1kbmx,D. Lavalée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449751327,867,83,1,1,57,2nhn3ikl1ciq34w3hcp883d6p,1,28.6,8.5,2022-08-21T19:02:36.580Z,2022-08-22T12:55:14Z,3725710205,399,88719,,,,,,,,,,,,,,,,,,,,,,1ezai0a0n3xem17lwhtxwaml1,T. Dierckx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449510247,19,1,1,1,57,b7jmo07lqav0wfe2mtlzyspak,1,71.4,91.5,2022-08-21T19:02:36.605Z,2022-08-22T12:55:14Z,3725694409,178,,3724381375,56,Left,3724381377,140,80.8,3724381383,213,6.0,3724381379,141,86.8,3724381381,212,10.4,,,,,,,25ey2mcvgwz6ls2612os5hzv9,R. Schoofs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
