id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/13/value
2495365437,10,1,1,0,39,2989v3kho9h5jaboe1nr7lx21,1,45.6,92.8,2023-01-06T19:50:16.828Z,2023-01-07T08:53:35Z,3967336813,213,3.7,3967336807,140,28.4,3967336805,56,Back,3967336809,141,76.0,3967336811,212,21.4,3967660017,178,,,,,,,,eakj3xa0pa88pajbvasbwqwdm,E. Bocat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365451,11,1,1,0,42,2989v3kho9h5jaboe1nr7lx21,1,32.9,71,2023-01-06T19:50:19.286Z,2023-01-07T08:53:34Z,3967336859,140,33.2,3967336863,212,32.4,3967336857,56,Back,3967336865,213,4.7,3967660021,178,,3967336867,1,,3967336861,141,23.3,,,,3krglbuxncb1fvl3p1sezhoq2,A. Al-Dakhil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365467,12,1,1,0,44,2989v3kho9h5jaboe1nr7lx21,1,32.3,23.7,2023-01-06T19:50:21.361Z,2023-01-07T08:53:33Z,3967336947,213,2.7,3967336943,141,41.9,3967336941,140,9.9,3967336939,56,Back,3967336945,212,26.6,3967660025,178,,,,,,,,9qafk5ke1yzqggkcmf1zqevp,W. Janssens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365481,13,1,1,0,47,2989v3kho9h5jaboe1nr7lx21,0,8.2,41.9,2023-01-06T19:50:24.349Z,2023-01-07T08:53:33Z,3967337005,140,61.0,3967337009,212,55.9,3967660033,178,,3967337001,155,,3967337013,1,,3967337007,141,31.8,3967337011,213,6.2,3967337003,56,Center,5q4wztjkk6nuwapm7qgey9w45,D. Schmidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495416459,1061,44,1,0,51,5z1b7fuvpqe6vnigvopomvecu,1,40.5,65,2023-01-06T19:50:28.252Z,2023-01-07T08:53:32Z,3967608939,56,Back,3967648475,233,756,3967608941,285,,,,,,,,,,,,,,,,,76y4awqbdef5yxiovt27i57th,M. Bokadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495416463,756,44,1,0,51,2989v3kho9h5jaboe1nr7lx21,0,59.5,35,2023-01-06T19:50:28.253Z,2023-01-07T08:53:32Z,3967608947,56,Center,3967608949,286,,3967648479,233,1061,,,,,,,,,,,,,,,,b24ytr3apnyp7z17c124tu1yi,D. Hayashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365489,12,1,1,0,51,5z1b7fuvpqe6vnigvopomvecu,0,40.2,65.7,2023-01-06T19:50:28.325Z,2023-01-07T08:53:31Z,3967660051,388,,3967337045,3,,3967337055,213,0.5,3967337049,140,58.8,3967337047,56,Left,3967337051,141,81.1,3967337053,212,22.2,,,,76y4awqbdef5yxiovt27i57th,M. Bokadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365497,14,1,1,0,53,2989v3kho9h5jaboe1nr7lx21,1,43.6,21.6,2023-01-06T19:50:30.251Z,2023-01-07T08:53:31Z,3967697399,178,,3967337111,141,10.4,3967337115,213,5.7,3967337107,56,Right,3967337113,212,13.5,3967337109,140,54.2,3967337105,3,,,,,9qafk5ke1yzqggkcmf1zqevp,W. Janssens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365503,15,1,1,0,54,2989v3kho9h5jaboe1nr7lx21,0,50.8,4,2023-01-06T19:50:31.748Z,2023-01-07T08:53:31Z,3967337141,213,0.8,3967337133,56,Center,3967660063,178,,3967337131,155,,3967337137,141,37.9,3967337135,140,71.2,3967337139,212,31.5,,,,e5oet393vired282yco4i7gfd,D. Hashioka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365511,13,1,1,0,56,5z1b7fuvpqe6vnigvopomvecu,0,32.5,59.9,2023-01-06T19:50:33.427Z,2023-01-07T08:53:30Z,3967337181,141,67.9,3967337185,213,0.3,3967337175,155,,3967337179,140,47.9,3967337183,212,17.1,3967337177,56,Back,3967660075,178,,,,,48f3zlksc3r230qb78c5emnyt,N. Dussenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495434423,1724,83,1,0,58,5z1b7fuvpqe6vnigvopomvecu,1,45.9,69.2,2023-01-06T19:50:35.878Z,2023-01-07T08:53:29Z,3967697709,399,243483,,,,,,,,,,,,,,,,,,,,,,69ivqkcipxp15b7x5jl83ud49,S. Alzate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365517,16,1,1,1,0,2989v3kho9h5jaboe1nr7lx21,1,52.6,35.5,2023-01-06T19:50:37.093Z,2023-01-07T08:53:29Z,3967337213,140,40.9,3967337217,141,24.3,3967337211,56,Back,3967337221,213,3.7,3967660079,178,,3967337219,212,14.5,,,,,,,9rwn5wckqcb5inw1dhhmpj1t5,F. Boya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365531,17,1,1,1,1,2989v3kho9h5jaboe1nr7lx21,1,44,21,2023-01-06T19:50:38.990Z,2023-01-07T08:53:28Z,3967337273,141,42.4,3967337275,212,16.7,3967337271,140,36.2,3967337269,56,Back,3967660091,178,,3967337277,213,2.1,,,,,,,9qafk5ke1yzqggkcmf1zqevp,W. Janssens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365557,18,1,1,1,4,2989v3kho9h5jaboe1nr7lx21,1,39.7,33.9,2023-01-06T19:50:41.832Z,2023-01-07T08:53:26Z,3967337439,213,5.8,3967337435,141,5.3,3967337437,212,41.2,3967337431,56,Right,3967337429,155,,3967660095,178,,3967337433,140,74.3,3967337441,1,,4fc3xit5tx2o583prbwhkq8d1,T. Leistner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365563,19,1,1,1,8,2989v3kho9h5jaboe1nr7lx21,1,76.6,2.8,2023-01-06T19:50:45.311Z,2023-01-07T08:53:26Z,3967337463,140,66.0,3967660099,178,,3967337467,212,12.6,3967337461,56,Right,3967337469,213,2.7,3967337465,141,11.4,,,,,,,e5oet393vired282yco4i7gfd,D. Hashioka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365573,20,1,1,1,10,2989v3kho9h5jaboe1nr7lx21,0,78.3,8.4,2023-01-06T19:50:47.985Z,2023-01-07T08:53:24Z,3967337519,140,77.0,3967337521,141,33.4,3967337525,213,1.7,3967660103,178,,3967337517,56,Center,3967337523,212,17.1,,,,,,,esvfsx8gxqw8h0codqz5xmnmc,M. Smets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365575,14,49,1,1,12,5z1b7fuvpqe6vnigvopomvecu,1,18.1,72.7,2023-01-06T19:50:49.274Z,2023-01-07T08:53:24Z,,,,,,,,,,,,,,,,,,,,,,,,,76y4awqbdef5yxiovt27i57th,M. Bokadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365587,15,1,1,1,12,5z1b7fuvpqe6vnigvopomvecu,1,18.4,72.6,2023-01-06T19:50:49.319Z,2023-01-07T08:53:23Z,3967337595,212,11.0,3967337597,213,0.2,3967337591,140,28.7,3967337589,56,Back,3967660109,178,,3967337593,141,75.7,,,,,,,76y4awqbdef5yxiovt27i57th,M. Bokadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365609,16,1,1,1,14,5z1b7fuvpqe6vnigvopomvecu,1,28,77.1,2023-01-06T19:50:51.570Z,2023-01-07T08:53:22Z,3967660115,178,,3967337679,56,Left,3967337683,141,88.9,3967337689,1,,3967337685,212,47.1,3967337687,213,0.2,3967337681,140,72.2,,,,69ivqkcipxp15b7x5jl83ud49,S. Alzate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365619,17,1,1,1,20,5z1b7fuvpqe6vnigvopomvecu,1,74.5,95.9,2023-01-06T19:50:57.526Z,2023-01-07T08:53:21Z,3967337733,212,13.5,3967337729,140,67.3,3967337731,141,79.4,3967660119,178,,3967337727,56,Left,3967337735,213,4.1,,,,,,,6a0e28nxlyyw7ghe4wzumlzh1,S. Perica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365623,18,61,1,1,22,5z1b7fuvpqe6vnigvopomvecu,0,72.2,76,2023-01-06T19:50:59.193Z,2023-01-07T08:53:20Z,3967337743,56,Center,3967660123,178,,,,,,,,,,,,,,,,,,,,d6r3vkalhudms84f6fs415wid,P. Zinckernagel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365625,21,49,1,1,23,2989v3kho9h5jaboe1nr7lx21,1,32.6,27.6,2023-01-06T19:51:00.364Z,2023-01-07T08:53:19Z,,,,,,,,,,,,,,,,,,,,,,,,,esvfsx8gxqw8h0codqz5xmnmc,M. Smets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
