id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/17/value
2479780249,25,1,1,1,30,7zibyotq1x1hq6pmgibhr0e6s,0,77.1,94.2,2022-10-30T20:02:45.748Z,2022-10-31T10:05:34Z,3885329859,212,18.4,3885329853,56,Left,3885329855,140,94.6,3885329861,213,6.2,3886044133,388,,3885329857,141,91.8,3885329851,3,,,,,dcjf15sf1dbb6w17foz25uuei,M. Balikwisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479780255,9,1,1,1,32,920raeoumft3q2wmvc296uceo,1,12.4,6.3,2022-10-30T20:02:47.311Z,2022-10-31T10:05:33Z,3885329881,141,9.8,3885329875,3,,3885329879,140,20.0,3885329885,213,0.3,3886044255,388,,3885329883,212,8.3,3885329877,56,Back,,,,6n1rvd0axpp159h9wkkd7lwfe,K. Nkuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479780261,10,1,1,1,33,920raeoumft3q2wmvc296uceo,0,16,8.2,2022-10-30T20:02:48.880Z,2022-10-31T10:05:33Z,3885329915,141,0.0,3886044401,388,,3885329919,213,5.5,3885329913,140,22.7,3885329909,3,,3885329911,56,Back,3885329917,212,9.6,,,,8zz5lnxo7twq8ntb7e0qfvbv9,M. Ilaimaharitra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479780263,11,5,1,1,35,920raeoumft3q2wmvc296uceo,0,18,-1.4,2022-10-30T20:02:50.438Z,2022-10-31T05:43:42Z,3885330335,233,26,3885329921,56,Back,3885329923,347,,,,,,,,,,,,,,,,,8zz5lnxo7twq8ntb7e0qfvbv9,M. Ilaimaharitra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479780343,26,5,1,1,35,7zibyotq1x1hq6pmgibhr0e6s,1,82,101.4,2022-10-30T20:02:50.438Z,2022-10-31T05:43:42Z,3885330317,347,,3885330321,233,11,3885330315,56,Left,,,,,,,,,,,,,,,,dcjf15sf1dbb6w17foz25uuei,M. Balikwisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479780389,27,1,1,1,45,7zibyotq1x1hq6pmgibhr0e6s,1,74.7,100,2022-10-30T20:03:00.516Z,2022-10-31T10:05:32Z,3885330503,141,78.8,3885330499,56,Center,3885330505,212,15.7,3885330495,107,,3885330507,213,4.9,3885330501,140,76.9,,,,,,,5u6h6cptsad9e6n4uv76q0fl5,S. Vines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479780401,28,1,1,1,47,7zibyotq1x1hq6pmgibhr0e6s,0,75.9,78.9,2022-10-30T20:03:03.022Z,2022-10-31T10:05:31Z,3885330559,213,5.5,3886044809,178,,3885330553,140,81.8,3885331629,233,14,3885330555,141,70.5,3885330557,212,8.4,3885330551,56,Center,,,,eg4piy0kcdtdopqpd3lcl5j2t,V. Janssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479780407,12,1,1,1,48,920raeoumft3q2wmvc296uceo,1,18.3,26.9,2022-10-30T20:03:03.463Z,2022-10-31T10:05:31Z,3885829879,212,8.3,3885330583,56,Back,3885829875,140,25.4,3886044961,178,,3885829881,213,0.5,3885829877,141,32.4,,,,,,,7hi9yit8aifyojt7i0kg69as5,J. Bager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479780425,13,49,1,1,50,920raeoumft3q2wmvc296uceo,1,25.5,32.8,2022-10-30T20:03:05.277Z,2022-10-31T10:05:31Z,,,,,,,,,,,,,,,,,,,,,,,,,72xzl0yjdetvqp2n1pmzyqvze,A. Hosseinzadeh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479780639,17,61,1,1,50,920raeoumft3q2wmvc296uceo,0,26,32.9,2022-10-30T20:03:05.369Z,2022-10-31T10:05:30Z,3885331727,56,Back,3886045223,178,,,,,,,,,,,,,,,,,,,,72xzl0yjdetvqp2n1pmzyqvze,A. Hosseinzadeh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
