id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/13/value,qualifier/15/value,assist,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2478456827,807,43,1,0,27,89xivtxk59uzvhdsd6miao6tm,1,0,0,2022-10-28T18:55:53.821Z,2022-10-29T08:47:13Z,3878290343,399,88719,3878649325,144,83,,,,,,,,,,,,,,,,,,,1b6ab1mqzvhk547p0bdzbccfd,J. Paintsil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347315,16,1,1,0,27,b7jmo07lqav0wfe2mtlzyspak,1,45.8,0.1,2022-10-28T18:55:53.827Z,2022-10-29T09:05:58Z,3877680457,212,16.4,3877680453,140,58.6,3877680459,213,0.6,3878265773,178,,3877680451,56,Right,3877680455,141,14.0,,,,,,,25ey2mcvgwz6ls2612os5hzv9,R. Schoofs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347325,17,1,1,0,28,b7jmo07lqav0wfe2mtlzyspak,1,55.4,4.6,2022-10-28T18:55:54.779Z,2022-10-29T09:05:57Z,3878265823,178,,3877680511,212,6.1,3877680507,140,61.2,3877680513,213,6.1,3877680509,141,3.4,3877680505,56,Right,,,,,,,evktllmp3l6mfb6o4im0ag0ve,Y. Malede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347331,18,1,1,0,29,b7jmo07lqav0wfe2mtlzyspak,0,59,0.1,2022-10-28T18:55:55.713Z,2022-10-29T09:05:57Z,3877680547,141,3.1,3877680543,56,Right,3878265885,178,,3877680549,212,12.9,3877680551,213,0.2,3877680545,140,71.1,,,,,,,3eywxsna9qzi1egis1uj4l6mt,G. Hairemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347329,5,8,1,0,30,89xivtxk59uzvhdsd6miao6tm,1,32.8,97.4,2022-10-28T18:55:56.337Z,2022-10-29T09:05:56Z,3878265927,178,,3878080567,385,,3877680541,56,Back,,,,,,,,,,,,,,,,d1rgv9cgncdgr1h61phrxoc89,G. Arteaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347337,6,5,1,0,31,89xivtxk59uzvhdsd6miao6tm,0,27.2,101.8,2022-10-28T18:55:57.482Z,2022-10-29T05:17:34Z,3877680579,347,,3877680843,233,19,3877680577,56,Back,,,,,,,,,,,,,,,,d1rgv9cgncdgr1h61phrxoc89,G. Arteaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347375,19,5,1,0,31,b7jmo07lqav0wfe2mtlzyspak,1,72.8,-1.8,2022-10-28T18:55:57.482Z,2022-10-29T05:17:34Z,3877680835,233,6,3877680801,56,Right,3877680803,347,,,,,,,,,,,,,,,,,3eywxsna9qzi1egis1uj4l6mt,G. Hairemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347385,20,1,1,0,37,b7jmo07lqav0wfe2mtlzyspak,0,69.9,0,2022-10-28T18:56:02.981Z,2022-10-29T09:05:56Z,3877680855,107,,3877680859,140,72.8,3877680863,212,15.3,3877680861,141,20.4,3877680865,213,1.4,3877680875,189,,3877680857,56,Right,,,,4kuxth5k98x4cgfrfweu1u51,S. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347395,7,1,1,0,37,89xivtxk59uzvhdsd6miao6tm,1,20.4,92.7,2022-10-28T18:56:03.234Z,2022-10-29T09:05:56Z,3877680917,213,5.1,3877680913,141,73.3,3877680909,56,Back,3877680911,140,25.2,3877680915,212,14.1,3878266017,178,,,,,,,,d1rgv9cgncdgr1h61phrxoc89,G. Arteaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347403,9,49,1,0,39,89xivtxk59uzvhdsd6miao6tm,1,25.8,83.5,2022-10-28T18:56:05.468Z,2022-10-29T09:05:55Z,,,,,,,,,,,,,,,,,,,,,,,,,ama1ibpjcfu206icrfmkgfavp,P. Hrošovský,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
