id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,assist,qualifier/16/value
2531660643,14,13,1,1,7,c7jgkxx1czv5etn7snf1r6p2m,1,75,52.2,2023-04-10T12:31:20.655Z,2023-04-10T12:32:59Z,4179778779,153,,4179779075,103,13.9,4179779087,231,50,4179772877,56,Center,4179779073,102,32.6,4179779071,75,,4179778773,25,,4179772875,18,,dlgueejo95xoqfugtpgc3i2nd,C. Holse,4179779085,230,98.4,4179779079,458,,,4179778775,72,,4179779077,215,,4179779081,146,87.9,4179779083,147,,,,,,,,,,44.2,,,,
2531660691,8,12,1,1,8,bsykw9d70ffqe9atosc92n1e9,1,13.1,65.2,2023-04-10T12:31:22.078Z,2023-04-10T12:31:24Z,4179773139,140,10.5,4179773135,56,Back,4179773141,141,29.4,4179773145,213,4.6,4179773143,212,24.5,,,,,,,,,,6o1kdj6orb69f9ilwimxlprvu,S. Pattynama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660703,9,12,1,1,10,bsykw9d70ffqe9atosc92n1e9,1,10.5,29.4,2023-04-10T12:31:24.254Z,2023-04-10T12:31:25Z,4179773215,141,21.6,4179773255,15,,4179773209,140,10.7,4179773217,212,5.3,4179773219,213,4.8,4179773203,56,Back,,,,,,,aeq6jlhgxpnkywoc20kp8tvu2,H. Haugen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660753,15,1,1,1,14,c7jgkxx1czv5etn7snf1r6p2m,0,90.1,67.3,2023-04-10T12:31:28.172Z,2023-04-10T13:22:16Z,4179773467,56,Center,4179773469,140,69.7,4179773473,212,21.4,4179773475,213,3.2,4179773471,141,66.1,,,,,,,,,,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660789,16,1,1,1,15,c7jgkxx1czv5etn7snf1r6p2m,0,71.2,67.9,2023-04-10T12:31:28.955Z,2023-04-10T13:22:27Z,4179773653,155,,4179773663,213,5.8,4179773657,140,89.8,4179773659,141,51.3,4179773661,212,22.6,4179773655,56,Center,,,,,,,dlgueejo95xoqfugtpgc3i2nd,C. Holse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660757,10,44,1,1,16,bsykw9d70ffqe9atosc92n1e9,1,12.6,44.6,2023-04-10T12:31:29.606Z,2023-04-10T12:31:33Z,4179773487,56,Back,4179773735,233,17,4179773489,285,,,,,,,,,,,,,,,,,28foaur1tv999b2t8t0no9aeh,D. Brekalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660791,17,44,1,1,16,c7jgkxx1czv5etn7snf1r6p2m,0,87.4,55.4,2023-04-10T12:31:29.607Z,2023-04-10T13:22:33Z,4179773677,286,,4179773747,233,10,4179773675,56,Center,,,,,,,,,,,,,,,,9hg60gdc7h6dwo1qi4c7pc9nt,E. Reitan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660761,11,12,1,1,16,bsykw9d70ffqe9atosc92n1e9,1,13.6,42.2,2023-04-10T12:31:30.015Z,2023-04-10T12:31:31Z,4179773503,213,1.6,4179773531,15,,4179773495,56,Back,4179773501,212,20.7,4179773497,140,13.4,4179773499,141,72.6,,,,,,,28foaur1tv999b2t8t0no9aeh,D. Brekalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660797,18,3,1,1,19,c7jgkxx1czv5etn7snf1r6p2m,0,87.3,25.5,2023-04-10T12:31:33.412Z,2023-04-10T13:23:07Z,4179773753,286,,4179981353,211,,4179773751,56,Center,,,,,,,,,,,,,,,,2u8ylwu9kogk0jorpe517812i,A. Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531699503,422,50,1,1,19,bsykw9d70ffqe9atosc92n1e9,1,14.5,70.6,2023-04-10T12:31:33.450Z,2023-04-10T13:23:14Z,4179981895,56,Back,4179981947,233,421,4179981897,285,,,,,,,,,,,,,,,,,115owbh8c39gfwcja2wxuweay,H. Tangen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
