id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/9/value,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/13/value,qualifier/17/value,qualifier/19/value
2514987451,10,1,1,0,24,o1iwuxbv233ayidxpibbxy59,1,73,31.8,2023-03-04T13:01:40.876Z,2023-03-24T21:44:58Z,4070598539,141,19.7,4121949797,178,,4070598543,213,6.0,4070598541,212,25.6,4070598537,140,96.1,4070598535,56,Right,,,,,,,12dv2sa9xm0aedpb13ivl11wp,Fahad Al Rashidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516867287,760,43,1,0,24,4djrvao40r1vgr4psfl5dzc80,1,0,0,2023-03-04T13:01:40.906Z,2023-03-07T14:05:45Z,4080552647,144,49,,,,,,,,,,,,,,,,,,,,,,5x2mcnjeclk64b5l9o2h4d5g5,Mansour Hamzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524262563,805,67,1,0,27,o1iwuxbv233ayidxpibbxy59,1,95.7,18.5,2023-03-04T13:01:43.679Z,2023-03-24T23:53:47Z,4121977225,233,875,,,,,,,,,,,,,,,,,,,,,,7msfk3faesnc4ls6893wdhi0a,Mohammed Al Ghamdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524262561,875,67,1,0,27,4djrvao40r1vgr4psfl5dzc80,0,4.3,81.5,2023-03-04T13:01:43.680Z,2023-03-24T22:17:02Z,4121977229,233,805,,,,,,,,,,,,,,,,,,,,,,624uaxchaea87v6na4wsd50x5,A. Bedrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987455,11,61,1,0,27,o1iwuxbv233ayidxpibbxy59,0,93.9,17.5,2023-03-04T13:01:43.746Z,2023-03-24T23:53:47Z,4070598547,56,Right,4121950615,178,,,,,,,,,,,,,,,,,,,,7msfk3faesnc4ls6893wdhi0a,Mohammed Al Ghamdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987449,7,43,1,0,27,4djrvao40r1vgr4psfl5dzc80,1,0,0,2023-03-04T13:01:43.946Z,2023-03-04T13:02:44Z,4070601421,144,7,4070598533,285,0,4070598597,233,11,4070598531,56,Back,,,,,,,,,,,,,624uaxchaea87v6na4wsd50x5,A. Bedrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987453,8,49,1,0,28,4djrvao40r1vgr4psfl5dzc80,1,8.3,84.7,2023-03-04T13:01:44.624Z,2023-03-24T21:46:14Z,,,,,,,,,,,,,,,,,,,,,,,,,624uaxchaea87v6na4wsd50x5,A. Bedrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987521,9,1,1,0,29,4djrvao40r1vgr4psfl5dzc80,1,9,84.1,2023-03-04T13:01:45.929Z,2023-03-24T21:46:22Z,4070598899,212,17.5,4070598897,141,92.0,4070598893,56,Back,4121951165,178,,4070598901,213,0.3,4070598895,140,24.9,,,,,,,624uaxchaea87v6na4wsd50x5,A. Bedrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987545,10,1,1,0,35,4djrvao40r1vgr4psfl5dzc80,1,30,90.8,2023-03-04T13:01:51.954Z,2023-03-24T21:46:26Z,4070599009,141,85.6,4070599011,212,9.6,4070599007,140,21.5,4121951313,178,,4070599013,213,3.5,4070599005,56,Back,,,,,,,820fen2dxh3d2zmcbn9ak0u6t,Abdullah Al Ammar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987565,11,1,1,0,39,4djrvao40r1vgr4psfl5dzc80,1,21.5,85.6,2023-03-04T13:01:55.538Z,2023-03-24T21:46:32Z,4070599087,141,67.6,4070599083,56,Back,4070599085,140,32.7,4121951435,178,,4070599091,213,5.5,4070599089,212,17.0,,,,,,,624uaxchaea87v6na4wsd50x5,A. Bedrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987599,12,1,1,0,43,4djrvao40r1vgr4psfl5dzc80,1,32.7,67.6,2023-03-04T13:01:59.706Z,2023-03-24T21:46:37Z,4070599243,140,26.2,4070599247,212,26.9,4070599245,141,29.4,4070599249,213,4.5,4121951553,178,,4070599241,56,Back,,,,,,,cgwl99clcp8j1z4tq5n0bh9ed,A. Maher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987609,13,1,1,0,46,4djrvao40r1vgr4psfl5dzc80,1,26.2,29.4,2023-03-04T13:02:03.100Z,2023-03-24T21:46:41Z,4121951641,178,,4070599311,140,30.5,4070599309,56,Back,4070599315,212,16.1,4070599313,141,6.7,4070599317,213,5.0,,,,,,,5376r1hbhrywje7cys1vcyb4l,F. Chafaï,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987643,14,1,1,0,48,4djrvao40r1vgr4psfl5dzc80,1,30.5,6.7,2023-03-04T13:02:05.239Z,2023-03-24T21:47:03Z,4070599517,141,4.9,4070599513,56,Back,4121952001,178,,4070599515,140,43.2,4070599519,212,13.4,4070599521,213,6.2,,,,,,,cp8kbj12wth398bnglywepk9,Ibrahim Al Nakhli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987721,15,1,1,0,51,4djrvao40r1vgr4psfl5dzc80,1,43.2,5.3,2023-03-04T13:02:08.300Z,2023-03-24T21:47:05Z,4070599889,1,,4070599875,155,,4070599881,140,72.1,4070599877,196,,4121952099,178,,4070599883,141,92.7,4070599887,213,1.1,4070599885,212,66.7,1fypwti6kn4ae12fc9outj845,H. Soudani,4070599879,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987739,16,1,1,1,0,4djrvao40r1vgr4psfl5dzc80,0,92.7,90.9,2023-03-04T13:02:16.596Z,2023-03-24T21:47:09Z,4121952201,178,,4070599971,56,Center,4070599979,212,31.5,4070599967,2,,4070599975,141,46.0,4080556683,224,,4080556685,72,,4070599981,213,4.5,820fen2dxh3d2zmcbn9ak0u6t,Abdullah Al Ammar,4070599973,140,85.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987789,12,12,1,1,1,o1iwuxbv233ayidxpibbxy59,1,14.1,57.2,2023-03-04T13:02:17.999Z,2023-03-24T21:47:15Z,4070600273,167,,4070600239,141,64.6,4070600243,213,2.8,4070600237,140,0.0,4070600241,212,16.9,4121952289,178,,4070600235,56,Back,,,,c8sryc7a76ov57x24tv80swr9,A. El Mahdioui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987795,13,6,1,1,4,o1iwuxbv233ayidxpibbxy59,0,2.8,62.2,2023-03-04T13:02:21.019Z,2023-03-24T21:47:21Z,4070600263,73,,4070600259,56,Back,4070600391,233,17,,,,,,,,,,,,,,,,c8sryc7a76ov57x24tv80swr9,A. El Mahdioui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987777,17,6,1,1,4,4djrvao40r1vgr4psfl5dzc80,1,97.2,37.8,2023-03-04T13:02:21.019Z,2023-03-24T21:47:22Z,4070600175,56,Center,4070600295,233,13,4070600177,75,,,,,,,,,,,,,,,,,820fen2dxh3d2zmcbn9ak0u6t,Abdullah Al Ammar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514988281,18,1,1,1,52,4djrvao40r1vgr4psfl5dzc80,1,99.5,0.5,2023-03-04T13:03:08.866Z,2023-03-24T21:47:27Z,4070602529,56,Right,4121952439,178,,4070602531,140,86.9,4070602537,213,2.7,4070602533,141,10.1,4070602527,6,,4070602535,212,14.8,,,,evyk938tt0eebkhxrwejaonv9,D. Antolić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
