id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/11/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2460550759,13,1,1,0,37,o1iwuxbv233ayidxpibbxy59,1,31.1,82.7,2022-09-16T15:51:09.498Z,2022-09-23T11:10:26Z,3783200799,56,Back,3783200807,213,1.2,3798692543,178,,3783200805,212,8.7,3783200801,140,34.1,3783200803,141,94.7,,,,,,,c8sryc7a76ov57x24tv80swr9,A. El Mahdioui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550763,14,1,1,0,39,o1iwuxbv233ayidxpibbxy59,0,33.9,95.3,2022-09-16T15:51:12.380Z,2022-09-23T11:10:33Z,3798692633,178,,3783200817,141,94.8,3783200819,212,1.3,3783200815,140,35.1,3783200849,236,,3783200855,286,,3783200851,233,8,3783200813,56,Back,7l1lhluaxnuy4cun3omcva4us,Saad Yaslam,3783200821,213,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550769,8,74,1,0,40,4djrvao40r1vgr4psfl5dzc80,1,57.9,3.4,2022-09-16T15:51:12.535Z,2022-09-23T11:10:42Z,3783200857,233,14,3783200845,56,Right,3798692757,178,,3783200847,285,,,,,,,,,,,,,,5x2mcnjeclk64b5l9o2h4d5g5,Mansour Hamzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550771,9,5,1,0,40,4djrvao40r1vgr4psfl5dzc80,0,60.1,-1.5,2022-09-16T15:51:13.454Z,2022-09-23T11:10:50Z,3783200861,56,Right,3783200863,347,,3783200893,233,15,,,,,,,,,,,,,,,,5yrugwes9msd3cd5hhrluivah,Ahmed Al Zain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550773,15,5,1,0,40,o1iwuxbv233ayidxpibbxy59,1,39.9,101.5,2022-09-16T15:51:13.454Z,2022-09-23T11:10:49Z,3783200869,233,9,3783200865,56,Back,3783200867,347,,,,,,,,,,,,,,,,,7l1lhluaxnuy4cun3omcva4us,Saad Yaslam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550783,16,1,1,0,44,o1iwuxbv233ayidxpibbxy59,1,34.9,100,2022-09-16T15:51:16.758Z,2022-09-23T11:11:05Z,3783200933,140,55.1,3783200931,56,Left,3783200935,141,84.4,3783200929,107,,3783200937,212,24.0,3783200939,213,5.8,3783200941,1,,,,,7l1lhluaxnuy4cun3omcva4us,Saad Yaslam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550785,17,50,1,0,46,o1iwuxbv233ayidxpibbxy59,1,56.4,87.7,2022-09-16T15:51:18.545Z,2022-09-23T11:11:15Z,3783200945,56,Left,3783200947,286,,3783200987,233,10,,,,,,,,,,,,,,,,9f8pdf7j05xb111c5lunzgvyt,L. Tawamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550795,10,7,1,0,46,4djrvao40r1vgr4psfl5dzc80,0,43.6,12.3,2022-09-16T15:51:18.656Z,2022-09-23T11:11:19Z,3793862717,385,,3783200981,285,,3783200979,56,Back,3783200983,233,17,3798693129,178,,,,,,,,,,,5376r1hbhrywje7cys1vcyb4l,F. Chafaï,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462560429,724,50,1,0,47,4djrvao40r1vgr4psfl5dzc80,1,47.4,7.6,2022-09-16T15:51:20.250Z,2022-09-23T11:11:24Z,3793862993,56,Back,3793946731,233,18,3793862995,286,,,,,,,,,,,,,,,,,5x2mcnjeclk64b5l9o2h4d5g5,Mansour Hamzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550787,18,7,1,0,47,o1iwuxbv233ayidxpibbxy59,0,52.6,92.4,2022-09-16T15:51:20.436Z,2022-09-23T11:11:33Z,3793946727,233,724,3798693279,178,,3793863049,385,,3783200949,56,Left,3793862887,285,,,,,,,,,,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
