id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/12/value,qualifier/13/value,keyPass,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2500970509,11,1,1,7,29,2xl3g56k2mbuwdbre46s29vt4,1,13.5,37.1,2023-01-27T17:37:44.401Z,2023-02-16T11:23:29Z,3996828931,56,Back,3996828937,212,17.9,3996828939,213,6.2,4035342651,178,,3996828929,123,,3996828935,141,33.7,3996828933,140,30.4,,,,64122p1l6bayb1x6lfi9w85m2,Abdulquddus Atiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500970527,12,1,1,7,35,2xl3g56k2mbuwdbre46s29vt4,1,42.9,22.7,2023-01-27T17:37:50.104Z,2023-02-16T11:23:32Z,3996829019,56,Back,3996829025,212,17.4,3996829023,141,48.1,4035342687,178,,3996829021,140,41.2,3996829027,213,1.7,,,,,,,5fpfdgzit3468e1a04ooetsr9,Anselmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500970571,13,1,1,7,38,2xl3g56k2mbuwdbre46s29vt4,1,44.4,51.8,2023-01-27T17:37:52.755Z,2023-02-16T11:23:35Z,3996829293,56,Left,3996829295,140,66.3,4035342759,178,,3996829303,1,,3996829291,155,,3996829297,141,93.2,3996829299,212,36.3,3996829301,213,0.9,bl117o6ogkgnnbv2gl0ozpn85,Waleed Bakshwn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500970589,14,1,1,7,45,2xl3g56k2mbuwdbre46s29vt4,1,71.6,84.7,2023-01-27T17:37:59.975Z,2023-02-16T11:23:41Z,4035342857,178,,3996829375,141,68.1,3996829373,140,64.0,3996829377,212,13.8,3996829371,56,Center,3996829379,213,4.1,,,,,,,2tuivjaotzbx9jv83wi7d5rrp,G. Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500970601,15,1,1,7,48,2xl3g56k2mbuwdbre46s29vt4,1,63.8,67.6,2023-01-27T17:38:02.939Z,2023-02-16T11:23:46Z,3996829433,141,50.0,3996829435,212,12.0,3996829429,56,Center,4035342953,178,,3996829431,140,62.8,3996829437,213,4.6,,,,,,,bl117o6ogkgnnbv2gl0ozpn85,Waleed Bakshwn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500970617,16,1,1,7,49,2xl3g56k2mbuwdbre46s29vt4,1,62.8,50.6,2023-01-27T17:38:03.945Z,2023-02-16T11:23:51Z,3996829505,140,62.8,3996829503,56,Center,3996829511,213,1.6,3996829507,141,63.6,4035343047,178,,3996829509,212,8.8,,,,,,,5fpfdgzit3468e1a04ooetsr9,Anselmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500970645,17,1,1,7,51,2xl3g56k2mbuwdbre46s29vt4,1,62.8,64.5,2023-01-27T17:38:05.890Z,2023-02-16T11:23:54Z,3996829641,213,1.7,3996829635,140,60.5,3996829633,56,Left,4035343149,178,,3996829639,212,21.3,3996829637,141,95.6,,,,,,,bl117o6ogkgnnbv2gl0ozpn85,Waleed Bakshwn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500970681,18,1,1,7,54,2xl3g56k2mbuwdbre46s29vt4,1,60.8,94.7,2023-01-27T17:38:08.755Z,2023-02-16T11:23:56Z,3996829851,213,0.0,3996829843,56,Left,3996829845,140,71.4,3996829849,212,11.1,3996829847,141,95.4,4035343219,178,,,,,,,,7fjkirlsme7wdpjibaw136s4,Islam Hawsawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500970685,19,4,1,7,55,2xl3g56k2mbuwdbre46s29vt4,1,69.2,92.6,2023-01-27T17:38:09.685Z,2023-02-16T11:24:03Z,3996829871,152,,3996829867,13,,3996830091,233,11,3996829875,286,,3996829873,265,,3996829869,56,Left,,,,,,,b21fztzyrqua7i6lkfk7wh979,K. Yoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500970725,11,4,1,7,55,aekjg4wbxaixtwu4aicmiju92,0,30.8,7.4,2023-01-27T17:38:09.686Z,2023-02-16T11:24:02Z,3996830063,285,,3996830055,13,,4035343403,178,,3996830061,265,,3996830059,152,,3996830095,233,19,3996830057,56,Back,,,,2h2r99zztgquxzs5it347aitx,Ali Al Zubaidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500970975,20,1,1,8,33,2xl3g56k2mbuwdbre46s29vt4,0,68.1,93.9,2023-01-27T17:38:48.360Z,2023-02-16T11:24:06Z,4005509369,20,,3996831289,56,Center,4035343491,178,,3996831291,140,100.0,3996831287,152,,4005509367,223,,3996831293,141,38.3,3996831285,155,,2tuivjaotzbx9jv83wi7d5rrp,G. Rodrigues,3996831297,213,5.5,3996831281,2,3996831299,1,3996831295,212,3996831283,5,,51.1,,,,,,,,,,,,,,,,,,,,,,,,
2500970983,12,5,1,8,37,aekjg4wbxaixtwu4aicmiju92,1,-1.1,74.1,2023-01-27T17:38:51.616Z,2023-02-16T11:24:10Z,3996831331,346,,3996831367,233,21,3996831329,56,Back,,,,,,,,,,,,,,,,2h2r99zztgquxzs5it347aitx,Ali Al Zubaidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500970985,21,5,1,8,37,2xl3g56k2mbuwdbre46s29vt4,0,101.1,25.9,2023-01-27T17:38:51.616Z,2023-02-16T11:24:09Z,3996831391,233,12,3996831335,346,,3996831333,56,Center,,,,,,,,,,,,,,,,2tuivjaotzbx9jv83wi7d5rrp,G. Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500971085,13,1,1,8,46,aekjg4wbxaixtwu4aicmiju92,1,3.7,60,2023-01-27T17:39:00.492Z,2023-02-16T11:24:13Z,3996831827,141,27.0,3996831821,124,,3996831835,237,,3996831829,212,23.7,3996831825,140,11.1,3996831823,56,Back,3996831831,213,5.0,,,,26dlb4txygf7qzukjikr23mxh,J. Rinne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500971131,14,1,1,8,51,aekjg4wbxaixtwu4aicmiju92,0,10.7,19.1,2023-01-27T17:39:05.712Z,2023-02-16T11:24:18Z,3996832063,1,,3996832055,140,69.4,3996832053,56,Right,4035343781,178,,3996832061,213,6.1,3996832059,212,63.2,3996832057,141,0.0,3996832051,155,,eznzwuryd9khv90y1it9dey1h,Ammar Al Duhaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500971135,15,5,1,8,55,aekjg4wbxaixtwu4aicmiju92,0,67.5,-1.6,2023-01-27T17:39:10.037Z,2023-02-16T11:24:24Z,3996832275,233,22,3996832071,347,,3996832069,56,Right,,,,,,,,,,,,,,,,eznzwuryd9khv90y1it9dey1h,Ammar Al Duhaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500971179,22,5,1,8,55,2xl3g56k2mbuwdbre46s29vt4,1,32.5,101.6,2023-01-27T17:39:10.037Z,2023-02-16T11:24:23Z,3996832257,233,15,3996832253,347,,3996832251,56,Back,,,,,,,,,,,,,,,,7fjkirlsme7wdpjibaw136s4,Islam Hawsawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
