id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/17/value,qualifier/9/value,qualifier/15/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2459888209,14,12,1,0,38,aekjg4wbxaixtwu4aicmiju92,1,17.4,29.3,2022-09-14T15:55:53.334Z,2022-09-24T09:38:27Z,3779640973,56,Back,3799927019,388,,3779640987,15,,3779640975,140,30.5,3779640977,141,29.9,3779640979,212,13.8,3779640981,213,0.0,,,,6w77bixcwoy3qlg568od8wr9,Majed Kanabah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459888213,7,1,1,0,40,f0zsn74nz0o01gr30weun240i,1,70.8,64.7,2022-09-14T15:55:55.377Z,2022-09-24T07:43:36Z,3779641009,141,28.7,3779641011,212,24.7,3779641013,213,4.9,3799927115,178,,3779641007,140,74.2,3779641005,56,Center,,,,,,,7ieikgigejp7rmvrsra8mj1lh,Dener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459888215,8,1,1,0,46,f0zsn74nz0o01gr30weun240i,0,74.2,26.8,2022-09-14T15:56:01.186Z,2022-09-24T07:43:43Z,3799927199,178,,3779641033,56,Center,3779641035,140,75.4,3779641037,141,31.6,3779641031,155,,3779641039,212,3.5,3779641041,213,1.2,,,,5ffogjpb96mfoihuw7pu5pl91,C. Fai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460187967,892,61,1,0,46,aekjg4wbxaixtwu4aicmiju92,1,27.5,72,2022-09-14T15:56:01.286Z,2022-09-24T07:43:51Z,3799927299,178,,3781244747,56,Back,,,,,,,,,,,,,,,,,,,cee8klv6kur6xp1v57uikihg5,S. Bendebka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459888217,9,50,1,0,52,f0zsn74nz0o01gr30weun240i,1,96.3,90.2,2022-09-14T15:56:06.570Z,2022-09-24T07:44:18Z,3779641047,56,Left,3779660975,286,,3779660981,233,278,,,,,,,,,,,,,,,,f0fot1juj3i62tt8i2vybnjdh,K. Musona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459891563,278,7,1,0,52,aekjg4wbxaixtwu4aicmiju92,0,3.7,9.8,2022-09-14T15:56:06.608Z,2022-09-24T07:44:16Z,3779660951,285,,3779660949,56,Back,3779660977,233,9,3799927513,178,,3781245149,385,,,,,,,,,,,85oc68xls37jerkaimzc1lv8q,Nawaf Boushal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463715225,775,67,1,0,52,f0zsn74nz0o01gr30weun240i,1,97,87,2022-09-14T15:56:06.625Z,2022-09-24T09:38:27Z,3799958185,233,925,,,,,,,,,,,,,,,,,,,,,,f0fot1juj3i62tt8i2vybnjdh,K. Musona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463715223,925,67,1,0,52,aekjg4wbxaixtwu4aicmiju92,0,3,13,2022-09-14T15:56:06.626Z,2022-09-24T08:28:35Z,3799958197,233,775,,,,,,,,,,,,,,,,,,,,,,85oc68xls37jerkaimzc1lv8q,Nawaf Boushal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459891569,234,61,1,0,52,f0zsn74nz0o01gr30weun240i,1,96.9,86.3,2022-09-14T15:56:06.636Z,2022-09-24T09:38:28Z,3779660993,56,Left,3799927607,178,,,,,,,,,,,,,,,,,,,,f0fot1juj3i62tt8i2vybnjdh,K. Musona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459888231,10,5,1,0,53,f0zsn74nz0o01gr30weun240i,0,93.3,102,2022-09-14T15:56:08.003Z,2022-09-24T07:44:27Z,3779641123,56,Left,3779641125,347,,3779641127,233,16,,,,,,,,,,,,,,,,f0fot1juj3i62tt8i2vybnjdh,K. Musona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
