id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value
2498648909,4,1,1,0,13,2kzl64gp8x37bon8tyxojqrr1,0,62.6,10.7,2023-01-19T15:01:42.560Z,2023-01-21T10:39:17Z,3984625347,212,2.6,3984625363,233,8,3984625367,286,,3986781197,178,,3984625349,213,3.7,3984625343,140,60.4,3984625341,56,Right,3984625361,236,,6lpj04km1rma60n8l66q0hd5h,Igor Coronado,3984625345,141,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498648907,8,74,1,0,13,ebcxfnmnxrxvv6lcjsahgd38j,1,34.1,90.7,2023-01-19T15:01:42.636Z,2023-01-21T10:39:20Z,3984625339,285,,3986781231,178,,3984625371,233,4,3984625337,56,Back,,,,,,,,,,,,,483s97qezyiz91n8qzwjd7uuh,Bandar Nasser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498652811,274,61,1,0,13,2kzl64gp8x37bon8tyxojqrr1,1,61.4,4.4,2023-01-19T15:01:42.694Z,2023-01-21T10:39:24Z,3986781285,178,,3984646655,56,Right,,,,,,,,,,,,,,,,,,,6lpj04km1rma60n8l66q0hd5h,Igor Coronado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498648921,5,43,1,0,16,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-01-19T15:01:45.339Z,2023-01-20T12:06:31Z,3985449507,144,49,,,,,,,,,,,,,,,,,,,,,,56umgnm066b18r5v5m7xduead,Madallah Al Olayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498648929,6,1,1,0,16,2kzl64gp8x37bon8tyxojqrr1,1,58.2,4.1,2023-01-19T15:01:45.882Z,2023-01-21T10:39:28Z,3986781423,178,,3984625441,141,5.5,3984625437,56,Back,3984625443,212,15.3,3984625439,140,43.7,3984625445,213,3.1,,,,,,,56umgnm066b18r5v5m7xduead,Madallah Al Olayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498648941,7,1,1,0,20,2kzl64gp8x37bon8tyxojqrr1,1,44.2,8.8,2023-01-19T15:01:49.021Z,2023-01-21T10:39:31Z,3984625511,213,1.9,3984625507,141,50.3,3986781519,178,,3984625503,56,Back,3984625505,140,34.2,3984625509,212,30.1,,,,,,,82t3ag5zwejftjmznthvsjtn9,Ahmed Sharahili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498648945,8,1,1,0,24,2kzl64gp8x37bon8tyxojqrr1,1,33.7,48.8,2023-01-19T15:01:53.413Z,2023-01-21T10:39:36Z,3984625535,213,5.0,3984625531,141,25.9,3984625529,140,37.8,3984625533,212,16.2,3986781583,178,,3984625527,56,Back,,,,,,,4upzspmuautmtl51yxe3kva39,Ahmed Hegazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498648953,9,1,1,0,28,2kzl64gp8x37bon8tyxojqrr1,1,40.2,11,2023-01-19T15:01:56.989Z,2023-01-21T10:39:43Z,3984625583,213,0.3,3984625577,140,50.9,3986781661,178,,3984625579,141,16.5,3984625575,56,Right,3984625581,212,11.8,,,,,,,82t3ag5zwejftjmznthvsjtn9,Ahmed Sharahili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498648959,10,1,1,0,28,2kzl64gp8x37bon8tyxojqrr1,1,50.9,16.5,2023-01-19T15:01:57.784Z,2023-01-21T10:39:46Z,3984625607,141,28.3,3984625611,213,2.1,3986781673,178,,3984625609,212,9.2,3984625605,140,46.6,3984625603,56,Back,,,,,,,6lpj04km1rma60n8l66q0hd5h,Igor Coronado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498648969,11,1,1,0,31,2kzl64gp8x37bon8tyxojqrr1,1,47.3,34.3,2023-01-19T15:02:00.303Z,2023-01-21T10:39:48Z,3984625667,140,43.0,3984625673,213,1.8,3986781697,178,,3984625669,141,61.1,3984625665,56,Back,3984625671,212,18.8,,,,,,,cfjp3mf7meekpcsx7hjrql79,Bruno Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498654751,388,1,1,0,33,2kzl64gp8x37bon8tyxojqrr1,1,44.9,58.2,2023-01-19T15:02:02.434Z,2023-01-21T10:39:51Z,3986781773,178,,3984657047,140,48.3,3984657051,212,3.7,3984657053,213,0.3,3984657045,56,Back,3984657049,141,59.7,,,,,,,emkg78pm7xdjkkt2w0yd8vh79,Tarek Hamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498654983,402,1,1,0,37,2kzl64gp8x37bon8tyxojqrr1,1,53,65.4,2023-01-19T15:02:06.112Z,2023-01-21T10:39:55Z,3984658321,213,2.1,3984658317,141,74.5,3984658315,140,49.2,3984658319,212,7.4,3984658313,56,Back,3986781797,178,,,,,,,,1cpbxhov5ypi6ez7k09oxo5w5,Romarinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498655057,403,1,1,0,39,2kzl64gp8x37bon8tyxojqrr1,1,50.1,75,2023-01-19T15:02:08.004Z,2023-01-21T10:40:03Z,3984658703,141,74.2,3984658705,212,5.1,3984658701,140,54.9,3984658707,213,6.2,3984658699,56,Center,3986781913,178,,,,,,,,emkg78pm7xdjkkt2w0yd8vh79,Tarek Hamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498655121,404,1,1,0,39,2kzl64gp8x37bon8tyxojqrr1,1,54.2,75.9,2023-01-19T15:02:08.710Z,2023-01-21T10:40:06Z,3984658983,56,Back,3984658985,140,49.9,3984658989,212,4.5,3986781929,178,,3984658987,141,75.9,3984658991,213,3.1,,,,,,,7us8hoqv66v0fqos94zxijk2y,Haroune Camara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498649013,15,43,1,0,40,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-01-19T15:02:09.076Z,2023-01-19T15:37:29Z,3984625931,141,73.2,3984625935,213,3.2,3984625929,140,53.2,3984625933,212,10.0,3984625927,56,Center,3984658441,144,1,,,,,,,1cpbxhov5ypi6ez7k09oxo5w5,Romarinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498655191,406,1,1,0,42,2kzl64gp8x37bon8tyxojqrr1,1,50.6,78.7,2023-01-19T15:02:10.891Z,2023-01-21T10:40:08Z,3984659543,212,17.4,3984659545,213,0.9,3984659539,140,61.4,3986781957,178,,3984659537,56,Left,3984659541,141,98.1,,,,,,,emkg78pm7xdjkkt2w0yd8vh79,Tarek Hamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498655257,407,1,1,0,43,2kzl64gp8x37bon8tyxojqrr1,1,57.1,97.7,2023-01-19T15:02:12.729Z,2023-01-21T10:40:11Z,3984660053,56,Left,3984660061,213,3.8,3984660059,212,7.2,3984660055,140,51.6,3986781971,178,,3984660057,141,91.5,,,,,,,bg3kdsod1j0u3yk1jw5ndu9sk,Zakaria Al Hawsawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498655685,426,1,1,0,45,2kzl64gp8x37bon8tyxojqrr1,1,51,78.7,2023-01-19T15:02:14.073Z,2023-01-21T10:40:13Z,3984662143,141,93.3,3984662139,56,Left,3984662145,212,14.9,3984662147,213,0.7,3986781995,178,,3984662141,140,61.6,,,,,,,emkg78pm7xdjkkt2w0yd8vh79,Tarek Hamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498655807,430,1,1,0,48,2kzl64gp8x37bon8tyxojqrr1,1,54.9,91.7,2023-01-19T15:02:17.328Z,2023-01-21T10:40:17Z,3984662861,56,Back,3984662867,212,17.7,3986782039,178,,3984662865,141,80.2,3984662869,213,3.6,3984662863,140,39.8,,,,,,,1cpbxhov5ypi6ez7k09oxo5w5,Romarinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498649029,16,1,1,0,52,2kzl64gp8x37bon8tyxojqrr1,1,35.3,65.5,2023-01-19T15:02:21.441Z,2023-01-21T10:40:22Z,3984626045,140,40.8,3984626049,212,24.6,3986782049,178,,3984626043,56,Back,3984626051,213,4.9,3984626047,141,30.3,,,,,,,4upzspmuautmtl51yxe3kva39,Ahmed Hegazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498649033,17,1,1,0,57,2kzl64gp8x37bon8tyxojqrr1,1,40.6,30.3,2023-01-19T15:02:25.986Z,2023-01-21T10:40:26Z,3984626077,213,0.9,3984626069,56,Back,3984626071,140,45.6,3986782061,178,,3984626075,212,8.0,3984626073,141,39.1,,,,,,,cfjp3mf7meekpcsx7hjrql79,Bruno Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498649041,18,1,1,0,58,2kzl64gp8x37bon8tyxojqrr1,1,45.6,39.2,2023-01-19T15:02:27.059Z,2023-01-21T10:40:29Z,3984626105,56,Back,3984626109,141,6.5,3984626113,213,4.7,3986782081,178,,3984626107,140,44.5,3984626111,212,22.3,,,,,,,emkg78pm7xdjkkt2w0yd8vh79,Tarek Hamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498649045,19,1,1,1,2,2kzl64gp8x37bon8tyxojqrr1,1,45.6,7.4,2023-01-19T15:02:31.194Z,2023-01-21T10:40:32Z,3984626133,56,Center,3984626135,140,52.5,3984626139,212,13.8,3986782089,178,,3984626141,213,1.0,3984626137,141,24.6,,,,,,,56umgnm066b18r5v5m7xduead,Madallah Al Olayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498656847,453,43,1,1,3,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-01-19T15:02:32.297Z,2023-01-19T15:51:40Z,3984668523,212,10.8,3984668525,213,0.9,3984668517,56,Center,3984674353,144,1,3984668519,140,58.0,3984668521,141,32.8,,,,,,,emkg78pm7xdjkkt2w0yd8vh79,Tarek Hamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498649051,20,1,1,1,4,2kzl64gp8x37bon8tyxojqrr1,0,52,24.3,2023-01-19T15:02:33.584Z,2023-01-21T10:40:35Z,3984626163,140,58.0,3984626167,212,12.5,3986782123,178,,3984626165,141,40.1,3984626169,213,1.0,3984626161,56,Center,,,,,,,emkg78pm7xdjkkt2w0yd8vh79,Tarek Hamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498804567,805,8,1,1,5,ebcxfnmnxrxvv6lcjsahgd38j,1,37.4,58.2,2023-01-19T15:02:34.160Z,2023-01-21T10:40:40Z,3985449917,56,Back,3986782143,178,,3985449979,383,,,,,,,,,,,,,,,,,61u0tfe67undvqqutes55k2xh,Ricardo Ryller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498649049,9,49,1,1,6,ebcxfnmnxrxvv6lcjsahgd38j,1,44.6,59.5,2023-01-19T15:02:35.121Z,2023-01-21T10:40:43Z,,,,,,,,,,,,,,,,,,,,,,,,,61u0tfe67undvqqutes55k2xh,Ricardo Ryller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498649071,10,1,1,1,8,ebcxfnmnxrxvv6lcjsahgd38j,1,53.6,55.6,2023-01-19T15:02:37.005Z,2023-01-21T10:40:47Z,3984626281,56,Left,3984626287,212,19.0,3986782255,178,,3984626285,141,81.3,3984626289,213,1.2,3984626283,140,60.6,,,,,,,61u0tfe67undvqqutes55k2xh,Ricardo Ryller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498649073,11,1,1,1,11,ebcxfnmnxrxvv6lcjsahgd38j,1,77.3,71,2023-01-19T15:02:40.748Z,2023-01-21T10:40:49Z,3984626297,141,85.6,3984626301,213,0.7,3984626299,212,16.0,3984626295,140,89.2,3986782271,178,,3984626293,56,Left,,,,,,,5zmh9fz8vr0jcgt8zic0vyve2,Paulinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498649077,12,1,1,1,13,ebcxfnmnxrxvv6lcjsahgd38j,0,89.2,85.6,2023-01-19T15:02:42.731Z,2023-01-21T10:40:53Z,3984626329,141,56.5,3985450087,72,,3984626331,212,19.9,3986782277,178,,3984626327,140,86.8,3984626325,56,Center,3984626333,213,4.6,3985450081,225,,beeunz2xxmos83md5kmsy4hqt,Víctor Ruiz,3984626321,2,,3985450085,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498804631,988,49,1,1,15,2kzl64gp8x37bon8tyxojqrr1,1,11.9,47.6,2023-01-19T15:02:44.371Z,2023-01-21T10:40:56Z,,,,,,,,,,,,,,,,,,,,,,,,,4upzspmuautmtl51yxe3kva39,Ahmed Hegazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498649107,21,12,1,1,15,2kzl64gp8x37bon8tyxojqrr1,1,10.4,53.3,2023-01-19T15:02:44.444Z,2023-01-21T10:41:03Z,3984626513,213,5.9,3984626509,141,32.5,3984626505,56,Back,3984626507,140,42.4,3986782359,178,,3984626511,212,36.5,,,,,,,4upzspmuautmtl51yxe3kva39,Ahmed Hegazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498804651,806,49,1,1,18,ebcxfnmnxrxvv6lcjsahgd38j,1,55.2,69.7,2023-01-19T15:02:47.218Z,2023-01-21T10:41:07Z,,,,,,,,,,,,,,,,,,,,,,,,,7qmg0s07y1tkthgu8zwa599ed,Hussain Al Shuwaish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498649095,13,1,1,1,18,ebcxfnmnxrxvv6lcjsahgd38j,1,54.1,69.6,2023-01-19T15:02:47.235Z,2023-01-21T10:41:11Z,3984626437,140,60.7,3984626441,212,10.0,3984626443,213,0.8,3986782391,178,,3984626435,56,Left,3984626439,141,80.1,,,,,,,7qmg0s07y1tkthgu8zwa599ed,Hussain Al Shuwaish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498649099,14,1,1,1,22,ebcxfnmnxrxvv6lcjsahgd38j,1,61.5,80.1,2023-01-19T15:02:51.238Z,2023-01-21T10:41:16Z,3984626463,140,67.9,3984626465,141,84.3,3984626469,213,0.4,3986782425,178,,3984626467,212,7.3,3984626461,56,Left,,,,,,,483s97qezyiz91n8qzwjd7uuh,Bandar Nasser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498649105,15,61,1,1,23,ebcxfnmnxrxvv6lcjsahgd38j,0,68.4,90.1,2023-01-19T15:02:51.988Z,2023-01-21T10:41:21Z,3984626501,56,Left,3986782557,178,,,,,,,,,,,,,,,,,,,,9k81fwyq8bbyhckt5t80fvwet,Sultan Mandash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499058873,1027,67,1,1,23,2kzl64gp8x37bon8tyxojqrr1,1,32.8,10.5,2023-01-19T15:02:52.884Z,2023-01-21T11:35:00Z,3986801393,233,831,,,,,,,,,,,,,,,,,,,,,,56umgnm066b18r5v5m7xduead,Madallah Al Olayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499058869,831,67,1,1,23,ebcxfnmnxrxvv6lcjsahgd38j,0,67.2,89.5,2023-01-19T15:02:52.885Z,2023-01-21T11:13:35Z,3986801397,233,1027,,,,,,,,,,,,,,,,,,,,,,9k81fwyq8bbyhckt5t80fvwet,Sultan Mandash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498649117,22,1,1,1,24,2kzl64gp8x37bon8tyxojqrr1,1,31.2,9.9,2023-01-19T15:02:52.915Z,2023-01-21T11:35:01Z,3985450523,213,0.1,3985450517,140,42.7,3984626551,56,Back,3985450521,212,12.1,3986782579,178,,3985450519,141,11.2,,,,,,,56umgnm066b18r5v5m7xduead,Madallah Al Olayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498657083,455,43,1,1,24,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-01-19T15:02:53.419Z,2023-01-19T15:47:20Z,3984669927,144,7,3984669853,56,Back,3984669855,285,0,,,,,,,,,,,,,,,,56umgnm066b18r5v5m7xduead,Madallah Al Olayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498649119,23,49,1,1,25,2kzl64gp8x37bon8tyxojqrr1,1,60.3,8.5,2023-01-19T15:02:54.252Z,2023-01-21T10:41:50Z,,,,,,,,,,,,,,,,,,,,,,,,,6lpj04km1rma60n8l66q0hd5h,Igor Coronado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498649133,24,61,1,1,29,2kzl64gp8x37bon8tyxojqrr1,1,64.2,15.8,2023-01-19T15:02:58.207Z,2023-01-21T10:41:59Z,3984626629,56,Right,3986782761,178,,,,,,,,,,,,,,,,,,,,6lpj04km1rma60n8l66q0hd5h,Igor Coronado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498649151,25,1,1,1,30,2kzl64gp8x37bon8tyxojqrr1,1,66.8,25.9,2023-01-19T15:02:59.411Z,2023-01-21T10:42:04Z,3986782803,178,,3984626727,141,24.4,3984626731,213,3.6,3984626725,140,65.0,3984626729,212,2.1,3984626723,56,Center,,,,,,,aatjvj13ffwrj81vcfy68fnit,A. Hamed Allah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498649171,26,1,1,1,38,2kzl64gp8x37bon8tyxojqrr1,1,68,47.6,2023-01-19T15:03:07.120Z,2023-01-21T10:42:15Z,3984626821,56,Center,3984626827,212,27.2,3984626819,155,,3984626903,210,13,3984626905,154,,3984626825,141,24.0,3984626829,213,5.7,3986782879,178,,6lpj04km1rma60n8l66q0hd5h,Igor Coronado,3984626823,140,88.9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
