id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/10/value,keyPass,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2495293847,20,1,1,1,3,o1iwuxbv233ayidxpibbxy59,1,42.5,70.6,2023-01-06T15:01:19.317Z,2023-01-14T05:08:14Z,3966942589,213,5.1,3966942587,212,16.2,3966942581,56,Back,3976128695,178,,3966942583,140,47.7,3966942585,141,48.1,,,,,,,8j0yhxinglb5o5dpe2qd232dx,Naldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293851,21,1,1,1,4,o1iwuxbv233ayidxpibbxy59,1,47.4,47.3,2023-01-06T15:01:20.302Z,2023-01-14T05:08:17Z,3976128765,178,,3966942601,212,12.5,3966942595,56,Back,3966942599,141,63.0,3966942597,140,41.2,3966942603,213,2.1,,,,,,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293855,22,1,1,1,9,o1iwuxbv233ayidxpibbxy59,1,42,53.7,2023-01-06T15:01:25.485Z,2023-01-14T05:08:20Z,3966942627,141,1.9,3966942631,213,5.4,3976128807,178,,3966942621,155,,3966942629,212,47.2,3966942625,140,71.9,3966942623,56,Right,3966942633,1,,8j0yhxinglb5o5dpe2qd232dx,Naldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293857,23,3,1,1,14,o1iwuxbv233ayidxpibbxy59,0,84.8,2,2023-01-06T15:01:30.441Z,2023-01-14T05:08:25Z,3966942637,56,Right,3966942671,233,6,3972376383,465,,3966942639,286,,3976128849,178,,,,,,,,,,,12dv2sa9xm0aedpb13ivl11wp,Fahad Al Rashidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293859,6,7,1,1,14,7w4300dn2tnd0eqmbtk531tkx,1,15.2,98,2023-01-06T15:01:30.607Z,2023-01-14T05:08:31Z,3976128923,389,,3966942643,56,Back,3966942645,285,,3972376405,385,,3966942661,233,23,3966942641,167,,,,,,,,6ry2ngrlp71y0q57zgz6wu2y2,Hussain Ali Alnwaiqi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293861,7,5,1,1,15,7w4300dn2tnd0eqmbtk531tkx,0,13.8,101.5,2023-01-06T15:01:31.476Z,2023-01-14T05:08:35Z,3966942647,56,Back,3966942709,233,24,3966942649,347,,,,,,,,,,,,,,,,,6ry2ngrlp71y0q57zgz6wu2y2,Hussain Ali Alnwaiqi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293869,24,5,1,1,15,o1iwuxbv233ayidxpibbxy59,1,86.2,-1.5,2023-01-06T15:01:31.476Z,2023-01-14T05:08:35Z,3966942701,347,,3966942705,233,7,3966942699,56,Right,,,,,,,,,,,,,,,,12dv2sa9xm0aedpb13ivl11wp,Fahad Al Rashidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293901,25,1,1,1,25,o1iwuxbv233ayidxpibbxy59,1,82.7,0,2023-01-06T15:01:41.729Z,2023-01-14T05:08:37Z,3966942887,212,8.2,3966942879,107,,3966942881,56,Right,3966942889,213,1.3,3966942885,141,10.3,3966942883,140,84.7,,,,,,,2b8fj2xnd2h9rdbg0bkgbizu1,Awn Al Slaluli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293903,26,61,1,1,27,o1iwuxbv233ayidxpibbxy59,0,84.9,9.2,2023-01-06T15:01:42.926Z,2023-01-14T05:08:51Z,3966942897,56,Right,3976129209,21,,3976129211,178,,,,,,,,,,,,,,,,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293899,8,49,1,1,28,7w4300dn2tnd0eqmbtk531tkx,1,14.4,93.2,2023-01-06T15:01:44.290Z,2023-01-14T05:08:55Z,,,,,,,,,,,,,,,,,,,,,,,,,5sjuufrdq1rx6senkjjgtimsp,Khaled Al Samiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293905,9,1,1,1,28,7w4300dn2tnd0eqmbtk531tkx,0,12.6,94.2,2023-01-06T15:01:44.413Z,2023-01-14T05:08:59Z,3966942905,141,95.6,3976129295,178,,3966942899,155,,3966942903,140,46.7,3966942911,1,,3966942907,212,35.8,3966942901,56,Back,3966942909,213,0.0,5sjuufrdq1rx6senkjjgtimsp,Khaled Al Samiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293907,27,49,1,1,32,o1iwuxbv233ayidxpibbxy59,1,53.1,4,2023-01-06T15:01:48.043Z,2023-01-14T05:09:05Z,,,,,,,,,,,,,,,,,,,,,,,,,8j0yhxinglb5o5dpe2qd232dx,Naldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
