id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value,qualifier/18/value
2517867569,17,1,1,0,40,c9swyor08g9pedxpe3n321svu,1,31.3,25.5,2023-03-10T17:31:19.356Z,2023-03-27T06:32:44Z,4085885611,56,Back,4085885613,140,13.3,4085885615,141,22.4,4085885619,213,3.3,4127464001,178,,4085885617,212,19.0,,,,,,,3xtzd4wqoq2b6ak1k2tep9oet,G. Cuéllar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867665,18,1,1,0,43,c9swyor08g9pedxpe3n321svu,1,12.1,23.7,2023-03-10T17:31:22.026Z,2023-03-27T06:32:47Z,4085886117,140,10.1,4127466135,178,,4085886115,56,Back,4085886121,212,29.1,4085886123,213,1.6,4085886119,141,66.4,,,,,,,inbrwc7gw6d1z8x60nl0padx,Jang Hyun-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867673,19,1,1,0,54,c9swyor08g9pedxpe3n321svu,0,44,72.9,2023-03-10T17:31:33.397Z,2023-03-27T06:32:58Z,4085886167,212,3.8,4085886171,213,0.5,4085886159,56,Back,4085886163,141,75.7,4127472433,178,,4085886161,140,47.1,,,,,,,av4e1au7cz1s6rmz5u45l4yjt,Ali Al Bulayhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867683,5,8,1,0,55,o1iwuxbv233ayidxpibbxy59,1,56.4,16.9,2023-03-10T17:31:33.702Z,2023-03-27T06:33:01Z,4097912601,383,,4085886203,56,Right,4127474277,178,,,,,,,,,,,,,,,,,2xkudoxz92f1vgbjlsbfum3f9,A. Gamarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517868117,24,3,1,0,59,c9swyor08g9pedxpe3n321svu,0,63.2,96.2,2023-03-10T17:31:37.734Z,2023-03-27T06:33:22Z,4085888371,286,,4097913775,465,,4085888629,233,9,4085888369,56,Left,4127487471,178,,,,,,,,,,,1jfxkmks9lci345fiz9z2gfl5,Michael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517868083,9,7,1,0,59,o1iwuxbv233ayidxpibbxy59,0,36.8,3.8,2023-03-10T17:31:37.955Z,2023-03-27T06:33:29Z,4085888211,56,Back,4085888213,285,,4097913877,383,,4127488769,178,,4085888597,233,24,,,,,,,,,,1amphiae52a8rzm2ngpzffu21,Tareq Abdullah A Mohammed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867751,20,1,1,0,59,c9swyor08g9pedxpe3n321svu,1,67.2,95,2023-03-10T17:31:38.054Z,2023-03-27T06:33:35Z,4127490147,178,,4097914061,140,74.4,4097914067,213,6.2,4085886601,56,Left,4097914065,212,7.6,4097914063,141,94.4,,,,,,,1jfxkmks9lci345fiz9z2gfl5,Michael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867757,6,45,1,1,1,o1iwuxbv233ayidxpibbxy59,0,26.8,4.9,2023-03-10T17:31:39.666Z,2023-03-27T06:33:43Z,4085886631,285,,4085886797,233,21,4085886629,56,Back,,,,,,,,,,,,,,,,2b8fj2xnd2h9rdbg0bkgbizu1,Awn Al Slaluli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867785,21,3,1,1,1,c9swyor08g9pedxpe3n321svu,1,73.2,95.1,2023-03-10T17:31:39.666Z,2023-03-27T06:33:43Z,4085886765,233,6,4085886763,286,,4085886761,56,Left,4127491357,178,,4097914209,465,,,,,,,,,,,27jg2mdzgw4bt7l4215hq12sq,Hamad Al Yami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867791,22,1,1,1,5,c9swyor08g9pedxpe3n321svu,0,98.6,74.8,2023-03-10T17:31:44.515Z,2023-03-27T06:33:50Z,4085886935,236,,4085886807,212,1.5,4085886809,213,3.8,4127493369,178,,4085886937,233,7,4085886801,56,Center,4085886805,141,73.5,4085886945,286,,27jg2mdzgw4bt7l4215hq12sq,Hamad Al Yami,4085886803,140,97.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867815,7,74,1,1,5,o1iwuxbv233ayidxpibbxy59,1,3.1,28.3,2023-03-10T17:31:44.541Z,2023-03-27T06:33:55Z,4127494691,178,,4085886963,233,22,4085886905,285,,4085886903,56,Back,,,,,,,,,,,,,2b8fj2xnd2h9rdbg0bkgbizu1,Awn Al Slaluli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517904205,568,61,1,1,5,c9swyor08g9pedxpe3n321svu,1,97.3,75.4,2023-03-10T17:31:44.605Z,2023-03-27T06:34:00Z,4086078557,56,Center,4127496515,178,,,,,,,,,,,,,,,,,,,,27jg2mdzgw4bt7l4215hq12sq,Hamad Al Yami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517902671,365,61,1,1,6,o1iwuxbv233ayidxpibbxy59,1,3.2,31.2,2023-03-10T17:31:44.729Z,2023-03-27T06:34:15Z,4127504811,178,,4086069989,56,Back,,,,,,,,,,,,,,,,,,,2b8fj2xnd2h9rdbg0bkgbizu1,Awn Al Slaluli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867841,8,6,1,1,6,o1iwuxbv233ayidxpibbxy59,0,2.4,25.2,2023-03-10T17:31:45.598Z,2023-03-27T06:34:22Z,4085887033,73,,4085887087,233,23,4085887031,56,Back,,,,,,,,,,,,,,,,2b8fj2xnd2h9rdbg0bkgbizu1,Awn Al Slaluli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867819,23,6,1,1,6,c9swyor08g9pedxpe3n321svu,1,97.6,74.8,2023-03-10T17:31:45.598Z,2023-03-27T06:34:22Z,4085886915,56,Center,4085886917,73,,4085887079,233,8,,,,,,,,,,,,,,,,27jg2mdzgw4bt7l4215hq12sq,Hamad Al Yami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517868211,25,1,1,1,36,c9swyor08g9pedxpe3n321svu,1,99.7,99.2,2023-03-10T17:32:15.115Z,2023-03-27T06:34:31Z,4085888849,140,91.7,4127514883,178,,4085888845,6,,4085888851,141,91.1,4085888855,213,3.7,4085888853,212,10.0,4085888847,56,Left,,,,2lkra7wic5b481l7qybjh8lx,A. Carrillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517868235,26,1,1,1,39,c9swyor08g9pedxpe3n321svu,1,91.7,91.1,2023-03-10T17:32:18.235Z,2023-03-27T06:34:35Z,4085888967,212,21.7,4085888969,213,3.6,4127517169,178,,4085888963,140,73.6,4085888965,141,75.6,4085888961,56,Center,,,,,,,36cdm30lm4hf1t6ajakity8k5,Salman Al Faraj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517868289,27,1,1,1,42,c9swyor08g9pedxpe3n321svu,1,73.6,75.6,2023-03-10T17:32:20.888Z,2023-03-27T06:34:39Z,4085889229,213,0.8,4127519427,178,,4085889221,56,Left,4085889225,141,91.8,4085889223,140,83.8,4085889227,212,15.4,,,,,,,3xtzd4wqoq2b6ak1k2tep9oet,G. Cuéllar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517868295,28,1,1,1,43,c9swyor08g9pedxpe3n321svu,0,83.8,91.8,2023-03-10T17:32:22.321Z,2023-03-27T06:34:44Z,4085889253,56,Center,4085889255,140,87.8,4085889251,155,,4085889261,213,5.0,4085889259,212,17.4,4127522563,178,,4097916633,20,,4085889257,141,66.9,2lkra7wic5b481l7qybjh8lx,A. Carrillo,4097916631,223,,4085889249,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517868319,10,12,1,1,44,o1iwuxbv233ayidxpibbxy59,1,8.7,41.8,2023-03-10T17:32:23.578Z,2023-03-27T06:34:48Z,4085889381,56,Back,4085889385,141,38.9,4085889383,140,28.7,4085889389,213,6.2,4127523515,178,,4085889387,212,21.1,,,,,,,c8sryc7a76ov57x24tv80swr9,A. El Mahdioui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517868323,11,49,1,1,46,o1iwuxbv233ayidxpibbxy59,1,28.7,38.9,2023-03-10T17:32:24.654Z,2023-03-27T06:34:54Z,,,,,,,,,,,,,,,,,,,,,,,,,2xkudoxz92f1vgbjlsbfum3f9,A. Gamarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517868341,12,1,1,1,46,o1iwuxbv233ayidxpibbxy59,1,28.7,38.9,2023-03-10T17:32:24.679Z,2023-03-27T06:34:59Z,4085889461,140,22.9,4085889465,212,6.9,4085889463,141,34.2,4085889459,56,Back,4127525775,178,,4085889467,213,3.6,,,,,,,2xkudoxz92f1vgbjlsbfum3f9,A. Gamarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517868353,13,1,1,1,47,o1iwuxbv233ayidxpibbxy59,0,27.3,30,2023-03-10T17:32:26.550Z,2023-03-27T06:35:06Z,4127527167,178,,4085889511,141,18.9,4085889513,212,22.0,4085889515,213,5.9,4085889509,140,47.0,4085889507,56,Back,,,,,,,1amphiae52a8rzm2ngpzffu21,Tareq Abdullah A Mohammed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517868349,29,49,1,1,50,c9swyor08g9pedxpe3n321svu,1,46.5,88.6,2023-03-10T17:32:29.461Z,2023-03-27T06:35:20Z,,,,,,,,,,,,,,,,,,,,,,,,,2lkra7wic5b481l7qybjh8lx,A. Carrillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517868509,30,1,1,1,56,c9swyor08g9pedxpe3n321svu,1,46.3,66.3,2023-03-10T17:32:34.996Z,2023-03-27T06:35:25Z,4085890227,141,34.2,4085890225,140,47.0,4085890223,56,Back,4085890231,213,4.7,4127534841,178,,4085890229,212,21.8,,,,,,,2lkra7wic5b481l7qybjh8lx,A. Carrillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517868561,31,1,1,2,1,c9swyor08g9pedxpe3n321svu,0,57.4,28.9,2023-03-10T17:32:39.701Z,2023-03-27T06:35:30Z,4085890485,140,100.0,4085890483,56,Left,4127537803,178,,4085890481,155,,4085890493,1,,4085890489,212,59.1,4085890491,213,0.7,4085890487,141,83.6,d25hyz1ov3mdflbnbyc9okrmd,Mohammed Kanno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517868557,14,5,1,2,4,o1iwuxbv233ayidxpibbxy59,1,-1.1,17.2,2023-03-10T17:32:43.540Z,2023-03-27T06:35:34Z,4085890463,346,,4085890461,56,Back,4085890561,233,32,,,,,,,,,,,,,,,,12dv2sa9xm0aedpb13ivl11wp,Fahad Al Rashidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
