id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/17/value
2546347443,4,1,1,0,42,6ttwlm6op92r4670oayg5md7h,1,13,8.3,2023-05-09T16:01:02.212Z,2023-05-09T16:04:53Z,4264946565,152,,4264946563,155,,4264946561,5,,4264946575,213,0.0,4264946573,212,47.1,4264946571,141,10.4,4264946569,140,57.8,4264946567,56,Right,6veqhleq95267xca919eg02j9,S. Lung,4264946577,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347451,5,1,1,0,45,6ttwlm6op92r4670oayg5md7h,0,58.7,9.4,2023-05-09T16:01:05.316Z,2023-05-09T16:01:05Z,4264946619,3,,4264946627,141,20.4,4264946629,212,13.0,4264946631,213,0.6,4264946621,168,,4264946625,140,68.8,4264946623,56,Right,,,,1l0bb9txaodn0kqc5rca35rdh,Júlio Tavares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347457,8,49,1,0,47,o1iwuxbv233ayidxpibbxy59,1,36.3,72.8,2023-05-09T16:01:06.718Z,2023-05-09T16:01:06Z,,,,,,,,,,,,,,,,,,,,,,,,,95zoygnjudd2lmvc38oyuhwid,Hassan Kadesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347469,9,1,1,0,47,o1iwuxbv233ayidxpibbxy59,1,36.3,72.8,2023-05-09T16:01:07.088Z,2023-05-09T16:01:08Z,4264946717,140,40.4,4264946719,141,67.2,4264946715,56,Back,4264946723,213,5.6,4264946721,212,5.7,,,,,,,,,,95zoygnjudd2lmvc38oyuhwid,Hassan Kadesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347497,10,1,1,0,48,o1iwuxbv233ayidxpibbxy59,1,37.9,67.7,2023-05-09T16:01:08.366Z,2023-05-09T16:01:11Z,4264946843,140,9.0,4264946845,141,62.9,4264946841,56,Back,4264946869,156,,4264946849,213,3.2,4264946847,212,30.5,,,,,,,cm8m8mytnpgldxvoi9or35a09,Flávio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347521,11,1,1,0,52,o1iwuxbv233ayidxpibbxy59,1,9.9,60.1,2023-05-09T16:01:11.934Z,2023-05-09T16:01:15Z,4264946981,56,Back,4264946989,213,5.0,4264946987,212,22.8,4264946983,140,15.8,4264946985,141,27.9,,,,,,,,,,8j0yhxinglb5o5dpe2qd232dx,Naldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347549,12,1,1,0,55,o1iwuxbv233ayidxpibbxy59,1,15.8,28.1,2023-05-09T16:01:15.102Z,2023-05-09T16:01:20Z,4264947127,141,85.7,4264947129,212,44.4,4264947121,157,,4264947123,56,Back,4264947125,140,35.7,4264947131,213,1.1,4264947133,1,,,,,7msfk3faesnc4ls6893wdhi0a,Mohammed Al Ghamdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347555,13,61,1,0,58,o1iwuxbv233ayidxpibbxy59,0,35.5,86.7,2023-05-09T16:01:18.527Z,2023-05-09T16:02:11Z,4264947161,56,Back,,,,,,,,,,,,,,,,,,,,,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347567,6,1,1,1,0,6ttwlm6op92r4670oayg5md7h,1,64.6,12.2,2023-05-09T16:01:20.276Z,2023-05-09T16:08:18Z,4264947213,141,6.8,4264947215,212,8.2,4264947211,140,71.6,4264947209,56,Right,4264947217,213,5.8,,,,,,,,,,9ex7z7sbghe3zx17a4u7gsay2,Mansor Al Beshe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347569,7,49,1,1,2,6ttwlm6op92r4670oayg5md7h,1,72.4,6.2,2023-05-09T16:01:21.765Z,2023-05-09T16:01:22Z,,,,,,,,,,,,,,,,,,,,,,,,,6ygvaf7gjckdemde0ec0tem6t,M. Fouzair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347581,8,61,1,1,3,6ttwlm6op92r4670oayg5md7h,0,82.6,5,2023-05-09T16:01:23.252Z,2023-05-09T16:01:23Z,4264947279,56,Right,,,,,,,,,,,,,,,,,,,,,,6ygvaf7gjckdemde0ec0tem6t,M. Fouzair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347591,14,43,1,1,4,o1iwuxbv233ayidxpibbxy59,1,0,0,2023-05-09T16:01:23.934Z,2023-05-09T16:01:31Z,4264947627,144,49,,,,,,,,,,,,,,,,,,,,,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347599,15,49,1,1,5,o1iwuxbv233ayidxpibbxy59,1,7.5,92.3,2023-05-09T16:01:24.831Z,2023-05-09T16:01:49Z,,,,,,,,,,,,,,,,,,,,,,,,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347701,16,4,1,1,6,o1iwuxbv233ayidxpibbxy59,1,8,93,2023-05-09T16:01:26.435Z,2023-05-09T16:02:15Z,4264949227,265,,4264947917,233,9,4264947901,152,,4264947903,285,,4264947895,13,,4264947899,56,Back,,,,,,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347621,9,4,1,1,6,6ttwlm6op92r4670oayg5md7h,0,92,7,2023-05-09T16:01:26.436Z,2023-05-09T16:01:40Z,4264947463,13,,4264947947,265,,4264947471,286,,4264947937,233,16,4264947469,152,,4264947467,56,Right,,,,,,,6ygvaf7gjckdemde0ec0tem6t,M. Fouzair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347739,17,1,1,1,23,o1iwuxbv233ayidxpibbxy59,1,15,82.7,2023-05-09T16:01:43.551Z,2023-05-09T16:02:16Z,4264948153,212,11.1,4264948155,213,5.0,4264948151,141,66.9,4264948149,140,17.8,4264948147,56,Back,4264949253,189,,4264948145,152,,4264948143,5,,95zoygnjudd2lmvc38oyuhwid,Hassan Kadesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347757,18,1,1,1,25,o1iwuxbv233ayidxpibbxy59,1,17.8,65.1,2023-05-09T16:01:44.831Z,2023-05-09T16:01:49Z,4264948297,213,5.0,4264948289,56,Back,4264948295,212,24.1,4264948293,141,31.2,4264948291,140,24.5,,,,,,,,,,c8sryc7a76ov57x24tv80swr9,A. El Mahdioui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347789,19,1,1,1,31,o1iwuxbv233ayidxpibbxy59,1,30,41,2023-05-09T16:01:51.023Z,2023-05-09T16:01:55Z,4264948485,155,,4264948495,141,81.8,4264948503,213,1.3,4264948491,140,38.5,4264948489,56,Back,4264948499,212,29.1,,,,,,,8j0yhxinglb5o5dpe2qd232dx,Naldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347803,20,1,1,1,35,o1iwuxbv233ayidxpibbxy59,1,38.7,81.8,2023-05-09T16:01:55.007Z,2023-05-09T16:01:57Z,4264948581,141,96.3,4264948583,212,20.3,4264948585,213,0.5,4264948579,140,55.6,4264948577,56,Left,,,,,,,,,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347817,21,1,1,1,38,o1iwuxbv233ayidxpibbxy59,1,57.6,95.6,2023-05-09T16:01:57.824Z,2023-05-09T16:02:00Z,4264948653,213,4.9,4264948651,212,8.2,4264948649,141,83.7,4264948647,140,59.0,4264948645,56,Left,,,,,,,,,,7l1lhluaxnuy4cun3omcva4us,Saad Yaslam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347855,22,1,1,1,40,o1iwuxbv233ayidxpibbxy59,1,65.6,87.2,2023-05-09T16:02:00.080Z,2023-05-09T16:02:04Z,4264948891,56,Left,4264948893,140,74.0,4264948895,141,96.3,4264948899,213,0.6,4264948897,212,10.8,,,,,,,,,,c8sryc7a76ov57x24tv80swr9,A. El Mahdioui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347859,23,4,1,1,44,o1iwuxbv233ayidxpibbxy59,1,77.2,97.2,2023-05-09T16:02:04.260Z,2023-05-09T16:02:05Z,4264948911,286,,4264948909,265,,4264948907,152,,4264948927,233,10,4264948903,13,,4264948905,56,Left,,,,,,,7l1lhluaxnuy4cun3omcva4us,Saad Yaslam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546347861,10,4,1,1,44,6ttwlm6op92r4670oayg5md7h,0,22.8,2.8,2023-05-09T16:02:04.261Z,2023-05-09T16:02:05Z,4264948921,285,,4264948913,13,,4264948915,56,Back,4264948931,233,23,4264948917,152,,4264948919,265,,,,,,,,7a8ee7ohk4hnmaaw1imxeqsid,Mohammed Al Dossary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348043,24,1,1,2,18,o1iwuxbv233ayidxpibbxy59,0,74.8,96.4,2023-05-09T16:02:38.353Z,2023-05-09T16:02:40Z,4264950027,2,,4264950029,5,,4264950041,212,51.5,4264950037,140,100.0,4264950039,141,32.3,4264950043,213,5.3,4264950045,1,,4264950031,155,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,4264950033,152,4264950035,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348039,11,5,1,2,20,6ttwlm6op92r4670oayg5md7h,1,-1.1,71,2023-05-09T16:02:40.550Z,2023-05-09T16:02:41Z,4264950001,56,Back,4264950003,346,,4264950061,233,25,,,,,,,,,,,,,,,,7a8ee7ohk4hnmaaw1imxeqsid,Mohammed Al Dossary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348047,25,5,1,2,20,o1iwuxbv233ayidxpibbxy59,0,101.1,29,2023-05-09T16:02:40.550Z,2023-05-09T16:12:32Z,4264950047,56,Center,4264950049,346,,4264950081,233,11,,,,,,,,,,,,,,,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348283,12,1,1,2,54,6ttwlm6op92r4670oayg5md7h,1,5.3,53.6,2023-05-09T16:03:14.102Z,2023-05-09T16:03:19Z,4264951333,124,,4264951335,56,Back,4264951349,74,,4264951343,213,0.3,4264951345,1,,4264951337,140,44.5,4264951339,141,69.9,4264951341,212,42.6,6veqhleq95267xca919eg02j9,S. Lung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348287,13,44,1,2,58,6ttwlm6op92r4670oayg5md7h,1,43.2,68.2,2023-05-09T16:03:18.065Z,2023-05-09T16:03:20Z,4264951383,233,26,4264951375,285,,4264951373,56,Back,,,,,,,,,,,,,,,,3kfeazpv3d1wy6e333pudwkid,D. Đoković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348279,26,44,1,2,58,o1iwuxbv233ayidxpibbxy59,0,56.8,31.8,2023-05-09T16:03:18.066Z,2023-05-09T16:03:20Z,4264951389,233,13,4264951315,56,Center,4264951319,286,,,,,,,,,,,,,,,,,12dv2sa9xm0aedpb13ivl11wp,Fahad Al Rashidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348303,14,1,1,2,59,6ttwlm6op92r4670oayg5md7h,0,44.5,69.9,2023-05-09T16:03:18.967Z,2023-05-09T16:03:21Z,4264951467,168,,4264951469,56,Back,4264951477,213,0.3,4264951465,3,,4264951471,140,46.4,4264951473,141,70.8,4264951475,212,2.1,,,,3kfeazpv3d1wy6e333pudwkid,D. Đoković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348289,27,61,1,3,0,o1iwuxbv233ayidxpibbxy59,1,57.3,32.1,2023-05-09T16:03:20.046Z,2023-05-09T16:04:23Z,4264951391,56,Center,,,,,,,,,,,,,,,,,,,,,,12dv2sa9xm0aedpb13ivl11wp,Fahad Al Rashidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348323,15,1,1,3,2,6ttwlm6op92r4670oayg5md7h,1,46.4,70.8,2023-05-09T16:03:21.863Z,2023-05-09T16:03:23Z,4264951569,141,91.2,4264951571,212,16.2,4264951575,213,2.1,4264951561,56,Back,4264951565,140,38.5,,,,,,,,,,1l0bb9txaodn0kqc5rca35rdh,Júlio Tavares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348341,16,1,1,3,3,6ttwlm6op92r4670oayg5md7h,1,38.5,91.2,2023-05-09T16:03:23.511Z,2023-05-09T16:03:24Z,4264951643,141,76.9,4264951645,212,15.3,4264951641,140,27.2,4264951639,56,Back,4264951647,213,3.8,,,,,,,,,,6yaoc71surv8vh9hjfli7dwid,Awad Al Faraj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348357,17,1,1,3,4,6ttwlm6op92r4670oayg5md7h,0,27.2,76.9,2023-05-09T16:03:23.711Z,2023-05-09T16:03:29Z,4264951739,56,Back,4264951747,213,1.0,4264951741,140,35.1,4264951745,212,14.7,4264951743,141,94.7,,,,,,,,,,829ypq99t1vn90xey32mwt7th,Mohammed Salem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348365,28,8,1,3,7,o1iwuxbv233ayidxpibbxy59,1,68.7,3.4,2023-05-09T16:03:26.826Z,2023-05-09T16:10:35Z,4264951785,56,Right,,,,,,,,,,,,,,,,,,,,,,cm8m8mytnpgldxvoi9or35a09,Flávio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348381,18,5,1,3,7,6ttwlm6op92r4670oayg5md7h,1,33.1,102,2023-05-09T16:03:27.591Z,2023-05-09T16:03:29Z,4264951871,233,29,4264951851,56,Back,4264951853,347,,,,,,,,,,,,,,,,,829ypq99t1vn90xey32mwt7th,Mohammed Salem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348379,29,5,1,3,7,o1iwuxbv233ayidxpibbxy59,0,66.9,-2,2023-05-09T16:03:27.591Z,2023-05-09T16:12:32Z,4264951899,233,18,4264951849,347,,4264951847,56,Right,,,,,,,,,,,,,,,,cm8m8mytnpgldxvoi9or35a09,Flávio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348429,19,1,1,3,14,6ttwlm6op92r4670oayg5md7h,1,36.5,100,2023-05-09T16:03:33.801Z,2023-05-09T16:03:34Z,4264952109,56,Back,4264952107,107,,4264952113,141,91.1,4264952115,212,9.4,4264952111,140,30.5,4264952117,213,4.0,,,,,,,6yaoc71surv8vh9hjfli7dwid,Awad Al Faraj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348445,20,1,1,3,15,6ttwlm6op92r4670oayg5md7h,1,30.5,91.1,2023-05-09T16:03:34.679Z,2023-05-09T16:03:36Z,4264952209,141,97.7,4264952207,140,35.6,4264952205,56,Back,4264952213,213,0.7,4264952211,212,7.0,,,,,,,,,,6bl8ekn7ahyf7z4ri1cknbnfu,Sultan Al Farhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348447,21,61,1,3,17,6ttwlm6op92r4670oayg5md7h,0,35,98.3,2023-05-09T16:03:36.840Z,2023-05-09T16:03:37Z,4264952217,56,Back,,,,,,,,,,,,,,,,,,,,,,6yaoc71surv8vh9hjfli7dwid,Awad Al Faraj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348453,30,1,1,3,17,o1iwuxbv233ayidxpibbxy59,0,70,8.1,2023-05-09T16:03:37.363Z,2023-05-09T16:03:40Z,4264952251,213,1.0,4264952245,140,72.9,4264952243,56,Right,4264952249,212,5.4,4264952247,141,14.7,,,,,,,,,,12dv2sa9xm0aedpb13ivl11wp,Fahad Al Rashidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348475,22,1,1,3,19,6ttwlm6op92r4670oayg5md7h,0,33.9,76.6,2023-05-09T16:03:38.855Z,2023-05-09T16:03:41Z,4264952383,56,Center,4264952385,140,53.8,4264952391,213,5.8,4264952387,141,58.7,4264952389,212,24.2,,,,,,,,,,6bl8ekn7ahyf7z4ri1cknbnfu,Sultan Al Farhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348477,31,49,1,3,22,o1iwuxbv233ayidxpibbxy59,1,43.5,42,2023-05-09T16:03:42.035Z,2023-05-09T16:03:42Z,,,,,,,,,,,,,,,,,,,,,,,,,8j0yhxinglb5o5dpe2qd232dx,Naldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348501,32,1,1,3,22,o1iwuxbv233ayidxpibbxy59,0,43.5,42,2023-05-09T16:03:42.451Z,2023-05-09T16:03:47Z,4264952507,140,61.8,4264952509,141,77.5,4264952503,157,,4264952505,56,Center,4264952513,213,0.9,4264952515,1,,4264952511,212,30.9,,,,8j0yhxinglb5o5dpe2qd232dx,Naldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348529,23,49,1,3,27,6ttwlm6op92r4670oayg5md7h,1,41.1,6.2,2023-05-09T16:03:46.911Z,2023-05-09T16:03:50Z,,,,,,,,,,,,,,,,,,,,,,,,,7a8ee7ohk4hnmaaw1imxeqsid,Mohammed Al Dossary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348535,24,1,1,3,28,6ttwlm6op92r4670oayg5md7h,1,41.1,6.2,2023-05-09T16:03:47.928Z,2023-05-09T16:04:15Z,4264952673,140,68.1,4264952675,141,11.3,4264952671,56,Right,4264952677,212,28.6,4264952679,213,0.1,,,,,,,,,,7a8ee7ohk4hnmaaw1imxeqsid,Mohammed Al Dossary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348735,28,61,1,3,28,6ttwlm6op92r4670oayg5md7h,0,61,19.1,2023-05-09T16:03:48Z,2023-05-09T16:10:41Z,4264953697,56,Right,,,,,,,,,,,,,,,,,,,,,,6ygvaf7gjckdemde0ec0tem6t,M. Fouzair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348531,33,49,1,3,28,o1iwuxbv233ayidxpibbxy59,1,32.3,92.4,2023-05-09T16:03:48.243Z,2023-05-09T16:03:48Z,,,,,,,,,,,,,,,,,,,,,,,,,7l1lhluaxnuy4cun3omcva4us,Saad Yaslam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546348553,34,1,1,3,29,o1iwuxbv233ayidxpibbxy59,1,30.5,89.5,2023-05-09T16:03:48.675Z,2023-05-09T16:03:51Z,4264952747,56,Back,4264952763,213,4.0,4264952755,141,75.6,4264952751,140,22.3,4264952759,212,12.8,,,,,,,,,,7l1lhluaxnuy4cun3omcva4us,Saad Yaslam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
