id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/13/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2451031401,8,44,1,1,5,7dkxxicrwn77jpdfkwpnlnnyn,1,92.4,47.1,2022-08-26T15:46:30.853Z,2022-09-05T07:03:17Z,3732475085,233,13,3732472897,56,Center,3732472899,286,,,,,,,,,,,,,,,,,5brwa0y63724t6s3y6gtz28yx,B. Özdemir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451031397,13,44,1,1,5,f0zsn74nz0o01gr30weun240i,0,7.6,52.9,2022-08-26T15:46:30.854Z,2022-09-01T11:20:32Z,3732475089,233,8,3732472889,56,Back,3732472891,285,,,,,,,,,,,,,,,,,bodbz7zwlae3zytzhmbk5ncwk,Abdulkarim Sultan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451031403,9,15,1,1,5,7dkxxicrwn77jpdfkwpnlnnyn,1,92.7,45.8,2022-08-26T15:46:30.890Z,2022-09-05T07:03:18Z,3732473319,15,,3732473433,102,48.0,3732473439,147,46.2,3732473323,328,,3732473325,82,,3732473327,233,14,3732473437,146,94.1,3732473435,103,19,5brwa0y63724t6s3y6gtz28yx,B. Özdemir,3732473429,55,7,3732472907,17,3732473423,80,3732473441,230,98.9,,,,3732473425,29,3749320283,388,3732473427,154,3732472909,56,Center,3732473443,231,48.7,3732473421,25,,,,,,,,
2451031399,14,10,1,1,7,f0zsn74nz0o01gr30weun240i,1,8,51.6,2022-08-26T15:46:32.720Z,2022-09-01T11:21:06Z,3732473331,233,9,3732472893,94,,3732472895,56,Back,3749320541,178,,,,,,,,,,,,,,bodbz7zwlae3zytzhmbk5ncwk,Abdulkarim Sultan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451031407,15,49,1,1,8,f0zsn74nz0o01gr30weun240i,1,12.1,34.8,2022-08-26T15:46:33.793Z,2022-09-01T11:21:58Z,,,,,,,,,,,,,,,,,,,,,,,,,9i2vkt05nwdi1v6iqiyv3hl91,Mohammed Harzan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451031417,16,1,1,1,8,f0zsn74nz0o01gr30weun240i,0,12,34.8,2022-08-26T15:46:33.858Z,2022-09-01T11:21:51Z,3732472995,212,36.5,3732472989,56,Back,3732472987,157,,3749320931,178,,3732472999,1,,3732472997,213,6.1,3732472991,140,46.4,3732472993,141,26.7,9i2vkt05nwdi1v6iqiyv3hl91,Mohammed Harzan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451031413,10,44,1,1,14,7dkxxicrwn77jpdfkwpnlnnyn,1,58,69.6,2022-08-26T15:46:40.217Z,2022-09-05T07:03:18Z,3732472973,286,,3732472971,56,Center,3732473013,233,17,,,,,,,,,,,,,,,,3ps4l9x2ndwkypm1y4z6h5uxh,Abdulrahman Al Obaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451031419,17,44,1,1,14,f0zsn74nz0o01gr30weun240i,0,42,30.4,2022-08-26T15:46:40.218Z,2022-09-01T11:22:04Z,3732473011,285,,3732473009,56,Back,3732473031,233,10,,,,,,,,,,,,,,,,8tvytrvm8g922nxp2sjc7lxp1,A. Sayoud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451031415,11,1,1,1,14,7dkxxicrwn77jpdfkwpnlnnyn,0,62.3,66.8,2022-08-26T15:46:40.256Z,2022-09-05T07:03:18Z,3732472979,140,67.5,3732472977,56,Center,3732472975,3,,3732472983,212,8.8,3732472981,141,56.6,3732472985,213,5.4,3749321109,388,,,,,3ps4l9x2ndwkypm1y4z6h5uxh,Abdulrahman Al Obaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451031427,18,1,1,1,16,f0zsn74nz0o01gr30weun240i,1,36.3,38.4,2022-08-26T15:46:41.778Z,2022-09-01T12:33:06Z,3732473059,56,Back,3732473065,212,4.1,3732473067,213,0.0,3732473063,141,38.4,3732473061,140,40.2,3749321219,178,,,,,,,,9i2vkt05nwdi1v6iqiyv3hl91,Mohammed Harzan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
