id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2454446957,12,1,1,1,4,cq4rdp1mkan8zhaw7bmzjdaqk,1,38.9,5.2,2022-09-02T16:01:49.893Z,2022-09-19T09:56:32Z,3750706729,141,8.5,3750706723,155,,3750706731,212,51.7,3750706727,140,88.1,3750706725,56,Right,3750706735,1,,3793541875,178,,3750706733,213,0.0,e81tor86msoqqodyy4xhiu31l,Abdulaziz Al Jamman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454446967,13,1,1,1,12,cq4rdp1mkan8zhaw7bmzjdaqk,0,92.3,7.7,2022-09-02T16:01:57.753Z,2022-09-19T09:56:36Z,3750706781,56,Center,3760522435,224,,3793541951,178,,3760522437,20,,3750706777,2,,3750706785,141,45.4,3750706787,212,25.7,3750706789,213,1.7,si3wcnvnhiukn1novyv1su6t,R. Lenis,,3750706783,140,90.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454446987,10,12,1,1,13,f0zsn74nz0o01gr30weun240i,1,13.1,61.2,2022-09-02T16:01:59.038Z,2022-09-19T09:56:41Z,3750706907,56,Back,3750706913,212,29.3,3750706921,167,,3793542005,178,,3750706911,141,100.0,3750706915,213,1.2,3750706909,140,22.0,,,,3hzwwygv4u0vn68g4z3taqj1l,Alfa Semedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454446989,11,5,1,1,15,f0zsn74nz0o01gr30weun240i,0,22.6,101.5,2022-09-02T16:02:01.110Z,2022-09-19T09:56:46Z,3750825723,233,14,3750706917,56,Back,3750706919,347,,,,,,,,,,,,,,,,,3hzwwygv4u0vn68g4z3taqj1l,Alfa Semedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454447043,14,5,1,1,15,cq4rdp1mkan8zhaw7bmzjdaqk,1,77.4,-1.5,2022-09-02T16:02:01.110Z,2022-09-19T09:56:45Z,3750707191,56,Right,3750707193,347,,3750825717,233,11,,,,,,,,,,,,,,,,7cnb8jhbmd4n9ibdcuxym24fd,Nasser Al Abdali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454447045,15,1,1,1,22,cq4rdp1mkan8zhaw7bmzjdaqk,1,76.7,0,2022-09-02T16:02:07.902Z,2022-09-19T09:57:35Z,3750707207,213,2.6,3750707205,212,14.8,3750707203,141,10.6,3750707201,140,64.8,3750707199,56,Right,3750707197,107,,,,,,,,si3wcnvnhiukn1novyv1su6t,R. Lenis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454447053,16,1,1,1,24,cq4rdp1mkan8zhaw7bmzjdaqk,1,64.8,10.6,2022-09-02T16:02:09.808Z,2022-09-19T09:57:41Z,3793542829,178,,3750707253,212,32.4,3750707249,140,47.4,3750707257,1,,3750707247,56,Back,3750707255,213,2.2,3750707251,141,50.0,,,,e81tor86msoqqodyy4xhiu31l,Abdulaziz Al Jamman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454447069,17,1,1,1,27,cq4rdp1mkan8zhaw7bmzjdaqk,1,47.4,50,2022-09-02T16:02:12.840Z,2022-09-19T09:57:45Z,3750707347,141,78.8,3750707345,140,58.0,3750707349,212,22.5,3750707343,56,Center,3750707351,213,1.1,3793542861,178,,,,,,,,c3ly1ivtw40f1rjqbbk9ublqt,Murtadha Al Burayh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454447103,18,1,1,1,29,cq4rdp1mkan8zhaw7bmzjdaqk,1,58,78.8,2022-09-02T16:02:15.082Z,2022-09-19T09:57:51Z,3750707571,141,71.8,3750707575,213,6.0,3750707567,56,Center,3793542943,178,,3750707573,212,17.3,3750707569,140,73.8,,,,,,,3od5vsqck7ir6xf4kk2f5wbth,Abdullah Al Yousef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454447107,19,1,1,1,32,cq4rdp1mkan8zhaw7bmzjdaqk,0,73.8,71.8,2022-09-02T16:02:18.470Z,2022-09-19T09:57:58Z,3750707619,212,36.7,3750707613,56,Center,3750707623,1,,3750707617,141,37.3,3750707615,140,100.0,3750707621,213,5.6,3793542983,178,,3750707611,155,,98nbel31pgxlifu6s4wqqxjv9,C. Gonzáles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
