id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2503312709,7,43,1,0,14,aekjg4wbxaixtwu4aicmiju92,1,0,0,2023-02-03T15:01:03.828Z,2023-02-07T15:11:53Z,4018914277,144,61,4009081817,56,Center,,,,,,,,,,,,,,,,,,,3a2ef34105eqoes4s6zu1310p,Feras Al Brikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505196047,926,49,1,0,15,57jcqe38hakh2hfit2zsogsb,1,33.1,72.3,2023-02-03T15:01:05.233Z,2023-02-18T11:08:59Z,,,,,,,,,,,,,,,,,,,,,,,,,dayca044hynhii8kgr7g1azth,Luiz Gustavo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503312713,6,1,1,0,16,57jcqe38hakh2hfit2zsogsb,1,23.8,67.6,2023-02-03T15:01:06.471Z,2023-02-18T11:09:06Z,4009081837,140,8.0,4038922581,178,,4009081835,56,Back,4009081843,213,3.6,4009081839,141,56.1,4009081841,212,18.3,,,,,,,dayca044hynhii8kgr7g1azth,Luiz Gustavo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503312711,5,43,1,0,19,57jcqe38hakh2hfit2zsogsb,1,0,0,2023-02-03T15:01:09.306Z,2023-02-03T15:02:59Z,4009082355,144,49,,,,,,,,,,,,,,,,,,,,,,dayca044hynhii8kgr7g1azth,Luiz Gustavo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503312715,7,1,1,0,24,57jcqe38hakh2hfit2zsogsb,1,9.3,49.2,2023-02-03T15:01:14.186Z,2023-02-18T11:09:19Z,4009081855,140,9.8,4009081853,56,Back,4009081859,212,17.3,4038922703,178,,4009081861,213,4.7,4009081857,141,23.8,,,,,,,ej4r05u0q7ebnlwk9rlp7pv4l,A. Rossi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503312717,8,1,1,0,29,57jcqe38hakh2hfit2zsogsb,1,11.1,17.7,2023-02-03T15:01:18.771Z,2023-02-18T11:09:26Z,4038922761,178,,4009081873,141,40.1,4009081871,140,3.3,4009081877,213,2.1,4009081869,56,Back,4009081875,212,17.3,,,,,,,4uyfs1epryrirnq46jttxm6sp,Abdulelah Al Amri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503312719,9,1,1,0,32,57jcqe38hakh2hfit2zsogsb,0,3.3,40.1,2023-02-03T15:01:21.755Z,2023-02-18T11:09:29Z,4009081887,140,36.6,4009081899,1,,4009081893,213,5.8,4009081889,141,11.4,4009081891,212,40.0,4009081883,155,,4009081885,56,Back,4038922771,178,,ej4r05u0q7ebnlwk9rlp7pv4l,A. Rossi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503314455,135,49,1,0,33,aekjg4wbxaixtwu4aicmiju92,1,69.6,94.2,2023-02-03T15:01:23.698Z,2023-02-18T11:09:37Z,,,,,,,,,,,,,,,,,,,,,,,,,emt3e6x1c9howgtee0hr1hucp,Ayman Al Khulaif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503312725,8,1,1,0,34,aekjg4wbxaixtwu4aicmiju92,0,63.9,88.7,2023-02-03T15:01:23.791Z,2023-02-18T11:09:42Z,4009081909,56,Center,4009081917,213,5.2,4009081911,140,69.6,4009081915,212,11.7,4009081913,141,73.9,4038922885,178,,,,,,,,emt3e6x1c9howgtee0hr1hucp,Ayman Al Khulaif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503314463,169,49,1,0,35,57jcqe38hakh2hfit2zsogsb,1,30.9,29.5,2023-02-03T15:01:25.426Z,2023-02-18T11:09:47Z,,,,,,,,,,,,,,,,,,,,,,,,,dayca044hynhii8kgr7g1azth,Luiz Gustavo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
