id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2545921461,7,4,1,0,18,2xl3g56k2mbuwdbre46s29vt4,0,62,96.3,2023-05-08T16:01:08.449Z,2023-05-08T16:01:10Z,4262687143,233,5,4262687083,265,,4262687079,56,Left,4262687081,152,,4262687077,13,,4262687085,285,,,,,,,,5fpfdgzit3468e1a04ooetsr9,Anselmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921655,6,1,1,0,41,cq4rdp1mkan8zhaw7bmzjdaqk,1,40,5.2,2023-05-08T16:01:31.616Z,2023-05-08T16:01:33Z,4262688127,5,,4262688129,152,,4262688131,56,Back,4262688137,212,14.4,4262688133,140,27.7,4262688139,213,2.7,4262688135,141,14.6,,,,e81tor86msoqqodyy4xhiu31l,Abdulaziz Al Jamman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921695,7,1,1,0,43,cq4rdp1mkan8zhaw7bmzjdaqk,1,25.4,13.8,2023-05-08T16:01:33.376Z,2023-05-08T16:01:39Z,4262688345,140,14.3,4262688343,56,Back,4262688351,213,2.0,4262688349,212,25.6,4262688347,141,47.3,,,,,,,,,,3qf9lidcmozvvpy2jprlx3v11,B. Godál,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921715,8,1,1,0,49,cq4rdp1mkan8zhaw7bmzjdaqk,0,13.6,46,2023-05-08T16:01:38.895Z,2023-05-08T16:01:43Z,4262688475,213,5.8,4262688467,56,Right,4262688469,140,65.0,4262688465,155,,4262688471,141,7.7,4262688473,212,59.9,4262688477,1,,,,,ajtqeot5t9kv6mrtpdudlwmvp,M. Mijatović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921711,8,44,1,0,51,2xl3g56k2mbuwdbre46s29vt4,1,41.2,89.6,2023-05-08T16:01:40.900Z,2023-05-08T16:01:43Z,4262688447,285,,4262688531,233,9,4262688445,56,Back,,,,,,,,,,,,,,,,7fjkirlsme7wdpjibaw136s4,Islam Hawsawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921717,9,44,1,0,51,cq4rdp1mkan8zhaw7bmzjdaqk,0,58.8,10.4,2023-05-08T16:01:40.901Z,2023-05-08T16:01:43Z,4262688551,233,8,4262688487,286,,4262688483,56,Right,,,,,,,,,,,,,,,,si3wcnvnhiukn1novyv1su6t,R. Lenis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921741,9,1,1,0,51,2xl3g56k2mbuwdbre46s29vt4,1,47.3,86.8,2023-05-08T16:01:41.572Z,2023-05-08T16:01:45Z,4262688633,213,0.1,4262688625,56,Left,4262688623,3,,4262688631,212,17.2,4262688629,141,90.1,4262688627,140,63.5,,,,,,,7fjkirlsme7wdpjibaw136s4,Islam Hawsawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921747,10,49,1,0,55,2xl3g56k2mbuwdbre46s29vt4,1,64.8,89.8,2023-05-08T16:01:45.172Z,2023-05-08T16:01:45Z,,,,,,,,,,,,,,,,,,,,,,,,,6rsym2764y5k4vw569ab62x3o,Abdulaziz Noor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921765,11,1,1,0,55,2xl3g56k2mbuwdbre46s29vt4,0,64.8,89.8,2023-05-08T16:01:45.556Z,2023-05-08T16:01:46Z,4262688763,213,5.2,4262688755,56,Left,4262688757,140,67.1,4262688761,212,5.1,4262688759,141,83.2,,,,,,,,,,6rsym2764y5k4vw569ab62x3o,Abdulaziz Noor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921767,10,8,1,0,57,cq4rdp1mkan8zhaw7bmzjdaqk,1,36.9,10.9,2023-05-08T16:01:46.879Z,2023-05-12T13:10:03Z,4269931391,384,,4262688765,56,Back,,,,,,,,,,,,,,,,,,,3qf9lidcmozvvpy2jprlx3v11,B. Godál,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921777,11,49,1,0,58,cq4rdp1mkan8zhaw7bmzjdaqk,1,41,8.2,2023-05-08T16:01:47.984Z,2023-05-08T16:01:48Z,,,,,,,,,,,,,,,,,,,,,,,,,e81tor86msoqqodyy4xhiu31l,Abdulaziz Al Jamman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921787,12,45,1,0,58,2xl3g56k2mbuwdbre46s29vt4,0,58.8,89.2,2023-05-08T16:01:48.479Z,2023-05-12T13:10:07Z,4262688855,285,,4262688853,56,Left,4262688897,233,12,,,,,,,,,,,,,,,,ciw54ghi1jv1xb5dmtv558xjp,F. Fajr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921783,12,3,1,0,58,cq4rdp1mkan8zhaw7bmzjdaqk,1,41.2,10.8,2023-05-08T16:01:48.479Z,2023-05-12T13:10:11Z,4262688833,286,,4262688831,56,Back,4262688875,233,12,4269931701,464,,,,,,,,,,,,,,e81tor86msoqqodyy4xhiu31l,Abdulaziz Al Jamman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921811,13,1,1,0,58,cq4rdp1mkan8zhaw7bmzjdaqk,1,42,9.4,2023-05-08T16:01:48.671Z,2023-05-08T16:01:51Z,4262689003,213,0.4,4262688991,56,Back,4262688993,140,48.8,4262689001,212,7.8,4262688997,141,14.0,,,,,,,,,,e81tor86msoqqodyy4xhiu31l,Abdulaziz Al Jamman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921817,14,3,1,1,1,cq4rdp1mkan8zhaw7bmzjdaqk,0,55.9,18.9,2023-05-08T16:01:51.375Z,2023-05-12T13:10:20Z,4262689033,56,Right,4269931985,464,,4262689181,233,13,4262689035,286,,,,,,,,,,,,,,98nbel31pgxlifu6s4wqqxjv9,C. Gonzáles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921837,13,7,1,1,1,2xl3g56k2mbuwdbre46s29vt4,1,44.1,81.1,2023-05-08T16:01:51.376Z,2023-05-12T13:10:23Z,4269932085,384,,4262689175,233,14,4262689131,56,Back,4262689133,285,,,,,,,,,,,,,,6wto8d6jcd41bo451wwbjng89,Alaa Hejji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921841,14,49,1,1,4,2xl3g56k2mbuwdbre46s29vt4,1,42,77.5,2023-05-08T16:01:53.796Z,2023-05-08T16:01:54Z,,,,,,,,,,,,,,,,,,,,,,,,,bl117o6ogkgnnbv2gl0ozpn85,Waleed Bakshwn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921883,15,1,1,1,4,2xl3g56k2mbuwdbre46s29vt4,1,38.6,70.9,2023-05-08T16:01:54.293Z,2023-05-08T16:01:59Z,4262689371,140,30.5,4262689375,212,15.7,4262689373,141,51.5,4262689369,56,Back,4262689377,213,4.1,,,,,,,,,,bl117o6ogkgnnbv2gl0ozpn85,Waleed Bakshwn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921957,16,1,1,1,9,2xl3g56k2mbuwdbre46s29vt4,0,31.8,38.1,2023-05-08T16:01:58.964Z,2023-05-08T16:02:06Z,4262689699,140,73.7,4262689705,213,5.9,4262689697,56,Right,4262689703,212,47.7,4262689707,1,,4262689695,155,,4262689701,141,11.1,,,,2gwlr4pwk004ck0jrgn7z6ytx,Abdullah Al Hafith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545921975,15,4,1,1,18,cq4rdp1mkan8zhaw7bmzjdaqk,1,15.5,95,2023-05-08T16:02:08.176Z,2023-05-08T16:02:36Z,4262689811,56,Back,4262689809,13,,4262691085,294,,4262689813,152,,4262689817,285,,4262690223,233,17,,,,,,,3km030r7hwsxw849nv0qpaql0,Mohammed Al Oufi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545922035,17,4,1,1,18,2xl3g56k2mbuwdbre46s29vt4,0,84.5,5,2023-05-08T16:02:08.177Z,2023-05-08T16:02:19Z,4262690199,286,,4262690193,294,,4262690197,152,,4262690191,13,,4262690231,233,15,4262690195,56,Right,,,,,,,b21fztzyrqua7i6lkfk7wh979,K. Yoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545922203,16,1,1,1,50,cq4rdp1mkan8zhaw7bmzjdaqk,0,12.9,85.1,2023-05-08T16:02:39.855Z,2023-05-08T16:52:53Z,4262691235,212,53.0,4262691227,152,,4262691223,5,,4262691229,56,Center,4262691231,140,62.2,4262691225,155,,4262691237,213,6.1,4262691233,141,68.4,ajtqeot5t9kv6mrtpdudlwmvp,M. Mijatović,4262691239,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545922219,18,1,1,1,52,2xl3g56k2mbuwdbre46s29vt4,0,37.8,30.9,2023-05-08T16:02:42.196Z,2023-05-08T16:02:43Z,4262691339,140,52.0,4262691337,56,Center,4262691343,212,18.0,4262691345,213,0.6,4262691341,141,45.8,4262691335,3,,,,,,,,2gwlr4pwk004ck0jrgn7z6ytx,Abdullah Al Hafith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545922241,17,1,1,1,54,cq4rdp1mkan8zhaw7bmzjdaqk,0,47.9,50.3,2023-05-08T16:02:44.358Z,2023-05-08T16:02:45Z,4262691447,140,66.4,4262691451,212,19.5,4262691443,3,,4262691449,141,52.5,4262691445,56,Center,4262691453,213,0.1,,,,,,,e81tor86msoqqodyy4xhiu31l,Abdulaziz Al Jamman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545922307,19,1,1,1,56,2xl3g56k2mbuwdbre46s29vt4,0,31.1,51.8,2023-05-08T16:02:45.828Z,2023-05-12T13:11:14Z,4262691773,212,52.6,4262691777,1,,4262691771,141,38.6,4262691767,56,Center,4262691769,140,80.5,4269933697,155,,4262691775,213,6.1,,,,a9yimyxegu9sx46hqvwswjs2d,Ó. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545922403,18,8,1,1,58,cq4rdp1mkan8zhaw7bmzjdaqk,1,44.3,53.3,2023-05-08T16:02:48.183Z,2023-05-12T13:11:21Z,4269933747,15,,4269933817,384,,4262692309,56,Back,,,,,,,,,,,,,,,,4w7c7a9rw5id7f0wikw02orth,Khalid Hamithi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545922409,19,52,1,2,11,cq4rdp1mkan8zhaw7bmzjdaqk,1,15.3,58.1,2023-05-08T16:03:01.383Z,2023-05-12T13:11:31Z,4269934147,376,,,,,,,,,,,,,,,,,,,,,,,ajtqeot5t9kv6mrtpdudlwmvp,M. Mijatović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545922481,20,80,1,2,18,cq4rdp1mkan8zhaw7bmzjdaqk,0,17.2,54,2023-05-08T16:03:08.575Z,2023-05-08T16:53:13Z,,,,,,,,,,,,,,,,,,,,,,,,,ajtqeot5t9kv6mrtpdudlwmvp,M. Mijatović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545922529,21,1,1,2,20,cq4rdp1mkan8zhaw7bmzjdaqk,1,19.2,47.6,2023-05-08T16:03:10.239Z,2023-05-08T16:53:14Z,4262693031,155,,4262693041,213,6.1,4262693033,56,Center,4262693039,212,51.1,4262693043,1,,4262693037,141,34.6,4262693035,140,67.1,,,,ajtqeot5t9kv6mrtpdudlwmvp,M. Mijatović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545922537,22,44,1,2,23,cq4rdp1mkan8zhaw7bmzjdaqk,1,69.6,35.3,2023-05-08T16:03:13.107Z,2023-05-08T16:53:23Z,4262693181,233,20,4262693077,56,Center,4262693079,286,,,,,,,,,,,,,,,,,si3wcnvnhiukn1novyv1su6t,R. Lenis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545922535,20,44,1,2,23,2xl3g56k2mbuwdbre46s29vt4,0,30.4,64.7,2023-05-08T16:03:13.108Z,2023-05-08T16:52:56Z,4262693065,56,Back,4262693119,233,22,4262693067,285,,,,,,,,,,,,,,,,,7fjkirlsme7wdpjibaw136s4,Islam Hawsawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545922549,21,43,1,2,24,2xl3g56k2mbuwdbre46s29vt4,1,0,0,2023-05-08T16:03:14.115Z,2023-05-08T16:04:08Z,4262693135,140,39.8,4262693141,213,5.6,4262696153,144,1,4262693131,3,0,4262693137,141,48.3,4262693133,56,Back,4262693139,212,16.5,,,,7fjkirlsme7wdpjibaw136s4,Islam Hawsawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545923449,36,1,1,2,24,cq4rdp1mkan8zhaw7bmzjdaqk,0,63.7,15.2,2023-05-08T16:03:14.749Z,2023-05-08T16:04:49Z,4262698047,140,55.8,4262698051,212,15.7,4262698043,3,,4262698049,141,34.8,4262698045,56,Center,4262698053,213,2.1,,,,,,,si3wcnvnhiukn1novyv1su6t,R. Lenis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545922589,22,1,1,2,25,2xl3g56k2mbuwdbre46s29vt4,1,46.1,46.8,2023-05-08T16:03:15.475Z,2023-05-08T16:03:20Z,4262693401,212,17.9,4262693397,140,63.1,4262693393,3,,4262693403,213,6.3,4262693399,141,46.4,4262693395,56,Center,,,,,,,bl117o6ogkgnnbv2gl0ozpn85,Waleed Bakshwn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545922593,23,4,1,2,28,2xl3g56k2mbuwdbre46s29vt4,1,53,47.2,2023-05-08T16:03:17.861Z,2023-05-08T16:03:20Z,4262693407,13,,4262693415,286,,4262693411,56,Center,4262693409,294,,4262693417,233,23,4262693413,152,,,,,,,,6wto8d6jcd41bo451wwbjng89,Alaa Hejji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545922581,23,4,1,2,28,cq4rdp1mkan8zhaw7bmzjdaqk,0,47,52.8,2023-05-08T16:03:17.862Z,2023-05-08T16:03:20Z,4262693355,152,,4262693349,13,,4262693351,294,,4262693423,233,23,4262693357,285,,4262693353,56,Back,,,,,,,3qf9lidcmozvvpy2jprlx3v11,B. Godál,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545922837,24,1,1,2,52,2xl3g56k2mbuwdbre46s29vt4,0,55,45.5,2023-05-08T16:03:42.627Z,2023-05-08T16:03:45Z,4262694721,141,100.0,4262694717,56,Left,4262694719,140,79.5,4262694713,155,,4262694723,212,45.8,4262694727,1,,4262694711,5,,4262694725,213,1.0,ciw54ghi1jv1xb5dmtv558xjp,F. Fajr,4262694715,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545922931,24,5,1,2,55,cq4rdp1mkan8zhaw7bmzjdaqk,1,26.7,-0.7,2023-05-08T16:03:45.120Z,2023-05-08T16:03:54Z,4262695297,233,25,4262695269,347,,4262695267,56,Back,,,,,,,,,,,,,,,,3qf9lidcmozvvpy2jprlx3v11,B. Godál,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545922841,25,5,1,2,55,2xl3g56k2mbuwdbre46s29vt4,0,73.3,100.7,2023-05-08T16:03:45.120Z,2023-05-08T16:16:23Z,4262695341,233,24,4262694745,56,Left,4262694749,347,,,,,,,,,,,,,,,,,ciw54ghi1jv1xb5dmtv558xjp,F. Fajr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545922951,25,1,1,3,4,cq4rdp1mkan8zhaw7bmzjdaqk,1,20.7,0,2023-05-08T16:03:54.414Z,2023-05-08T16:03:55Z,4262695379,212,8.7,4262695373,56,Back,4262695381,213,1.3,4262695377,141,11.1,4262695371,107,,4262695375,140,22.8,,,,,,,e81tor86msoqqodyy4xhiu31l,Abdulaziz Al Jamman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545922959,26,1,1,3,5,cq4rdp1mkan8zhaw7bmzjdaqk,1,22.8,11.1,2023-05-08T16:03:55.158Z,2023-05-08T16:03:56Z,4262695437,212,6.3,4262695439,213,4.1,4262695433,140,19.5,4262695435,141,3.4,4262695431,56,Back,,,,,,,,,,4w7c7a9rw5id7f0wikw02orth,Khalid Hamithi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545922987,27,1,1,3,6,cq4rdp1mkan8zhaw7bmzjdaqk,1,19.5,3.4,2023-05-08T16:03:56.117Z,2023-05-08T16:03:58Z,4262695575,140,13.9,4262695581,213,2.4,4262695577,141,11.0,4262695579,212,7.8,4262695573,56,Back,,,,,,,,,,e81tor86msoqqodyy4xhiu31l,Abdulaziz Al Jamman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545923017,28,1,1,3,8,cq4rdp1mkan8zhaw7bmzjdaqk,0,13.6,11.1,2023-05-08T16:03:58.693Z,2023-05-08T16:04:02Z,4262695761,212,35.1,4262695763,213,0.2,4262695755,56,Back,4262695765,1,,4262695759,141,19.2,4262695753,155,,4262695757,140,46.6,,,,3qf9lidcmozvvpy2jprlx3v11,B. Godál,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545923027,26,1,1,3,12,2xl3g56k2mbuwdbre46s29vt4,0,57.5,85.5,2023-05-08T16:04:02.084Z,2023-05-08T16:04:02Z,4262695797,140,73.9,4262695793,3,,4262695799,141,80.2,4262695795,56,Left,4262695801,212,17.6,4262695803,213,6.1,,,,,,,a9yimyxegu9sx46hqvwswjs2d,Ó. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545923059,29,1,1,3,13,cq4rdp1mkan8zhaw7bmzjdaqk,1,39.4,25.8,2023-05-08T16:04:03.718Z,2023-05-08T16:04:04Z,4262695947,213,1.9,4262695939,56,Back,4262695943,141,42.4,4262695945,212,11.8,4262695941,140,36.0,,,,,,,,,,daqggbwzctkpojr1kn1l2sm39,D. Tijanič,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
