id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/17/value
2541343073,8,49,1,0,36,esvbnzqbyvxp2k570ez7h1a1g,1,58.5,11.1,2023-04-30T02:11:25.238Z,2023-04-30T02:11:25Z,,,,,,,,,,,,,,,,,,,,,,,,,1c2boqmoi50esuelgdd96o06h,D. Colaprico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343103,9,1,1,0,36,esvbnzqbyvxp2k570ez7h1a1g,1,67.8,14.1,2023-04-30T02:11:25.574Z,2023-05-04T14:29:22Z,4238289615,212,10.8,4238289609,56,Right,4238289617,213,0.0,4238289613,141,14.5,4238289611,140,78.1,,,,,,,,,,1c2boqmoi50esuelgdd96o06h,D. Colaprico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343133,10,1,1,0,39,esvbnzqbyvxp2k570ez7h1a1g,1,70.4,12.5,2023-04-30T02:11:27.798Z,2023-04-30T02:11:30Z,4238289717,141,8.5,4238289713,56,Right,4238289715,140,85.5,4238289721,213,6.1,4238289719,212,16.1,,,,,,,,,,1p7mhkqn7vxnady8q0vboi02d,M. Doniak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343143,11,1,1,0,41,esvbnzqbyvxp2k570ez7h1a1g,0,87.3,9.1,2023-04-30T02:11:29.862Z,2023-05-04T14:29:32Z,4249845377,20,,4238289769,213,1.6,4249845373,225,,4249845375,386,,4238289765,141,30.7,4238289767,212,14.7,4238289757,2,,4238289763,140,87.4,7pdog0usw4fwr3j3neexfz1ed,R. Hill,4238289761,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343157,14,49,1,0,42,966pdxhsoxaib9qt5083h8uus,1,13,63.9,2023-04-30T02:11:31.137Z,2023-04-30T02:11:48Z,,,,,,,,,,,,,,,,,,,,,,,,,91pl4sfwk9t4ybwanj8dlwahg,M. Cluff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343221,15,1,1,0,42,966pdxhsoxaib9qt5083h8uus,1,13,63.9,2023-04-30T02:11:31.249Z,2023-04-30T02:11:46Z,4238290109,140,28.5,4238290115,213,0.1,4238290113,212,16.3,4238290111,141,66.1,4238290107,56,Back,,,,,,,,,,91pl4sfwk9t4ybwanj8dlwahg,M. Cluff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343243,16,1,1,0,46,966pdxhsoxaib9qt5083h8uus,1,28.8,65.3,2023-04-30T02:11:34.946Z,2023-04-30T02:22:28Z,4238290217,140,26.8,4238290221,212,6.7,4238290223,213,4.4,4238290215,56,Back,4238290219,141,56.0,,,,,,,,,,9dhcf93mr1nfzxjv769gvnzyt,E. Tymrak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343251,17,1,1,0,47,966pdxhsoxaib9qt5083h8uus,1,26.7,55.6,2023-04-30T02:11:35.793Z,2023-04-30T02:11:36Z,4238290259,56,Back,4238290267,213,4.9,4238290263,141,42.6,4238290261,140,28.5,4238290265,212,9.0,,,,,,,,,,77agy8f4m7ybib2cssdfsltuy,V. Villacorta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343287,18,1,1,0,47,966pdxhsoxaib9qt5083h8uus,1,28.5,42.6,2023-04-30T02:11:36.608Z,2023-04-30T02:11:39Z,4238290451,213,4.4,4238290437,56,Back,4238290439,140,24.2,4238290443,141,22.3,4238290447,212,14.5,,,,,,,,,,c811si1xw5he6ih0o1mj94tsl,Marta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343335,19,1,1,0,51,966pdxhsoxaib9qt5083h8uus,1,25.2,22.6,2023-04-30T02:11:39.697Z,2023-04-30T02:11:45Z,4238290665,140,10.1,4238290667,141,42.0,4238290663,56,Back,4238290671,213,2.4,4238290669,212,20.6,,,,,,,,,,9hs0hutntgdjklszqisxozend,M. Montefusco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343377,20,1,1,1,0,966pdxhsoxaib9qt5083h8uus,1,10.6,45,2023-04-30T02:11:49.268Z,2023-04-30T02:11:50Z,4238290873,140,28.4,4238290871,56,Back,4238290877,212,29.0,4238290875,141,77.6,4238290879,213,0.9,,,,,,,,,,7e8f4kfwcucaj4239xz0rai1h,A. Moorhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343399,21,1,1,1,1,966pdxhsoxaib9qt5083h8uus,1,27.1,82,2023-04-30T02:11:50.097Z,2023-04-30T02:22:43Z,4238290989,56,Back,4238290991,140,38.6,4238290993,141,77.1,4238290997,213,6.0,4238290995,212,12.5,,,,,,,,,,9yvkpwm78jaqr321imfc3rrbo,E. Madril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343401,22,4,1,1,3,966pdxhsoxaib9qt5083h8uus,1,35.8,72.4,2023-04-30T02:11:52.083Z,2023-04-30T02:11:55Z,4238291009,286,,4238291005,152,,4238291003,56,Back,4238291001,13,,4238291211,233,12,4238291007,265,,,,,,,,9hnfv1rr3nnsu8puxgd05teqd,Adriana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343433,12,4,1,1,3,esvbnzqbyvxp2k570ez7h1a1g,0,64.2,27.6,2023-04-30T02:11:52.084Z,2023-04-30T02:11:55Z,4238291219,233,22,4238291169,13,,4238291177,285,,4238291173,152,,4238291171,56,Center,4238291175,265,,,,,,,,1c2boqmoi50esuelgdd96o06h,D. Colaprico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
