id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/12/value,assist
2527114069,5,1,1,0,16,bl53jk6zlfe5f583pil7xzwi5,1,32.2,76.5,2023-04-02T01:18:06.810Z,2023-04-02T01:18:10Z,4155680151,212,16.5,4155680149,141,73.1,4155680145,56,Back,4155680147,140,16.6,4155680153,213,3.3,,,,,,,,,,8rum6xdhsh8kjz3r3x39qtt04,O. Van der Jagt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527114125,6,1,1,0,20,bl53jk6zlfe5f583pil7xzwi5,1,16.4,75.9,2023-04-02T01:18:10.778Z,2023-04-04T13:36:32Z,4155680451,140,45.2,4155680449,56,Back,4155680455,212,33.2,4155680457,213,5.9,4155680459,1,,4163331019,155,,4155680453,141,55.8,,,,74uudh34v23m2z9gy5tdppxey,S. Hiatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527114195,7,1,1,0,22,bl53jk6zlfe5f583pil7xzwi5,1,45.1,54.5,2023-04-02T01:18:13.481Z,2023-04-02T01:18:17Z,4155680855,212,14.6,4155680851,140,48.8,4155680849,56,Back,4155680857,213,5.0,4155680853,141,33.8,,,,,,,,,,93d5k82qrmjr894k2hp5aril1,J. Fishlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527114231,8,1,1,0,28,bl53jk6zlfe5f583pil7xzwi5,0,51.3,34.3,2023-04-02T01:18:19.117Z,2023-04-02T01:18:33Z,4155681053,141,34.1,4155681083,286,,4155681079,233,7,4155681057,213,6.2,4155681077,236,,4155681055,212,2.6,4155681049,56,Center,4155681051,140,53.8,3aj7p478dcuat6tz8096sq8dl,E. Sonnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527114219,7,74,1,0,28,bgkfdckqfqnfbmecbtz03n76d,1,32.9,78.1,2023-04-02T01:18:19.118Z,2023-04-02T01:18:20Z,4155681115,233,8,4155680971,56,Back,4155680973,285,,,,,,,,,,,,,,,,,7qw3tekwnmsv6i4u3i0qcpjv9,K. O'Hara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527114293,9,1,1,0,31,bl53jk6zlfe5f583pil7xzwi5,1,53.5,7.3,2023-04-02T01:18:21.802Z,2023-04-02T01:18:25Z,4155681439,213,6.2,4155681433,140,71.8,4155681435,141,5.5,4155681431,56,Right,4155681437,212,19.3,,,,,,,,,,dwwgrimn3ddecp5kllvsdga8l,S. Huerta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527114301,10,50,1,0,34,bl53jk6zlfe5f583pil7xzwi5,1,70.3,7.1,2023-04-02T01:18:24.771Z,2023-04-02T01:18:35Z,4155681473,56,Right,4155681475,286,,4155682271,233,8,,,,,,,,,,,,,,,,3aj7p478dcuat6tz8096sq8dl,E. Sonnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527114435,8,7,1,0,34,bgkfdckqfqnfbmecbtz03n76d,1,29.7,92.9,2023-04-02T01:18:24.772Z,2023-04-04T13:39:22Z,4155682205,285,,4163338049,383,,4155682247,233,10,4155682203,56,Back,,,,,,,,,,,,,7qw3tekwnmsv6i4u3i0qcpjv9,K. O'Hara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527114441,9,4,1,0,38,bgkfdckqfqnfbmecbtz03n76d,1,28.6,92.3,2023-04-02T01:18:29.002Z,2023-04-02T01:18:34Z,4155682237,13,,4155682257,233,11,4155682243,152,,4155682241,56,Back,4155682245,285,,4155682239,295,,,,,,,,7qw3tekwnmsv6i4u3i0qcpjv9,K. O'Hara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527114383,11,4,1,0,38,bl53jk6zlfe5f583pil7xzwi5,0,71.4,7.7,2023-04-02T01:18:29.003Z,2023-04-02T01:18:36Z,4155681933,56,Right,4155682321,233,9,4155681939,286,,4155682413,295,,4155681929,13,,4155681935,152,,,,,,,,3aj7p478dcuat6tz8096sq8dl,E. Sonnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527114601,10,1,1,0,54,bgkfdckqfqnfbmecbtz03n76d,1,15.7,87.6,2023-04-02T01:18:45.396Z,2023-04-04T13:39:54Z,4155683103,140,24.5,4155683099,152,,4155683109,213,0.6,4155683097,5,,4155683107,212,11.3,4155683101,56,Back,4155683105,141,97.1,,,,bheniu7u85ivkjhipazymzxzp,K. Edmonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527114635,11,1,1,0,57,bgkfdckqfqnfbmecbtz03n76d,0,38.5,92.1,2023-04-02T01:18:47.828Z,2023-04-02T01:18:52Z,4155683335,140,78.1,4155683331,56,Left,4155683343,212,41.6,4155683339,141,90.9,4155683347,213,6.3,4155683355,1,,,,,,,,7qw3tekwnmsv6i4u3i0qcpjv9,K. O'Hara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527114645,12,49,1,1,1,bl53jk6zlfe5f583pil7xzwi5,1,28.1,11.9,2023-04-02T01:18:52.106Z,2023-04-02T01:18:52Z,,,,,,,,,,,,,,,,,,,,,,,,,5kx524x345idecr205u9oopd6,A. Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527114691,13,1,1,1,2,bl53jk6zlfe5f583pil7xzwi5,1,24.8,12.2,2023-04-02T01:18:52.867Z,2023-04-02T01:18:56Z,4155683719,141,43.0,4155683707,56,Back,4155683723,212,27.5,4155683727,213,2.3,4155683713,140,7.8,,,,,,,,,,5kx524x345idecr205u9oopd6,A. Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527114705,14,1,1,1,5,bl53jk6zlfe5f583pil7xzwi5,1,6.4,45.8,2023-04-02T01:18:56.027Z,2023-04-02T01:18:58Z,4155683807,140,11.3,4155683823,213,0.8,4155683805,56,Back,4155683817,212,7.5,4155683813,141,53.9,,,,,,,,,,8btgs1e799s3xyjfqloeg2iju,P. Tullis-Joyce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527114753,15,1,1,1,7,bl53jk6zlfe5f583pil7xzwi5,0,11.4,54,2023-04-02T01:18:58.490Z,2023-04-02T01:19:01Z,4155684075,141,100.0,4155684079,213,0.9,4155684071,56,Back,4155684073,140,36.3,4155684077,212,41.3,4155684081,1,,,,,,,,74uudh34v23m2z9gy5tdppxey,S. Hiatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527114929,12,5,1,1,10,bgkfdckqfqnfbmecbtz03n76d,1,63.6,-1.3,2023-04-02T01:19:01.397Z,2023-04-02T01:19:14Z,4155685021,56,Right,4155685025,347,,4155685039,233,16,,,,,,,,,,,,,,,,7qw3tekwnmsv6i4u3i0qcpjv9,K. O'Hara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527114757,16,5,1,1,10,bl53jk6zlfe5f583pil7xzwi5,0,36.4,101.3,2023-04-02T01:19:01.397Z,2023-04-02T02:23:18Z,4155685067,233,12,4155684105,56,Back,4155684107,347,,,,,,,,,,,,,,,,,74uudh34v23m2z9gy5tdppxey,S. Hiatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527114975,13,1,1,1,21,bgkfdckqfqnfbmecbtz03n76d,1,64.9,0,2023-04-02T01:19:11.684Z,2023-04-04T13:41:19Z,4163340815,189,,4155685245,107,,4155685253,212,12.0,4155685247,56,Right,4155685251,141,11.9,4155685249,140,72.2,4155685255,213,0.9,,,,co49l4m0my5li8yvcxgrvq0yy,Bruninha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527114983,14,1,1,1,22,bgkfdckqfqnfbmecbtz03n76d,0,74.1,17.6,2023-04-02T01:19:13.340Z,2023-04-04T13:41:25Z,4163343455,189,,4155685285,212,4.3,4155685277,56,Right,4155685281,141,12.0,4155685287,213,4.2,4155685279,140,72.2,,,,,,,4t91su0ns46r00vjynp0on5qt,K. Mewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528569629,832,1,1,1,23,bl53jk6zlfe5f583pil7xzwi5,1,29.1,88.2,2023-04-02T01:19:13.826Z,2023-04-04T13:41:32Z,4163343865,56,Back,4163343869,141,91.9,4163343871,212,9.4,4163343867,140,20.5,4163343873,213,2.9,,,,,,,,,,4apwozsvcd68ki0o3469ftht6,B. Balcer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527114987,17,1,1,1,25,bl53jk6zlfe5f583pil7xzwi5,0,18.1,87.5,2023-04-02T01:19:15.897Z,2023-04-02T01:19:17Z,4155685295,157,,4155685305,141,77.9,4155685309,212,24.2,4155685301,140,40.3,4155685299,56,Back,4155685311,213,6.0,4155685315,1,,,,,7lt9nze7e2mk2hlp9dkvabkyd,L. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115041,15,1,1,1,29,bgkfdckqfqnfbmecbtz03n76d,1,60.5,17.3,2023-04-02T01:19:19.788Z,2023-04-04T13:42:31Z,4155685609,212,9.9,4155685603,56,Center,4155685605,140,67.1,4155685601,3,,4155685607,141,27.6,4155685611,213,0.8,,,,,,,dp260wgfy9vfthkdd6tphi311,A. Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115071,16,1,1,1,30,bgkfdckqfqnfbmecbtz03n76d,1,67.1,27.6,2023-04-02T01:19:20.932Z,2023-04-02T01:19:23Z,4155685765,141,5.9,4155685761,56,Right,4155685767,212,16.8,4155685759,3,,4155685769,213,4.2,4155685763,140,59.5,,,,,,,1xgse8t4dm0decmpzebsphvfu,Y. Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528570177,857,1,1,1,31,bgkfdckqfqnfbmecbtz03n76d,1,63,18.7,2023-04-02T01:19:21.725Z,2023-04-04T13:42:33Z,4163346601,3,,4163346617,141,8.7,4163346627,213,4.4,4163346611,140,61.0,4163346607,56,Right,4163346623,212,7.1,,,,,,,dp260wgfy9vfthkdd6tphi311,A. Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115075,17,49,1,1,32,bgkfdckqfqnfbmecbtz03n76d,1,58.5,7.1,2023-04-02T01:19:23.284Z,2023-04-02T01:19:23Z,,,,,,,,,,,,,,,,,,,,,,,,,co49l4m0my5li8yvcxgrvq0yy,Bruninha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115097,18,1,1,1,33,bgkfdckqfqnfbmecbtz03n76d,1,58.5,7.1,2023-04-02T01:19:23.613Z,2023-04-02T01:19:24Z,4155685925,140,66.5,4155685927,141,5.9,4155685929,212,8.4,4155685931,213,6.2,4155685923,56,Right,,,,,,,,,,co49l4m0my5li8yvcxgrvq0yy,Bruninha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115113,19,1,1,1,34,bgkfdckqfqnfbmecbtz03n76d,0,66.6,5.6,2023-04-02T01:19:24.852Z,2023-04-02T01:19:26Z,4155686061,236,,4155685993,141,5.0,4155686067,286,,4155685989,56,Right,4155685997,213,6.2,4155685991,140,69.7,4155685995,212,3.3,4155686063,233,18,56y5qt6c03t7f5t7eoebi0wyd,M. Purce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115121,18,74,1,1,34,bl53jk6zlfe5f583pil7xzwi5,1,32.4,95,2023-04-02T01:19:24.853Z,2023-04-02T02:23:29Z,4155686011,56,Back,4155686077,233,19,4155686013,285,,,,,,,,,,,,,,,,,7lt9nze7e2mk2hlp9dkvabkyd,L. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115137,19,49,1,1,36,bl53jk6zlfe5f583pil7xzwi5,1,40.6,94.5,2023-04-02T01:19:27.001Z,2023-04-02T01:19:27Z,,,,,,,,,,,,,,,,,,,,,,,,,4apwozsvcd68ki0o3469ftht6,B. Balcer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528570741,833,3,1,1,37,bl53jk6zlfe5f583pil7xzwi5,0,38.8,95.4,2023-04-02T01:19:28.595Z,2023-04-04T13:43:41Z,4163349287,464,,4163349283,56,Back,4163349289,467,56y5qt6c03t7f5t7eoebi0wyd,4163349285,286,,,,,,,,,,,,,,4apwozsvcd68ki0o3469ftht6,B. Balcer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115211,20,4,1,1,39,bl53jk6zlfe5f583pil7xzwi5,1,43.4,94.8,2023-04-02T01:19:30.106Z,2023-04-02T02:10:33Z,4155686463,56,Back,4155686469,286,,4155840631,295,,4155686461,13,,4155686867,233,20,4155686465,152,,,,,,,,4apwozsvcd68ki0o3469ftht6,B. Balcer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115271,20,4,1,1,39,bgkfdckqfqnfbmecbtz03n76d,0,56.6,5.2,2023-04-02T01:19:30.107Z,2023-04-02T01:19:56Z,4155686825,56,Right,4155686831,285,,4155687931,295,,4155686827,152,,4155686871,233,20,4155686823,13,,,,,,,,56y5qt6c03t7f5t7eoebi0wyd,M. Purce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115431,21,1,1,1,57,bl53jk6zlfe5f583pil7xzwi5,1,40.7,90.5,2023-04-02T01:19:47.722Z,2023-04-02T01:19:51Z,4155687771,1,,4155687769,213,4.6,4155687757,5,,4155687763,140,37.9,4155687761,56,Back,4155687765,141,36.5,4155687759,152,,4155687767,212,36.8,7lt9nze7e2mk2hlp9dkvabkyd,L. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115489,22,1,1,2,0,bl53jk6zlfe5f583pil7xzwi5,1,41.8,30.4,2023-04-02T01:19:50.954Z,2023-04-02T01:19:55Z,4155688113,212,22.1,4155688109,140,34.3,4155688111,141,60.8,4155688107,56,Back,4155688115,213,1.9,,,,,,,,,,5kx524x345idecr205u9oopd6,A. Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115533,23,1,1,2,4,bl53jk6zlfe5f583pil7xzwi5,1,33.4,63.3,2023-04-02T01:19:55.098Z,2023-04-02T01:19:58Z,4155688351,213,5.1,4155688349,212,20.6,4155688343,56,Back,4155688345,140,41.7,4155688347,141,35.8,,,,,,,,,,74uudh34v23m2z9gy5tdppxey,S. Hiatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115553,24,1,1,2,7,bl53jk6zlfe5f583pil7xzwi5,0,43.8,32.9,2023-04-02T01:19:58.473Z,2023-04-02T01:20:00Z,4155688477,140,73.7,4155688473,56,Center,4155688481,212,31.6,4155688483,213,6.2,4155688471,155,,4155688479,141,27.5,,,,,,,3aj7p478dcuat6tz8096sq8dl,E. Sonnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115557,21,61,1,2,9,bgkfdckqfqnfbmecbtz03n76d,0,31.1,73.8,2023-04-02T01:20:00.472Z,2023-04-04T13:44:08Z,4155688487,56,Back,,,,,,,,,,,,,,,,,,,,,,7qw3tekwnmsv6i4u3i0qcpjv9,K. O'Hara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115641,25,50,1,2,10,bl53jk6zlfe5f583pil7xzwi5,1,67.9,31,2023-04-02T01:20:01.028Z,2023-04-04T13:45:20Z,4155691595,233,22,4155688951,56,Center,4155688953,286,,,,,,,,,,,,,,,,,4j3kopvvd3iej6p4h9z36giqd,R. Lavelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115601,22,7,1,2,10,bgkfdckqfqnfbmecbtz03n76d,1,32.1,69,2023-04-02T01:20:01.029Z,2023-04-04T13:45:21Z,4155688743,56,Back,4155691547,233,25,4155688745,285,,4163351391,384,,,,,,,,,,,,,,7qw3tekwnmsv6i4u3i0qcpjv9,K. O'Hara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115625,24,49,1,2,11,bgkfdckqfqnfbmecbtz03n76d,1,34.5,57.6,2023-04-02T01:20:01.645Z,2023-04-04T13:45:27Z,,,,,,,,,,,,,,,,,,,,,,,,,1xgse8t4dm0decmpzebsphvfu,Y. Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115611,23,1,1,2,12,bgkfdckqfqnfbmecbtz03n76d,0,33.9,58.1,2023-04-02T01:20:03.191Z,2023-04-04T13:45:30Z,4155688791,141,53.4,4155688787,140,34.8,4155688795,213,5.0,4155688783,56,Back,4155688793,212,3.3,,,,,,,,,,1xgse8t4dm0decmpzebsphvfu,Y. Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528571709,834,1,1,2,13,bl53jk6zlfe5f583pil7xzwi5,1,62,51.3,2023-04-02T01:20:04.555Z,2023-04-04T13:45:35Z,4163353829,212,3.7,4163353831,213,5.0,4163353823,56,Center,4163353825,140,63.0,4163353827,141,46.1,,,,,,,,,,93d5k82qrmjr894k2hp5aril1,J. Fishlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115651,26,1,1,2,14,bl53jk6zlfe5f583pil7xzwi5,1,62.1,47.2,2023-04-02T01:20:05.186Z,2023-04-04T13:46:07Z,4155688989,56,Center,4155688993,140,65.2,4155688999,212,9.9,4155689001,213,1.2,4155688995,141,61.0,,,,,,,,,,8rum6xdhsh8kjz3r3x39qtt04,O. Van der Jagt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115661,27,49,1,2,19,bl53jk6zlfe5f583pil7xzwi5,1,67.8,63.6,2023-04-02T01:20:10.025Z,2023-04-02T01:20:10Z,,,,,,,,,,,,,,,,,,,,,,,,,93d5k82qrmjr894k2hp5aril1,J. Fishlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115691,28,1,1,2,19,bl53jk6zlfe5f583pil7xzwi5,1,70.2,68.3,2023-04-02T01:20:10.553Z,2023-04-02T01:20:13Z,4155689235,141,83.1,4155689231,56,Left,4155689237,212,12.6,4155689239,213,0.9,4155689233,140,77.4,,,,,,,,,,93d5k82qrmjr894k2hp5aril1,J. Fishlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115699,29,1,1,2,22,bl53jk6zlfe5f583pil7xzwi5,0,81.9,83.9,2023-04-02T01:20:13.098Z,2023-04-04T13:46:20Z,4155689293,212,15.6,4163356357,386,,4155689281,2,,4155689287,56,Center,4163356355,225,,4155689289,140,84.9,4155689295,213,4.9,4163356359,72,,4apwozsvcd68ki0o3469ftht6,B. Balcer,4155689291,141,61.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115713,25,12,1,2,22,bgkfdckqfqnfbmecbtz03n76d,1,10.5,37.9,2023-04-02T01:20:13.109Z,2023-04-02T01:20:15Z,4155689365,141,15.9,4155689369,213,5.8,4155689361,56,Back,4155689363,140,35.7,4155689367,212,30.4,,,,,,,,,,54szh8526rjp2erap05ljqxud,M. Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527115775,30,1,1,2,25,bl53jk6zlfe5f583pil7xzwi5,1,66,87.2,2023-04-02T01:20:16.090Z,2023-04-02T01:20:21Z,4155689727,213,4.3,4155689725,212,21.2,4155689721,140,57.8,4155689723,141,58.7,4155689719,56,Center,,,,,,,,,,7lt9nze7e2mk2hlp9dkvabkyd,L. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
