id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value,assist
2493912291,12,1,1,1,12,5qwskbjpa17fvmtuu5qijy7cz,1,49.5,74.5,2022-12-29T19:45:53.047Z,2023-01-01T18:30:29Z,3959683861,213,4.6,3959683853,56,Back,3959683857,141,55.4,3962962513,178,,3959683859,212,13.1,3959683855,140,47.9,,,,,,,4i9u8cvqi0326gzqouf7uqju1,J. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912337,13,1,1,1,15,5qwskbjpa17fvmtuu5qijy7cz,1,46.1,55.2,2022-12-29T19:45:55.779Z,2023-01-01T18:30:32Z,3962962533,178,,3959684133,141,94.4,3959684137,213,0.6,3959684127,155,,3959684129,56,Left,3959684139,1,,3959684135,212,47.1,3959684131,140,83.1,2asjeedy6igcuixqktdmk5k2x,M. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912349,14,1,1,1,20,5qwskbjpa17fvmtuu5qijy7cz,0,83.1,94.4,2022-12-29T19:46:00.280Z,2023-01-01T18:30:56Z,3959684207,3,,3959684217,213,0.7,3959684213,141,100.0,3959684211,140,88.6,3959684209,56,Left,3962962697,178,,3959684215,212,7.4,,,,7uhajc3suc68vemamuc3dyvp,S. Whalley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912483,10,5,1,1,21,8xeuwzxnm7hdlbjjuezgfkz3w,1,12.1,-1.2,2022-12-29T19:46:01.479Z,2023-01-01T18:30:51Z,3959684937,347,,3959684933,56,Back,3959684961,233,15,,,,,,,,,,,,,,,,3nxrsmys3v8ci6xeqsx8yaac5,F. Rawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912355,15,5,1,1,21,5qwskbjpa17fvmtuu5qijy7cz,0,87.9,101.2,2022-12-29T19:46:01.479Z,2023-01-01T18:30:51Z,3959684225,347,,3959684979,233,10,3959684223,56,Left,,,,,,,,,,,,,,,,7uhajc3suc68vemamuc3dyvp,S. Whalley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912503,11,1,1,1,35,8xeuwzxnm7hdlbjjuezgfkz3w,0,17.2,0,2022-12-29T19:46:16.034Z,2023-01-01T18:31:00Z,3959685073,1,,3959685063,56,Back,3959685067,141,6.4,3959685061,107,,3959685071,213,0.2,3959685065,140,37.5,3959685069,212,22.0,,,,b1or5u4dfuf4pvg7cgqnp3nxl,R. Cooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912513,16,8,1,1,37,5qwskbjpa17fvmtuu5qijy7cz,1,60.1,89.4,2022-12-29T19:46:17.806Z,2023-01-01T18:31:04Z,3960845977,384,,3959685127,56,Left,3962962735,178,,,,,,,,,,,,,,,,,a2g77lv071rnz76ujh30364tl,H. Rodgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912549,17,61,1,1,38,5qwskbjpa17fvmtuu5qijy7cz,0,65.5,87.8,2022-12-29T19:46:18.397Z,2023-01-01T18:31:10Z,3962962771,178,,3959685237,56,Left,,,,,,,,,,,,,,,,,,,6ipjgy0ewyx7mnmolu0pp0mw9,L. Coyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912745,12,5,1,1,40,8xeuwzxnm7hdlbjjuezgfkz3w,1,35,-1.5,2022-12-29T19:46:20.561Z,2023-01-01T18:31:14Z,3959686177,347,,3959686183,233,18,3959686175,56,Back,,,,,,,,,,,,,,,,b1or5u4dfuf4pvg7cgqnp3nxl,R. Cooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912555,18,5,1,1,40,5qwskbjpa17fvmtuu5qijy7cz,0,65,101.5,2022-12-29T19:46:20.561Z,2023-01-01T18:31:15Z,3959685283,347,,3959685281,56,Left,3959686195,233,12,,,,,,,,,,,,,,,,6ipjgy0ewyx7mnmolu0pp0mw9,L. Coyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912837,13,1,1,1,58,8xeuwzxnm7hdlbjjuezgfkz3w,0,45.4,0,2022-12-29T19:46:38.924Z,2023-01-01T18:31:19Z,3959686641,1,,3959686633,140,69.2,3959686637,212,26.4,3959686629,107,,3959686639,213,0.3,3959686635,141,10.9,3959686631,56,Right,,,,b1or5u4dfuf4pvg7cgqnp3nxl,R. Cooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494129753,890,44,1,2,0,5qwskbjpa17fvmtuu5qijy7cz,1,29.7,86.7,2022-12-29T19:46:40.274Z,2023-01-02T04:58:13Z,3960846973,285,,3961041635,233,714,3960846971,56,Back,,,,,,,,,,,,,,,,a2g77lv071rnz76ujh30364tl,H. Rodgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494129769,714,44,1,2,0,8xeuwzxnm7hdlbjjuezgfkz3w,0,70.3,13.3,2022-12-29T19:46:40.275Z,2023-01-01T18:31:26Z,3960847081,56,Right,3961041661,233,890,3960847083,286,,,,,,,,,,,,,,,,,3ft5brlvxvw8otiyjppxkk6ad,C. Stockton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912795,19,61,1,2,0,5qwskbjpa17fvmtuu5qijy7cz,1,30.8,88.1,2022-12-29T19:46:40.403Z,2023-01-02T04:58:14Z,3962962951,15,,3959686401,56,Back,3962962953,388,,,,,,,,,,,,,,,,,a2g77lv071rnz76ujh30364tl,H. Rodgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912843,14,5,1,2,1,8xeuwzxnm7hdlbjjuezgfkz3w,1,75.4,-1.7,2022-12-29T19:46:41.857Z,2023-01-01T18:31:38Z,3959689823,233,20,3959686651,56,Right,3959686653,347,,,,,,,,,,,,,,,,,b1or5u4dfuf4pvg7cgqnp3nxl,R. Cooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
