id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/14/value,qualifier/16/value
2535459103,1386,67,1,0,36,69t8imcdaqlgfbds2p58596my,0,28.1,12.5,2023-04-15T14:01:52.839Z,2023-04-18T11:08:03Z,4199968253,233,1616,,,,,,,,,,,,,,,,,,,,,,6q06inb8ukzfsrxy0arxl78q1,A. Morley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535458945,1615,43,1,0,36,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2023-04-15T14:01:52.849Z,2023-04-18T11:07:33Z,4199967319,233,1385,4199967453,144,67,,,,,,,,,,,,,,,,,,,7cznyew8xg3fxfqeexid7pxt6,B. Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535458941,1385,43,1,0,36,69t8imcdaqlgfbds2p58596my,1,0,0,2023-04-15T14:01:52.850Z,2023-04-18T11:07:33Z,4199967345,233,1615,4199967479,144,67,,,,,,,,,,,,,,,,,,,6q06inb8ukzfsrxy0arxl78q1,A. Morley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533629513,8,1,1,0,36,ahm0t06rup1bkd9z0mxl2lmph,1,71.7,88.2,2023-04-15T14:01:52.950Z,2023-04-18T11:53:31Z,4190298109,213,4.3,4199498693,178,,4190298105,212,7.0,4190298103,141,78.7,4190275255,56,Center,4190298101,140,69.2,,,,,,,8g19rw3eni5p8jt5v1j9skwdl,M. Browne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533629531,9,49,1,0,38,ahm0t06rup1bkd9z0mxl2lmph,1,67.6,74.8,2023-04-15T14:01:54.611Z,2023-04-18T05:30:44Z,,,,,,,,,,,,,,,,,,,,,,,,,7cznyew8xg3fxfqeexid7pxt6,B. Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533629555,10,1,1,0,38,ahm0t06rup1bkd9z0mxl2lmph,1,67.6,74.8,2023-04-15T14:01:54.617Z,2023-04-18T05:30:52Z,4190275489,212,10.9,4190275487,141,81.4,4199498873,178,,4190275491,213,2.7,4190275483,56,Left,4190275485,140,58.1,,,,,,,7cznyew8xg3fxfqeexid7pxt6,B. Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533629607,11,1,1,0,40,ahm0t06rup1bkd9z0mxl2lmph,1,59.8,74,2023-04-15T14:01:56.578Z,2023-04-18T05:31:06Z,4190275725,140,55.6,4190275731,141,32.4,4190275741,213,4.6,4199498989,178,,4190275719,56,Center,4190275737,212,28.6,,,,,,,50flg4aoq4l0glnh61yzngc7p,M. McGuane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533629685,12,1,1,0,41,ahm0t06rup1bkd9z0mxl2lmph,1,57.4,33.4,2023-04-15T14:01:58.028Z,2023-04-18T05:31:26Z,4190276137,56,Back,4190276153,212,20.5,4198486845,3,,4190276147,141,44.7,4190276139,140,39.3,4199499163,178,,4190276159,213,2.8,,,,50c2v0l2cmkh82vso5tnjv3yt,S. Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533629891,13,1,1,0,45,ahm0t06rup1bkd9z0mxl2lmph,1,39.4,45.8,2023-04-15T14:02:01.538Z,2023-04-18T05:31:31Z,4190277189,212,14.4,4190277187,141,66.9,4190277179,56,Back,4190277193,213,1.5,4199499197,178,,4190277183,140,39.7,,,,,,,bsrhtxhpnlxho2o4zvli5qmeh,E. Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533629963,14,1,1,0,52,ahm0t06rup1bkd9z0mxl2lmph,1,55.5,81.4,2023-04-15T14:02:08.989Z,2023-04-18T05:31:54Z,4199499257,178,,4190277501,141,95.3,4190277497,140,53.1,4190277503,212,9.8,4190277495,56,Left,4190277507,213,1.8,,,,,,,cqfbp8me2n00cve66v797omvp,S. Findlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
