id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/17/value,qualifier/18/value,qualifier/19/value
2478722793,16,1,1,1,24,2ezfenuwk3y65p8jdbj55xqt0,1,56.3,85.3,2022-10-29T14:01:44.510Z,2022-11-01T04:44:00Z,3879671561,213,0.3,3887408309,178,,3879671559,212,4.0,3879671555,140,59.9,3879671553,56,Left,3879671557,141,87.1,,,,,,,56g3fffeygobuei72gnkm9a09,S. Sessegnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722841,17,1,1,1,25,2ezfenuwk3y65p8jdbj55xqt0,1,60.7,86.5,2022-10-29T14:01:45.420Z,2022-11-01T04:44:03Z,3879671791,212,9.7,3879671789,141,73.5,3879671785,56,Center,3887408333,178,,3879671793,213,5.1,3879671787,140,64.4,,,,,,,1uqgky0sxqjs8bqd2h75rnmjt,C. Kirk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722895,18,1,1,1,26,2ezfenuwk3y65p8jdbj55xqt0,1,64.4,73.3,2022-10-29T14:01:46.340Z,2022-11-01T04:44:09Z,3879672061,212,18.8,3887408345,178,,3879672059,141,69.9,3879672055,56,Back,3879672063,213,3.3,3879672057,140,46.6,,,,,,,6a08s0d0sgt7iw37spmo4bro5,S. Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722991,19,1,1,1,29,2ezfenuwk3y65p8jdbj55xqt0,1,46.7,69,2022-10-29T14:01:48.890Z,2022-11-01T04:44:12Z,3887408433,178,,3879672437,140,35.2,3879672443,213,3.4,3879672435,56,Back,3879672439,141,64.2,3879672441,212,12.5,,,,,,,56g3fffeygobuei72gnkm9a09,S. Sessegnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478723045,20,1,1,1,31,2ezfenuwk3y65p8jdbj55xqt0,1,32.4,63.1,2022-10-29T14:01:50.731Z,2022-11-01T04:44:16Z,3879672729,140,41.2,3879672725,56,Back,3879672733,141,55.4,3887408495,178,,3879672737,212,10.6,3879672741,213,5.8,,,,,,,5sfchvj1d5dgpwc6j5oshhkut,T. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478723067,21,1,1,1,33,2ezfenuwk3y65p8jdbj55xqt0,0,39.9,55.4,2022-10-29T14:01:53.151Z,2022-11-01T04:44:20Z,3887408537,178,,3879672847,140,58.5,3879672843,155,,3879672855,213,5.4,3879672851,212,32.8,3879672845,56,Right,3879672849,141,16.7,3879672857,1,,egr5n9jynbg3llc2tn2g5ncnp,G. Dobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478723441,17,1,1,1,35,8b523ujgl21tbc01me65q0aoh,1,37.2,78.8,2022-10-29T14:01:55.141Z,2022-11-01T04:44:28Z,3879674643,141,73.9,3879674647,213,6.1,3879674637,3,,3879674641,140,55.7,3879674645,212,19.7,3887408637,388,,3879674639,56,Center,,,,a9352zsh3xr7rcxs0jmho7o8a,L. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480175667,829,83,1,1,40,2ezfenuwk3y65p8jdbj55xqt0,1,44.4,23.4,2022-10-29T14:01:59.721Z,2022-11-01T05:07:30Z,3887432189,399,232233,,,,,,,,,,,,,,,,,,,,,,ald5oocxwh4pip8fw6v3ym8h6,J. Rak-Sakyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478723469,18,1,1,1,40,8b523ujgl21tbc01me65q0aoh,0,57.4,73.9,2022-10-29T14:01:59.791Z,2022-11-01T04:44:33Z,3879674751,141,64.3,3879674747,56,Center,3879674753,212,29.9,3879674757,213,6.1,3887408721,178,,3879674749,140,85.2,,,,,,,epoveky29f4wroi3w6p1xcyy1,T. John-Jules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478723379,22,52,1,1,44,2ezfenuwk3y65p8jdbj55xqt0,1,8.7,35.2,2022-10-29T14:02:03.851Z,2022-11-01T04:44:35Z,3887408749,178,,3886619609,376,,,,,,,,,,,,,,,,,,,,46q465awyk7ndr9faq83vmuw9,J. Wollacott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478723701,23,1,1,1,47,2ezfenuwk3y65p8jdbj55xqt0,1,10,36.1,2022-10-29T14:02:06.649Z,2022-11-01T04:44:36Z,3879675749,123,,3879675757,212,23.4,3879675753,140,13.9,3887408767,178,,3879675755,141,70.0,3879675759,213,1.4,3879675751,56,Back,,,,46q465awyk7ndr9faq83vmuw9,J. Wollacott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478723765,24,1,1,1,52,2ezfenuwk3y65p8jdbj55xqt0,1,27.7,70.3,2022-10-29T14:02:11.961Z,2022-11-01T04:44:40Z,3879676067,212,23.4,3879676063,140,24.4,3879676069,213,4.6,3879676061,56,Back,3879676065,141,36.3,3887408837,178,,,,,,,,5sfchvj1d5dgpwc6j5oshhkut,T. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478723817,25,1,1,1,55,2ezfenuwk3y65p8jdbj55xqt0,1,24.4,36.3,2022-10-29T14:02:14.812Z,2022-11-01T04:44:44Z,3879676363,213,2.6,3879676349,56,Back,3879676359,141,50.3,3887408905,178,,3879676355,140,10.8,3879676361,212,17.2,,,,,,,949hjt6noiqcg888992n2961h,E. O'Connell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478723913,26,1,1,1,57,2ezfenuwk3y65p8jdbj55xqt0,1,10.8,50.4,2022-10-29T14:02:17.291Z,2022-11-01T04:44:47Z,3879676881,141,79.9,3879676877,56,Back,3879676885,212,22.0,3879676887,213,1.2,3879676879,140,19.3,3887408943,178,,,,,,,,46q465awyk7ndr9faq83vmuw9,J. Wollacott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478723989,27,1,1,2,1,2ezfenuwk3y65p8jdbj55xqt0,1,24.3,81.8,2022-10-29T14:02:20.923Z,2022-11-01T04:44:50Z,3887408983,178,,3879677279,140,31.7,3879677283,212,11.1,3879677277,56,Back,3879677281,141,93.5,3879677285,213,0.8,,,,,,,5sfchvj1d5dgpwc6j5oshhkut,T. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
