id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/11/value,qualifier/16/value
2494531127,805,1,1,0,40,5g1fnexeromjl0lvnxp8hpnhi,0,59.8,15,2023-01-01T15:01:36.942Z,2023-01-03T05:03:15Z,3962954971,141,10.7,3964272905,388,,3962954963,3,,3962954969,140,68.1,3962954965,168,,3962954973,212,9.2,3962954975,213,6.0,3962954967,56,Right,6rzq8xkkst4hgbh2ysj52gwyx,N. Ennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494531137,782,49,1,0,43,8w89tsles26jm12aoelwvlttt,1,18.9,83.9,2023-01-01T15:01:40.264Z,2023-01-03T05:03:40Z,,,,,,,,,,,,,,,,,,,,,,,,,2hhatd33vvokrbemn4echivhl,W. O'Hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449549,9,1,1,0,43,8w89tsles26jm12aoelwvlttt,1,17.7,80.3,2023-01-01T15:01:40.364Z,2023-01-03T05:03:33Z,3962507521,140,4.4,3962507519,56,Back,3962507527,213,3.9,3962507525,212,19.5,3962507523,141,60.2,3964273069,178,,,,,,,,2hhatd33vvokrbemn4echivhl,W. O'Hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449559,10,1,1,0,45,8w89tsles26jm12aoelwvlttt,0,4.4,60.2,2023-01-01T15:01:41.854Z,2023-01-03T05:03:52Z,3962507557,213,0.2,3962507547,155,,3964273285,178,,3962507551,140,44.2,3962507549,56,Back,3962507553,141,71.7,3962507559,1,,3962507555,212,42.5,32sqctjujedqsab4xwy1pwlbd,J. Cumming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449561,8,61,1,0,48,5g1fnexeromjl0lvnxp8hpnhi,0,60.4,42.1,2023-01-01T15:01:45.163Z,2023-01-03T05:04:03Z,3962955067,56,Center,3964273381,178,,,,,,,,,,,,,,,,,,,,ab9z3kubalp5l33vbi4a8n0iy,A. Randell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449613,13,1,1,0,52,8w89tsles26jm12aoelwvlttt,1,53.1,41.7,2023-01-01T15:01:49.046Z,2023-01-04T07:45:05Z,3964273463,178,,3962507787,213,0.9,3962507781,140,64.8,3962507779,56,Center,3962507785,212,19.9,3962507783,141,64.7,3962508505,210,15,,,,9y8gvjzrsvgxkcfvq99mivdyi,L. Barry,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449573,11,43,1,0,55,8w89tsles26jm12aoelwvlttt,1,0,0,2023-01-01T15:01:51.617Z,2023-01-01T15:02:04Z,3962507601,212,2.5,3962507597,140,42.6,3962507925,144,1,3962507603,213,4.8,3962507595,56,Back,3962507599,141,44.8,3962507593,155,0,,,,9y8gvjzrsvgxkcfvq99mivdyi,L. Barry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449575,12,43,1,0,56,8w89tsles26jm12aoelwvlttt,1,0,0,2023-01-01T15:01:52.785Z,2023-01-01T18:10:58Z,3962955075,144,49,,,,,,,,,,,,,,,,,,,,,,9y8gvjzrsvgxkcfvq99mivdyi,L. Barry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449615,14,15,1,0,57,8w89tsles26jm12aoelwvlttt,1,88.6,36.7,2023-01-01T15:01:54.394Z,2023-01-03T05:04:24Z,3962508523,215,,3962507797,56,Center,3962508257,20,,3962726607,63,,3964273601,178,,3962508515,55,13,3962726609,78,,3962508525,146,97.7,2uids8ea8jv4r62psqj37x3e2,M. Eisa,3962508527,147,3962512345,233,9,,47.3,3962508521,103,19.6,3962507793,22,3962508519,102,48.9,3962508513,29,,,,,,,,,,,,,,,,,,,,
2494449611,9,10,1,0,58,5g1fnexeromjl0lvnxp8hpnhi,1,2,50.4,2023-01-01T15:01:55.011Z,2023-01-03T05:04:31Z,3962512365,233,14,3962507773,178,,3962955301,377,,3962507775,182,,3962507777,56,Back,3962955327,173,,,,,,,,247o80ri7od76lxfrkmccz2ay,M. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494531175,806,52,1,0,59,5g1fnexeromjl0lvnxp8hpnhi,1,7.4,54.5,2023-01-01T15:01:55.515Z,2023-01-03T05:04:42Z,3962955427,377,,3964273795,178,,,,,,,,,,,,,,,,,,,,247o80ri7od76lxfrkmccz2ay,M. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449655,10,1,1,1,0,5g1fnexeromjl0lvnxp8hpnhi,1,12.2,42.4,2023-01-01T15:01:56.935Z,2023-01-03T05:07:27Z,3962955537,287,,3962507981,123,,3962507987,141,16.7,3962507991,213,5.5,3964273919,178,,3962507985,140,28.7,3962507989,212,24.6,3962507983,56,Back,247o80ri7od76lxfrkmccz2ay,M. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449659,11,43,1,1,4,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-01-01T15:02:00.588Z,2023-01-01T18:11:53Z,3962955511,144,49,,,,,,,,,,,,,,,,,,,,,,247o80ri7od76lxfrkmccz2ay,M. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449663,12,1,1,1,7,5g1fnexeromjl0lvnxp8hpnhi,1,35.7,35.8,2023-01-01T15:02:03.722Z,2023-01-03T05:08:16Z,3962508031,212,23.2,3962508029,141,69.3,3962508025,56,Back,3964274047,178,,3962508027,140,39.9,3962508033,213,1.4,,,,,,,ady374prjuht3fs9va8n303jd,M. Whittaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449683,13,1,1,1,8,5g1fnexeromjl0lvnxp8hpnhi,1,39.9,69.3,2023-01-01T15:02:04.738Z,2023-01-03T05:05:46Z,3964274429,178,,3962508125,212,19.6,3962508123,141,42.2,3962508121,140,33.5,3962508119,56,Back,3962508127,213,4.4,,,,,,,ab9z3kubalp5l33vbi4a8n0iy,A. Randell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449691,14,1,1,1,8,5g1fnexeromjl0lvnxp8hpnhi,1,33.5,42.2,2023-01-01T15:02:05.416Z,2023-01-03T05:05:54Z,3964274511,178,,3962508153,140,22.0,3962508155,141,83.3,3962508161,212,30.4,3962508149,56,Back,3962508165,213,2.0,,,,,,,alhqwxs7t2pxxxuztmvy1ibpx,D. Mayor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449697,15,1,1,1,13,5g1fnexeromjl0lvnxp8hpnhi,1,22,83.3,2023-01-01T15:02:09.705Z,2023-01-03T05:06:07Z,3962508203,212,21.2,3962508205,213,0.3,3962508199,140,41.1,3964274687,178,,3962508197,56,Back,3962508201,141,93.5,,,,,,,4cyf8fcefkz6433g76okyd65m,N. Lonwijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449707,16,1,1,1,15,5g1fnexeromjl0lvnxp8hpnhi,1,41.1,93.5,2023-01-01T15:02:11.687Z,2023-01-03T05:06:16Z,3962508247,141,76.7,3962508251,213,3.8,3964274763,178,,3962508245,140,26.0,3962508243,56,Back,3962508249,212,19.5,,,,,,,4lz9m2nwif7tql9hqsv2u7vft,B. Mumba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449713,17,1,1,1,17,5g1fnexeromjl0lvnxp8hpnhi,1,26.1,78.4,2023-01-01T15:02:14.326Z,2023-01-03T05:08:45Z,3962508269,140,21.2,3962508263,56,Back,3962508277,212,24.0,3964274837,178,,3962508281,213,4.5,3962508273,141,43.9,,,,,,,4cyf8fcefkz6433g76okyd65m,N. Lonwijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449751,18,1,1,1,20,5g1fnexeromjl0lvnxp8hpnhi,1,22.6,44,2023-01-01T15:02:17.155Z,2023-01-03T05:08:51Z,3962508463,213,5.3,3964276261,178,,3962508457,140,30.8,3962508459,141,24.7,3962508461,212,15.7,3962508455,56,Back,,,,,,,wuidadmmyp6xcztp1lxdxg4p,D. Scarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449769,19,1,1,1,22,5g1fnexeromjl0lvnxp8hpnhi,1,30.8,24.7,2023-01-01T15:02:19.328Z,2023-01-03T05:08:56Z,3962508551,212,17.7,3962508547,141,15.8,3962508539,56,Back,3962508555,213,5.9,3964276295,178,,3962508543,140,46.6,,,,,,,oe0lbxtc4qftnd886dzfm385,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449793,20,1,1,1,25,5g1fnexeromjl0lvnxp8hpnhi,1,41.2,10.7,2023-01-01T15:02:21.675Z,2023-01-03T05:09:17Z,3962508641,213,0.5,3962508639,212,30.1,3962508633,56,Center,3962508635,140,66.3,3964276433,178,,3962508637,141,32.1,,,,,,,5udpap0himq2ggsw4f0o5hqdx,J. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449813,21,1,1,1,27,5g1fnexeromjl0lvnxp8hpnhi,1,66.4,33,2023-01-01T15:02:24.277Z,2023-01-03T05:09:37Z,3962508705,140,53.7,3962508709,212,13.4,3962508703,56,Center,3964276639,178,,3962508711,213,3.2,3962508707,141,31.8,,,,,,,6rzq8xkkst4hgbh2ysj52gwyx,N. Ennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449855,22,1,1,1,28,5g1fnexeromjl0lvnxp8hpnhi,1,53.7,31.8,2023-01-01T15:02:24.957Z,2023-01-03T05:09:44Z,3962508949,140,69.1,3962508955,213,5.6,3962508953,212,21.8,3962508947,56,Right,3964276717,178,,3962508951,141,10.4,,,,,,,2q6bsyszm27v5uvs30j5ty311,J. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449857,23,50,1,1,30,5g1fnexeromjl0lvnxp8hpnhi,1,68,9.6,2023-01-01T15:02:27.347Z,2023-01-03T05:10:24Z,3962509007,233,15,3962508959,56,Right,3962508961,286,,,,,,,,,,,,,,,,,ady374prjuht3fs9va8n303jd,M. Whittaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449851,15,7,1,1,30,8w89tsles26jm12aoelwvlttt,0,32,90.4,2023-01-01T15:02:27.508Z,2023-01-03T05:10:32Z,3962956109,385,,3964277201,178,,3962508941,285,,3962508939,56,Back,3962508999,233,23,,,,,,,,,,2hhatd33vvokrbemn4echivhl,W. O'Hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449869,24,1,1,1,32,5g1fnexeromjl0lvnxp8hpnhi,1,68.2,8.6,2023-01-01T15:02:28.798Z,2023-01-03T05:10:40Z,3962509045,213,2.6,3962509043,212,15.2,3962509037,56,Right,3962509041,141,20.9,3964277271,178,,3962509039,140,56.1,,,,,,,ady374prjuht3fs9va8n303jd,M. Whittaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449897,25,1,1,1,34,5g1fnexeromjl0lvnxp8hpnhi,1,56,21.2,2023-01-01T15:02:31.337Z,2023-01-03T05:10:48Z,3962509163,212,23.6,3962509165,213,1.9,3962509157,56,Back,3962509159,140,49.4,3962509161,141,54.3,3964277335,178,,,,,,,,2q6bsyszm27v5uvs30j5ty311,J. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449939,26,1,1,1,36,5g1fnexeromjl0lvnxp8hpnhi,1,53.1,59.3,2023-01-01T15:02:33.457Z,2023-01-03T05:10:54Z,3964277365,178,,3962509359,212,20.9,3962509353,56,Left,3962509361,213,1.5,3962509355,140,55.3,3962509357,141,89.9,,,,,,,ab9z3kubalp5l33vbi4a8n0iy,A. Randell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449961,27,1,1,1,40,5g1fnexeromjl0lvnxp8hpnhi,1,55.3,89.9,2023-01-01T15:02:36.948Z,2023-01-03T05:11:00Z,3962509455,56,Back,3962509461,212,12.4,3962509459,141,76.3,3962509457,140,47.4,3964277437,178,,3962509463,213,4.0,,,,,,,4cyf8fcefkz6433g76okyd65m,N. Lonwijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494449983,28,1,1,1,42,5g1fnexeromjl0lvnxp8hpnhi,1,50.7,76.1,2023-01-01T15:02:39.132Z,2023-01-03T05:11:05Z,3962509565,213,4.3,3962509563,212,35.4,3962509557,56,Back,3964277461,178,,3962509567,1,,3962509561,141,28.2,3962509559,140,37.4,,,,ab9z3kubalp5l33vbi4a8n0iy,A. Randell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494450029,29,1,1,1,45,5g1fnexeromjl0lvnxp8hpnhi,1,37.3,27.9,2023-01-01T15:02:42.279Z,2023-01-03T05:11:11Z,3964277519,178,,3962509777,213,5.6,3962509771,140,54.1,3962509769,56,Right,3962509773,141,8.6,3962509775,212,22.0,,,,,,,oe0lbxtc4qftnd886dzfm385,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494450041,30,1,1,1,50,5g1fnexeromjl0lvnxp8hpnhi,0,61.1,8.6,2023-01-01T15:02:47.019Z,2023-01-03T05:11:19Z,3964277569,178,,3962509851,212,21.3,3962509849,141,29.1,3962509845,56,Center,3962509853,213,0.7,3962509847,140,76.4,,,,,,,5udpap0himq2ggsw4f0o5hqdx,J. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494450069,17,1,1,1,51,8w89tsles26jm12aoelwvlttt,1,29.2,76.1,2023-01-01T15:02:48.378Z,2023-01-03T05:11:39Z,3962509963,141,76.1,3962509965,212,8.9,3962509967,213,0,3964277789,178,,3962509959,56,Back,3962509961,140,37.7,,,,,,,2hhatd33vvokrbemn4echivhl,W. O'Hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494450049,16,49,1,1,51,8w89tsles26jm12aoelwvlttt,1,28.7,76.9,2023-01-01T15:02:48.379Z,2023-01-03T05:11:31Z,,,,,,,,,,,,,,,,,,,,,,,,,2hhatd33vvokrbemn4echivhl,W. O'Hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494450093,18,1,1,1,53,8w89tsles26jm12aoelwvlttt,1,37.7,76.1,2023-01-01T15:02:49.948Z,2023-01-03T05:11:45Z,3962510065,213,4.1,3962510063,212,21.8,3964277849,178,,3962510057,56,Back,3962510061,141,50.0,3962510059,140,25.6,,,,,,,bhtwzoyaqug2p0ezr7c6wxuui,D. Devoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494450155,19,1,1,1,56,8w89tsles26jm12aoelwvlttt,1,25.6,50,2023-01-01T15:02:52.668Z,2023-01-03T05:11:53Z,3962510317,213,5.3,3962510311,140,36.7,3962510313,141,22.8,3962510315,212,21.9,3964277913,178,,3962510309,56,Back,,,,,,,1vfuzp09s9oj95ruav4ln9ch6,J. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494450161,20,61,1,1,58,8w89tsles26jm12aoelwvlttt,0,29.3,33.2,2023-01-01T15:02:55.168Z,2023-01-03T05:12:13Z,3964278099,178,,3962510359,56,Back,,,,,,,,,,,,,,,,,,,9y8gvjzrsvgxkcfvq99mivdyi,L. Barry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494450173,32,49,1,2,0,5g1fnexeromjl0lvnxp8hpnhi,1,75.9,67.9,2023-01-01T15:02:56.999Z,2023-01-03T05:12:36Z,,,,,,,,,,,,,,,,,,,,,,,,,6rzq8xkkst4hgbh2ysj52gwyx,N. Ennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494450197,33,50,1,2,2,5g1fnexeromjl0lvnxp8hpnhi,1,73.2,65.8,2023-01-01T15:02:59.486Z,2023-01-03T07:07:07Z,3962510535,286,,3962510533,56,Center,3962510571,233,21,,,,,,,,,,,,,,,,6rzq8xkkst4hgbh2ysj52gwyx,N. Ennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
