id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,assist,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value
2517008999,399,56,1,1,6,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-03-07T20:01:15.765Z,2023-03-10T10:16:35Z,4081325449,56,Back,,,,,,,,,,,,,,,,,,,,,,69lg8jmug501h6biol5itk02y,E. Cashin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978933,12,5,1,1,8,5g1fnexeromjl0lvnxp8hpnhi,0,79.6,-1.8,2023-03-07T20:01:18.123Z,2023-03-10T10:16:39Z,4081163099,56,Right,4081163101,347,,4081163473,233,14,,,,,,,,,,,,,,,,4mjzjj2p0pzyw0hcq4no9y0o9,F. Azaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516978997,14,5,1,1,8,3ptd7zlc5isrongig0wij2id4,1,20.4,101.8,2023-03-07T20:01:18.123Z,2023-03-10T10:16:39Z,4081163405,347,,4081163403,56,Back,4081163439,233,12,,,,,,,,,,,,,,,,69lg8jmug501h6biol5itk02y,E. Cashin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516979113,16,1,1,1,28,3ptd7zlc5isrongig0wij2id4,0,25.6,100,2023-03-07T20:01:37.208Z,2023-03-10T10:16:43Z,4081164097,141,96.0,4081164093,56,Back,4081164091,107,,4081164101,213,6.0,4081164099,212,17.1,4081164095,140,41.4,,,,,,,h4x8lz5ou8esdao80mvls9yi,H. Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516979133,13,1,1,1,30,5g1fnexeromjl0lvnxp8hpnhi,1,52.1,5.6,2023-03-07T20:01:39.361Z,2023-03-10T10:16:50Z,4081164227,213,1.2,4081164217,3,,4081164221,140,55.2,4081164223,141,17.6,4081164219,56,Right,4085122891,178,,4081164225,212,8.8,,,,oe0lbxtc4qftnd886dzfm385,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516979139,14,44,1,1,32,5g1fnexeromjl0lvnxp8hpnhi,1,57.8,24,2023-03-07T20:01:41.757Z,2023-03-10T12:57:03Z,4081164249,56,Center,4081164271,233,17,4081164251,286,,,,,,,,,,,,,,,,,9llmzvk9nw1kwy73o8z9f8usp,M. Butcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516979137,17,44,1,1,32,3ptd7zlc5isrongig0wij2id4,0,42.2,76,2023-03-07T20:01:41.758Z,2023-03-10T10:16:53Z,4081164243,285,,4081164241,56,Back,4081164279,233,14,,,,,,,,,,,,,,,,1la1hsnuheliwojwmcbxroy96,J. Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516979141,15,1,1,1,32,5g1fnexeromjl0lvnxp8hpnhi,0,55.2,18.5,2023-03-07T20:01:41.763Z,2023-03-10T12:57:03Z,4081164257,56,Right,4081164255,168,,4085123095,388,,4081164259,140,60.0,4081164267,212,5.1,4081164253,3,,4081164261,141,19.5,4081164269,213,0.1,9llmzvk9nw1kwy73o8z9f8usp,M. Butcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516979147,18,1,1,1,33,3ptd7zlc5isrongig0wij2id4,0,35.3,70,2023-03-07T20:01:42.614Z,2023-03-10T10:17:03Z,4081164307,3,,4081164315,212,7.5,4081164311,140,39.4,4081164309,56,Back,4081164313,141,79.0,4085123317,178,,4081164317,213,1.0,,,,6ge15340tp9n57m88z6rli6i2,H. White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516979159,16,1,1,1,35,5g1fnexeromjl0lvnxp8hpnhi,0,59.8,15.8,2023-03-07T20:01:44.653Z,2023-03-10T10:17:06Z,4081164397,141,6.7,4081164391,3,,4081164393,56,Right,4081164399,212,7.8,4085123377,178,,4081164401,213,5.4,4081164395,140,64.4,,,,2q6bsyszm27v5uvs30j5ty311,J. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516979175,19,1,1,1,36,3ptd7zlc5isrongig0wij2id4,0,31.7,91.7,2023-03-07T20:01:46.095Z,2023-03-10T10:17:09Z,4081164507,212,15.6,4081164509,213,6.0,4081164499,3,,4085123465,388,,4081164501,56,Back,4081164505,141,85.3,4081164503,140,46.0,,,,h4x8lz5ou8esdao80mvls9yi,H. Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516979173,17,44,1,1,38,5g1fnexeromjl0lvnxp8hpnhi,1,56.4,15.6,2023-03-07T20:01:48.044Z,2023-03-10T12:57:04Z,4081164493,286,,4081164491,56,Right,4081327603,233,20,,,,,,,,,,,,,,,,2q6bsyszm27v5uvs30j5ty311,J. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516979189,20,44,1,1,38,3ptd7zlc5isrongig0wij2id4,0,43.6,84.4,2023-03-07T20:01:48.045Z,2023-03-10T10:17:13Z,4081164583,285,,4081164579,56,Back,4081327585,233,17,,,,,,,,,,,,,,,,f2d0i9t2qeyppfqrdv6xzc3px,D. McGoldrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
