id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/16/value,qualifier/13/value,qualifier/12/value,qualifier/15/value,assist
2504900179,9,44,1,0,49,5pfqedkme2kabtqhkln35pf3l,1,46.3,64.1,2023-02-06T15:23:47.384Z,2023-02-07T11:35:51Z,4017381935,233,13,4017381919,56,Back,4017381921,285,,,,,,,,,,,,,,,,,c4hif6j7tldh0w7oeq8v9pcve,J. Quansah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900181,13,44,1,0,49,8w89tsles26jm12aoelwvlttt,0,53.7,35.9,2023-02-06T15:23:47.385Z,2023-02-07T06:47:34Z,4017381925,56,Center,4017381927,286,,4017381981,233,9,,,,,,,,,,,,,,,,2uids8ea8jv4r62psqj37x3e2,M. Eisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900187,10,1,1,0,49,5pfqedkme2kabtqhkln35pf3l,0,44.3,66.6,2023-02-06T15:23:47.401Z,2023-02-07T11:35:52Z,4017381965,140,36.2,4017381961,3,,4018385201,388,,4017381971,213,2.7,4017381963,56,Back,4017381967,141,72.1,4017381969,212,9.3,,,,c4hif6j7tldh0w7oeq8v9pcve,J. Quansah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900195,14,44,1,0,51,8w89tsles26jm12aoelwvlttt,1,21.6,25.7,2023-02-06T15:23:49.789Z,2023-02-07T11:35:52Z,4017382021,56,Back,4017382053,233,11,4017382023,285,,,,,,,,,,,,,,,,,1vfuzp09s9oj95ruav4ln9ch6,J. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900197,11,44,1,0,51,5pfqedkme2kabtqhkln35pf3l,0,78.4,74.3,2023-02-06T15:23:49.790Z,2023-02-07T06:47:43Z,4017382085,233,14,4017382029,286,,4017382027,56,Center,,,,,,,,,,,,,,,,5pafzbbuucga9ut20l6ckj7u2,J. Coburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900201,15,1,1,0,51,8w89tsles26jm12aoelwvlttt,0,21.6,28.1,2023-02-06T15:23:49.831Z,2023-02-07T11:35:52Z,4017382067,56,Back,4017382069,140,38.6,4017382073,212,18.0,4017382065,3,,4018385427,388,,4017382071,141,24.2,4017382075,213,6.1,,,,1vfuzp09s9oj95ruav4ln9ch6,J. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900221,12,49,1,0,53,5pfqedkme2kabtqhkln35pf3l,1,57.9,69.7,2023-02-06T15:23:51.528Z,2023-02-07T06:47:54Z,,,,,,,,,,,,,,,,,,,,,,,,,fjnzx6b57qsj6o7hdm6r0mhh,P. Coutts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900205,16,43,1,0,54,8w89tsles26jm12aoelwvlttt,1,0,0,2023-02-06T15:23:52.642Z,2023-02-06T15:24:12Z,4017382095,140,38.6,4017382101,213,0.2,4017382097,141,31.9,4017382093,56,Back,4017382099,212,8.8,4017382735,144,1,,,,,,,8uch2zjj8vxmfi2l544j5ipxx,J. McEachran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900229,13,1,1,0,54,5pfqedkme2kabtqhkln35pf3l,1,57.9,69.7,2023-02-06T15:23:52.707Z,2023-02-07T06:47:59Z,4017382317,141,16.5,4017382313,56,Right,4017382321,213,5.0,4017382319,212,37.6,4017382315,140,67.5,4018385639,178,,4017382323,1,,,,,fjnzx6b57qsj6o7hdm6r0mhh,P. Coutts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900237,14,1,1,0,59,5pfqedkme2kabtqhkln35pf3l,1,67.3,15.5,2023-02-06T15:23:57.667Z,2023-02-07T06:48:08Z,4018385735,178,,4017382375,140,62.6,4017382381,213,2.0,4017382373,56,Center,4017382377,141,29.5,4017382379,212,10.7,,,,,,,c651trgr0pihuppxxd31z6go9,J. Gibbons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900249,15,1,1,1,1,5pfqedkme2kabtqhkln35pf3l,1,62.6,29.5,2023-02-06T15:23:59.431Z,2023-02-07T06:48:14Z,4017382465,56,Center,4017382471,212,7.8,4018385817,178,,4017382467,140,67.5,4017382473,213,0.9,4017382469,141,38.2,,,,,,,3pxdg41xbkbajeuxovusa2v9x,G. Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900253,16,1,1,1,2,5pfqedkme2kabtqhkln35pf3l,1,59.8,32.4,2023-02-06T15:24:01.130Z,2023-02-07T06:48:21Z,4017382507,140,41.2,4017382511,212,22.7,4018385885,178,,4017382509,141,15.5,4017382505,56,Back,4017382513,213,3.7,,,,,,,bdquc37ytagmw19zgrehnryz9,A. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900257,17,1,1,1,5,5pfqedkme2kabtqhkln35pf3l,1,37.6,11.2,2023-02-06T15:24:04.027Z,2023-02-07T06:48:24Z,4017382583,213,2.2,4017382577,140,23.5,4018385927,178,,4017382579,141,39.0,4017382581,212,24.0,4017382575,56,Back,,,,,,,c4hif6j7tldh0w7oeq8v9pcve,J. Quansah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900267,18,1,1,1,9,5pfqedkme2kabtqhkln35pf3l,1,22.1,40.4,2023-02-06T15:24:07.746Z,2023-02-07T06:48:32Z,4017382663,56,Back,4017382667,141,66.6,4018385993,178,,4017382669,212,17.8,4017382665,140,22.4,4017382671,213,1.6,,,,,,,6axta520v9f4z56hctbq3a4mh,E. Balcombe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
