id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,assist,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/13/value,qualifier/15/value,keyPass,qualifier/18/value,qualifier/19/value,qualifier/21/id,qualifier/21/qualifierId
2499171571,12,1,1,0,40,9db4t34qy4owglhvvgwf5l22i,1,34.9,42.2,2023-01-21T15:03:39.582Z,2023-01-24T02:28:20Z,3987392627,213,4.8,3987392619,56,Back,3987392625,212,17.2,3987392623,141,17.1,3992627587,178,,3987392621,140,36.5,,,,,,,49ca952ot1c3ytut2s281ds6h,M. Andersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499171583,13,1,1,0,42,9db4t34qy4owglhvvgwf5l22i,0,27.3,15.1,2023-01-21T15:03:41.361Z,2023-01-24T02:28:28Z,3992007569,236,,3992522637,233,16,3992007571,286,,3992007547,141,13.7,3992007549,212,2.5,3987392677,56,Back,3992007545,140,29.5,3992007551,213,5.9,4nm1tx8buxym4bf9f2pti2fhl,J. Williams,3992627705,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499171639,16,74,1,0,42,5qwskbjpa17fvmtuu5qijy7cz,1,69,84.3,2023-01-21T15:03:41.405Z,2023-01-24T02:28:35Z,3987392945,56,Left,3992522641,233,13,3992007583,285,,3992627807,178,,,,,,,,,,,,,,8i4qnoil4877e0wpwx3fj5b10,T. Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499172039,14,5,1,0,43,9db4t34qy4owglhvvgwf5l22i,1,31,-1.6,2023-01-21T15:03:42.725Z,2023-01-24T02:28:40Z,3987394807,347,,3987394823,233,17,3987394805,56,Back,,,,,,,,,,,,,,,,4nm1tx8buxym4bf9f2pti2fhl,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499171647,17,5,1,0,43,5qwskbjpa17fvmtuu5qijy7cz,0,69,101.6,2023-01-21T15:03:42.725Z,2023-01-24T02:28:40Z,3987392983,347,,3987394875,233,14,3987392979,56,Left,,,,,,,,,,,,,,,,8i4qnoil4877e0wpwx3fj5b10,T. Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499172165,15,1,1,0,59,9db4t34qy4owglhvvgwf5l22i,0,37.6,0,2023-01-21T15:03:58.303Z,2023-01-24T02:28:44Z,3987395325,140,70.5,3987395327,141,9.4,3987395329,212,35.3,3987395319,107,,3987395323,56,Right,3987395333,1,,3987395331,213,0.2,,,,5raent8a0bdt01n7769n3dw16,B. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499172213,18,44,1,1,2,5qwskbjpa17fvmtuu5qijy7cz,1,27,89.2,2023-01-21T15:04:01.813Z,2023-01-24T06:49:12Z,3987395565,56,Back,3987395583,233,16,3987395567,285,,,,,,,,,,,,,,,,,74x5iaolqfr7r3on2uuriooyy,D. Tharme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499172183,16,44,1,1,2,9db4t34qy4owglhvvgwf5l22i,0,73,10.8,2023-01-21T15:04:01.814Z,2023-01-24T02:28:53Z,3987395605,233,18,3987395421,286,,3987395419,56,Right,,,,,,,,,,,,,,,,878xi84rsiw5uj1doiy894lwp,J. Aitchison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499172223,19,12,1,1,2,5qwskbjpa17fvmtuu5qijy7cz,1,23.3,87.4,2023-01-21T15:04:01.991Z,2023-01-24T06:49:13Z,3987395679,167,,3987395613,56,Back,3987395623,212,9.9,3987395619,141,100.0,3987395617,140,24.4,3987395627,213,1.5,3987395763,15,,3992627983,388,,74x5iaolqfr7r3on2uuriooyy,D. Tharme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499172295,17,5,1,1,3,9db4t34qy4owglhvvgwf5l22i,1,72.6,-1.8,2023-01-21T15:04:02.628Z,2023-01-24T02:29:02Z,3987396069,233,20,3987396027,347,,3987396025,56,Right,,,,,,,,,,,,,,,,1r9aj50371x6f0xf7mmvldz9x,J. Norwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499172231,20,5,1,1,3,5qwskbjpa17fvmtuu5qijy7cz,0,27.4,101.8,2023-01-21T15:04:02.628Z,2023-01-24T02:29:03Z,3987395643,56,Back,3987396111,233,17,3987395645,347,,,,,,,,,,,,,,,,,74x5iaolqfr7r3on2uuriooyy,D. Tharme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499172613,18,1,1,1,16,9db4t34qy4owglhvvgwf5l22i,1,67.2,0,2023-01-21T15:04:15.342Z,2023-01-24T02:29:10Z,3987397627,213,0.4,3987397617,107,,3987397619,56,Right,3987397625,212,15.8,3987397623,141,7.1,3987397621,140,81.2,,,,,,,5raent8a0bdt01n7769n3dw16,B. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499172671,19,1,1,1,20,9db4t34qy4owglhvvgwf5l22i,0,95.3,5.5,2023-01-21T15:04:19.941Z,2023-01-24T02:29:14Z,3987397905,155,,3987397911,141,36.3,3987397913,212,21.3,3992007723,225,,3987397909,140,91.5,3992628135,178,,3987397907,56,Center,3992007727,20,,1r9aj50371x6f0xf7mmvldz9x,J. Norwood,3987397915,213,1.8,3987397903,2,3992007725,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499172851,21,12,1,1,22,5qwskbjpa17fvmtuu5qijy7cz,1,8.5,61.1,2023-01-21T15:04:21.153Z,2023-01-24T02:29:21Z,3987398739,140,43.4,3992628187,178,,3987398745,141,93.3,3987398733,56,Back,3987398747,212,42.7,3987398749,213,0.5,,,,,,,74x5iaolqfr7r3on2uuriooyy,D. Tharme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499172845,20,1,1,1,26,9db4t34qy4owglhvvgwf5l22i,0,68.5,5.8,2023-01-21T15:04:25.843Z,2023-01-24T02:29:30Z,3987398703,56,Right,3987398701,3,,3992628265,178,,3987398705,140,72.5,3987398711,213,5.4,3987398707,141,0.0,3987398709,212,6.4,,,,49ca952ot1c3ytut2s281ds6h,M. Andersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499172857,21,5,1,1,27,9db4t34qy4owglhvvgwf5l22i,0,65.8,-1.2,2023-01-21T15:04:26.960Z,2023-01-24T02:29:33Z,3987398757,347,,3987400917,233,22,3987398753,56,Right,,,,,,,,,,,,,,,,49ca952ot1c3ytut2s281ds6h,M. Andersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499173275,22,5,1,1,27,5qwskbjpa17fvmtuu5qijy7cz,1,34.2,101.2,2023-01-21T15:04:26.960Z,2023-01-24T02:29:33Z,3987400857,233,21,3987400839,347,,3987400837,56,Back,,,,,,,,,,,,,,,,74x5iaolqfr7r3on2uuriooyy,D. Tharme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499173317,23,1,1,1,43,5qwskbjpa17fvmtuu5qijy7cz,0,41,100,2023-01-21T15:04:42.757Z,2023-01-24T02:29:37Z,3987401079,1,,3987401077,213,6.1,3987401075,212,33.1,3987401067,107,,3987401069,56,Left,3987401071,140,71.7,3987401073,141,90.2,,,,74x5iaolqfr7r3on2uuriooyy,D. Tharme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499173351,22,1,1,1,46,9db4t34qy4owglhvvgwf5l22i,0,34.4,10.3,2023-01-21T15:04:45.032Z,2023-01-24T02:29:44Z,3987401283,141,7.3,3987401275,56,Back,3987401273,3,,3992628353,388,,3987401279,140,44.6,3987401287,212,10.9,3987401289,213,6.1,,,,5raent8a0bdt01n7769n3dw16,B. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499173401,24,1,1,1,47,5qwskbjpa17fvmtuu5qijy7cz,0,57.6,88.4,2023-01-21T15:04:46.520Z,2023-01-24T02:29:47Z,3987401509,141,88.1,3987401507,140,71.7,3987401505,56,Left,3987401511,212,14.8,3987401513,213,6.3,3992628391,388,,3987401503,3,,,,,6ipjgy0ewyx7mnmolu0pp0mw9,L. Coyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499173435,23,1,1,1,49,9db4t34qy4owglhvvgwf5l22i,0,34,14.6,2023-01-21T15:04:48.550Z,2023-01-24T02:29:52Z,3987401679,212,12.5,3987401677,141,7.4,3987401675,140,45.0,3987401669,3,,3992628425,388,,3987401681,213,5.9,3987401673,56,Back,,,,4nm1tx8buxym4bf9f2pti2fhl,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499173465,25,1,1,1,51,5qwskbjpa17fvmtuu5qijy7cz,0,57.6,90,2023-01-21T15:04:50.427Z,2023-01-24T02:29:57Z,3987401831,141,89.7,3987401833,212,11.7,3987401835,213,6.3,3987401829,140,68.7,3987401827,56,Left,3987401825,3,,3992628467,388,,,,,a2g77lv071rnz76ujh30364tl,H. Rodgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499173533,24,49,1,1,51,9db4t34qy4owglhvvgwf5l22i,1,42,11.3,2023-01-21T15:04:50.997Z,2023-01-24T02:30:06Z,,,,,,,,,,,,,,,,,,,,,,,,,cruhiz25b3bbd4unocpu9bvf9,A. Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499173601,25,1,1,1,52,9db4t34qy4owglhvvgwf5l22i,0,42,11.3,2023-01-21T15:04:51.671Z,2023-01-24T02:30:12Z,3987402491,212,61.1,3987402493,213,1.2,3987402481,155,,3992628567,178,,3987402483,196,,3987402495,1,,3987402489,141,94.8,3987402487,140,63.6,cruhiz25b3bbd4unocpu9bvf9,A. Phillips,3987402485,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499173589,26,49,1,1,55,5qwskbjpa17fvmtuu5qijy7cz,1,39.7,17.4,2023-01-21T15:04:54.054Z,2023-01-24T02:30:35Z,,,,,,,,,,,,,,,,,,,,,,,,,20z2xkmqc3em5dol00ko4sp62,S. Quirk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499173777,27,1,1,2,1,5qwskbjpa17fvmtuu5qijy7cz,1,29.5,5.6,2023-01-21T15:05:00.941Z,2023-01-24T02:30:42Z,3987403403,212,14.7,3987403399,140,38.5,3987403401,141,22.1,3987403397,56,Back,3987403407,213,0.9,3992628779,178,,,,,,,,20z2xkmqc3em5dol00ko4sp62,S. Quirk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
