id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2511979709,11,1,1,0,50,dv9l02o316cd9hbkxaho2u12f,1,54.2,8.5,2023-02-25T15:02:03.946Z,2023-02-28T01:59:39Z,4054685241,213,3.4,4054685229,56,Back,4062764005,178,,4054685237,141,4.4,4054685233,140,42.0,4054685239,212,13.1,,,,,,,enfxh6b65c9hx1rs0scszi2y2,H. Kite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511979747,12,1,1,0,51,dv9l02o316cd9hbkxaho2u12f,0,39.9,7,2023-02-25T15:02:04.874Z,2023-02-28T02:05:24Z,4054685455,213,0.1,4054685451,141,11.3,4054685445,155,,4054685457,1,,4054685447,56,Right,4054685453,212,33.2,4054685449,140,71.4,4062766885,178,,35f2se8cf2zmpxl45zulorpat,W. Aimson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511979877,11,1,1,0,53,dmz37633qbsvl7gncq5s51yjw,1,26.6,89.4,2023-02-25T15:02:06.785Z,2023-02-28T02:05:32Z,4054686105,3,,4054686125,213,5.6,4054686121,212,17.8,4062766981,388,,4054686117,141,72.4,4054686109,56,Back,4054686113,140,39.5,,,,9c3iyi7y3hdraso115kxmd87p,L. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511979965,12,1,1,0,55,dmz37633qbsvl7gncq5s51yjw,1,39.5,72.4,2023-02-25T15:02:09.328Z,2023-02-28T02:05:38Z,4054686499,213,3.5,4054686493,140,23.1,4054686497,212,18.3,4062767077,388,,4054686489,3,,4054686495,141,63.4,4054686491,56,Back,,,,b6ctnwazqrxkw1639gn3vbahh,C. McGrandles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511980027,13,1,1,0,57,dmz37633qbsvl7gncq5s51yjw,1,23,57.3,2023-02-25T15:02:11.268Z,2023-02-28T02:05:46Z,4054686825,140,27.1,4054686821,3,,4054686829,212,12.3,4062767181,388,,4054686823,56,Back,4054686827,141,40.3,4054686831,213,5.1,,,,asy3qn4557iy3r55yl4v9xj9x,M. Morrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511980063,14,1,1,0,58,dmz37633qbsvl7gncq5s51yjw,0,27.9,38,2023-02-25T15:02:12.368Z,2023-02-28T02:07:01Z,4054687011,212,30.8,4054687005,56,Back,4054688267,157,,4054688269,1,,4054687007,140,42.3,4054687009,141,0.0,4054687013,213,5.2,4062767849,178,,58yhuku61yc06xpc55v5cdtec,L. Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981021,13,5,1,1,2,dv9l02o316cd9hbkxaho2u12f,1,59.2,101.6,2023-02-25T15:02:15.784Z,2023-02-28T02:07:03Z,4054691541,347,,4054691539,56,Left,4054691603,233,15,,,,,,,,,,,,,,,,3j78tgfptah530cydckvfsauh,A. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511980077,15,5,1,1,2,dmz37633qbsvl7gncq5s51yjw,0,40.8,-1.6,2023-02-25T15:02:15.784Z,2023-02-28T02:07:03Z,4054691651,233,13,4054687069,347,,4054687065,56,Back,,,,,,,,,,,,,,,,58yhuku61yc06xpc55v5cdtec,L. Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981261,14,1,1,1,26,dv9l02o316cd9hbkxaho2u12f,1,62.8,100,2023-02-25T15:02:40.320Z,2023-02-28T02:07:09Z,4054692601,140,45.7,4054692603,141,88.1,4054692613,213,3.6,4054692607,212,20.3,4054692599,56,Back,4054692597,107,,,,,,,,eg2xijdgtcaa44x57pjezy3ft,A. Hartridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981403,15,1,1,1,31,dv9l02o316cd9hbkxaho2u12f,1,38.3,80.9,2023-02-25T15:02:45.129Z,2023-02-28T02:07:20Z,4054693279,140,14.0,4054693277,56,Back,4054693285,213,3.9,4062768055,178,,4054693281,141,45.8,4054693283,212,34.9,4054693287,1,,,,,ec2bbo1w8byyuk15u9xrbzmqd,K. McDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
