id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2473617255,9,1,1,0,49,2ezfenuwk3y65p8jdbj55xqt0,1,76.3,73.8,2022-10-17T19:01:32.050Z,2022-10-20T05:35:56Z,3852644993,213,2.8,3852644989,141,79.4,3857397747,178,,3852644985,56,Left,3852644991,212,11.1,3852644987,140,66.4,,,,,,,1uqgky0sxqjs8bqd2h75rnmjt,C. Kirk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617245,7,43,1,0,50,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2022-10-17T19:01:32.748Z,2022-10-17T19:01:59Z,3852644925,3,0,3852644933,212,7.5,3852644927,56,Center,3852645619,144,1,3852644935,213,6.3,3852644929,140,76.3,3852644931,141,73.8,,,,6a08s0d0sgt7iw37spmo4bro5,S. Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617247,8,43,1,0,51,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2022-10-17T19:01:33.955Z,2022-10-17T19:01:50Z,3852645421,144,49,,,,,,,,,,,,,,,,,,,,,,1uqgky0sxqjs8bqd2h75rnmjt,C. Kirk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617263,10,1,1,0,52,2ezfenuwk3y65p8jdbj55xqt0,1,66.4,79.4,2022-10-17T19:01:34.946Z,2022-10-20T05:36:00Z,3852645021,141,93.0,3852645019,140,74.5,3857397813,178,,3852645025,213,0.8,3852645017,56,Left,3852645023,212,12.6,,,,,,,6a08s0d0sgt7iw37spmo4bro5,S. Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617271,11,1,1,0,53,2ezfenuwk3y65p8jdbj55xqt0,1,74.5,93,2022-10-17T19:01:36.463Z,2022-10-20T05:36:04Z,3852645067,56,Left,3852645073,212,9.9,3857397849,178,,3852645071,141,92.4,3852645069,140,65.1,3852645075,213,3.2,,,,,,,4qrvri86m93wpyugq0zq4aaqx,C. Blackett-Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617279,12,1,1,0,55,2ezfenuwk3y65p8jdbj55xqt0,1,65.1,92.4,2022-10-17T19:01:37.856Z,2022-10-20T05:36:05Z,3857397893,178,,3852645107,56,Center,3852645111,141,76.0,3852645109,140,68.1,3852645115,213,5.0,3852645113,212,11.6,,,,,,,6a08s0d0sgt7iw37spmo4bro5,S. Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617281,13,61,1,0,55,2ezfenuwk3y65p8jdbj55xqt0,0,68.1,76,2022-10-17T19:01:38.356Z,2022-10-20T05:36:08Z,3857397931,178,,3852645123,56,Center,,,,,,,,,,,,,,,,,,,56g3fffeygobuei72gnkm9a09,S. Sessegnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617293,14,49,1,0,57,80jtkz2echk6yyyb9e2595cxr,1,39.2,34.2,2022-10-17T19:01:40.067Z,2022-10-20T05:36:10Z,,,,,,,,,,,,,,,,,,,,,,,,,33h8s55zcj0j535g2dyz9tnqi,D. Scarlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473847197,768,3,1,0,58,80jtkz2echk6yyyb9e2595cxr,0,40.6,26.8,2022-10-17T19:01:41.319Z,2022-10-20T05:36:14Z,3853820553,464,,3857398045,178,,3853820441,56,Back,3853820555,467,egr5n9jynbg3llc2tn2g5ncnp,3853820443,286,,,,,,,,,,,33h8s55zcj0j535g2dyz9tnqi,D. Scarlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617325,15,4,1,0,58,80jtkz2echk6yyyb9e2595cxr,1,36.3,34.5,2022-10-17T19:01:41.477Z,2022-10-20T05:36:19Z,3852645351,13,,3852645357,152,,3852646333,265,,3852645355,56,Back,3852645365,233,14,3852645359,286,,,,,,,,33h8s55zcj0j535g2dyz9tnqi,D. Scarlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617297,14,4,1,0,58,2ezfenuwk3y65p8jdbj55xqt0,0,63.7,65.5,2022-10-17T19:01:41.478Z,2022-10-20T05:36:19Z,3852645225,265,,3852645221,56,Center,3852645227,285,,3852645219,13,,3852645383,233,15,3852645223,152,,3857398147,178,,,,,egr5n9jynbg3llc2tn2g5ncnp,G. Dobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617381,16,1,1,1,15,80jtkz2echk6yyyb9e2595cxr,0,38.6,31.6,2022-10-17T19:01:58.008Z,2022-10-20T05:36:21Z,3852645721,213,1.3,3852645727,189,,3852645713,56,Back,3852645719,212,37.5,3852645711,152,,3852645717,141,85.4,3852645723,1,,3857398205,178,,cn988bjn09tb806b05wgp7ys5,S. Raggett,3852645709,155,,3852645707,5,3852645715,140,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617413,17,4,1,1,18,80jtkz2echk6yyyb9e2595cxr,1,47.2,88,2022-10-17T19:02:01.049Z,2022-10-20T05:36:29Z,3853821287,189,,3852645893,286,,3852645889,56,Back,3852645891,152,,3852645887,294,,3852645895,233,15,3852645885,13,,,,,307tfvtl56s1rf61x8kjevjzd,J. Koroma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617393,15,4,1,1,18,2ezfenuwk3y65p8jdbj55xqt0,0,52.8,12,2022-10-17T19:02:01.050Z,2022-10-20T05:36:29Z,3852645903,233,17,3852645789,13,,3852645793,56,Right,3852645791,294,,3853821309,189,,3852645797,285,,3852645795,152,,3857398285,178,,dsvr61cfalun7n0y262elcrth,M. Egbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617443,18,1,1,1,27,80jtkz2echk6yyyb9e2595cxr,1,44.1,90.2,2022-10-17T19:02:10.314Z,2022-10-20T05:36:35Z,3852646045,141,67.6,3852646047,212,31.1,3852646041,56,Center,3852646039,152,,3852646037,5,,3852646043,140,69.8,3857398377,178,,3852646049,213,5.8,dypefa5ubw9m9xefxdd4365lh,M. Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473847631,769,3,1,1,29,80jtkz2echk6yyyb9e2595cxr,0,70.1,70.3,2022-10-17T19:02:12.063Z,2022-10-20T05:36:41Z,3853822353,464,,3853822347,56,Center,3857398477,178,,3853822351,286,,3853822349,211,,,,,,,,,,,33h8s55zcj0j535g2dyz9tnqi,D. Scarlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617433,16,49,1,1,30,2ezfenuwk3y65p8jdbj55xqt0,1,34.7,16.1,2022-10-17T19:02:13.694Z,2022-10-20T05:36:47Z,,,,,,,,,,,,,,,,,,,,,,,,,6a08s0d0sgt7iw37spmo4bro5,S. Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617439,17,1,1,1,32,2ezfenuwk3y65p8jdbj55xqt0,1,34.7,16.1,2022-10-17T19:02:15.264Z,2022-10-20T05:36:52Z,3852646017,141,18.6,3857398627,178,,3852646015,140,55.4,3852646019,212,21.8,3852646013,56,Right,3852646021,213,0.1,,,,,,,6a08s0d0sgt7iw37spmo4bro5,S. Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617445,18,1,1,1,33,2ezfenuwk3y65p8jdbj55xqt0,0,55.4,18.6,2022-10-17T19:02:15.861Z,2022-10-20T05:36:56Z,3852646053,140,59.0,3852646059,213,5.0,3857398689,178,,3852646055,141,0.0,3852646057,212,14.1,3852646051,56,Right,,,,,,,74p53a79q1tlis3a3gladqor9,J. Stockley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474516421,805,67,1,1,34,80jtkz2echk6yyyb9e2595cxr,1,41.8,88,2022-10-17T19:02:16.875Z,2022-10-20T06:27:44Z,3857423725,233,793,,,,,,,,,,,,,,,,,,,,,,f1g68yocf85lxkf17pt2j7v85,C. Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474516415,793,67,1,1,34,2ezfenuwk3y65p8jdbj55xqt0,0,58.2,12,2022-10-17T19:02:16.876Z,2022-10-20T06:01:19Z,3857423729,233,805,,,,,,,,,,,,,,,,,,,,,,ald5oocxwh4pip8fw6v3ym8h6,J. Rak-Sakyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617465,19,8,1,1,34,80jtkz2echk6yyyb9e2595cxr,1,43,89,2022-10-17T19:02:16.885Z,2022-10-20T06:27:44Z,3852646111,56,Back,3853822467,384,,3857398745,178,,,,,,,,,,,,,,,,,f1g68yocf85lxkf17pt2j7v85,C. Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617449,19,43,1,1,34,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2022-10-17T19:02:17.120Z,2022-10-17T19:02:27Z,3852646073,56,Right,3852646075,347,0,3852646289,144,5,,,,,,,,,,,,,,,,74p53a79q1tlis3a3gladqor9,J. Stockley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473617479,20,5,1,1,36,80jtkz2echk6yyyb9e2595cxr,0,68.1,101.6,2022-10-17T19:02:19.053Z,2022-10-20T05:37:02Z,3852646151,347,,3852646387,233,20,3852646149,56,Left,,,,,,,,,,,,,,,,f1g68yocf85lxkf17pt2j7v85,C. Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
