id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,keyPass,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,assist,qualifier/18/value
2485286075,6,1,1,0,45,b496gs285it6bheuikox6z9mj,1,10.1,44.9,2022-11-13T14:02:36.593Z,2022-11-13T19:51:56Z,3914041303,56,Back,3914041311,213,0.6,3914041307,141,59.7,3914041305,140,25.3,3914041309,212,18.9,3915504265,178,,,,,,,,3zl1q2gk6tdmzirsyfgm38no5,E. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485563995,710,67,1,0,47,b496gs285it6bheuikox6z9mj,1,23.9,56.8,2022-11-13T14:02:38.040Z,2022-11-13T20:40:57Z,3915542197,233,948,,,,,,,,,,,,,,,,,,,,,,7j84ozqdpgupzxevbxemi5tyh,Douglas Luiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485563989,948,67,1,0,47,e5p0ehyguld7egzhiedpdnc3w,0,76.1,43.2,2022-11-13T14:02:38.041Z,2022-11-13T20:08:54Z,3915542201,233,710,,,,,,,,,,,,,,,,,,,,,,am6ppbdrbz4ml3xsbty53o73d,A. Mac Allister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485286085,7,61,1,0,47,b496gs285it6bheuikox6z9mj,0,23.7,59.6,2022-11-13T14:02:38.174Z,2022-11-13T20:40:58Z,3914041357,56,Back,3915504547,178,,,,,,,,,,,,,,,,,,,,7j84ozqdpgupzxevbxemi5tyh,Douglas Luiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485286155,8,51,1,0,47,b496gs285it6bheuikox6z9mj,1,23.7,59.6,2022-11-13T14:02:38.807Z,2022-11-13T19:52:06Z,3914041699,170,,,,,,,,,,,,,,,,,,,,,,,7j84ozqdpgupzxevbxemi5tyh,Douglas Luiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485286099,16,49,1,0,48,e5p0ehyguld7egzhiedpdnc3w,1,83.1,45.7,2022-11-13T14:02:39.639Z,2022-11-13T19:52:30Z,,,,,,,,,,,,,,,,,,,,,,,,,am6ppbdrbz4ml3xsbty53o73d,A. Mac Allister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485286185,17,16,1,0,49,e5p0ehyguld7egzhiedpdnc3w,1,85.1,44.9,2022-11-13T14:02:40.715Z,2022-11-13T19:52:14Z,3914046153,103,12.7,3914895039,395,95.2,3914046149,102,51.0,3914046155,214,,3914042381,375,00:49.119,3914046157,328,,3914042373,20,,3914041821,22,,am6ppbdrbz4ml3xsbty53o73d,A. Mac Allister,3914041823,17,3915505019,178,3914046159,458,3914041825,56,Center,3914046147,78,3914046161,230,95.2,3914046163,231,49.3,3914895043,396,50.5,3914042377,374,2022-11-13 14:02:40.098,,,,,,,,,,,,,,,,,,,,
2485287623,9,1,1,1,57,b496gs285it6bheuikox6z9mj,1,50.1,49.5,2022-11-13T14:03:48.797Z,2022-11-13T19:52:49Z,3915506299,178,,3914048465,56,Back,3914048469,141,59.0,3914049301,189,,3914048475,279,G,3914048467,140,41.5,3914048473,213,2.5,3914048471,212,11.1,ashza2qkgnak7wb3vuz5bnzyt,D. Ings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485448165,697,1,1,2,0,b496gs285it6bheuikox6z9mj,1,38.2,60.8,2022-11-13T14:03:51.609Z,2022-11-13T19:52:53Z,3914897563,189,,3914897573,213,1.9,3915506419,178,,3914897571,212,5.6,3914897565,56,Back,3914897569,141,68.6,3914897567,140,36.5,,,,7j84ozqdpgupzxevbxemi5tyh,Douglas Luiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485287657,10,1,1,2,2,b496gs285it6bheuikox6z9mj,1,40.5,70.9,2022-11-13T14:03:53.548Z,2022-11-13T19:53:00Z,3914048633,212,13.5,3914048627,56,Back,3914048631,141,88.1,3914048629,140,34.0,3915506711,178,,3914048635,213,2.1,,,,,,,bhsh1n3qfg8awmctxlh8k7yzt,J. Ramsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
