id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/11/value,keyPass,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2484856101,10,44,1,2,14,7vn2i2kd35zuetw6b38gw9jsz,1,73.2,36.8,2022-11-12T17:34:15.237Z,2022-11-13T04:59:22Z,3911810329,286,,3911810327,56,Center,3911810335,233,11,,,,,,,,,,,,,,,,bijr1ghojrxc61se7ebt72f9x,M. Almirón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856095,11,44,1,2,14,9q0arba2kbnywth8bkxlhgmdr,0,26.8,63.2,2022-11-12T17:34:15.238Z,2022-11-13T01:54:29Z,3911810343,233,10,3911810299,56,Back,3911810301,285,,,,,,,,,,,,,,,,,6e6ttu4unqctb2addbnp5cyga,A. Broja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856161,11,1,1,2,14,7vn2i2kd35zuetw6b38gw9jsz,1,71.7,37.3,2022-11-12T17:34:15.260Z,2022-11-13T04:59:22Z,3911810461,212,12.3,3912905821,178,,3911810459,141,55.0,3911810463,213,1.8,3911810455,56,Center,3911810457,140,69.4,3911810453,3,,,,,bijr1ghojrxc61se7ebt72f9x,M. Almirón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856171,12,1,1,2,16,7vn2i2kd35zuetw6b38gw9jsz,1,68.2,55.5,2022-11-12T17:34:17.504Z,2022-11-13T01:54:44Z,3911810529,213,3.2,3911810525,141,54.0,3911810521,56,Center,3912905887,178,,3911810527,212,13.7,3911810523,140,55.2,,,,,,,4jwkz8almo2997hvp09zl0p9l,S. Botman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856199,13,1,1,2,20,7vn2i2kd35zuetw6b38gw9jsz,1,57.8,52,2022-11-12T17:34:20.731Z,2022-11-13T01:54:46Z,3911810685,213,5.4,3911810681,141,35.3,3911810679,140,67.4,3911810683,212,15.2,3912905929,178,,3911810677,56,Center,,,,,,,72m84nwa6dshu3ibmy13dz5rd,Bruno Guimarães,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856215,14,1,1,2,21,7vn2i2kd35zuetw6b38gw9jsz,1,67.4,35.3,2022-11-12T17:34:22.576Z,2022-11-13T01:54:52Z,3911810767,56,Right,3911810775,213,5.1,3911810771,141,13.9,3911810773,212,15.7,3911810769,140,72.9,3912905993,178,,,,,,,,9pv566tidfz21e00y4t0mbap5,S. Longstaff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856221,15,1,1,2,25,7vn2i2kd35zuetw6b38gw9jsz,0,72.9,13.9,2022-11-12T17:34:25.798Z,2022-11-13T01:54:55Z,3912906031,178,,3911810809,141,36.4,3911810815,213,0.7,3911810803,155,,3912418035,224,,3911810807,140,89.2,3911810801,2,,3911810805,56,Center,dxxc4dioaioidmvamkzqr4b85,F. Schär,3912418037,20,,3911810813,212,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,
2484856229,12,12,1,2,25,9q0arba2kbnywth8bkxlhgmdr,1,10.8,58.5,2022-11-12T17:34:26.685Z,2022-11-13T01:55:01Z,3911810891,15,,3912906097,178,,3911810855,212,22.7,3911810851,140,21.1,3911810857,213,1.1,3911810853,141,87.9,3911810849,56,Back,,,,b1srdmp4cmwl9k768h8a2ixn9,K. Koulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856253,13,49,1,2,27,9q0arba2kbnywth8bkxlhgmdr,1,21.4,88.4,2022-11-12T17:34:27.884Z,2022-11-13T01:55:08Z,,,,,,,,,,,,,,,,,,,,,,,,,8nh6qf9i1d0qw7nx4wk25qzth,M. Mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856273,14,1,1,2,28,9q0arba2kbnywth8bkxlhgmdr,1,22.1,87,2022-11-12T17:34:29.603Z,2022-11-13T01:55:16Z,3911811033,56,Back,3911811037,141,82.2,3911811035,140,18.4,3912906315,178,,3911811039,212,5.1,3911811041,213,3.8,,,,,,,8nh6qf9i1d0qw7nx4wk25qzth,M. Mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856295,15,1,1,2,29,9q0arba2kbnywth8bkxlhgmdr,1,18.4,82.2,2022-11-12T17:34:30.583Z,2022-11-13T01:55:22Z,3911811169,213,2.1,3912906381,178,,3911811167,212,7.2,3911811163,140,14.7,3911811165,141,91.1,3911811161,56,Back,,,,,,,9id859f7xnqwj0jazjzkbjzdh,Jorginho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
