id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/15/value,assist,qualifier/20/value
2478767563,172,61,1,0,26,b496gs285it6bheuikox6z9mj,1,10.3,11.8,2022-10-29T14:00:56.492Z,2022-10-29T22:42:21Z,3882002225,178,,3879922303,56,Back,,,,,,,,,,,,,,,,,,,1e9txzr9hqz94xtun6byo0vs9,M. Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721323,8,12,1,0,28,b496gs285it6bheuikox6z9mj,1,14.5,39.2,2022-10-29T14:00:58.137Z,2022-10-29T22:42:26Z,3879914711,141,12.4,3879914717,213,4.7,3879915097,15,,3879665027,56,Back,3879914713,212,18.2,3882002369,388,,3879914709,140,14.5,,,,4jyrztlaueae7eg18kuvxa489,L. Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721341,13,61,1,0,30,7vn2i2kd35zuetw6b38gw9jsz,1,85.8,88.6,2022-10-29T14:00:59.962Z,2022-10-29T22:42:41Z,3879665085,56,Left,3882002693,178,,,,,,,,,,,,,,,,,,,,6f1ljb0an6d0g4nbap6xgxsyd,D. Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721431,14,50,1,0,32,7vn2i2kd35zuetw6b38gw9jsz,1,88.6,97.2,2022-10-29T14:01:02.503Z,2022-10-29T22:43:00Z,3879665403,286,,3879665501,233,9,3879665401,56,Left,,,,,,,,,,,,,,,,c589fk8pfqvbukvtdqu1yhjv9,Joelinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721439,9,7,1,0,33,b496gs285it6bheuikox6z9mj,1,11.4,2.8,2022-10-29T14:01:03.154Z,2022-10-29T22:43:06Z,3879665457,233,14,3879665443,285,,3879665439,167,,3882003361,178,,3881056981,385,,3879665441,56,Back,,,,,,,1e9txzr9hqz94xtun6byo0vs9,M. Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721449,10,5,1,0,33,b496gs285it6bheuikox6z9mj,0,10.8,-0.7,2022-10-29T14:01:03.257Z,2022-10-29T22:43:11Z,3879665485,56,Back,3879665743,233,15,3879665487,347,,,,,,,,,,,,,,,,,1e9txzr9hqz94xtun6byo0vs9,M. Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721507,15,5,1,0,33,7vn2i2kd35zuetw6b38gw9jsz,1,89.2,100.7,2022-10-29T14:01:03.257Z,2022-10-29T22:43:10Z,3879665655,347,,3879665651,56,Left,3879665699,233,10,,,,,,,,,,,,,,,,c589fk8pfqvbukvtdqu1yhjv9,Joelinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721789,16,1,1,0,46,7vn2i2kd35zuetw6b38gw9jsz,1,88.4,100,2022-10-29T14:01:15.910Z,2022-10-29T22:43:26Z,3879666939,213,5.7,3879666933,140,95.7,3879666937,212,9.3,3879666929,107,,3879666931,56,Left,3879666935,141,93.2,,,,,,,6f1ljb0an6d0g4nbap6xgxsyd,D. Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721829,17,1,1,0,46,7vn2i2kd35zuetw6b38gw9jsz,1,95.7,93.3,2022-10-29T14:01:16.621Z,2022-10-29T22:43:34Z,3879667063,56,Left,3882004201,178,,3879667071,213,2.9,3879667067,141,94.8,3879667065,140,91.6,3879667069,212,4.4,,,,,,,c589fk8pfqvbukvtdqu1yhjv9,Joelinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721839,18,3,1,0,47,7vn2i2kd35zuetw6b38gw9jsz,0,87.7,94.6,2022-10-29T14:01:17.702Z,2022-10-29T22:43:40Z,3879667109,56,Left,3879667669,233,11,3879667111,286,,3881059343,465,,3882004337,178,,,,,,,,,,,6f1ljb0an6d0g4nbap6xgxsyd,D. Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721935,11,7,1,0,48,b496gs285it6bheuikox6z9mj,1,12.3,5.4,2022-10-29T14:01:17.857Z,2022-10-29T22:43:52Z,3881059669,383,,3879667497,56,Back,3882004703,178,,3879667499,285,,3879667549,233,18,,,,,,,,,,1emj0rlthc8syfleox4c39kut,L. Dendoncker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721943,12,49,1,0,49,b496gs285it6bheuikox6z9mj,1,18.4,6.8,2022-10-29T14:01:19.477Z,2022-10-29T22:43:59Z,,,,,,,,,,,,,,,,,,,,,,,,,1emj0rlthc8syfleox4c39kut,L. Dendoncker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722011,13,1,1,0,49,b496gs285it6bheuikox6z9mj,0,19,7.4,2022-10-29T14:01:19.545Z,2022-10-29T22:44:04Z,3879667879,1,,3879667869,56,Center,3879667873,141,28.0,3879667867,155,,3879667871,140,61.1,3879667875,212,46.4,3879667877,213,0.3,3882004985,178,,1emj0rlthc8syfleox4c39kut,L. Dendoncker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479159627,920,43,1,0,53,7vn2i2kd35zuetw6b38gw9jsz,1,0,0,2022-10-29T14:01:23.040Z,2022-10-29T23:30:39Z,3882066377,144,82,3882066233,178,0,,,,,,,,,,,,,,,,,,,dxxc4dioaioidmvamkzqr4b85,F. Schär,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722129,19,1,1,0,53,7vn2i2kd35zuetw6b38gw9jsz,0,41.3,67.6,2022-10-29T14:01:23.152Z,2022-10-29T22:44:15Z,3879668493,212,8.2,3882005255,178,,3879668497,213,0.9,3879668485,56,Back,3879668491,141,77.3,3879668489,140,46.0,,,,,,,dxxc4dioaioidmvamkzqr4b85,F. Schär,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722245,14,1,1,0,58,b496gs285it6bheuikox6z9mj,1,74.2,27.2,2022-10-29T14:01:28.265Z,2022-10-29T22:44:23Z,3882005443,178,,3879669055,212,7.6,3879669051,140,81.3,3879669057,213,6.1,3879669049,56,Center,3879669053,141,25.2,,,,,,,5m0j33eoa5c8pqlr0tdf7undh,O. Watkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722261,15,1,1,1,0,b496gs285it6bheuikox6z9mj,0,88.8,24.2,2022-10-29T14:01:30.567Z,2022-10-29T22:44:30Z,3879669395,236,,3882005553,178,,3879669123,213,1.7,3879669121,212,1.4,3879669401,286,,3879669113,56,Center,3879669397,233,20,3879669119,141,26.2,l0qqn9tlgov91p5d1zzdupcl,E. Buendía,3879669117,140,,,,,,88.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722271,20,74,1,1,0,7vn2i2kd35zuetw6b38gw9jsz,1,6.4,70.2,2022-10-29T14:01:30.698Z,2022-10-29T22:44:36Z,3879669171,285,,3879669167,56,Back,3879669329,233,15,3882005715,178,,,,,,,,,,,,,,4jwkz8almo2997hvp09zl0p9l,S. Botman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722379,21,49,1,1,2,7vn2i2kd35zuetw6b38gw9jsz,1,18.8,74.6,2022-10-29T14:01:32.510Z,2022-10-29T22:44:42Z,,,,,,,,,,,,,,,,,,,,,,,,,6f1ljb0an6d0g4nbap6xgxsyd,D. Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722429,22,1,1,1,4,7vn2i2kd35zuetw6b38gw9jsz,1,15.4,87.5,2022-10-29T14:01:33.907Z,2022-10-29T22:44:49Z,3879669897,141,93.8,3879669891,56,Back,3879669903,213,0.2,3879669893,140,32.9,3879669901,212,18.9,3882006055,178,,,,,,,,6f1ljb0an6d0g4nbap6xgxsyd,D. Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722529,23,1,1,1,6,7vn2i2kd35zuetw6b38gw9jsz,1,32.9,93.2,2022-10-29T14:01:36.129Z,2022-10-29T22:44:57Z,3879670273,141,83.8,3879670265,56,Back,3882006239,178,,3879670275,212,8.0,3879670279,213,4.1,3879670269,140,28.3,,,,,,,c589fk8pfqvbukvtdqu1yhjv9,Joelinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722593,24,1,1,1,7,7vn2i2kd35zuetw6b38gw9jsz,1,27.5,84.7,2022-10-29T14:01:36.915Z,2022-10-29T22:46:11Z,3879670597,141,95.0,3879670609,213,2.3,3882008023,178,,3879670591,140,21.8,3879670589,56,Back,3879670603,212,9.2,,,,,,,5tbabvk43ljv3z3wd9mh0y8r9,J. Willock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
