id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/16/value
2527476541,14,61,1,0,29,d5ydtvt96bv7fq04yqm2w2632,0,29.7,96.9,2023-04-02T13:01:29.748Z,2023-04-02T20:13:18Z,4157561379,56,Back,4159485823,178,,,,,,,,,,,,,,,,,,,,67qku7vyvbw76086eu05nowd1,R. Perraud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476865,6,5,1,0,30,4txjdaqveermfryvbfrr4taf7,1,69.8,-1.1,2023-04-02T13:01:31.098Z,2023-04-02T20:13:19Z,4157563153,233,15,4157563123,347,,4157563121,56,Right,,,,,,,,,,,,,,,,d542ijpf3j9hdrtt1mfe6vwlx,J. Bowen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476557,15,5,1,0,30,d5ydtvt96bv7fq04yqm2w2632,0,30.2,101.1,2023-04-02T13:01:31.098Z,2023-04-02T20:13:20Z,4157561445,56,Back,4157563227,233,6,4157561447,347,,,,,,,,,,,,,,,,,67qku7vyvbw76086eu05nowd1,R. Perraud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476931,7,1,1,0,44,4txjdaqveermfryvbfrr4taf7,0,69.9,0,2023-04-02T13:01:45.040Z,2023-04-02T20:13:23Z,4157563479,213,1.2,4157563471,141,10.4,4157563467,140,72.5,4157563463,107,,4157563475,212,8.6,4157563465,56,Right,,,,,,,cm0gwoyh5rdb216fx685a7l5h,T. Kehrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476965,16,4,1,0,45,d5ydtvt96bv7fq04yqm2w2632,1,27.6,90.6,2023-04-02T13:01:46.283Z,2023-04-02T20:13:30Z,4157563643,152,,4157563645,285,,4157563637,13,,4157563639,294,,4157563641,56,Back,4157563807,233,8,,,,,,,6tckvu2rw7ns18dq7dim0sout,M. Elyounoussi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527476979,8,4,1,0,45,4txjdaqveermfryvbfrr4taf7,0,72.4,9.4,2023-04-02T13:01:46.284Z,2023-04-02T20:13:29Z,4157563731,56,Right,4157563733,152,,4157563735,286,,4157563727,13,,4157563729,294,,4159486575,178,,4157563863,233,16,,,,6wwagkprtmcadu8p6klcu2uhh,T. Souček,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527477301,17,1,1,1,0,d5ydtvt96bv7fq04yqm2w2632,1,23.2,91.7,2023-04-02T13:02:00.483Z,2023-04-02T20:13:33Z,4159486847,178,,4157565371,141,89.7,4157565367,56,Back,4157565369,140,19.7,4157565375,213,3.5,4157565365,152,,4157565373,212,3.9,4157565363,5,,67qku7vyvbw76086eu05nowd1,R. Perraud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527477365,18,1,1,1,5,d5ydtvt96bv7fq04yqm2w2632,0,27.4,89.6,2023-04-02T13:02:06.308Z,2023-04-02T20:13:35Z,4157565755,1,,4157565745,56,Left,4157565753,213,6.1,4157565743,155,,4159487005,178,,4157565751,212,37.7,4157565747,140,62.7,4157565749,141,79.3,6gymgqxnu2zavuxgp6amm3zkl,D. Ćaleta-Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527477403,9,1,1,1,8,4txjdaqveermfryvbfrr4taf7,1,36.6,16.7,2023-04-02T13:02:08.887Z,2023-04-02T20:13:40Z,4157565923,3,,4157565925,56,Back,4157565931,212,9.6,4157565929,141,4.6,4157565927,140,41.3,4157565933,213,5.3,4159487301,178,,,,,9qdm0nxg1g046olii48z3crf9,K. Zouma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527477413,10,49,1,1,9,4txjdaqveermfryvbfrr4taf7,1,41.5,4.3,2023-04-02T13:02:09.713Z,2023-04-02T20:13:42Z,,,,,,,,,,,,,,,,,,,,,,,,,cm0gwoyh5rdb216fx685a7l5h,T. Kehrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
