id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/18/value
2530303091,424,1,1,0,48,9q0arba2kbnywth8bkxlhgmdr,0,31.1,77.2,2023-04-08T14:00:57.879Z,2023-04-08T21:52:45Z,4172576451,212,3.3,4172576445,56,Back,4172576447,140,34.1,4172576453,213,0.3,4174207547,178,,4172576449,141,78.4,,,,,,,4z60ztggqxzfbp8w9ijoqefop,João Félix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530303021,387,61,1,0,48,b9si1jn1lfxfund69e9ogcu2n,1,66.2,27,2023-04-08T14:00:58.243Z,2023-04-08T21:52:50Z,4174209811,178,,4172576085,56,Center,,,,,,,,,,,,,,,,,,,3fhoof7n4sjaizvotcmypb9at,Nélson Semedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240359,13,61,1,0,49,9q0arba2kbnywth8bkxlhgmdr,1,33.5,79.3,2023-04-08T14:00:59.791Z,2023-04-08T21:52:28Z,4172255813,56,Back,4174209943,178,,,,,,,,,,,,,,,,,,,,4z60ztggqxzfbp8w9ijoqefop,João Félix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240443,14,1,1,0,51,9q0arba2kbnywth8bkxlhgmdr,1,41.9,65.3,2023-04-08T14:01:01.802Z,2023-04-08T21:51:05Z,4172256213,56,Back,4172256215,140,48.0,4172256221,213,5.2,4172256219,212,14.8,4172256217,141,45.7,4174210213,178,,,,,,,,ehopba709zukxj4vgcync942d,M. Kovačić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240501,15,1,1,0,54,9q0arba2kbnywth8bkxlhgmdr,1,53.5,41.5,2023-04-08T14:01:04.074Z,2023-04-08T21:53:11Z,4172256481,213,5.6,4172256477,141,21.8,4172256479,212,20.6,4174213217,178,,4172256473,56,Center,4172256475,140,68.4,,,,,,,c83h08n0vnjvfgglyefy03h0p,C. Gallagher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240517,16,1,1,0,58,9q0arba2kbnywth8bkxlhgmdr,0,78.4,22.5,2023-04-08T14:01:08.731Z,2023-04-08T21:53:14Z,4174213275,178,,4173765251,20,,4172256577,56,Center,4172256581,141,42.2,4172256585,213,1.0,4172256583,212,16.4,4172256573,2,,4172256579,140,87.4,e9l5r0txzrjbenli05rn3k4wl,R. Sterling,4173765249,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240553,12,12,1,0,59,b9si1jn1lfxfund69e9ogcu2n,1,9.7,60.3,2023-04-08T14:01:09.343Z,2023-04-08T21:53:18Z,4172256789,167,,4172256739,56,Back,4172256747,213,1.5,4174213393,388,,4172256741,140,12.4,4172256745,212,27.7,4172256743,141,100.0,,,,2nz313c0ot91untg011l3pc6h,M. Kilman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240561,13,5,1,1,2,b9si1jn1lfxfund69e9ogcu2n,0,13.8,101.4,2023-04-08T14:01:12.705Z,2023-04-08T21:53:26Z,4172256767,347,,4172256765,56,Back,4172257343,233,17,,,,,,,,,,,,,,,,2nz313c0ot91untg011l3pc6h,M. Kilman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240677,17,5,1,1,2,9q0arba2kbnywth8bkxlhgmdr,1,86.2,-1.4,2023-04-08T14:01:12.705Z,2023-04-08T21:53:26Z,4172257331,233,13,4172257315,347,,4172257313,56,Right,,,,,,,,,,,,,,,,e9l5r0txzrjbenli05rn3k4wl,R. Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240783,18,1,1,1,8,9q0arba2kbnywth8bkxlhgmdr,1,84.8,0,2023-04-08T14:01:17.952Z,2023-04-08T21:53:31Z,4172257757,140,79.8,4172257759,141,7.1,4172257761,212,7.9,4172257763,213,2.3,4172257753,107,,4172257755,56,Right,,,,,,,dczrgxyolp7lcz413wkz7ap61,R. James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240793,19,1,1,1,14,9q0arba2kbnywth8bkxlhgmdr,0,89.6,18.3,2023-04-08T14:01:24.165Z,2023-04-08T21:53:40Z,4172257795,56,Center,4173767137,224,,4172257791,2,,4172257799,141,24.5,4172257801,212,4.3,4172257975,236,,4172257803,213,1.4,4174213853,178,,e9l5r0txzrjbenli05rn3k4wl,R. Sterling,4172257977,233,14,4172257981,286,4172257797,140,90.5,4173767139,20,,,,,,,,,,,,,,,,,,,,,,,,
2530240837,14,12,1,1,14,b9si1jn1lfxfund69e9ogcu2n,1,7.9,75.6,2023-04-08T14:01:24.247Z,2023-04-08T21:53:46Z,4172257993,233,19,4172257943,185,,4172257945,56,Back,4174213949,178,,,,,,,,,,,,,,29f3jvukalzylzr19t9phgxgq,Toti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240849,15,6,1,1,15,b9si1jn1lfxfund69e9ogcu2n,0,8.7,75.6,2023-04-08T14:01:25.325Z,2023-04-08T21:53:52Z,4172258103,233,20,4172258023,56,Back,4172258025,73,,,,,,,,,,,,,,,,,29f3jvukalzylzr19t9phgxgq,Toti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240851,20,6,1,1,15,9q0arba2kbnywth8bkxlhgmdr,1,91.3,24.4,2023-04-08T14:01:25.325Z,2023-04-08T21:53:51Z,4172258057,233,15,4172258029,75,,4172258027,56,Center,,,,,,,,,,,,,,,,e9l5r0txzrjbenli05rn3k4wl,R. Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530241287,21,1,1,1,41,9q0arba2kbnywth8bkxlhgmdr,0,99.5,0.5,2023-04-08T14:01:51.188Z,2023-04-08T21:53:57Z,4172260085,213,2.0,4173768175,20,,4172260081,212,28.0,4172260069,6,,4172260077,140,89.6,4174214269,178,,4172260079,141,38.7,4172260075,56,Center,dczrgxyolp7lcz413wkz7ap61,R. James,4172260073,224,,4172260067,2,4172260071,155,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530271007,220,12,1,1,42,b9si1jn1lfxfund69e9ogcu2n,1,6.5,63.5,2023-04-08T14:01:52.299Z,2023-04-08T21:54:05Z,4172411517,15,,4172411369,140,29.8,4172411371,141,59.2,4172411373,212,24.6,4172411375,213,6.2,4172411367,56,Back,4174214415,178,,,,,3fhoof7n4sjaizvotcmypb9at,Nélson Semedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530241367,22,1,1,1,44,9q0arba2kbnywth8bkxlhgmdr,1,75,35.8,2023-04-08T14:01:54.385Z,2023-04-08T21:54:12Z,4172260447,212,18.5,4172260445,141,12.2,4172260443,140,83.7,4172260441,56,Right,4174214537,178,,4172260449,213,5.2,,,,,,,1zxwich342p8fholev7ddkwh6,E. Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530241409,23,1,1,1,47,9q0arba2kbnywth8bkxlhgmdr,0,86.7,11.4,2023-04-08T14:01:57.572Z,2023-04-08T21:54:18Z,4172260669,56,Center,4172260665,2,,4173769689,224,,4173769691,20,,4172260677,213,1.3,4174214663,178,,4172260675,212,20.9,4172260673,141,40.8,dczrgxyolp7lcz413wkz7ap61,R. James,4172260667,155,,4172260671,140,,,,,,92.5,,,,,,,,,,,,,,,,,,,,,,,
2530241485,16,12,1,1,48,b9si1jn1lfxfund69e9ogcu2n,1,7.8,63.1,2023-04-08T14:01:58.216Z,2023-04-08T21:54:25Z,4174214785,178,,4172260987,140,0.0,4172260993,213,4.4,4172260989,141,17.3,4172260991,212,32.6,4172260983,56,Back,4172261079,167,,,,,6s577yqayjceifu1e05f280yd,Diego Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530241491,17,6,1,1,49,b9si1jn1lfxfund69e9ogcu2n,0,3.1,38.2,2023-04-08T14:01:59.588Z,2023-04-08T21:54:28Z,4172261013,73,,4172261141,233,24,4172261011,56,Back,,,,,,,,,,,,,,,,6s577yqayjceifu1e05f280yd,Diego Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530241453,24,6,1,1,49,9q0arba2kbnywth8bkxlhgmdr,1,96.9,61.8,2023-04-08T14:01:59.588Z,2023-04-08T21:54:28Z,4172261115,233,17,4172260837,56,Center,4172260839,73,,,,,,,,,,,,,,,,,dczrgxyolp7lcz413wkz7ap61,R. James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530241985,25,1,1,2,17,9q0arba2kbnywth8bkxlhgmdr,1,99.5,99.5,2023-04-08T14:02:27.637Z,2023-04-08T21:54:38Z,4172271085,154,,4172271083,210,13,4172263299,6,,4172263317,140,92.5,4172263295,2,,4172263329,213,4.5,4172263303,155,,4172263325,212,34.0,dczrgxyolp7lcz413wkz7ap61,R. James,4174214993,178,,4172263321,141,4172263335,1,,4173776399,20,50.7,1,4172263307,223,4172263313,56,Center,,,,,,,,,,,,,,,,,
