id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2509008503,6,1,1,0,57,b496gs285it6bheuikox6z9mj,1,35.2,100,2023-02-18T12:31:38.283Z,2023-02-18T17:59:12Z,4039027417,141,92.4,4039027421,213,3.9,4039027415,140,29.6,4039027413,56,Back,4039028973,189,,4039027419,212,8.3,4039027411,107,,,,,3m7wjcmet9b8sc5tu0ct8j0et,Álex Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008513,7,1,1,0,58,b496gs285it6bheuikox6z9mj,1,29,91.4,2023-02-18T12:31:38.922Z,2023-02-18T17:59:16Z,4039027473,140,33.0,4039027477,212,5.4,4039027475,141,96.3,4039027479,213,0.7,4039027471,56,Back,4041038613,178,,,,,,,,blth4klpu88kgh73abpjlgusp,B. Kamara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008525,8,1,1,0,59,b496gs285it6bheuikox6z9mj,1,33,96.3,2023-02-18T12:31:39.853Z,2023-02-18T17:59:27Z,4039027537,56,Back,4039027543,212,4.0,4039027547,213,3.4,4041039007,178,,4039027541,141,95.0,4039027539,140,29.3,,,,,,,3m7wjcmet9b8sc5tu0ct8j0et,Álex Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008553,9,1,1,1,1,b496gs285it6bheuikox6z9mj,1,29.3,95,2023-02-18T12:31:41.520Z,2023-02-18T17:59:31Z,4039027629,140,14.8,4039027631,141,93.8,4041039143,178,,4039027635,213,3.2,4039027627,56,Back,4039027633,212,15.2,,,,,,,blth4klpu88kgh73abpjlgusp,B. Kamara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008567,10,1,1,1,3,b496gs285it6bheuikox6z9mj,1,13.4,92.9,2023-02-18T12:31:43.940Z,2023-02-18T17:59:36Z,4039027685,56,Back,4041039381,178,,4039027693,213,4.1,4039027687,140,2.5,4039027691,212,18.6,4039027689,141,71.3,,,,,,,2smmv9hdoiet7necaf00ol51x,T. Mings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008583,11,1,1,1,5,b496gs285it6bheuikox6z9mj,0,2.5,71.3,2023-02-18T12:31:45.485Z,2023-02-18T17:59:40Z,4039027773,157,,4039027781,212,39.5,4041039651,178,,4039027777,140,39.3,4039027775,56,Back,4039027779,141,83.7,4039027783,213,0.2,4039027785,1,,3zl1q2gk6tdmzirsyfgm38no5,E. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008589,16,49,1,1,7,4dsgumo7d4zupm2ugsvm4zm4d,1,57.5,13.9,2023-02-18T12:31:47.358Z,2023-02-18T17:59:54Z,,,,,,,,,,,,,,,,,,,,,,,,,9id859f7xnqwj0jazjzkbjzdh,Jorginho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008597,17,1,1,1,7,4dsgumo7d4zupm2ugsvm4zm4d,0,57.5,13.9,2023-02-18T12:31:47.387Z,2023-02-18T17:59:50Z,4039027841,141,28.4,4039027839,140,67.6,4039027837,56,Center,4039027843,212,14.5,4041039963,178,,4039027845,213,0.7,,,,,,,9id859f7xnqwj0jazjzkbjzdh,Jorginho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008605,12,49,1,1,7,b496gs285it6bheuikox6z9mj,1,32.2,65.6,2023-02-18T12:31:48.131Z,2023-02-18T18:00:04Z,,,,,,,,,,,,,,,,,,,,,,,,,7j84ozqdpgupzxevbxemi5tyh,Douglas Luiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008613,13,1,1,1,7,b496gs285it6bheuikox6z9mj,0,32.8,66.2,2023-02-18T12:31:48.180Z,2023-02-18T18:00:11Z,4041041087,178,,4039027899,212,13.7,4039027901,213,0.2,4039027893,56,Back,4039027897,141,69.3,4039027895,140,45.7,,,,,,,7j84ozqdpgupzxevbxemi5tyh,Douglas Luiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008641,18,1,1,1,9,4dsgumo7d4zupm2ugsvm4zm4d,0,53.6,31.2,2023-02-18T12:31:49.996Z,2023-02-18T18:00:20Z,4039028023,140,69.1,4039028027,212,17.1,4039028025,141,23.3,4039028019,3,,4039028029,213,6.0,4039028021,56,Center,4041041725,178,,,,,65rqu55qbzswixgqw2efna06i,W. Saliba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008639,14,1,1,1,11,b496gs285it6bheuikox6z9mj,1,27,81.5,2023-02-18T12:31:52.092Z,2023-02-18T18:00:26Z,4039028013,212,8.6,4041042193,388,,4039028009,140,31.2,4039028015,213,5.3,4039028007,56,Back,4039028005,3,,4039028011,141,70.7,,,,3m7wjcmet9b8sc5tu0ct8j0et,Álex Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008645,15,1,1,1,13,b496gs285it6bheuikox6z9mj,1,32.4,67.5,2023-02-18T12:31:53.570Z,2023-02-18T18:00:32Z,4041042633,178,,4039028037,140,30.5,4039028043,213,2.1,4039028035,56,Back,4039028039,141,72.3,4039028041,212,3.8,,,,,,,7j84ozqdpgupzxevbxemi5tyh,Douglas Luiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008665,16,1,1,1,14,b496gs285it6bheuikox6z9mj,1,30.6,72.3,2023-02-18T12:31:54.545Z,2023-02-18T18:00:35Z,4039028131,141,69.3,4039028129,140,42.3,4039028133,212,12.5,4041042807,178,,4039028127,56,Back,4039028135,213,6.1,4039028125,155,,,,,blth4klpu88kgh73abpjlgusp,B. Kamara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
