id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2512102707,8,61,1,0,29,121le8unjfzug3iu9pgkqa1c7,1,25.4,59.5,2023-02-25T16:00:35.643Z,2023-02-26T00:28:37Z,4057051157,178,,4055326093,56,Back,,,,,,,,,,,,,,,,,,,79dz7zni5fcgh5e70spoj2j8p,M. Caqueret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512102693,14,49,1,0,30,75qj99fhg5c0ztj2tva5u4uii,1,69.9,32.4,2023-02-25T16:00:36.707Z,2023-02-26T00:28:37Z,,,,,,,,,,,,,,,,,,,,,,,,,boa0e436nc3u53cumlao9ulex,B. Mendy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512102765,15,1,1,0,32,75qj99fhg5c0ztj2tva5u4uii,1,73.9,27.8,2023-02-25T16:00:38.779Z,2023-02-26T00:28:35Z,4057051801,178,,4055326401,56,Center,4055327015,154,,4055326409,213,0.9,4055326403,140,89.5,4055326407,212,25.2,4055326399,155,,4055327013,210,13,boa0e436nc3u53cumlao9ulex,B. Mendy,4055326405,141,,,55.9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512102781,16,13,1,0,33,75qj99fhg5c0ztj2tva5u4uii,1,88.2,52,2023-02-25T16:00:40.186Z,2023-02-26T00:28:35Z,4055326495,22,,4055326497,17,,4055326743,15,,4055326751,328,,4055327041,102,58.3,4055327031,83,,4057052513,388,,4055326499,56,Center,8kcm8g1fpcqqslzmut1fdhotl,I. Niane,4055327047,231,4055327035,154,50.7,,,4055327043,103,4.2,4055327033,29,4055327045,230,96.7,4055327037,55,15,,,,,,,,,,,,,,,,,,,
2512102773,9,5,1,0,34,121le8unjfzug3iu9pgkqa1c7,1,-0.7,43.1,2023-02-25T16:00:41.244Z,2023-02-25T21:33:03Z,4055326445,56,Back,4055326447,346,,4055326551,233,17,,,,,,,,,,,,,,,,79dz7zni5fcgh5e70spoj2j8p,M. Caqueret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512102783,17,5,1,0,34,75qj99fhg5c0ztj2tva5u4uii,0,100.7,56.9,2023-02-25T16:00:41.244Z,2023-02-25T21:33:02Z,4055326509,346,,4055326507,56,Center,4055326557,233,9,,,,,,,,,,,,,,,,8kcm8g1fpcqqslzmut1fdhotl,I. Niane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512103275,10,1,1,1,6,121le8unjfzug3iu9pgkqa1c7,0,5.7,46.4,2023-02-25T16:01:13.428Z,2023-02-26T01:29:34Z,4055328821,56,Back,4055328819,124,,4055328827,212,46.5,4055328823,140,43.4,4055328829,213,5.7,4055328831,1,,4055328825,141,10.4,4055328833,74,,d3mss0i879krqrk1owzmj2c45,Anthony Lopes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512103287,18,1,1,1,9,75qj99fhg5c0ztj2tva5u4uii,0,54.3,86.2,2023-02-25T16:01:16.469Z,2023-02-26T00:28:34Z,4055328913,212,19.2,4057054065,388,,4055328911,141,100.0,4055328915,213,0.5,4055328905,3,,4055328907,56,Left,4055328909,140,70.1,,,,2bfbi3t4aufb47wwt56ilzoyc,A. Salama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512103593,14,5,1,1,11,121le8unjfzug3iu9pgkqa1c7,1,32.5,-0.6,2023-02-25T16:01:17.889Z,2023-02-25T21:33:34Z,4055330415,347,,4055330441,233,19,4055330413,56,Back,,,,,,,,,,,,,,,,79dz7zni5fcgh5e70spoj2j8p,M. Caqueret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512103293,19,5,1,1,11,75qj99fhg5c0ztj2tva5u4uii,0,67.5,100.6,2023-02-25T16:01:17.889Z,2023-02-25T21:33:34Z,4055328949,56,Left,4055328951,347,,4055330483,233,14,,,,,,,,,,,,,,,,310zaj8t3k4c8aj54ml0n0kx5,H. Abdelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
