id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/15/value,qualifier/13/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2448504419,9,1,1,0,30,4t4hod56fsj7utpjdor8so5q6,1,42,13.3,2022-08-20T15:00:45.807Z,2022-08-21T00:13:59Z,3719046865,212,21.1,3719046861,140,42.5,3719046867,213,1.5,3720937517,178,,3719046863,141,44.3,3719046859,56,Back,,,,,,,f5j3vhj805xtkos7l538u0d7t,K. Diatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448504445,10,1,1,0,32,4t4hod56fsj7utpjdor8so5q6,1,43.6,45.9,2022-08-20T15:00:48.459Z,2022-08-21T00:13:58Z,3719046981,141,71.5,3719046979,140,40.6,3719046985,213,1.7,3720937699,178,,3719046983,212,17.7,3719046977,56,Back,,,,,,,28s6z18rcl9v8561yzu7m0voq,E. Matazo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448504453,11,1,1,0,36,4t4hod56fsj7utpjdor8so5q6,0,44.6,79.8,2022-08-20T15:00:51.619Z,2022-08-21T00:13:58Z,3719047019,212,3.3,3719047021,213,4.4,3720937849,178,,3719047015,140,43.6,3719047013,56,Back,3719047017,141,75.2,,,,,,,1o7se1aziz6fpes5hey7yijft,Caio Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448504485,11,61,1,0,36,3xedluek08t2ka7oypwuullcn,1,53.9,20.7,2022-08-20T15:00:51.764Z,2022-08-21T00:13:57Z,3720938033,178,,3719047203,56,Right,,,,,,,,,,,,,,,,,,,bt4yy465bb33u7phdhnlr6pcl,P. Frankowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448504489,12,1,1,0,38,4t4hod56fsj7utpjdor8so5q6,0,57.3,91.9,2022-08-20T15:00:54.381Z,2022-08-21T00:13:56Z,3719047219,155,,3719047225,141,87.7,3719047221,56,Left,3719047229,213,6.1,3719047227,212,20.9,3720938339,178,,3719047223,140,77.0,,,,csvqjyuk06gzvjm408513nydx,T. Minamino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448504541,12,12,1,0,41,3xedluek08t2ka7oypwuullcn,1,25.5,7.7,2022-08-20T15:00:57.149Z,2022-08-21T00:13:56Z,3719047523,141,0.0,3719047517,56,Back,3719047581,167,,3719047519,140,23.0,3720938667,388,,3719047525,212,6.7,3719048045,15,,3719047529,213,4.3,5jrt4as7f9xt1i1enj2dxx65m,S. Abdul Samed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448504519,13,5,1,0,43,4t4hod56fsj7utpjdor8so5q6,1,77,101,2022-08-20T15:00:59.084Z,2022-08-20T21:34:20Z,3719047367,56,Left,3719047595,233,13,3719047377,347,,,,,,,,,,,,,,,,,csvqjyuk06gzvjm408513nydx,T. Minamino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448504547,13,5,1,0,43,3xedluek08t2ka7oypwuullcn,0,23,-1,2022-08-20T15:00:59.084Z,2022-08-20T21:34:19Z,3719047551,347,,3719047663,233,13,3719047549,56,Back,,,,,,,,,,,,,,,,4t4u4725escxjm2gwz5e7lpsl,J. Gradit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448505025,14,1,1,0,46,4t4hod56fsj7utpjdor8so5q6,1,85.6,100,2022-08-20T15:01:01.987Z,2022-08-21T00:13:56Z,3719049733,141,78.6,3719049729,56,Center,3719049737,213,5.2,3719049731,140,93.9,3719049735,212,18.1,3719049727,107,,,,,,,,1o7se1aziz6fpes5hey7yijft,Caio Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448505083,14,68,1,1,21,3xedluek08t2ka7oypwuullcn,0,0,0,2022-08-20T15:01:36.709Z,2022-08-20T21:35:12Z,3719050229,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
