id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2479523059,432,61,1,0,29,17o35s8assv3kamxowzz77k4r,1,68.8,87.4,2022-10-30T14:00:41.709Z,2022-10-31T07:13:00Z,3883927509,56,Left,3885931253,178,,,,,,,,,,,,,,,,,,,,3xbgtth9h7ywlkpdzy8rwkbth,K. Andrić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479769739,951,1,1,0,31,750ustvk4jfqmo8q4gnrcxy7z,1,30.7,10.3,2022-10-30T14:00:43.174Z,2022-10-31T07:12:59Z,3885274983,141,3.8,3885274985,212,4.7,3885274987,213,5.0,3885274979,56,Back,3885274981,140,32.1,3885931313,178,,,,,,,,8zc2u2dfrokzg3domqmt30s0l,Pedro Chirivella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456781,9,49,1,0,32,750ustvk4jfqmo8q4gnrcxy7z,1,30.6,3.2,2022-10-30T14:00:44.421Z,2022-10-31T07:12:59Z,,,,,,,,,,,,,,,,,,,,,,,,,bf2yxiyhdyipaxxxobt9i1gq1,F. Centonze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456825,10,1,1,0,32,750ustvk4jfqmo8q4gnrcxy7z,0,30.7,3.2,2022-10-30T14:00:44.453Z,2022-10-31T07:12:58Z,3883574123,140,60.5,3883574121,56,Right,3883574125,141,3.8,3883574129,213,0.0,3883574127,212,31.3,3885931411,178,,,,,,,,bf2yxiyhdyipaxxxobt9i1gq1,F. Centonze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479769839,853,49,1,0,35,17o35s8assv3kamxowzz77k4r,1,46.9,97.8,2022-10-30T14:00:47.322Z,2022-10-31T07:12:58Z,,,,,,,,,,,,,,,,,,,,,,,,,5rd9832gct7uy0acodmor8b11,F. Ogier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456961,12,1,1,0,35,17o35s8assv3kamxowzz77k4r,1,46.7,97.7,2022-10-30T14:00:47.363Z,2022-10-31T07:12:58Z,3886073597,1,,3883574723,213,3.7,3885931511,178,,3883574719,141,70.2,3883574717,140,19.3,3883574721,212,34.3,3883574715,56,Back,,,,5rd9832gct7uy0acodmor8b11,F. Ogier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457001,14,1,1,0,41,17o35s8assv3kamxowzz77k4r,0,18.4,65.4,2022-10-30T14:00:53.227Z,2022-10-31T07:12:56Z,3883574893,140,60.6,3883574901,1,,3883574895,141,66.6,3883574897,212,44.3,3883574889,155,,3883574891,56,Center,3883574899,213,0.0,3885931549,178,,c6u4h9wy88ymj6whiz93jknv9,M. Diaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456971,13,43,1,0,41,17o35s8assv3kamxowzz77k4r,1,0,0,2022-10-30T14:00:53.364Z,2022-10-30T19:40:45Z,3885275405,144,49,,,,,,,,,,,,,,,,,,,,,,c6u4h9wy88ymj6whiz93jknv9,M. Diaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457115,11,1,1,0,44,750ustvk4jfqmo8q4gnrcxy7z,0,35.3,37.1,2022-10-30T14:00:55.782Z,2022-10-31T07:12:56Z,3883575379,213,0.6,3883575371,56,Center,3883575369,3,,3885955099,388,,3883575375,141,55.5,3883575373,140,51.8,3883575377,212,21.4,,,,crjrpkb5p430hludk5acmhjv9,Andrei Girotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457143,15,1,1,0,49,17o35s8assv3kamxowzz77k4r,1,46.8,42,2022-10-30T14:01:00.836Z,2022-10-31T07:12:55Z,3883575515,141,55.1,3883575509,157,,3883575521,1,,3883575513,140,52.2,3883575517,212,10.6,3883575519,213,1.0,3883575511,56,Center,3885931661,178,,4elohf5kyq6i1jmywfuzhh2ol,S. Khaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
