id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/12/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value,qualifier/15/value,qualifier/16/value
2531048763,11,1,1,0,42,3unkqo2g6ag99gd5ynz1j7vse,1,49.7,100,2023-04-09T13:00:49.162Z,2023-04-10T01:49:29Z,4176490423,56,Left,4176490437,213,5.7,4176490419,107,,4176490435,212,13.5,4176490433,141,91.2,4176490429,140,60.6,,,,,,,57sdn53awg8fzbygrwchg6u7e,P. Yade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048767,10,45,1,0,44,17o35s8assv3kamxowzz77k4r,0,39.3,5.9,2023-04-09T13:00:50.838Z,2023-04-10T01:49:29Z,4176490571,233,12,4176490443,285,,4176490441,56,Back,,,,,,,,,,,,,,,,bt2pm0it9f1o216uxo3abfpbd,J. Allevinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048781,12,3,1,0,44,3unkqo2g6ag99gd5ynz1j7vse,1,60.7,94.1,2023-04-09T13:00:50.838Z,2023-04-10T01:49:28Z,4177997365,178,,4176490515,56,Left,4177588045,464,,4176490517,286,,4176490537,233,10,,,,,,,,,,bj37ny1s1gbbe4wrgyz1wag9h,Mama Baldé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048787,11,45,1,0,46,17o35s8assv3kamxowzz77k4r,0,41.6,13.9,2023-04-09T13:00:52.689Z,2023-04-10T01:49:28Z,4176490527,285,,4176490525,56,Back,4176490629,233,13,,,,,,,,,,,,,,,,bzr6a9okokrgaskvsbl03xmtx,M. Gonalons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048807,13,3,1,0,46,3unkqo2g6ag99gd5ynz1j7vse,1,58.4,86.1,2023-04-09T13:00:52.689Z,2023-04-10T01:49:27Z,4177997667,178,,4176490615,56,Left,4177588479,464,,4176490623,233,11,4176490617,286,,,,,,,,,,,bj37ny1s1gbbe4wrgyz1wag9h,Mama Baldé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048869,14,1,1,0,47,3unkqo2g6ag99gd5ynz1j7vse,1,63.6,73.6,2023-04-09T13:00:54.429Z,2023-04-10T01:49:27Z,4176490901,1,,4176490891,56,Right,4176490897,212,41.7,4176490899,213,4.9,4176490893,140,69.4,4176490895,141,13.0,4177997943,178,,,,,bj37ny1s1gbbe4wrgyz1wag9h,Mama Baldé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048923,15,1,1,0,52,3unkqo2g6ag99gd5ynz1j7vse,1,74.8,24.7,2023-04-09T13:00:58.928Z,2023-04-10T01:49:26Z,4176491133,56,Center,4176491135,140,83.1,4176491141,213,6.1,4176491137,141,22.7,4177998269,178,,4176491139,212,8.8,,,,,,,4hns4p7a45kno60qqzlniycmi,T. Baldé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048967,16,1,1,0,55,3unkqo2g6ag99gd5ynz1j7vse,1,78.5,21.3,2023-04-09T13:01:02.244Z,2023-04-10T01:49:24Z,4177998529,178,,4176491369,141,25.1,4176491373,213,2.9,4176491367,140,68.6,4176491371,212,10.7,4176491365,56,Center,,,,,,,demp53kye0ium76t240vo8cet,Rony Lopes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531049005,17,1,1,0,59,3unkqo2g6ag99gd5ynz1j7vse,1,67.6,38.6,2023-04-09T13:01:05.911Z,2023-04-10T01:49:23Z,4176491545,141,76.5,4176491543,140,67.2,4177998673,178,,4176491541,56,Center,4176491547,212,25.8,4176491549,213,1.6,,,,,,,3h3g7sne1jjevj0mwyliehm95,R. Kouamé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531049051,18,1,1,1,1,3unkqo2g6ag99gd5ynz1j7vse,1,63.4,76.9,2023-04-09T13:01:08.289Z,2023-04-10T01:49:22Z,4176491745,212,22.5,4176491743,141,95.1,4176491739,56,Left,4177998887,178,,4176491741,140,81.3,4176491747,213,0.6,,,,,,,eznhm6o1jymvzaucjlngbaad,Y. Salmier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
