id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value
2452398655,9,1,1,0,14,27xvwccz8kpmqsefjv2b2sc0o,1,35.6,82.2,2022-08-28T13:02:06.933Z,2022-08-28T23:47:27Z,3741735607,178,,3739755373,56,Back,3739755389,213,4.4,3739755379,140,30.9,3739755383,141,62.4,3739755387,212,14.3,,,,,,,9j742o5vdc7d54x1xdz4t9ck5,S. Kolašinac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452398669,10,1,1,0,17,27xvwccz8kpmqsefjv2b2sc0o,1,27.8,50.3,2022-08-28T13:02:09.739Z,2022-08-28T23:47:26Z,3739755487,212,13.9,3739755479,140,30.8,3741735839,178,,3739755491,213,4.9,3739755481,141,30.4,3739755477,56,Back,,,,,,,74edqcuzfzy7nswqzn0v3pe22,L. Balerdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452398711,11,1,1,0,20,27xvwccz8kpmqsefjv2b2sc0o,1,32,18.7,2022-08-28T13:02:12.103Z,2022-08-28T23:47:25Z,3739755689,141,3.7,3739755691,212,12.8,3739755685,56,Back,3741736469,178,,3739755693,213,5.4,3739755687,140,39.4,,,,,,,bb5eekaj9i0dbckrkb629qg2d,C. Mbemba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452398715,12,1,1,0,21,27xvwccz8kpmqsefjv2b2sc0o,0,41.7,1.8,2022-08-28T13:02:14.049Z,2022-08-28T23:47:25Z,3739755711,212,13.3,3739755709,141,2.0,3739755705,56,Right,3739755707,140,54.4,3741736719,178,,3739755713,213,0.0,,,,,,,c4w6l0ha9pvwljyh3aejqz3yt,J. Clauss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452784913,837,43,1,0,22,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2022-08-28T13:02:14.890Z,2022-08-28T22:10:31Z,3741862023,233,882,3741950041,144,67,,,,,,,,,,,,,,,,,,,2kgvn1lt5yjsixg13fj0cidt6,A. Beka Beka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452784909,882,43,1,0,22,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2022-08-28T13:02:14.891Z,2022-08-28T22:10:31Z,3741950037,144,67,3741862027,233,837,,,,,,,,,,,,,,,,,,,asvqr3i5wcjiajxipt1qvldyh,M. Guendouzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452398719,3,8,1,0,22,bx0cdmzr2gwr70ez72dorx82p,1,45.8,98.2,2022-08-28T13:02:14.933Z,2022-08-28T23:47:24Z,3741736849,178,,3739755719,56,Back,3740348655,385,,,,,,,,,,,,,,,,,2kgvn1lt5yjsixg13fj0cidt6,A. Beka Beka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452398801,4,5,1,0,22,bx0cdmzr2gwr70ez72dorx82p,0,46.4,100.5,2022-08-28T13:02:15.069Z,2022-08-28T20:40:33Z,3739756079,347,,3739756077,56,Back,3739763843,233,13,,,,,,,,,,,,,,,,2kgvn1lt5yjsixg13fj0cidt6,A. Beka Beka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452398809,13,5,1,0,22,27xvwccz8kpmqsefjv2b2sc0o,1,53.6,-0.5,2022-08-28T13:02:15.069Z,2022-08-28T20:40:32Z,3739756101,56,Right,3739763823,233,4,3739756103,347,,,,,,,,,,,,,,,,,c4w6l0ha9pvwljyh3aejqz3yt,J. Clauss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452398895,14,1,1,0,30,27xvwccz8kpmqsefjv2b2sc0o,1,57.2,0,2022-08-28T13:02:22.810Z,2022-08-28T23:47:24Z,3739756525,212,9.4,3739756523,141,12.3,3739756517,107,,3739756527,213,1.9,3739756521,140,53.9,3739756519,56,Right,,,,,,,c4w6l0ha9pvwljyh3aejqz3yt,J. Clauss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452398959,15,1,1,0,34,27xvwccz8kpmqsefjv2b2sc0o,1,51.5,11.5,2022-08-28T13:02:26.101Z,2022-08-28T23:47:23Z,3741737775,178,,3739756811,140,40.9,3739756809,56,Back,3739756815,212,12.0,3739756813,141,4.8,3739756817,213,3.5,,,,,,,vl1b0gayryiqvl5dlukpmswl,A. Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452398969,16,50,1,0,35,27xvwccz8kpmqsefjv2b2sc0o,1,46.1,4.2,2022-08-28T13:02:27.571Z,2022-08-28T23:47:22Z,3739762899,233,5,3739756845,286,,3739756841,56,Back,,,,,,,,,,,,,,,,bb5eekaj9i0dbckrkb629qg2d,C. Mbemba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452398901,5,7,1,0,35,bx0cdmzr2gwr70ez72dorx82p,1,53.9,95.8,2022-08-28T13:02:27.708Z,2022-08-28T23:47:22Z,3740350593,385,,3739762797,233,16,3739756547,167,,3741738499,178,,3739756551,285,,3739756549,56,Left,,,,,,,2kgvn1lt5yjsixg13fj0cidt6,A. Beka Beka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452398907,6,5,1,0,36,bx0cdmzr2gwr70ez72dorx82p,0,57.9,101.4,2022-08-28T13:02:28.601Z,2022-08-28T20:40:55Z,3739756579,56,Left,3739756581,347,,3739757335,233,17,,,,,,,,,,,,,,,,2kgvn1lt5yjsixg13fj0cidt6,A. Beka Beka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452399061,17,5,1,0,36,27xvwccz8kpmqsefjv2b2sc0o,1,42.1,-1.4,2022-08-28T13:02:28.601Z,2022-08-28T20:40:54Z,3739757283,56,Back,3739757285,347,,3739757297,233,6,,,,,,,,,,,,,,,,bb5eekaj9i0dbckrkb629qg2d,C. Mbemba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452399129,18,1,1,0,45,27xvwccz8kpmqsefjv2b2sc0o,1,45.3,0,2022-08-28T13:02:37.125Z,2022-08-28T23:47:22Z,3739757591,107,,3739757615,1,,3739757605,141,31.8,3739757595,56,Back,3739757609,212,23.6,3739757611,213,1.9,3739757601,140,38.0,,,,c4w6l0ha9pvwljyh3aejqz3yt,J. Clauss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452399151,19,1,1,0,46,27xvwccz8kpmqsefjv2b2sc0o,1,41.3,26,2022-08-28T13:02:38.569Z,2022-08-28T23:47:21Z,3741739415,178,,3739757707,56,Back,3739757713,141,3.8,3739757717,212,15.2,3739757709,140,39.7,3739757719,213,4.6,,,,,,,5fbnkkf1saix4lonwx1i9k7o5,J. Veretout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452399187,20,1,1,0,48,27xvwccz8kpmqsefjv2b2sc0o,1,42.9,3.1,2022-08-28T13:02:40.320Z,2022-08-28T23:47:21Z,3739757899,212,11.4,3741739725,178,,3739757895,140,32.4,3739757897,141,7.1,3739757893,56,Back,3739757901,213,2.9,,,,,,,c4w6l0ha9pvwljyh3aejqz3yt,J. Clauss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452399229,21,1,1,0,51,27xvwccz8kpmqsefjv2b2sc0o,1,31.8,4.5,2022-08-28T13:02:43.319Z,2022-08-28T23:47:20Z,3742138811,1,,3739758081,56,Back,3739758089,213,2.3,3739758085,141,42.2,3741740009,178,,3739758087,212,34.9,3739758083,140,9.3,,,,bb5eekaj9i0dbckrkb629qg2d,C. Mbemba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452399327,22,1,1,0,54,27xvwccz8kpmqsefjv2b2sc0o,1,8.3,41.9,2022-08-28T13:02:46.946Z,2022-08-28T23:47:19Z,3739758561,212,26.3,3741740243,178,,3739758559,141,75.9,3739758555,56,Back,3739758557,140,20.2,3739758563,213,1.1,,,,,,,26atxu4fr8f87oi8mt6z70mhh,Pau López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452399545,23,1,1,1,1,27xvwccz8kpmqsefjv2b2sc0o,1,27.8,86.1,2022-08-28T13:02:53.775Z,2022-08-28T23:47:17Z,3739759561,141,69.6,3741740611,178,,3739759557,140,11.2,3739759567,212,20.7,3739759555,56,Back,3739759573,213,3.7,,,,,,,9j742o5vdc7d54x1xdz4t9ck5,S. Kolašinac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452399621,24,1,1,1,11,27xvwccz8kpmqsefjv2b2sc0o,0,22.2,63.2,2022-08-28T13:03:03.774Z,2022-08-28T23:47:16Z,3739759945,212,56.2,3739759939,56,Center,3741740813,178,,3739759947,213,5.9,3739759943,141,31.8,3739759937,155,,3739759941,140,71.7,3739759949,1,,26atxu4fr8f87oi8mt6z70mhh,Pau López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452399683,7,1,1,1,14,bx0cdmzr2gwr70ez72dorx82p,1,27.9,68,2022-08-28T13:03:06.891Z,2022-08-28T23:47:15Z,3739760221,3,,3741741403,388,,3739760229,212,17.0,3739760231,213,3.6,3739760225,140,13.6,3739760227,141,56.4,3739760223,56,Back,,,,7sep6mx2s67mh5fr3raxu7aei,M. Bard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452399691,8,52,1,1,16,bx0cdmzr2gwr70ez72dorx82p,1,12.1,59,2022-08-28T13:03:08.607Z,2022-08-28T23:47:15Z,3741741539,178,,3740354199,377,,,,,,,,,,,,,,,,,,,,8govqd0xf8ijst50tgypaep5h,K. Schmeichel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452399901,9,80,1,1,24,bx0cdmzr2gwr70ez72dorx82p,0,12.7,47.8,2022-08-28T13:03:17.069Z,2022-08-28T23:47:15Z,3739856593,189,,3741742127,178,,,,,,,,,,,,,,,,,,,,8govqd0xf8ijst50tgypaep5h,K. Schmeichel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452399945,10,1,1,1,26,bx0cdmzr2gwr70ez72dorx82p,1,13.5,45.7,2022-08-28T13:03:18.293Z,2022-08-28T23:47:14Z,3739761415,213,5.8,3739761413,212,34.5,3739761417,1,,3741742611,178,,3739856477,189,,3739761407,56,Back,3739761411,141,23.2,3739761409,140,43.0,8govqd0xf8ijst50tgypaep5h,K. Schmeichel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452399973,11,61,1,1,29,bx0cdmzr2gwr70ez72dorx82p,1,40.5,25.5,2022-08-28T13:03:21.824Z,2022-08-28T23:47:13Z,3739761543,56,Back,3741743069,178,,,,,,,,,,,,,,,,,,,,3n9jnuteyjx6w6dxviuead0b9,N. Pépé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452399981,12,1,1,1,31,bx0cdmzr2gwr70ez72dorx82p,0,39.1,7.2,2022-08-28T13:03:23.377Z,2022-08-28T23:47:13Z,3739761613,233,25,3739761575,56,Back,3739761577,140,39.6,3739761581,212,4.7,3741743491,178,,3739761583,213,1.5,3739761621,286,,3739761611,236,,8f3bhiy6r5eei1n25exhbwr8p,J. Lotomba,3739761579,141,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452399935,25,74,1,1,31,27xvwccz8kpmqsefjv2b2sc0o,1,58.9,93.5,2022-08-28T13:03:23.489Z,2022-08-28T23:47:12Z,3739761367,285,,3739761365,56,Left,3741743741,178,,3739761653,233,12,,,,,,,,,,,,,dqsslq1iz1azubowq3anwws4q,Nuno Tavares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452399961,26,49,1,1,33,27xvwccz8kpmqsefjv2b2sc0o,1,65.7,85.1,2022-08-28T13:03:25.184Z,2022-08-28T23:47:12Z,,,,,,,,,,,,,,,,,,,,,,,,,26mggguhavwmnq1oak12ket,D. Payet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452399995,27,61,1,1,33,27xvwccz8kpmqsefjv2b2sc0o,0,65.7,85.1,2022-08-28T13:03:25.195Z,2022-08-28T23:47:12Z,3741744803,178,,3739761643,56,Left,,,,,,,,,,,,,,,,,,,26mggguhavwmnq1oak12ket,D. Payet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452399999,13,49,1,1,34,bx0cdmzr2gwr70ez72dorx82p,1,30.6,17.3,2022-08-28T13:03:26.221Z,2022-08-28T23:47:11Z,,,,,,,,,,,,,,,,,,,,,,,,,3n9jnuteyjx6w6dxviuead0b9,N. Pépé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452400135,14,1,1,1,37,bx0cdmzr2gwr70ez72dorx82p,1,36.5,6.3,2022-08-28T13:03:29.548Z,2022-08-28T23:47:10Z,3739762357,140,47.8,3741745995,178,,3739762363,213,0.5,3739762355,56,Back,3739762359,141,15.7,3739762361,212,13.5,,,,,,,3n9jnuteyjx6w6dxviuead0b9,N. Pépé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452400137,15,4,1,1,38,bx0cdmzr2gwr70ez72dorx82p,1,45.9,15.5,2022-08-28T13:03:30.568Z,2022-08-28T23:47:09Z,3740364419,265,,3739762375,56,Back,3739762377,152,,3739762419,233,28,3739762371,13,,3739762379,286,,,,,,,,e3kdoxu1kwn2w3wwi1rqhvr9x,A. Delort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452400129,28,4,1,1,38,27xvwccz8kpmqsefjv2b2sc0o,0,54.1,84.5,2022-08-28T13:03:30.569Z,2022-08-28T23:47:09Z,3739762337,285,,3739762333,56,Left,3739762335,152,,3741746325,178,,3739762441,233,15,3740364229,265,,3739762329,13,,,,,74edqcuzfzy7nswqzn0v3pe22,L. Balerdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452400619,16,1,1,2,10,bx0cdmzr2gwr70ez72dorx82p,0,44.5,5.7,2022-08-28T13:04:02.446Z,2022-08-28T23:47:08Z,3741748503,178,,3742138499,1,,3739764703,155,,3739764713,212,32.0,3739764705,152,,3739764715,213,0.4,3739764707,56,Center,3739859609,189,,8f3bhiy6r5eei1n25exhbwr8p,J. Lotomba,3739764701,5,,3739764711,141,22.4,3739764709,140,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452400611,29,61,1,2,12,27xvwccz8kpmqsefjv2b2sc0o,1,25.4,77.3,2022-08-28T13:04:04.445Z,2022-08-28T23:47:08Z,3739769331,189,,3739764675,56,Back,3741748799,178,,,,,,,,,,,,,,,,,74edqcuzfzy7nswqzn0v3pe22,L. Balerdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452400623,30,49,1,2,13,27xvwccz8kpmqsefjv2b2sc0o,1,33.1,82.9,2022-08-28T13:04:05.693Z,2022-08-28T23:47:08Z,,,,,,,,,,,,,,,,,,,,,,,,,dqsslq1iz1azubowq3anwws4q,Nuno Tavares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452400661,31,1,1,2,14,27xvwccz8kpmqsefjv2b2sc0o,1,29.3,83.6,2022-08-28T13:04:06.670Z,2022-08-28T23:47:07Z,3739764899,140,22.1,3739764905,213,3.9,3741749217,178,,3739764903,212,10.4,3739764897,56,Back,3739764901,141,73.0,,,,,,,dqsslq1iz1azubowq3anwws4q,Nuno Tavares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452400701,32,1,1,2,17,27xvwccz8kpmqsefjv2b2sc0o,1,21.6,67.3,2022-08-28T13:04:09.085Z,2022-08-28T23:47:07Z,3739765105,141,50.6,3739765103,140,6.7,3739765107,212,19.3,3741749365,178,,3739765101,56,Back,3739765109,213,3.8,,,,,,,74edqcuzfzy7nswqzn0v3pe22,L. Balerdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452400757,33,1,1,2,19,27xvwccz8kpmqsefjv2b2sc0o,1,8.2,46.2,2022-08-28T13:04:11.812Z,2022-08-28T23:47:06Z,3739765469,213,5.2,3739765461,140,22.8,3739765457,56,Back,3739765467,212,31.6,3741749891,178,,3739765465,141,5.6,,,,,,,26atxu4fr8f87oi8mt6z70mhh,Pau López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452400811,34,1,1,2,23,27xvwccz8kpmqsefjv2b2sc0o,1,23.6,2.8,2022-08-28T13:04:15.646Z,2022-08-28T23:47:05Z,3739765747,155,,3739765765,212,29.6,3739765755,140,45.5,3741750349,178,,3739765769,213,0.7,3739765759,141,30.1,3739765749,56,Back,,,,c4w6l0ha9pvwljyh3aejqz3yt,J. Clauss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452400829,35,1,1,2,26,27xvwccz8kpmqsefjv2b2sc0o,1,41.7,23.9,2022-08-28T13:04:18.337Z,2022-08-28T23:47:04Z,3739765843,213,1.6,3739765839,141,31.0,3739765835,56,Back,3741750723,178,,3739765837,140,41.7,3739765841,212,4.8,,,,,,,vl1b0gayryiqvl5dlukpmswl,A. Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452400875,36,1,1,2,27,27xvwccz8kpmqsefjv2b2sc0o,1,35.5,26.3,2022-08-28T13:04:19.138Z,2022-08-28T23:47:04Z,3739766059,141,44.5,3739766061,212,13.1,3739766057,140,39.5,3741750861,178,,3739766063,213,1.2,3739766055,56,Back,,,,,,,8s259ktv9j6ei0f8rh2msqfh1,V. Rongier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452400937,37,1,1,2,29,27xvwccz8kpmqsefjv2b2sc0o,1,40.2,48.8,2022-08-28T13:04:21.863Z,2022-08-28T23:47:03Z,3742138417,1,,3739766359,140,53.0,3739766361,141,93.9,3739766367,213,1.2,3739766363,212,33.5,3739766357,56,Left,3741751175,178,,,,,5fbnkkf1saix4lonwx1i9k7o5,J. Veretout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
