id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/value,assist,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2479456919,10,61,1,0,33,2cjpmotqo8phcqfpgo9xf4gel,0,27.7,6,2022-10-30T14:00:50.453Z,2022-10-31T04:02:35Z,3885798781,178,,3883574519,56,Back,,,,,,,,,,,,,,,,,,,859tcp8023r5cki7uju30l9t5,F. Sacko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456915,9,43,1,0,34,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2022-10-30T14:00:50.910Z,2022-10-30T19:40:07Z,3885273981,144,49,,,,,,,,,,,,,,,,,,,,,,859tcp8023r5cki7uju30l9t5,F. Sacko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457029,11,43,1,0,34,z1wbqtd0fz5t5eezjvrbld3h,1,0,0,2022-10-30T14:00:51.206Z,2022-10-30T14:49:53Z,3883575015,56,Left,3883575057,233,10,3883935369,144,7,3883575019,286,0,,,,,,,,,,,,,9b7iei751ersl6ny0o0k8gn3d,M. Terrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479769735,784,45,1,0,38,2cjpmotqo8phcqfpgo9xf4gel,0,13.8,21.2,2022-10-30T14:00:54.736Z,2022-10-31T03:38:09Z,3885274963,56,Back,3885746425,233,914,3885274965,285,,,,,,,,,,,,,,,,,7teasnynvwarky180hl6zvkk5,J. Ferri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479769733,914,3,1,0,38,z1wbqtd0fz5t5eezjvrbld3h,1,86.2,78.8,2022-10-30T14:00:54.736Z,2022-10-31T03:38:09Z,3885274961,286,,3885275061,464,,3885746415,233,784,3885798807,178,,3885274959,56,Center,,,,,,,,,,6u2ob6fv950r1qve8uejkq2uh,A. Gouiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457063,13,1,1,0,40,z1wbqtd0fz5t5eezjvrbld3h,1,81.2,74.2,2022-10-30T14:00:56.667Z,2022-10-31T04:02:34Z,3883575151,212,13.5,3883575145,56,Center,3883575153,213,3.7,3885798847,178,,3883575147,140,70.0,3883575149,141,64.4,,,,,,,6u2ob6fv950r1qve8uejkq2uh,A. Gouiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457039,12,43,1,0,40,z1wbqtd0fz5t5eezjvrbld3h,1,0,0,2022-10-30T14:00:56.820Z,2022-10-30T19:40:09Z,3885274109,144,49,,,,,,,,,,,,,,,,,,,,,,6u2ob6fv950r1qve8uejkq2uh,A. Gouiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457097,14,1,1,0,41,z1wbqtd0fz5t5eezjvrbld3h,1,73.9,69.1,2022-10-30T14:00:58.435Z,2022-10-31T04:02:33Z,3883575299,140,76.0,3883575303,212,8.6,3883575297,56,Left,3883575301,141,81.3,3883575305,213,1.3,3885798875,178,,,,,,,,3hd9nxdb54zn4fhbf7qa7x0q1,L. Majer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457159,15,3,1,0,43,z1wbqtd0fz5t5eezjvrbld3h,0,80.2,88.2,2022-10-30T14:00:59.837Z,2022-10-31T04:02:32Z,3885276291,465,,3883939149,233,334,3883575649,286,,3885799029,178,,3883575645,56,Left,,,,,,,,,,9b7iei751ersl6ny0o0k8gn3d,M. Terrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479524989,334,7,1,0,43,2cjpmotqo8phcqfpgo9xf4gel,1,19.8,11.8,2022-10-30T14:00:59.942Z,2022-10-31T04:02:32Z,3883939137,233,15,3883937969,285,,3885799043,178,,3883937967,56,Back,3885276367,383,,,,,,,,,,,8cawa8470beg2ce0as7hv5psl,A. Souquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457119,11,49,1,0,43,2cjpmotqo8phcqfpgo9xf4gel,1,19.5,11.9,2022-10-30T14:01:00.306Z,2022-10-31T04:02:32Z,,,,,,,,,,,,,,,,,,,,,,,,,8cawa8470beg2ce0as7hv5psl,A. Souquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479866289,833,67,1,0,43,2cjpmotqo8phcqfpgo9xf4gel,1,19.4,14.5,2022-10-30T14:01:00.358Z,2022-10-31T04:02:31Z,3885801673,233,938,,,,,,,,,,,,,,,,,,,,,,8cawa8470beg2ce0as7hv5psl,A. Souquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479866287,938,67,1,0,43,z1wbqtd0fz5t5eezjvrbld3h,0,80.6,85.5,2022-10-30T14:01:00.359Z,2022-10-31T04:02:31Z,3885801677,233,833,,,,,,,,,,,,,,,,,,,,,,9b7iei751ersl6ny0o0k8gn3d,M. Terrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457179,12,1,1,0,45,2cjpmotqo8phcqfpgo9xf4gel,1,21,15,2022-10-30T14:01:01.620Z,2022-10-31T04:02:30Z,3883575719,56,Back,3883575727,213,5.8,3883575725,212,5.1,3885799107,178,,3883575721,140,25.4,3883575723,141,11.7,,,,,,,8cawa8470beg2ce0as7hv5psl,A. Souquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457185,13,61,1,0,46,2cjpmotqo8phcqfpgo9xf4gel,0,23.6,13.1,2022-10-30T14:01:02.644Z,2022-10-31T04:02:29Z,3883575759,56,Back,3885799139,178,,,,,,,,,,,,,,,,,,,,8yirlj1hpoqnuczpywgzlblxx,T. Savanier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
