id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/13/value,qualifier/9/value,keyPass,qualifier/12/value,qualifier/14/value,qualifier/17/value,qualifier/19/value
2443301789,6,5,1,1,34,9bxav814mkuhueiyivyive82d,1,77.5,101.6,2022-08-07T13:01:39.580Z,2022-08-08T02:27:03Z,3691359959,347,,3691359955,56,Left,3691359979,233,16,,,,,,,,,,,,,,,,ea2tv9xaerk3oy6dr45ff3kd1,Q. Bernard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443301469,16,5,1,1,34,be2k34rut1lz79jxenabttqlc,0,22.5,-1.6,2022-08-07T13:01:39.580Z,2022-08-08T02:27:03Z,3691358565,56,Back,3691360031,233,6,3691358567,347,,,,,,,,,,,,,,,,,e211nih87ou9t8crzjbbzhexh,José Fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443301861,7,1,1,1,47,9bxav814mkuhueiyivyive82d,1,77.4,100,2022-08-07T13:01:52.507Z,2022-08-08T06:44:41Z,3691360257,107,,3691360259,56,Left,3691360267,212,17.3,3691360261,140,90.7,3691360269,213,5.7,3691360263,141,85.9,,,,,,,ea2tv9xaerk3oy6dr45ff3kd1,Q. Bernard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443301875,8,61,1,1,48,9bxav814mkuhueiyivyive82d,0,88.1,87.4,2022-08-07T13:01:53.470Z,2022-08-08T06:44:41Z,3691360311,56,Left,3693690925,178,,,,,,,,,,,,,,,,,,,,7aa3k7b1yol8sn30xcl138i51,G. Charbonnier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443301919,17,1,1,1,48,be2k34rut1lz79jxenabttqlc,1,8.5,10.4,2022-08-07T13:01:54.360Z,2022-08-08T06:44:40Z,3693691143,178,,3691360569,56,Back,3691360567,3,,3691360575,212,8.8,3691360577,213,0.1,3691360571,140,16.8,3691360573,141,12.2,,,,tca8ra7ew1b1uny96ku0ql05,A. Zedadka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443301931,18,49,1,1,50,be2k34rut1lz79jxenabttqlc,1,12.8,9.8,2022-08-07T13:01:55.599Z,2022-08-08T06:44:40Z,,,,,,,,,,,,,,,,,,,,,,,,,31sljkjull0n7082fed26stzp,B. André,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443301959,19,1,1,1,50,be2k34rut1lz79jxenabttqlc,0,13.3,9.7,2022-08-07T13:01:55.702Z,2022-08-08T06:44:40Z,3691360747,141,18.5,3691360741,157,,3691360749,212,48.1,3691360743,56,Right,3693691771,178,,3691360751,213,0.1,3691360745,140,58.8,3691360753,1,,31sljkjull0n7082fed26stzp,B. André,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443302023,9,49,1,1,54,9bxav814mkuhueiyivyive82d,1,45.9,87.8,2022-08-07T13:01:59.495Z,2022-08-08T06:44:39Z,,,,,,,,,,,,,,,,,,,,,,,,,6ypo3vp0zupq6s1jbk8rbmq51,Jubal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443302139,10,1,1,1,55,9bxav814mkuhueiyivyive82d,1,41.5,90.5,2022-08-07T13:02:00.990Z,2022-08-08T06:44:39Z,3691361631,56,Back,3691361643,1,,3691361637,212,35.3,3691361633,140,17.1,3691361639,213,3.9,3693692047,178,,3691361635,141,54.8,,,,6ypo3vp0zupq6s1jbk8rbmq51,Jubal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443302197,11,1,1,2,0,9bxav814mkuhueiyivyive82d,1,18,57.4,2022-08-07T13:02:05.712Z,2022-08-08T06:44:38Z,3693692163,178,,3691361915,212,21.1,3691361917,213,1.1,3691361911,140,26.3,3691361913,141,85.7,3691361909,56,Back,,,,,,,2t05pfvho7i9w9w01zcz3gz4l,B. Costil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
