id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/12/value,qualifier/14/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId
2452485627,14,1,1,0,53,121le8unjfzug3iu9pgkqa1c7,1,68.7,41.3,2022-08-28T15:06:01.303Z,2022-08-29T02:54:37Z,3740214987,141,98.4,3740214981,155,,3740214993,1,,3740214991,213,1.0,3741861241,178,,3740214989,212,46.6,3740214983,56,Left,3740214985,140,93.3,7ef73s1ryz38blmo3n9p9c82x,J. Reine-Adélaïde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485635,15,61,1,0,57,121le8unjfzug3iu9pgkqa1c7,0,94.7,96.3,2022-08-28T15:06:05.127Z,2022-08-29T02:54:37Z,3740215017,56,Left,3741861645,178,,,,,,,,,,,,,,,,,,,,9mory3y7p8aku035r2kxtvz6d,K. Toko Ekambi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485643,10,5,1,0,58,3c3jcs7vc1t6vz5lev162jyv7,1,5.8,-1.2,2022-08-28T15:06:06.119Z,2022-08-28T21:29:10Z,3740215059,347,,3740215057,56,Back,3740215441,233,16,,,,,,,,,,,,,,,,afymbx9eo87zau8mo99pakbu,M. Busi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485639,16,5,1,0,58,121le8unjfzug3iu9pgkqa1c7,0,94.2,101.2,2022-08-28T15:06:06.119Z,2022-08-28T21:29:11Z,3740215047,347,,3740215045,56,Left,3740215455,233,10,,,,,,,,,,,,,,,,9mory3y7p8aku035r2kxtvz6d,K. Toko Ekambi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485649,11,1,1,1,9,3c3jcs7vc1t6vz5lev162jyv7,1,4.2,0,2022-08-28T15:06:17.397Z,2022-08-29T02:54:36Z,3740215071,212,9.7,3740215065,56,Back,3740215069,141,9.8,3740215063,107,,3740215067,140,9.7,3740215073,213,0.9,,,,,,,afymbx9eo87zau8mo99pakbu,M. Busi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485657,12,1,1,1,10,3c3jcs7vc1t6vz5lev162jyv7,1,7.6,10.1,2022-08-28T15:06:18.385Z,2022-08-29T02:54:36Z,3740215107,141,2.8,3740215103,56,Back,3740215109,212,5.1,3741862197,178,,3740215105,140,6.3,3740215111,213,4.4,,,,,,,8qmm84tue6kuz8e5nhhdhmz8p,M. Munetsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485673,13,1,1,1,11,3c3jcs7vc1t6vz5lev162jyv7,0,4,3,2022-08-28T15:06:19.157Z,2022-08-29T02:54:36Z,3740215203,1,,3740215195,140,38.2,3740215193,56,Back,3740215199,212,36.0,3740215191,155,,3741862357,178,,3740215201,213,6.2,3740215197,141,0.0,afymbx9eo87zau8mo99pakbu,M. Busi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485675,14,5,1,1,15,3c3jcs7vc1t6vz5lev162jyv7,0,44.4,-1.8,2022-08-28T15:06:22.869Z,2022-08-28T21:29:30Z,3740215207,56,Back,3740215209,347,,3740215451,233,17,,,,,,,,,,,,,,,,afymbx9eo87zau8mo99pakbu,M. Busi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485711,17,5,1,1,15,121le8unjfzug3iu9pgkqa1c7,1,55.6,101.8,2022-08-28T15:06:22.869Z,2022-08-28T21:29:30Z,3740215387,347,,3740215385,56,Left,3740215417,233,14,,,,,,,,,,,,,,,,9mory3y7p8aku035r2kxtvz6d,K. Toko Ekambi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485789,18,1,1,1,27,121le8unjfzug3iu9pgkqa1c7,1,58.7,100,2022-08-28T15:06:35.113Z,2022-08-29T02:54:35Z,3740215807,107,,3740215813,141,71.1,3740215819,1,,3740215815,212,22.4,3740215809,56,Center,3740215817,213,5.1,3740215811,140,67.0,,,,40hu79d2a4k94nc52z7dblpsl,N. Tagliafico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
