id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2479614859,13,1,1,0,32,70nn27vgkt6l48lvv5e66q7ww,1,45.4,11.4,2022-10-30T16:06:08.016Z,2022-10-31T04:34:34Z,3884423839,140,45.9,3884423843,212,6.3,3885979289,178,,3884423841,141,20.6,3884423845,213,1.5,3884423837,56,Back,,,,,,,2abpo4w3jcxp1wzp50yypxsrt,S. Diarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479614897,14,1,1,0,35,70nn27vgkt6l48lvv5e66q7ww,1,40,20.4,2022-10-30T16:06:10.955Z,2022-10-31T04:34:38Z,3884424029,213,3.0,3884424023,140,30.8,3884424025,141,21.9,3884424021,56,Back,3884424027,212,9.7,3885979353,178,,,,,,,,7cty3nkd7c84e16537v6y1djp,B. Innocent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479614953,15,1,1,0,38,70nn27vgkt6l48lvv5e66q7ww,1,31,23.6,2022-10-30T16:06:13.659Z,2022-10-31T04:34:42Z,3884424291,213,1.7,3885979421,178,,3884424287,141,67.2,3884424279,56,Back,3884424289,212,29.8,3884424283,140,27.7,,,,,,,d8jdziu0arw1rcx5byxd7rj6d,J. Laporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479615003,16,1,1,0,42,70nn27vgkt6l48lvv5e66q7ww,1,31.4,70.3,2022-10-30T16:06:17.789Z,2022-10-31T04:34:49Z,3884424539,140,34.5,3885979487,178,,3884424545,213,4.9,3884424537,56,Back,3884424541,141,37.4,3884424543,212,22.6,,,,,,,996i59930r3kd4xk48x9fsp2h,M. Talbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479615103,17,1,1,0,45,70nn27vgkt6l48lvv5e66q7ww,1,35.3,34.3,2022-10-30T16:06:21.415Z,2022-10-31T04:34:56Z,3884425007,213,4.8,3885979559,178,,3884425001,140,36.8,3884425005,212,15.9,3884424999,56,Back,3884425003,141,11.1,,,,,,,d8jdziu0arw1rcx5byxd7rj6d,J. Laporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479615181,18,1,1,0,50,70nn27vgkt6l48lvv5e66q7ww,1,27.6,11.9,2022-10-30T16:06:25.499Z,2022-10-31T04:35:00Z,3884425423,140,11.5,3884425429,213,2.3,3884425425,141,41.3,3885979603,178,,3884425421,56,Back,3884425427,212,26.2,,,,,,,322sju1vi12p0r9a8048hnmxh,G. Kalulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479615223,19,1,1,0,53,70nn27vgkt6l48lvv5e66q7ww,1,10.9,42.5,2022-10-30T16:06:28.983Z,2022-10-31T04:35:05Z,3885979671,178,,3884425675,140,14.8,3884425673,56,Back,3884425679,212,14.7,3884425681,213,1.3,3884425677,141,63.3,,,,,,,6790uxmc1zs4emxtqf7vl6imt,Y. Mvogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479615301,20,1,1,0,56,70nn27vgkt6l48lvv5e66q7ww,1,19.9,67.9,2022-10-30T16:06:31.638Z,2022-10-31T04:35:09Z,3884426005,213,1.3,3884426001,141,92.7,3884425999,140,24.9,3884426003,212,17.7,3885979721,178,,3884425997,56,Back,,,,,,,996i59930r3kd4xk48x9fsp2h,M. Talbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479615367,21,1,1,0,58,70nn27vgkt6l48lvv5e66q7ww,0,26.3,94.7,2022-10-30T16:06:33.964Z,2022-10-31T04:35:13Z,3884426327,140,79.3,3884426325,56,Left,3885979761,178,,3884426333,213,6.1,3884426331,212,56.6,3884426335,1,,3884426323,155,,3884426329,141,79.7,538zux65h0l9028fpf4v1g0r9,V. Le Goff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479615465,8,12,1,1,2,bx0cdmzr2gwr70ez72dorx82p,1,21.7,17.9,2022-10-30T16:06:38.413Z,2022-10-31T04:35:18Z,3885979821,178,,3884426857,140,17.8,3884426895,167,,3884426861,212,13.9,3884426855,56,Back,3884426863,213,4.4,3884426859,141,0.0,,,,7cp51c8zn7y08iyk0hc9ix5nt,J. Todibo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479615469,9,5,1,1,3,bx0cdmzr2gwr70ez72dorx82p,0,14.1,-1.8,2022-10-30T16:06:39.297Z,2022-10-31T04:35:22Z,3884427631,233,22,3884426879,56,Back,3884426881,347,,,,,,,,,,,,,,,,,7cp51c8zn7y08iyk0hc9ix5nt,J. Todibo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479615587,22,5,1,1,3,70nn27vgkt6l48lvv5e66q7ww,1,85.9,101.8,2022-10-30T16:06:39.297Z,2022-10-31T04:35:21Z,3884427573,347,,3884427615,233,9,3884427571,56,Left,,,,,,,,,,,,,,,,538zux65h0l9028fpf4v1g0r9,V. Le Goff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479615661,23,1,1,1,16,70nn27vgkt6l48lvv5e66q7ww,1,89.6,100,2022-10-30T16:06:51.682Z,2022-10-31T04:35:25Z,3884427961,107,,3884427965,140,80.6,3884427969,212,11.8,3884427963,56,Left,3884427967,141,91.7,3884427971,213,3.8,,,,,,,538zux65h0l9028fpf4v1g0r9,V. Le Goff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479615669,24,61,1,1,17,70nn27vgkt6l48lvv5e66q7ww,0,77,92.4,2022-10-30T16:06:53.391Z,2022-10-31T04:35:50Z,3884428011,56,Left,3885980215,178,,,,,,,,,,,,,,,,,,,,44o5mjglkzqxctz07ust9bcru,E. Le Fée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479615697,10,1,1,1,18,bx0cdmzr2gwr70ez72dorx82p,1,20.4,7.7,2022-10-30T16:06:54.277Z,2022-10-31T04:35:55Z,3885248991,212,10.3,3885248987,140,30.1,3885980295,178,,3885248993,213,6.1,3885248989,141,5.4,3884428201,56,Back,,,,,,,e7e68wlpiqqohpg71oh4vrbl6,H. Boudaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479615703,11,49,1,1,21,bx0cdmzr2gwr70ez72dorx82p,1,28.1,6.2,2022-10-30T16:06:57.184Z,2022-10-31T04:36:01Z,,,,,,,,,,,,,,,,,,,,,,,,,3n9jnuteyjx6w6dxviuead0b9,N. Pépé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479615723,12,1,1,1,21,bx0cdmzr2gwr70ez72dorx82p,1,28.1,6.2,2022-10-30T16:06:57.225Z,2022-10-31T04:36:07Z,3885980453,178,,3884428327,56,Back,3884428335,213,2.0,3884428331,141,11.9,3884428329,140,26.4,3884428333,212,4.3,,,,,,,3n9jnuteyjx6w6dxviuead0b9,N. Pépé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479615731,13,1,1,1,25,bx0cdmzr2gwr70ez72dorx82p,0,30.4,19,2022-10-30T16:07:00.491Z,2022-10-31T04:36:19Z,3884428371,56,Back,3884428375,141,21.8,3884428373,140,28.1,3884428379,213,2.5,3885980599,178,,3884428377,212,3.1,,,,,,,vja0xo3xiuax8eh0b6q3y09,P. Rosario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479615759,14,81,1,1,25,bx0cdmzr2gwr70ez72dorx82p,0,28.1,21.8,2022-10-30T16:07:00.835Z,2022-10-31T04:36:24Z,3884428543,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479615899,25,68,1,1,36,70nn27vgkt6l48lvv5e66q7ww,0,0,0,2022-10-30T16:07:11.849Z,2022-10-31T04:36:31Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479615919,15,68,1,1,36,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2022-10-30T16:07:11.858Z,2022-10-31T04:36:37Z,3884686147,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479616009,16,1,1,1,38,bx0cdmzr2gwr70ez72dorx82p,1,26.9,25.5,2022-10-30T16:07:13.917Z,2022-10-31T04:36:42Z,3884429813,213,5.7,3884429807,140,32.2,3884429811,212,6.5,3884429805,56,Back,3885980855,178,,3884429809,141,20.5,,,,,,,7cp51c8zn7y08iyk0hc9ix5nt,J. Todibo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479616063,17,1,1,1,40,bx0cdmzr2gwr70ez72dorx82p,1,32.2,20.5,2022-10-30T16:07:16.254Z,2022-10-31T04:36:47Z,3884430145,56,Back,3884430149,141,61.0,3885980925,178,,3884430151,212,28.6,3884430153,213,1.8,3884430147,140,25.0,,,,,,,vja0xo3xiuax8eh0b6q3y09,P. Rosario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479616161,18,1,1,1,44,bx0cdmzr2gwr70ez72dorx82p,1,26.4,58.7,2022-10-30T16:07:19.928Z,2022-10-31T04:36:51Z,3885980967,178,,3884430719,56,Back,3884430723,141,27.7,3884430729,213,4.6,3884430725,212,21.2,3884430721,140,24.2,,,,,,,azuc3tma44xyrbgf5y279o1xx,Dante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479616183,19,1,1,1,50,bx0cdmzr2gwr70ez72dorx82p,1,37.9,8.8,2022-10-30T16:07:25.635Z,2022-10-31T04:36:56Z,3884430857,141,5.8,3885981019,178,,3884430853,56,Back,3884430859,212,5.1,3884430861,213,3.5,3884430855,140,33.4,,,,,,,7cp51c8zn7y08iyk0hc9ix5nt,J. Todibo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479616279,20,1,1,1,51,bx0cdmzr2gwr70ez72dorx82p,1,33.3,5.8,2022-10-30T16:07:27.401Z,2022-10-31T04:37:02Z,3885981071,178,,3884431285,56,Back,3884431291,212,26.7,3884431289,141,40.3,3884431293,213,2.1,3884431287,140,21.2,,,,,,,99f4n1ws494k96r9ewdcrecbt,Y. Atal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479616357,21,1,1,1,56,bx0cdmzr2gwr70ez72dorx82p,1,23.3,44.8,2022-10-30T16:07:32.248Z,2022-10-31T04:37:06Z,3884431731,213,1.0,3884431727,141,61.3,3885981117,178,,3884431729,212,13.1,3884431723,56,Back,3884431725,140,29.8,,,,,,,azuc3tma44xyrbgf5y279o1xx,Dante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479616447,22,1,1,2,2,bx0cdmzr2gwr70ez72dorx82p,1,28.9,44.8,2022-10-30T16:07:37.609Z,2022-10-31T04:37:10Z,3884432291,213,5.2,3884432287,141,26.2,3884432285,140,35.9,3885981147,178,,3884432289,212,14.6,3884432283,56,Back,,,,,,,8rfgwq7hbi4a3imda845vdyvp,M. Lemina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479616467,23,1,1,2,6,bx0cdmzr2gwr70ez72dorx82p,1,45.7,33.7,2022-10-30T16:07:42.101Z,2022-10-31T04:37:23Z,3884432397,140,55.3,3884432409,213,1.0,3884432401,141,55.8,3884432405,212,18.1,3885981259,178,,3884432393,56,Center,,,,,,,e7e68wlpiqqohpg71oh4vrbl6,H. Boudaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479616501,24,1,1,2,8,bx0cdmzr2gwr70ez72dorx82p,1,54.7,59.2,2022-10-30T16:07:43.787Z,2022-10-31T04:37:27Z,3884432549,140,46.9,3884432553,212,8.3,3885981293,178,,3884432547,56,Back,3884432555,213,3.0,3884432551,141,61.0,,,,,,,dxeju5zcb6j8etdgwq0kweor9,R. Barkley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
